eng,kn,mBART600M
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","ತಾಯಿಯ ಮತ್ತು ಮಕ್ಕಳ ಅಪೌಷ್ಟಿಕತೆಯನ್ನು ಸುಧಾರಿಸಲು ಪೌಷ್ಠಿಕಾಂಶ ವ್ಯವಸ್ಥೆಯನ್ನು ಬಲಪಡಿಸುವ ವಿಧಾನವನ್ನು ಅನುಸರಿಸುವುದು ಇದರ ಗುರಿಯಾಗಿದೆ, ಎಲ್ಲಾ ಹಂತಗಳಲ್ಲಿ ಅನುಷ್ಠಾನದ ಅಡಚಣೆಗಳನ್ನು ಬಲಪಡಿಸುವತ್ತ ಗಮನಹರಿಸಲಾಗಿದೆ.","The aim is to follow a method of strengthening the nutrition system to improve the malnutrition of the mother and child, focusing on strengthening the barriers to implementation at all stages."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅನ್ನು ಕೇಂದ್ರೀಕೃತ ದತ್ತಾಂಶ ವಾಸ್ತುಶಿಲ್ಪವನ್ನು ಬಳಸಿ ನಿರ್ಮಿಸಲಾಗಿದೆ, ಇದು ಇತರ ಸಚಿವಾಲಯಗಳು ಮತ್ತು ಕಾರ್ಯಕ್ರಮಗಳ ಡಿಜಿಟಲ್ ತಂತ್ರಜ್ಞಾನ ವ್ಯವಸ್ಥೆಗಳೊಂದಿಗೆ ಸಹ ಹೊಂದಿಕೊಳ್ಳುತ್ತದೆ.","The position tracker is built using a centralized data architecture, which is also compatible with digital technology systems of other ministries and programs."
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","ಈ ವ್ಯವಸ್ಥೆಯು ಪ್ರತಿ ಫಲಾನುಭವಿಗಳಿಗೆ ಡಿಜಿಟಲ್ ಕಾರ್ಡ್ ಮೂಲಕ ಡಿಜಿಟಲ್ ಗುರುತನ್ನು ಒದಗಿಸುತ್ತದೆ, ಮತ್ತು ತಂತ್ರಜ್ಞಾನ ವೇದಿಕೆಯೊಂದಿಗೆ ಕಾಲ್ ಸೆಂಟರ್ ಅನ್ನು ಒಮ್ಮುಖಗೊಳಿಸಲು ಅನುವು ಮಾಡಿಕೊಡುತ್ತದೆ.","This system provides each beneficiary with digital identity via a digital card, and enables the call center to be integrated with a technology platform."
The system generates automated alerts to the critical last-mile beneficiaries.,ನಿರ್ಣಾಯಕ ಕೊನೆಯ ಮೈಲಿ ಫಲಾನುಭವಿಗಳಿಗೆ ಸಿಸ್ಟಮ್ ಸ್ವಯಂಚಾಲಿತ ಎಚ್ಚರಿಕೆಗಳನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.,The system generates automatic alerts to the final mile beneficiaries of the critical link.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",ಫಲಾನುಭವಿಗಳು ಮತ್ತು ಕರ್ತವ್ಯ ನಿರ್ವಹಿಸುವವರ ನೈಜ ಸಮಯದ ಹಾಜರಾತಿಯನ್ನು ದಾಖಲಿಸುವ ಮೂಲಕ ವಿತರಣಾ ವ್ಯವಸ್ಥೆಯ ಸಮರ್ಥ ಲೆಕ್ಕಪರಿಶೋಧನೆಯನ್ನು ಇದು ಖಾತ್ರಿಗೊಳಿಸುತ್ತದೆ.,This ensures efficient auditing of the distribution system by recording real-time attendance of the beneficiaries and the performers.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","ಅಂತಹ ದೃ digital ವಾದ ಡಿಜಿಟಲ್ ತಂತ್ರಜ್ಞಾನ ವೇದಿಕೆ ಮತ್ತು ನಿರ್ವಹಣಾ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆಯು ಮಿಷನ್ ಅನ್ನು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಅಳೆಯಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ, ಇದರಿಂದಾಗಿ ಗಮನಾರ್ಹವಾದ ಸಕಾರಾತ್ಮಕ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ ಮತ್ತು ದಾಖಲಿಸುತ್ತದೆ.","Such a robust digital technology platform and management information system helps to effectively measure the mission, thereby producing and documenting a significant positive impact."
Weight should be between 0.90 to 58,ತೂಕವು 0.90 ರಿಂದ 58 ರ ನಡುವೆ ಇರಬೇಕು,The weight should be between 0.90 and 58.
We own the intellectual property rights in the Site and Content.,ನಾವು ಸೈಟ್ ಮತ್ತು ಪರಿವಿಡಿಯಲ್ಲಿ ಬೌದ್ಧಿಕ ಆಸ್ತಿ ಹಕ್ಕುಗಳನ್ನು ಹೊಂದಿದ್ದೇವೆ.,We have intellectual property rights in the site and content.
We may change the Content and features of the Site at any time.,ನಾವು ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಸೈಟ್ನ ವಿಷಯ ಮತ್ತು ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಬದಲಾಯಿಸಬಹುದು.,We may change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","ಸೈಟ್ನಲ್ಲಿ ಪ್ರದರ್ಶಿಸಲಾದ ನೋಂದಾಯಿತ ಮತ್ತು ನೋಂದಾಯಿಸದ ಟ್ರೇಡ್ಮಾರ್ಕ್ಗಳು, ಲೋಗೊಗಳು ಮತ್ತು ಸೇವಾ ಗುರುತುಗಳು ನಮ್ಮ ಅಥವಾ ನಮ್ಮ ಪರವಾನಗಿದಾರರ ಒಡೆತನದಲ್ಲಿದೆ.","The registered and unregistered trademarks, logos and service marks displayed on the site are owned by us or our licensors."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","ನಮ್ಮ ಪೂರ್ವ ಲಿಖಿತ ಅನುಮತಿಯಿಲ್ಲದೆ ನೀವು ನಮ್ಮ ಟ್ರೇಡ್ಮಾರ್ಕ್ಗಳು, ಲೋಗೋಗಳು ಮತ್ತು ಸೇವಾ ಗುರುತುಗಳನ್ನು ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಬಳಸುವಂತಿಲ್ಲ.","You may not use our trademarks, logos, or service marks in any way without our prior written permission."
Material featured on this website may be reproduced free of charge.,ಈ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ಪ್ರದರ್ಶಿಸಲಾದ ವಿಷಯವನ್ನು ಉಚಿತವಾಗಿ ಮರು ಉತ್ಪಾದಿಸಬಹುದು.,The content displayed on this website can be reproduced for free.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","ಎಲ್ಲೆಲ್ಲಿ ವಿಷಯವನ್ನು ಪ್ರಕಟಿಸಲಾಗುತ್ತಿದೆ ಅಥವಾ ಇತರರಿಗೆ ಬಿಡುಗಡೆ ಮಾಡಲಾಗುತ್ತಿದೆ, ಮೂಲವನ್ನು ಪ್ರಮುಖವಾಗಿ ಒಪ್ಪಿಕೊಳ್ಳಬೇಕು.","Wherever content is being published or released to others, the source must be acknowledged as the primary source."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","ಆದಾಗ್ಯೂ, ಈ ವಸ್ತುವನ್ನು ಪುನರುತ್ಪಾದಿಸುವ ಅನುಮತಿಯು ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಸ್ವಾಮ್ಯ ಎಂದು ಗುರುತಿಸಲಾದ ಯಾವುದೇ ವಸ್ತುಗಳಿಗೆ ವಿಸ್ತರಿಸುವುದಿಲ್ಲ.","However, permission to reproduce this material does not extend to any material that is marked as a third party copyright."
MPIN can be easily reset by any AWW/AWC user.,ಯಾವುದೇ ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು / ಎಡಬ್ಲ್ಯೂಸಿ ಬಳಕೆದಾರರಿಂದ ಎಂಪಿಐಎನ್ ಅನ್ನು ಸುಲಭವಾಗಿ ಮರುರಚಿಸಬಹುದು.,MPIN can be easily reconstructed by any AWW/AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","ನೀವು ಮರೆತುಹೋದ ಎಂಪಿನ್ ಕ್ಲಿಕ್ ಮಾಡಬೇಕಾಗುತ್ತದೆ, ಮತ್ತು ನಿಮ್ಮ ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ.","You'll need to click on the forgotten mpin, and enter your registered mobile number."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,ನಿಮ್ಮ ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯಲ್ಲಿ ನೀವು ಒಟಿಪಿ ಸ್ವೀಕರಿಸುತ್ತೀರಿ ಮತ್ತು ನಿಮ್ಮ ಎಂಪಿನ್ ಅನ್ನು ನೀವು ಸುಲಭವಾಗಿ ಮರುರಚಿಸಬಹುದು.,You will receive an OTP on your registered mobile number and you can easily reconfigure your mpin.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರಿಗೆ ಅವರ ಶ್ರಮವನ್ನು ಪ್ರತಿಬಿಂಬಿಸಲು ಮತ್ತು ಸೇವೆಗಳ ಸಮರ್ಥ ವಿತರಣೆಗಾಗಿ ಕೆಲಸದ ಸಹಾಯಕವಾಗಿದೆ.,The Pooshan Tracker is a work assistant for Anganwadi workers to reflect their hard work and to deliver services efficiently.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,"ಇದು ಪೋಶನ್ ಅಭಿಯಾನದ ಅಡಿಯಲ್ಲಿ ಪ್ರಮುಖವಾದ ಮತ್ತು ಫಲಾನುಭವಿ-ಕೇಂದ್ರಿತ ಸೇವಾ ವಿತರಣಾ ಅಪ್ಲಿಕೇಶನ್ ಆಗಿದ್ದು, ಇದು ವಿಶ್ಲೇಷಣೆಯೊಂದಿಗೆ ನೈಜ ಸಮಯದ ಡೇಟಾವನ್ನು ಉತ್ತೇಜಿಸುತ್ತದೆ","It is a key and beneficiary-centric service delivery application under the Positionkn campaign, which promotes real-time data with analytics."
Please enter valid Date of Birth,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಜನ್ಮ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ,Please enter a valid date of birth.
Who is eligible for additional supplementary food?,ಹೆಚ್ಚುವರಿ ಪೂರಕ ಆಹಾರಕ್ಕಾಗಿ ಯಾರು ಅರ್ಹರು?,Who is eligible for supplemental nutrition?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ಸೂಚಿಸದೆ ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಭಾಗವನ್ನು ಬದಲಾಯಿಸಲು, ಮಾರ್ಪಡಿಸಲು, ಸೇರಿಸಲು ಅಥವಾ ತೆಗೆದುಹಾಕಲು ನಾವು ಬೇಷರತ್ತಾದ ಹಕ್ಕನ್ನು ನಾವು ಕಾಯ್ದಿರಿಸಿದ್ದೇವೆ.","We reserve the unconditional right to change, modify, add or remove any part of these Terms at any time without specifically informing you."
Any changes or updates will be effective immediately.,ಯಾವುದೇ ಬದಲಾವಣೆಗಳು ಅಥವಾ ನವೀಕರಣಗಳು ತಕ್ಷಣವೇ ಜಾರಿಗೆ ಬರುತ್ತವೆ.,Any changes or updates will come into effect immediately.
You take the responsibility to check these Terms of Use periodically for changes.,ಬದಲಾವಣೆಗಳಿಗಾಗಿ ನಿಯತಕಾಲಿಕವಾಗಿ ಈ ಬಳಕೆಯ ನಿಯಮಗಳನ್ನು ಪರಿಶೀಲಿಸುವ ಜವಾಬ್ದಾರಿಯನ್ನು ನೀವು ಕೈಗೊಳ್ಳುತ್ತೀರಿ.,You are responsible for reviewing these Terms of Use from time to time for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,ಮಾರ್ಪಾಡಿನ ನಂತರ ಪ್ಲಾಟ್ಫಾರ್ಮ್ನ ನಿಮ್ಮ ಮುಂದುವರಿದ ಬಳಕೆಯು ತಿದ್ದುಪಡಿ ಮಾಡಿದ ನಿಯಮಗಳ ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.,Your continued use of the platform after the modification of thekn indicates your acceptance of the amended terms.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW., ಡಬ್ಲ್ಯು. ಸಿ. ಡಿ ಗೆ ಒದಗಿಸಿಲ್ಲ ಮೇಲಿನ ಎರಡೂ ಸಂದರ್ಭ್ಹಗಳಲ್ಲಿ ಯಾವುದೇ ಅಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಅನ್ನು ಸೇರಿಸಲು/ಸಂಪಾದಿಸಲು/ಸಕ್ರಿಯಗೊಳಿಸಲು/ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲು ರಾಜ್ಯ ನೋಡಲ್ ಅಧಿಕಾರಿಗಳಿಗೆ ಅಧಿಕಾರವಿದೆ.,"In both of the above cases, state nodal authorities are authorized to add/edit/enable/disable any AWW."
How many different types of reports can be generated over Poshan Tracker Dashboard?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಡ್ಯಾಶ್ಬೋರ್ಡ್ನಲ್ಲಿ ಎಷ್ಟು ವಿಭಿನ್ನ ರೀತಿಯ ವರದಿಗಳನ್ನು ಉತ್ಪಾದಿಸಬಹುದು?,How many different types of reports can a nutrition tracker generate on its dashboard?
How to revive your health if you are Severely Wasted (SAM),ನೀವು ತೀವ್ರ ಕಡಿಮೆ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುತ್ಪಾದಿಸುವುದು (SAM),"If you are extremely low in weight, how to restore your health (SAM)"
"See assessment charts for Stunted, Wasted and Underweight parameters","ಕುಂಠಿತ, ತೂಕ ಕಳೆದುಕೊಳ್ಳುವ ಮತ್ತು ಕಡಿಮೆ ತೂಕದ ನಿಯತಾಂಕಗಳಿಗಾಗಿ ಮೌಲ್ಯಮಾಪನ ಚಾರ್ಟ್ ಅನ್ನು ನೋಡಿ","See the assessment chart for paralysis, weight loss and light weight parameters."
Resources for growth monitoring and general awareness,ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ಸಾಮಾನ್ಯ ಜಾಗೃತಿಗಾಗಿ ಸಂಪನ್ಮೂಲಗಳು,Resources for growth monitoring and general awareness.
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಗಳು ನಿರ್ದಿಷ್ಟ ಅಂಗನವಾಡಿ ಕೇಂದ್ರದಲ್ಲಿ ಇರುವ ಮೂಲಸೌಕರ್ಯಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ವಿವರಗಳನ್ನು ನಮೂದಿಸ ಬೇಕು.,AWWs must provide details of the infrastructure at a particular Anganawadi center.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ಇದರಲ್ಲಿ ರಚನೆ, ಮೂಲ ಸೌಕರ್ಯಗಳು, ಸೌಲಭ್ಯಗಳು, ನೈರ್ಮಲ್ಯೀಕರಣ, ಕುಡಿಯುವ ನೀರು ಇತ್ಯಾದಿಗಳು ಸೇರಿವೆ.","This includes infrastructure, infrastructure, facilities, sanitation, drinking water, and so on."
Lactating mothers who received Take Home Ration (THR),ಹಾಲುಣಿಸುವ ತಾಯಂದಿರಿಗೆ ಟೇಕ್ ಹೋಮ್ ರೇಷನ್ (THR),Take home ration (THR) for nursing mothers.
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ತಿಳಿಸದೆಯೇ ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಗೌಪ್ಯತೆ ನೀತಿಯ ಯಾವುದೇ ಭಾಗವನ್ನು ಬದಲಾಯಿಸಲು, ಮಾರ್ಪಡಿಸಲು, ಸೇರಿಸಲು ಅಥವಾ ತೆಗೆದುಹಾಕಲು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಬೇಷರತ್ತಾದ ಹಕ್ಕನ್ನು ಕಾಯ್ದಿರಿಸುತ್ತದೆ.","PositionTracker reserves the unconditional right to change, modify, add or remove any part of the Privacy Policy at any time without specifically informing you."
Any changes or updates will be effective immediately.,ಯಾವುದೇ ಬದಲಾವಣೆಗಳು ಅಥವಾ ನವೀಕರಣಗಳು ತಕ್ಷಣವೇ ಜಾರಿಗೆ ಬರುತ್ತವೆ.,Any changes or updates will come into effect immediately.
You should review this Privacy Policy regularly for changes.,ನೀವು ಗೌಪ್ಯತೆ ನೀತಿಯನ್ನು ಬದಲಾವಣೆಗಾಗಿ ನಿಯಮಿತವಾಗಿ ಪರಿಶೀಲಿಸಬೇಕು.,You should review the privacy policy regularly for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","ಈ ಗೌಪ್ಯತೆ ನೀತಿಯಲ್ಲಿ ಉಂಟಾಗುವ ಯಾವುದೇ ಬದಲಾವಣೆಗಳನ್ನು ಎಲ್ಲಾ ಬಳಕೆದಾರರಿಗೆ ಸೂಚಿಸಲು ನಾವು ವಾಣಿಜ್ಯಿಕವಾಗಿ ಸಮಂಜಸವಾದ ಪ್ರಯತ್ನಗಳನ್ನು ಬಳಸುತ್ತೇವೆ, ಉದಾಹರಣೆಗೆ ಸಿಸ್ಟಂನಲ್ಲಿ ಮೂಲಕ ಸೂಚನೆಯನ್ನು ಹೊರಡಿಸುವ ಮೂಲಕ.","We use commercially reasonable efforts to notify all users of any changes to this privacy policy, such as by issuing a notification through the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","ಆದರೂ, ಗೌಪ್ಯತಾ ನೀತಿಯು ಬದಲಾವಣೆಗಾಗಿ ಸಿಸ್ಟಮ್ ನ ಬಳಕೆದಾರರು ಆಗಿರುವುದರಿಂದ ನೀವು ನಿಯಮಿತವಾಗಿ ಪರಿಶೀಲಿಸಬೇಕು.","However, you should check the privacy policy regularly as users of the system are subject to change."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","ನಾವು ಗೌಪ್ಯತಾ ನೀತಿಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ "" ಕೊನೆಯದಾಗಿ ನವೀಕರಿಸಿದ"" ದಿನಾಂಕವನ್ನು ನವೀಕರಿಸುತ್ತೇವೆ ಹಾಗೂ ಇದು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯ ಪರಿಣಾಮಕಾರಿ ದಿನಾಂಕವನ್ನು ಸೂಚಿಸುತ್ತದೆ.","We update the ""last updated"" date at the top of the privacy policy, which indicates the effective date of this privacy policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,ಹೊಸ ಗೌಪ್ಯತೆ ನೀತಿಯ ದಿನಾಂಕದ ನಂತರ ನಿಮ್ಮ ಮುಂದುವರಿದ ಪ್ರವೇಶ ಅಥವಾ ಸಿಸ್ಟಂನ ಬಳಕೆಯು ಹೊಸ ಗೌಪ್ಯತೆ ನೀತಿಗೆ ನಿಮ್ಮ ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.,Your continued access or use of the system after the date of the new privacy policy indicates your consent to the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","ನೀವು ಹೊಸ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಒಪ್ಪದ ಸಂದರ್ಭದಲ್ಲಿ, ನೀವು ಸಿಸ್ಟಮ್ ಅನ್ನು ಪ್ರವೇಶಿಸುವುದು ಮತ್ತು/ಅಥವಾ ಬಳಸುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು.","If you do not agree to the new privacy policy, you should stop accessing and/or using the system."
What is the eligibility of a beneficiary?,ಫಲಾನುಭವಿಯ ಅರ್ಹತೆ ಏನು?,What is the beneficiary's eligibility?
"No, Poshan Tracker is available only for Android version","ಇಲ್ಲ, ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಕೇವಲ ಆಂಡ್ರೊಯಿಡ್ ಆವ್ರಿತ್ತಿಯಲ್ಲಿ ಲಭ್ಯವಿದೆ.","No, Nutrition Tracker is only available on Android devices."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಹೊಣೆಗಾರಿಕೆ ಮಿತಿ,XV. compensation for loss and limitation of liability.
Growth monitoring report for all health indicators,ಎಲ್ಲಾ ಆರೋಗ್ಯ ಸೂಚಕಗಳಿಗೆ ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣಾ ವರದಿ,Growth monitoring report for all health indicators.
Take Home Ration (THR) given in last 30 days,ಕಳೆದ ೩೦ ದಿನಗಳಲ್ಲಿ ಕೊಟ್ಟ ಮನೆಗೆ ತೆಗೆದುಕೊಂಡು ಹೋಗುವ ಪಡಿತರ(ಟಿಎಚ್ಆರ್),The orders taken to a given home within the last 30 days (THR)
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,WHO ಮಕ್ಕಳ ಬೆಳವಣಿಗೆಯ ಮಾನದಂಡಗಳ ಸರಾಸರಿಗಿಂತ ಎರಡು ಪ್ರಮಾಣಿತ ವಿಚಲನಗಳಿಗಿಂತ ಅವರ ಎತ್ತರ-ವಯಸ್ಸು ಹೆಚ್ಚಿದ್ದರೆ ಮಕ್ಕಳನ್ನು ಕುಂಠಿತ ಎಂದು ವ್ಯಾಖ್ಯಾನಿಸಲಾಗುತ್ತದೆ,"If the child's height is greater than two standard deviations from the average of the child's developmental standards, then the child is defined as constipated."
What is the purpose of Launching Poshan Tracker?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಪ್ರಾರಂಭಿಸಿದ ಉದ್ದೇಶವೇನು?,What was the purpose of launching the Nutrition Tracker?
"As a registered user, you have the right to access your profile at any time.","ನೀವು ನೊಂದಾಯಿತ ಬಳಕೆದಾರರು ಆಗಿರುವುದರಿಂದ, ನೀವು ನಿಮ್ಮ ಪ್ರೊಫೈಲ್ ಅನ್ನು ಯಾವ ಸಮಯದಲ್ಲಿ ಆದರೂ ಬಳಸುವ ಹಕ್ಕು ಇದೆ.","Since you are a registered user, you have the right to use your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","ಆದಾಗ್ಯೂ, ಕಾಲಕಾಲಕ್ಕೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಸಿಸ್ಟಮ್ ಸೂಚಿಸಿದ ಬದಲಾವಣೆಗಳನ್ನು ಮಾತ್ರ ಮಾಡಬಹುದು.","However, from time to time, the position tracker system can only make changes as indicated by the position tracker."
You cannot manage the communications that you receive from us or how you receive them.,ನೀವು ನಮ್ಮಿಂದ ಪಡೆಯುವ ಸಂವಹನವನ್ನು ಅಥವಾ ಅವುಗಳನ್ನು ಪಡೆಯುವ ರೀತಿಯನ್ನು ನಿರ್ವಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.,We cannot control the communications you receive from us or the way you receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. ಕಾನೂನು, ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಗಳು ಮತ್ತು ಇತರ ಸೇವಾ ನಿಯಮಗಳ ಅನುಸರಣೆ","XIII. compliance with the law, third party rights and other terms of service."
"repeated infection, and inadequate psychosocial stimulation","ಆಗಾಗ್ಗೆ ಬರುವ ಸೋಂಕುಗಳು, ಮತ್ತು ಕಡಿಮೆ ಮಾನಸಿಕ ಸಾಮಾಜಿಕ ಪ್ರಚೋದನೆ","Frequent infections, and less psychosocial arousal."
Beneficiary migration from one AWC to another AWC,ಒಂದು ಎಡಬ್ಲ್ಯೂಸಿ ಯಿಂದ ಮತ್ತೊಂದು ಎಡಬ್ಲ್ಯೂಸಿ ಗೆ ಫಲಾನುಭವಿಗಳ ವಲಸೆ,The migration of beneficiaries from one WCC to another WCC.
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","ಪೋಷಣ್ ಅಭ್ಯಾನ್ ನ ಅಡಿಯಲ್ಲಿ ಐ. ಸಿ. ಟಿ ವೇದಿಕೆ ಮೇಲೆ ತರಬೇತಿ(೦೨, ಫ಼ೆಬ್ರವರಿ,೨೦೨೧)",Training on the ICT platform under the aegis of the Pashan Abhan (February 2021)
You may browse the Site without registering for an account.,ಖಾತೆಗಾಗಿ ನೋಂದಾಯಿಸದೆಯೇ ನೀವು ಸೈಟ್ ಅನ್ನು ಬ್ರೌಸ್ ಮಾಡಬಹುದು.,You can browse the site without registering for a KKK account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","ಸೈಟ್ ಒದಗಿಸಿದ ಕೆಲವು ವೈಶಿಷ್ಟ್ಯಗಳು ಅಥವಾ ಸೇವೆಗಳನ್ನು ಬಳಸಲು ನೀವು ಬಯಸಿದರೆ, ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯೊಂದಿಗೆ ಖಾತೆಗಾಗಿ ನೀವು ನೋಂದಾಯಿಸಿಕೊಳ್ಳಬೇಕು.","If you want to use some of the features or services provided by the site, you must register for an account with your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯ ಮತ್ತು ಈ ಈವೆಂಟ್ಗಾಗಿ ರಚಿಸಿರುವ ನೋಂದಣಿ ವಿವರಗಳ ಗೌಪ್ಯತೆಯನ್ನು ಕಾಯ್ದುಕೊಳ್ಳಲು ಮತ್ತು ಈ ಮಾಹಿತಿಯನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಇರಿಸಿಕೊಳ್ಳಲು ವಿಫಲವಾಗುವುದರಿಂದ ಉದ್ಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಚಟುವಟಿಕೆಗಳಿಗೆ ನೀವೇ ಹೊಣೆಗಾರರಾಗಿರುತ್ತೀರಿ.,You are responsible for all activities that may arise from the failure to keep your personal information and registration details created for this event confidential and to keep this information safe.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,ನಿಮ್ಮ ನೋಂದಣಿ ಅಥವಾ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಗೌಪ್ಯವಾಗಿ ಇರಿಸಲಾಗುತ್ತದೆನೀವು ಕೆಳಕಂಡ ವ್ಯಾಖ್ಯಾನಗಳಿಗೆ ಭರವಸೆ ನೀಡುತ್ತಿರಿಃನಿಮ್ಮ ಖಾತೆಯ ಮೂಲಕ ಇನ್ನೊಬ್ಬರ ದಾಖಲೆಗಳನ್ನು ರಚಿಸಲು ಸಂಬಂಧಿಸಿದ ವ್ಯಕ್ತಿಗಳಿಂದ ನೀವು ಒಪ್ಪಿಗೆಯನ್ನು ಪಡೆದಿದ್ದೀರಿ.,Your registration or mobile number is kept confidential.You promise the following definitions:You have obtained consent from the parties involved to create someone else's records through your account.
