eng,pa,translation_text
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",ਧਾਰਾ 1 ਦੇ ਤਹਿਤ ਇਕੱਤਰ ਕੀਤੀ ਗਈ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਸਿਹਤ ਦੀ ਸਹੂਲਤ ਦੇ ਉਦੇਸ ਲਈ ਕੀਤੀ ਜਾਵੇਗੀ।,eng artikel 1pdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpdpd
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","ਅਸੀਂ ਆਪਣੇ ਉਤਪਾਦ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਸਿਸਟਮ ਦੀ ਜਾਣਕਾਰੀ/ਅੰਕੜੇ/ ਸਮੱਗਰੀ ਅਤੇ ਸਮੱਗਰੀ ਨੂੰ ਅੱਪਡੇਟ ਕਰਨਾ, ਸੁਰੱਖਿਅਤ ਕਰਨਾ ਅਤੇ ਸਮੱਸਿਆ ਦਾ ਨਿਪਟਾਰਾ ਕਰਨਾ ਸਾਮਲ ਹੈ, ਨਾਲ ਹੀ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵੀ ਸਾਮਲ ਹੈ।"," We provide our products, which include updating, securing, and troubleshooting system information/statistics/content and content, as well as providing support."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","ਜਦੋਂ ਤੁਸੀਂ ਪੋਸਣ ਟਰੈਕਰ 'ਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਹੋ, ਤਾਂ ਉਹ ਮੋਬਾਈਲ ਨੰਬਰ ਜਿਸ ਨਾਲ ਤੁਸੀਂ ਰਜਿਸਟਰ ਕੀਤਾ ਸੀ, ਡੇਟਾਬੇਸ ਤੋਂ ਤੁਹਾਡੇ ਰਿਕਾਰਡ ਨੂੰ ਲੱਭਣ ਲਈ ਵਰਤਿਆ ਜਾਵੇਗਾ।","/FoodTracker: When you register on NutritionTracker, the mobile number you registered with will be used to find your records from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,ਇਹਨਾਂ ਦੀ ਵਰਤੋਂ ਸਿਹਤ ਸਥਿਤੀ ਦਾ ਮੁਲਾਂਕਣ ਕਰਨ ਲਈ ਵੀ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ਜਿਵੇਂ ਕਿ ਪੋਸਣ ਟਰੈਕਰ ਪ੍ਰਣਾਲੀ ਵਿੱਚ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ।,eng.org/wiki/Protection Tracker/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System/Protection Tracker System) They can also be used to assess a health status as recorded in the nutrition tracker system.
Training on ICT Platform under POSHAN Abhiyaan,ਪੋਸਣ ਅਭਿਆਨ ਤਹਿਤ ਆਈਸੀਟੀ ਪਲੇਟਫਾਰਮ 'ਤੇ ਸਿਖਲਾਈ, Training on the ICT platform under the Nutrition Campaign
"Know more about stunting, wasting and underweight","ਵਾਧਾ ਰੁਕਣਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਵਜਨ ਬਾਰੇ ਹੋਰ ਜਾਣੋ","eng learn more about growth stops, weakness, and low weight"
What information to be added in AWC forms?,ਏਡਬਲਯੂਸੀ ਦੇ ਰੂਪਾਂ ਵਿਚ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਸਾਮਲ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ?, What information should be summed up in forms of the APAWC?
How to revive your health if you are Moderately Wasted (MAM),ਜੇ ਤੁਸੀਂ ਮੱਧਮ ਤੌਰ 'ਤੇ ਦੁਰਬਲ ਹੋ (ਐਮਏਐਮ) ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ," ""If you are moderately weak (MAM) then how to fix your health"""
AWC Workers Registered In Last 30 Days,ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਏਡਬਲਯੂਸੀ ਵਰਕਰ ਰਜਿਸਟਰਡ, Worker registered for the last 30 days
Click on above button to get this App,ਇਸ ਐਪ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਉਪਰੋਕਤ ਬਟਨ ਤੇ ਕਲਿਕ ਕਰੋ,"eng.exe - To access this app, click on the button above."
Beneficiaries Registered In Last 30 Days,ਲਾਭਪਾਤਰੀਆਂ ਨੇ ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਰਜਿਸਟਰ ਕੀਤਾ,engekapfafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafafa
Specifications of Smart phone and Technical Compatibility Testing,ਸਮਾਰਟ ਫੋਨ ਅਤੇ ਤਕਨੀਕੀ ਅਨੁਕੂਲਤਾ ਟੈਸਟਿੰਗ ਦੀਆਂ ਵਿਸੇਸਤਾਵਾਂ,eng smartphone and technical compatibility testing specifications.
Preparation During Pregnancy - For NewBorn Care & Family Planning,ਗਰਭ ਅਵਸਥਾ ਦੌਰਾਨ ਤਿਆਰੀ - ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਦੀ ਦੇਖਭਾਲ ਅਤੇ ਪਰਿਵਾਰ ਨਿਯੋਜਨ ਲਈ,engon-to-gravidity preparation - for the care of newborn babies and family planning.
Stunting is the impaired growth and development that children experience from poor nutrition,ਅਵਿਕਸਿਤਤਾ ਇੱਕ ਅਸਮਰਥ ਵਾਧਾ ਅਤੇ ਵਿਕਾਸ ਹੈ ਜੋ ਬੱਚਿਆਂ ਨੂੰ ਮਾੜੇ ਪੋਸਣ ਕਾਰਨ ਹੁੰਦਾ ਹੈ,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Children in the age group of 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚੇ,eng.org - Kids aged 3 years to 6 years old
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?,engekapitalpaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapa
Who are the target userbase of Poshan Tracker App?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਦੇ ਟਾਰਗੇਟ ਯੂਜਰਬੇਸ ਕੌਣ ਹਨ?, Who are the target userbase of NutritionTracker?
"It often indicates recent and severe weight loss, although it can also persist for a long time","ਇਹ ਅਕਸਰ ਤਾਜਾ ਅਤੇ ਗੰਭੀਰ ਭਾਰ ਘਟਾਉਣ ਦਾ ਸੰਕੇਤ ਦਿੰਦਾ ਹੈ, ਹਾਲਾਂਕਿ ਇਹ ਲੰਬੇ ਸਮੇਂ ਲਈ ਵੀ ਜਾਰੀ ਰਹਿ ਸਕਦਾ ਹੈ"," This often indicates fresh and severe weight loss, although it may continue for a long time."
What is the minimum requirement to install Poshan Tracker App in mobile?,ਮੋਬਾਈਲ ਵਿੱਚ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਨੂੰ ਸਥਾਪਤ ਕਰਨ ਲਈ ਘੱਟੋ ਘੱਟ ਲੋੜ ਕੀ ਹੈ?, What is the minimum requirement to install NutritionTracker in Mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ਤੁਸੀਂ ਸਿਰਫ ਦਸਤਾਵੇਜ ਵਿੱਚ ਵਰਣਨ ਕੀਤੇ ਸਾਧਨਾਂ ਦੁਆਰਾ ਸਾਈਟ ਤੇ ਪ੍ਰਵੇਸ (ਜਾਂ ਐਕਸੈਸ ਕਰਨ ਦੀ ਕੋਸਿਸ) ਕਰੋਗੇ ਅਤੇ ਇਸ ਸਮਝੌਤੇ ਦੇ ਨਿਯਮਾਂ ਅਤੇ ਸਰਤਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋਗੇ।, You will only access (or attempt to access) the site through the means described in the document and will comply with the terms and conditions of this agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","ਤੁਸੀਂ ਸਾਰੇ ਕੇਂਦਰੀ ਅਤੇ ਰਾਜ ਦੇ ਕਾਨੂੰਨਾਂ, ਨਿਯਮਾਂ ਅਤੇ ਵਿਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋਗੇ ਜੋ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਦੁਆਰਾ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਤੇ ਲਾਗੂ ਹੁੰਦੇ ਹਨ ਅਤੇ ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰ ਸਕਦੇ ਹਨ।"," You will comply with all federal and state laws, regulations and regulations that apply to you and your use of the site and may affect the rights of any third party."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker., You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,"eng, in or by downloading the 'Pospahan Tracker' App from the Google Play Store."
Clarification regarding Cost of Smart phones,ਸਮਾਰਟ ਫੋਨਾਂ ਦੀ ਲਾਗਤ ਬਾਰੇ ਸਪਸਟੀਕਰਨ, Clarification of the cost of smartphones
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,ਖਸਰੇ ਵਾਲੀ ਵੈਕਸੀਨ (ਐਮਸੀਵੀ)/ਖਸਰਾ ਅਤੇ ਰੁਬੈਲਾ (ਐਮਆਰ)-1ਜਾਪਾਨੀ ਇਨਸੇਫਲਾਈਟਿਸ (ਜੇਈ)-1**ਪੀਸੀਵੀ -ਬੂਸਟਰ,eng vaksen (mcv) /khasra and rubella (mr)-1 japans encephalitis (je)-1**pcv-booster
Mobile number need to be validated within a week,ਮੋਬਾਇਲ ਨੰਬਰ ਦਾ ਹਫਤੇ ਵਿੱਚ ਵੈਧ ਕਰਾਉਣ ਦੀ ਲੋੜ ਹੈ, The mobile number must be validated within a week.
Currently a beneficiary can register by the help of an AWW,ਵਰਤਮਾਨ ਵਿੱਚ ਇੱਕ ਲਾਭਪਾਤਰੀ ਆਂਗਨਵਾੜੀ ਵਰਕਰ ਦੀ ਮਦਦ ਨਾਲ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ,engalengan bisa mendaftar dengan bantuan pekerja anggunwadi
Awareness for Lactating Mother Complimentary Feeding for Children,ਬੱਚਿਆਂ ਲਈ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਦੇ ਪੂਰਕ ਆਹਾਰ ਲਈ ਜਾਗਰੂਕਤਾ, Awareness of breastfeeding supplements for infants
New Poshan Tracker App - CSC-SPV Nodal Person,ਨਵੀਂ ਪੋਸਨ ਟਰੈਕਰ ਐਪ - ਸੀਐਸਸੀ-ਸੀਪੀਵੀ ਨੋਡਲ ਵਿਅਕਤੀ,eng new pose tracker app - csc-cpa cpv nodal person
1.1. Information you provide to us.,1.1. ਜਾਣਕਾਰੀ ਜੋ ਤੁਸੀਂ ਸਾਨੂੰ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹੋ।,eng.1.1pa.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.info.
How can one access Poshan Tracker Dashboard?,ਇੱਕ ਪੋਸਣ ਟ੍ਰੈਕਰ ਡੈਸਬੋਰਡ ਤੱਕ ਕਿਵੇਂ ਪਹੁੰਚ ਸਕਦਾ ਹੈ?, How does a nutrition tracker access the dashboard?
Prevention of Anemia in children and adolescents girls,ਬੱਚਿਆਂ ਅਤੇ ਕਿਸੋਰ ਲੜਕੀਆਂ ਵਿੱਚ ਅਨੀਮੀਆ ਦੀ ਰੋਕਥਾਮ,eng anak-anak dan anak-anak perempuan yang kurang anemia
Gangarampur Addl. I. C. D. S Project,ਗੰਗਾਰਾਮਪੁਰ ਏਡੀਡੀਐਲ.ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ,engrampur addl.icds project
Can a beneficiary register directly using application.,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਐਪਲੀਕੇਸਨ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਸਿੱਧਾ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ।,engekerjaan bisa langsung daftar pake aplikasi apa?
Weight should be between 0.90 to 58,ਭਾਰ 0.90 ਤੋਂ 58 ਦੇ ਵਿਚਕਾਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ, The weightpa should be between 0.90 and 58.
We own the intellectual property rights in the Site and Content.,ਸਾਡੇ ਕੋਲ ਸਾਈਟ ਅਤੇ ਸਮੱਗਰੀ ਵਿੱਚ ਬੌਧਿਕ ਸੰਪੱਤੀ ਦੇ ਅਧਿਕਾਰ ਹਨ।, We have intellectual property rights in the site and its contents.
We may change the Content and features of the Site at any time.,ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਸਾਈਟ ਦੀ ਸਮੱਗਰੀ ਅਤੇ ਵਿਸੇਸਤਾਵਾਂ ਨੂੰ ਬਦਲ ਸਕਦੇ ਹਾਂ।, We may change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","ਸਾਈਟ 'ਤੇ ਪ੍ਰਦਰਸਿਤ ਰਜਿਸਟਰਡ ਅਤੇ ਗੈਰ-ਰਜਿਸਟਰਡ ਟ੍ਰੇਡਮਾਰਕ, ਲੋਗੋ, ਅਤੇ ਸਰਵਿਸ ਮਾਰਕ ਸਾਡੀ ਜਾਂ ਸਾਡੇ ਲਾਇਸੈਂਸ ਦੇਣ ਵਾਲਿਆਂ ਦੀ ਮਲਕੀਅਤ ਹਨ।"," The registered and unregistered trademarks, logos, and service marks displayed on the site are the property of us or our licensors."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","ਤੁਸੀਂ ਸਾਡੀ ਪੂਰਵ ਲਿਖਤੀ ਇਜਾਜਤ ਤੋਂ ਬਿਨਾਂ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਸਾਡੇ ਟ੍ਰੇਡਮਾਰਕ, ਲੋਗੋ ਅਤੇ ਸੇਵਾ ਚਿੰਨ੍ਹ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ।"," You cannot use our trademarks, logos and service marks in any way without our prior written permission."
Material featured on this website may be reproduced free of charge.,ਇਸ ਵੈੱਬਸਾਈਟ 'ਤੇ ਦਿਖਾਈ ਗਈ ਸਮੱਗਰੀ ਨੂੰ ਮੁਫਤ ਵਿੱਚ ਦੁਬਾਰਾ ਤਿਆਰ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।, The content shown on this website can be reproduced for free.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","ਜਿੱਥੇ ਵੀ ਸਮੱਗਰੀ ਪ੍ਰਕਾਸਿਤ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ ਜਾਂ ਦੂਜਿਆਂ ਨੂੰ ਜਾਰੀ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ, ਸਰੋਤ ਨੂੰ ਪ੍ਰਮੁੱਖਤਾ ਨਾਲ ਸਵੀਕਾਰ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।","eng, wherever the material is published or released to others, the source must be accepted with priority."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","ਹਾਲਾਂਕਿ, ਇਸ ਸਮੱਗਰੀ ਨੂੰ ਦੁਬਾਰਾ ਤਿਆਰ ਕਰਨ ਦੀ ਇਜਾਜਤ ਕਿਸੇ ਵੀ ਅਜਿਹੀ ਸਮੱਗਰੀ ਤੱਕ ਨਹੀਂ ਵਧਾਈ ਜਾਵੇਗੀ ਜਿਸਦੀ ਪਛਾਣ ਕਿਸੇ ਤੀਜੀ ਧਿਰ ਦੇ ਕਾਪੀਰਾਈਟ ਵਜੋਂ ਕੀਤੀ ਗਈ ਹੈ।","eng, izin untuk memproduksi kembali konten ini tidak akan diperpanjang ke konten yang telah diidentifikasi sebagai hak cipta pihak ketiga."
MPIN can be easily reset by any AWW/AWC user.,ਐਮਪੀਆਈਐਨ ਕਿਸੇ ਵੀ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਉਪਭੋਗਤਾ ਦੁਆਰਾ ਅਸਾਨੀ ਨਾਲ ਰੀਸੈਟ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।, The MPIN can be easily reset by any AWS/AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","ਤੁਹਾਨੂੰ ਭੁੱਲ ਗਏ ਐਮਪੀਆਈਐਨ ਤੇ ਕਲਿਕ ਕਰਨ ਦੀ ਜਰੂਰਤ ਹੈ, ਅਤੇ ਆਪਣਾ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ।"," You need to click on the forgotten MPIN, and enter your registered mobile number."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,ਤੁਸੀਂ ਆਪਣੇ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਤੁਸੀਂ ਆਪਣੀ ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਰ ਸਕਦੇ ਹੋ।, You will receive an OTP and you will receive an OTP on your registered mobile number and you can reset your MPIN.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,ਪੋਸਣ ਟਰੈਕਰ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਯਤਨਾਂ ਦੇ ਪ੍ਰਤੀਬਿੰਬ ਦੇ ਨਾਲ ਕੁਸਲ ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਇੱਕ ਨੌਕਰੀ-ਸਹਾਇਤਾ ਹੈ।,engpa nutrition tracker is a job-assist to provide angwanwadi workers with skills services with a reflection of their efforts.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,ਇਹ ਪੋਸਣ ਅਭਿਆਨ ਦੇ ਤਹਿਤ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਅਤੇ ਲਾਭਪਾਤਰੀ-ਕੇਂਦ੍ਰਿਤ ਸੇਵਾ ਡਿਲੀਵਰੀ ਐਪਲੀਕੇਸਨ ਹੈ ਜੋ ਵਿਸਲੇਸਣ ਦੇ ਨਾਲ ਅਸਲ ਸਮੇਂ ਦੇ ਡੇਟਾ ਨੂੰ ਉਤਸਾਹਿਤ ਕਰੇਗੀ।,eng.it is an important and beneficiary-centric service delivery application under the Nutrition Campaign that will promote real-time data with analysis.
Please enter valid Date of Birth,ਕਿਰਪਾ ਕਰਕੇ ਉਚਿਤ ਜਨਮ ਮਿਤੀ ਦਰਜ ਕਰੋ, Please enter the appropriate date of birth.
Who is eligible for additional supplementary food?,ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,eng.org Siapa yang layak untuk makanan tambahan?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨੂੰ ਬਦਲਣ, ਸੰਸੋਧਿਤ ਕਰਨ, ਜੋੜਨ ਜਾਂ ਹਟਾਉਣ ਦਾ ਬਿਨਾਂ ਸਰਤ, ਖਾਸ ਤੌਰ 'ਤੇ ਤੁਹਾਨੂੰ ਅਜਿਹੀਆਂ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਸੂਚਿਤ ਕੀਤੇ ਬਿਨਾਂ, ਅਧਿਕਾਰ ਰਾਖਵਾਂ ਰੱਖਦੇ ਹਾਂ।"," We reserve the right to alter, amend, add or remove any part of these Terms at any time without prejudice to any provision of this Agreement, and in particular without notice to you of any such changes."
Any changes or updates will be effective immediately.,ਕੋਈ ਵੀ ਬਦਲਾਅ ਜਾਂ ਅੱਪਡੇਟ ਤੁਰੰਤ ਪ੍ਰਭਾਵੀ ਹੋਣਗੇ।, Any changes or updates will be effective immediately.
You take the responsibility to check these Terms of Use periodically for changes.,ਤੁਸੀਂ ਤਬਦੀਲੀਆਂ ਲਈ ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਵਰਤੋਂ ਦੀਆਂ ਇਨ੍ਹਾਂ ਸਰਤਾਂ ਦੀ ਜਾਂਚ ਕਰਨ ਦੀ ਜਿੰਮੇਵਾਰੀ ਲੈਂਦੇ ਹੋ।, You are responsible for checking these usage standards from time to time for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,ਅਜਿਹੇ ਸੰਸੋਧਨ ਤੋਂ ਬਾਅਦ ਪਲੇਟਫਾਰਮ ਦੀ ਤੁਹਾਡੀ ਨਿਰੰਤਰ ਵਰਤੋਂ ਸੋਧੀਆਂ ਸਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰੇਗੀ।," Upon such revision, your continued use of the platform will accept the modified standards."
How many different types of reports can be generated over Poshan Tracker Dashboard?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਡੈਸਬੋਰਡ ਤੇ ਕਿੰਨੀਆਂ ਵੱਖਰੀਆਂ ਕਿਸਮਾਂ ਦੀਆਂ ਰਿਪੋਰਟਾਂ ਤਿਆਰ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ?," On the nutrition tracker dashboard, how many different types of reports can be generated?"
How to revive your health if you are Severely Wasted (SAM),ਜੇ ਤੁਸੀਂ ਗੰਭੀਰ ਤੌਰ 'ਤੇ ਦੁਰਬਲ ਹੋ ਗਏ ਹੋ (ਐਸਏਐਮ) ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ," ""If you've become severely debilitated (SAM) then how to heal your health"""
"See assessment charts for Stunted, Wasted and Underweight parameters","ਵਾਧਾ ਰੁਕਣਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਵਜਨ ਮਾਪਦੰਡਾ ਲਈ ਮੁਲਾਂਕਣ ਚਾਰਟ ਦੇਖੋ","eng, kerosene, dan low weight parameter lihat chart evaluasi"
Resources for growth monitoring and general awareness,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਅਤੇ ਆਮ ਜਾਗਰੂਕਤਾ ਲਈ ਸ੍ਰੋਤ,eng.co.uk - Resource for development monitoring and general awareness
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਇੱਕ ਖਾਸ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਵਿੱਚ ਮੌਜੂਦ ਬੁਨਿਆਦੀ ਢਾਂਚੇ ਨਾਲ ਸਬੰਧਤ ਵੇਰਵੇ ਦਰਜ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।,/WWW is required to enter details relating to the infrastructure present in a particular Anganpawari Centre.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ਇਸ ਵਿੱਚ ਢਾਂਚਾ , ਮੁੱਢਲੀਆਂ ਸਹੂਲਤਾਂ, ਸਹੂਲਤਾਂ, ਰੋਗਾਣੂ-ਮੁਕਤ, ਪੀਣ ਵਾਲੇ ਪਾਣੀ ਆਦਿ ਸਾਮਲ ਹਨ।","eng, infrastruktur, fasilitas dasar, fasilitas, desinfectant, air to drink, etc."
Lactating mothers who received Take Home Ration (THR),ਦੁੱਧ ਪਿਲਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਜਿਨ੍ਹਾਂ ਨੂੰ 'ਰਾਸਨ ਘਰ ਲਿਜਾਉ' (THR) ਮਿਲਿਆ ਹੈ,eng moms who have received a 'raison take home' (THR)
