eng,ml,mBART600M
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",നിങ്ങളുടെ അക്കൌണ്ട് മറ്റൊരാളുടെ അവകാശങ്ങൾ ലംഘിക്കുകയോ ഞങ്ങളുടെ നയങ്ങൾ ലംഘിക്കുകയോ ചെയ്യുന്നതായി ഞങ്ങൾക്ക് പരാതി ലഭിച്ചാൽ ഞങ്ങൾ നിങ്ങളുടെ അക്കൌണ്ട് റദ്ദാക്കുകയോ ബ്ലോക്ക് ചെയ്യുകയോ ചെയ്യാം.,"If we receive a complaint that your account violates someone else's rights or violates our policies, we may cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",സൈറ്റിൽ പങ്കെടുക്കുന്നവരെ രജിസ്റ്റർ ചെയ്യുന്നതിന് ഒന്നിലധികം ഇന്റർനെറ്റ് പ്രോട്ടോക്കോൾ വിലാസങ്ങളോ മൊബൈൽ നമ്പറോ മറ്റേതെങ്കിലും മാർഗമോ ഉപയോഗിച്ച് നിങ്ങളുടെ ഐഡന്റിറ്റി മറയ്ക്കാൻ നിങ്ങൾ ശ്രമിക്കരുത്,"You should not attempt to hide your identity using multiple Internet protocol addresses, mobile numbers, or any other means to register participants on the site."
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,പോഷൻ ട്രാക്കർ ആപ്പ് 22 വ്യത്യസ്ത ഭാഷകളിൽ ലഭ്യമാണ്ലഭ്യമായ വിവിധ ഭാഷകൾ ഇവയാണ്ഃഇംഗ്ലീഷ്ഹിന്ദിഗുജറാത്തിപഞ്ചാബിമറാത്തിബംഗ്ലാകന്നഡതമിഴ്ടെലിഗുമല്യാലംഒഡിയആസാമീസ്NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"The Potion Tracker app is available in 22 different languages, the various languages are: English Hindi Gujarati Panjabmarathi Bangladesh Kannada Tamil Telugu Maryalam India Asami NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","നിർദ്ദിഷ്ട സൂചകങ്ങളിൽ എല്ലാ എഡബ്ല്യുസി, എഡബ്ല്യുഡബ്ല്യു, ഗുണഭോക്താക്കൾ എന്നിവരുടെ തത്സമയ നിരീക്ഷണവും ട്രാക്കുചെയ്യലും നിർദ്ദിഷ്ട സംവിധാനം പ്രാപ്തമാക്കണം.","The specific system should enable real-time monitoring and tracking of all AWS, AWS, and beneficiaries in specific indicators."
How to Login in Poshan Tracker App?,പോഷൻ ട്രാക്കർ അപ്ലിക്കേഷനിൽ എങ്ങനെ ലോഗിൻ ചെയ്യാം?,How to log in to the Potion Tracker app?
Height and weight of child has not been measured,കുട്ടിയുടെ ഭാരവും ഉയരവും അളന്നിട്ടില്ല,The child's weight and height were not measured.
TAKE HOME RATION (THR) GIVEN TODAY,ഇന്ന് നൽകിയിരിക്കുന്ന ഹോം റേഷൻ (THR) എടുക്കുക,Take the home ration (THR) provided today.
A beneficiary is eligible for THR for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് THR-ന് അർഹതയുണ്ട്.,A beneficiary is eligible for THR for at least 21 days per month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. നിബന്ധനകളിലെ ഭാവി മാറ്റങ്ങളെക്കുറിച്ചുള്ള അറിയിപ്പ്ഃ,IIIml. Notice of future changes to the terms:
Planning And Organising Community Based Events At AWC,AWC-യിൽ കമ്മ്യൂണിറ്റി അടിസ്ഥാനമാക്കിയുള്ള ഇവന്റുകൾ ആസൂത്രണം ചെയ്യുകയും സംഘടിപ്പിക്കുകയും ചെയ്യുന്നു,"At AWC, MLM plans and organizes community-based events."
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1-ml Click on the Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2-ml Enter your registered Mobile Number and pre-set the 4-digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,മൊബൈൽ നമ്പറുകൾ വഴി രജിസ്റ്റർ ചെയ്യാൻ കഴിയുന്നില്ലെങ്കിൽ എഒപ്പംഒപ്പംS അപ്ലിക്കേഷനിൽ എങ്ങനെ സൈൻ അപ്പ് ചെയ്യാൻ കഴിയും?,"If you can't register via mobile numbers, how can you sign up for the AandandS application?"
Poshan Tracker adds new Reports feature,പോഷൺപുതിയ റിപ്പോർട്ട് ഫീച്ചറുകൾ ചേർക്കുന്നു,The new reporting features are being added to the.ml.
General Awareness about preventing illness in Children,കുട്ടികളിലെ രോഗങ്ങളെ പ്രതിരോധിക്കുന്നതിനുള്ള പൊതു അവബോധം,Awareness of the public's need to protect against diseases in children.
2. HOW WE USE PERSONAL INFORMATION,2. ഞങ്ങൾ എങ്ങനെയാണ് വ്യക്തിഗത വിവരങ്ങൾ ഉപയോഗിക്കുന്നത്,2.ml How we use personal information.
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","In, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,നിങ്ങളുടെ മൊബൈൽ നമ്പറും ടിക്കറ്റ് നമ്പറും നൽകുക.,Please enter your mobile number and ticket number.
Please contact your respective Anganwadi worker.,ദയവായി നിങ്ങളുടെ അംഗൻവാടി വർക്കറുമായി ബന്ധപ്പെടുക.,Please contact your Anganwadi worker.
SAM Children under 5 years who received Supplementary Nutrition,SAM സപ്ലിമെന്ററി പോഷകാഹാരം ലഭിച്ച 5 വയസ്സിന് താഴെയുള്ള കുട്ടികൾ,Children under 5 years of age who have received SAMml supplementary nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,ഒപിവി-1പെന്റാവാലന്റ്-1റോട്ടവൈറസ് വാക്സിൻ (RVV)-1നിഷ്ക്രിയ പോളിയോ വാക്സിൻ (എഫ്ഐപിവി) -1 ഫ്രാക്ഷണൽ ഡോസ്ന്യൂമോകോക്കൽ കൺജഗേറ്റ് വാക്സിൻ (PCV) -1,Opiv-1pentavalent-1rotovirus vaccine (RVV)-1passive poliovaccine (FIPV) -1 fractional dose of pneumococcal conjugate vaccine (PCV) -1
Height should be between 38 to 150,ഉയരം 38 നും 150 നും ഇടയിൽ ആയിരിക്കണം,The height should be between 38 and 150ml.
How to contact Poshan Tracker Team?,പോഷൻ ട്രാക്കർ ടീമിനെ എങ്ങനെ ബന്ധപ്പെടാം?,How can I contact the Potion Tracker team?
Take Home Ration (THR) Given Today,ഇന്ന് നൽകിയിരിക്കുന്ന ഹോം റേഷൻ (THR) എടുക്കുക,Take the home ration (THR) provided today.
How many different forms are there in Poshan Tracker App?,പോഷൻ ട്രാക്കർ ആപ്പിൽ എത്ര വ്യത്യസ്ത ഫോമുകൾ ഉണ്ട്?,How many different forms are there in the PotionTracker app?
There are 7 different types of forms for beneficiaries.,ഗുണഭോക്താക്കൾക്കായി 7 വ്യത്യസ്ത തരം ഫോമുകൾ ഉണ്ട്.,There are 7 different types of forms for the beneficiaries of the ml.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),ഇതിൽ ഇവ ഉൾപ്പെടുന്നുഃമുലയൂട്ടുന്ന അമ്മഗർഭിണികൾകുട്ടി 0-6 മാസംകുട്ടി 6 മാസം മുതൽ 3 വയസ്സ് വരെകുട്ടി 3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെക o മാരക്കാരായ പെൺകുട്ടികൾ (11 വയസ്സ് -19 വയസ്സ്),These include: nursing mothersGirls 0-6 monthsChildren 6 months to 3 yearsChildren 3 to 6 years of age or girls who are lactating (11-19 years of age)
Shibpur I C D S Project,ഷിബ്പൂർ I സി ഡി എസ് പ്രോജക്ട്,The Shibpur Iml CDS project is being implemented.
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",കഴിഞ്ഞ 1-3 മാസങ്ങളിൽ ഉപഭോക്താവിൻറെ വീടുകളിൽ അംഗൻവാടി പ്രവർത്തകർ സന്ദർശനം നടത്തിയിട്ടില്ല,"In the last 1-3 months, no Anganwadi workers have visited the customer's home."
Please enter Weight greater than 0.49 and less than 40.01,0.49-ൽ കൂടുതലും 40.01-ൽ താഴെയും ഭാരം നൽകുക,Weigh more than 0.49ml and less than 40.01ml.
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,or by downloading the Poshan Tracker App.
Calculator to measure the child growth based on the WHO Child Growth Standards,WHO ചൈൽഡ് ഗ്രോത്ത് സ്റ്റാൻഡേർഡ്സ് അടിസ്ഥാനമാക്കി കുട്ടികളുടെ വളർച്ച അളക്കുന്നതിനുള്ള കാൽക്കുലേറ്റർ,A calculator for measuring the growth of children based on WHO Child Growth Standards.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,പോഷൻ ട്രാക്കർ എപിപിയിൽ രജിസ്റ്റർ ചെയ്യുമ്പോൾ ഒരു അംഗൻവാടി പ്രവർത്തകൻ സജ്ജമാക്കിയ 4 അക്ക പാസ്കോഡാണ് എംപിൻ.,MPIN is a 4-digit password set by an Anganwadi activist when the position tracker registers with the APP.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","സ്മാർട്ട് ഫോണിന്റെയും സാങ്കേതിക അനുയോജ്യതാ പരിശോധനയുടെയും സവിശേഷതകൾ (02 ഫെബ്രുവരി, 2021)","The specifications of the smartphone and technical compatibility test (February 02, 2021)"
Request for child's height and weight measurement,കുട്ടിയുടെ ഭാരവും ഉയരവും അളക്കുന്നതിനുള്ള അഭ്യർത്ഥന,A request to measure the child's weight and height.
Children (6 months - 3 years),കുട്ടികൾ (6 മാസം- 3 വയസ്സ്),Children (6 months to 3 years old)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","ഞങ്ങളുടെ സൈറ്റുകൾ, ആപ്പ്, പ്ലാറ്റ്ഫോം സാങ്കേതികവിദ്യ എന്നിവയുൾപ്പെടെ ഞങ്ങളുടെ സേവനങ്ങൾ നിങ്ങൾ സന്ദർശിക്കുമ്പോഴോ ഉപയോഗിക്കുമ്പോഴോ ഞങ്ങൾ ഉപയോഗ ഡാറ്റ ലോഗ് ചെയ്യുന്നു.","We log usage data when you visit or use our services, including our sites, apps, platform technology."
"Result couldn't be fetch, please enter valid data","ഫലം ലഭ്യമാക്കാനായില്ല, ദയവായി സാധുവായ ഡാറ്റ നൽകുക","The resultml could not be obtained, please enter valid data."
Central Golaghat I. C. D. S. Project,സെൻട്രൽ ഗോലാഘട്ട് ഐ. സി. ഡി. എസ്. പ്രോജക്ട്,Central Gollaghat ICDS project is being implemented by the Central Gollaghat ICDS.
