eng,te
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","ఇటువంటి బలమైన డిజిటల్ టెక్నాలజీ ప్లాట్ఫాం మరియు మేనేజ్మెంట్ ఇన్ఫర్మేషన్ సిస్టమ్, మిషన్ను సమర్థవంతంగా కొలవడానికి సహాయపడుతుంది, తద్వారా గణనీయమైన సానుకూల ప్రభావాన్ని ఉత్పత్తి చేస్తుంది మరియు డాక్యుమెంట్ చేస్తుంది."
Gaurela Pendra Marwahi,గౌరేలా పెంద్ర మార్వాహి
Cooch Behar I,కూచ్ బెహర్ I
Weight should be between 0.90 to 58,బరువు 0.90 నుండి 58 మధ్య ఉండాలి
Please Enter Valid Email ID,దయచేసి చెల్లుబాటు అయ్యే ఇమెయిల్ ఐడిని నమోదు చేయండి
We own the intellectual property rights in the Site and Content.,సైట్ మరియు కంటెంట్ లో మేధో సంపత్తి హక్కులను మేం స్వంతం చేసుకున్నాం.
We may change the Content and features of the Site at any time.,మేము ఏ సమయంలోనైనా సైట్ యొక్క కంటెంట్ మరియు ఫీచర్లను మార్చవచ్చు.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","సైట్ పై ప్రదర్శించబడే రిజిస్టర్డ్ మరియు రిజిస్టర్ కాని ట్రేడ్ మార్క్ లు, లోగోలు మరియు సర్వీస్ మార్క్ లు మా లేదా మా లైసెన్సర్ ల స్వంతం."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","మా ముందస్తు రాతపూర్వక అనుమతి లేకుండా మీరు మా ట్రేడ్ మార్క్ లు, లోగోలు మరియు సర్వీస్ మార్క్ లను ఏవిధంగానూ ఉపయోగించరాదు."
Material featured on this website may be reproduced free of charge.,ఈ వెబ్ సైట్ లో ఫీచర్ చేయబడ్డ మెటీరియల్ ని ఉచితంగా పునరుత్పత్తి చేయవచ్చు.
"However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","అయితే, సైట్ యొక్క ఏ భాగం మరియు ఏ కంటెంట్ కూడా కాపీ చేయబడదు, తిరిగి ప్రచురించబడదు, పునరుత్పత్తి చేయబడదు, అప్ లోడ్ చేయబడదు, పోస్ట్ చేయబడదు, బహిరంగంగా ప్రదర్శించబడదు, ఎన్ కోడ్ చేయబడదు, అనువదించబడదు, ప్రసారం చేయబడదు లేదా ఏదైనా ఇతర కంప్యూటర్, సర్వర్, వెబ్ సైట్ లేదా ప్రచురణ కొరకు ఏదైనా ఇతర మాధ్యమానికి అభ్యంతరకరమైన రీతిలో లేదా తప్పుదారి పట్టించే సందర్భంలో పంపిణీ చేయబడదు."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","మీరు (1) అటువంటి సమాచారాన్ని మీ వ్యక్తిగత, వాణిజ్యేతర సమాచార ప్రయోజనం కొరకు మాత్రమే ఉపయోగిస్తారు మరియు అటువంటి సమాచారాన్ని ఏదైనా నెట్ వర్క్ చేయబడ్డ కంప్యూటర్ లో కాపీ లేదా పోస్ట్ చేయరు లేదా ఏదైనా మాధ్యమంలో ప్రసారం చేయరు, (2) అటువంటి సమాచారం మరియు అటువంటి డాక్యుమెంట్ లు మరియు కంటెంట్ కు సంబంధించిన ఏవైనా అదనపు ప్రాతినిధ్యాలు లేదా వారెంటీలకు ఎలాంటి మార్పులు చేయనట్లయితే, సైట్ లో లభ్యం అయ్యే సమాచారాన్ని మీరు ఉపయోగించవచ్చు."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","ఎక్కడైతే ఆ సమాచార౦ ప్రచురి౦చబడుతు౦దో, లేదా ఇతరులకు అ౦ది౦చబడుతు౦దో అక్కడ మూల౦ ప్రముఖ౦గా అ౦గీకరి౦చబడాలి."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","అయితే, ఈ మెటీరియల్ ని పునరుత్పత్తి చేయడానికి అనుమతి తృతీయపక్షం యొక్క కాపీరైట్ గా గుర్తించబడ్డ ఏదైనా మెటీరియల్ కు విస్తరించబడదు."
Galsi - II,గల్సి - II
MPIN can be easily reset by any AWW/AWC user.,MPIN ను ఏ AWW / AWC వినియోగదారుడైనా సులభంగా రీసెట్ చేయవచ్చు.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","మీరు forgot MPIN పై క్లిక్ చేసి, మీ నమోదిత మొబైల్ నంబర్ను నమోదు చేయవలసి ఉంటుంది."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,మీరు మీ రిజిస్టర్డ్ మొబైల్ నంబర్పై OTP పొందుతారు మరియు మీరు మీ MPIN ని సులభంగా రీసెట్ చేయవచ్చు
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,పోషణ్ ట్రాకర్ అనేది అంగన్ వాడీ వర్కర్ యొక్క ప్రయత్నాలను ప్రతిబింబించడంతో పాటుగా సేవలను సమర్థవంతంగా అందించడం కొరకు ఉద్యోగ సాయంగా పనిచేస్తుంది.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,"ఇది పోషణ్ అభియాన్ కింద ఒక క్లిష్టమైన మరియు లబ్ధి కేంద్రిత సర్వీస్ డెలివరీ అప్లికేషన్, ఇది విశ్లేషణలతో రియల్ టైమ్ డేటాను ప్రోత్సహిస్తుంది"
Shahid Bhagat Singh Nagar,షాహిద్ భగత్ సింగ్ నగర్
Matigara ICDS Project( Addl ),మటిగర ఐసిడిఎస్ ప్రాజెక్ట్ (అడిష్నల్)
Goapokher- II Addl.,గోవాపోఖేర్- II అడిష్నల్.
Sonbhadra Banshi Suryapur,సోనభద్ర బన్షి సూర్యపూర్
Please enter valid Date of Birth,దయచేసి సరైన పుట్టిన తేదీని నమోదు చేయండి
Jugijan Icds Project,జుగిజన్ ఐసిడిఎస్ ప్రాజెక్ట్
Ketugram - I,కేతుగ్రామ్ - I
How to revive your Health?,మీ ఆరోగ్యాన్ని ఎలా పునరుద్ధరించాలి?
West Garo Hills,పశ్చిమ గారో కొండలు
West Singhbhum - Jharkhand,పశ్చిమ సింభం - జార్ఖండ్
Delhi Project 2,ఢిల్లీ ప్రాజెక్ట్ 2
2.2. Communicate with you.,2.2. మిమల్ని సంప్రదించడానికి.
Who is eligible for additional supplementary food?,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు?
CHAUTH KA BARWARA,చౌత్ కా బార్వారా
Namchi Rural Project,నామ్చి రూరల్ ప్రాజెక్ట్
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","అటువంటి మార్పుల గురించి మీకు ప్రత్యేకంగా తెలియజేయకుండానే, ఏ సమయంలోనైనా ఈ నిబంధనల్లోని ఏదైనా భాగాన్ని మార్చడానికి, సవరించడానికి, జోడించడానికి లేదా తొలగించడానికి బేషరతుగా మాకు హక్కు దఖలు పడి ఉంటుంది."
Any changes or updates will be effective immediately.,ఏవైనా మార్పులు లేదా నవీకరణలు వెంటనే అమల్లోకి వస్తాయి.
You take the responsibility to check these Terms of Use periodically for changes.,మార్పుల కొరకు నియతానుసారంగా ఈ ఉపయోగ నిబంధనలను తనిఖీ చేసే బాధ్యతను మీరు తీసుకుంటారు.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,అటువంటి పునశ్చరణ తరువాత ఫ్లాట్ ఫారాన్ని మీరు నిరంతరం ఉపయోగించడం అనేది సవరించబడ్డ నిబంధనలను ఆమోదించినట్లుగా ఉంటుంది.
Project - Iii,ప్రాజెక్ట్ - Iii
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,"ఒకవేళ AWW తమను తాము నమోదు చేసుకోవడంలో విఫలమవ్వడంలో 2 అవకాశాలు ఉండవచ్చుఃMoWCD కి రాష్ట్రాలు అందించిన డేటాలో వారి మొబైల్ నంబర్ ఉండకపోవచ్చు.వారు సిస్టమ్కు కొత్తగా జోడించబడ్డారు మరియు వారి మొబైల్ నంబర్ను రాష్ట్ర సెల్ ద్వారా MoWCD కి ఇంకా అందలేదు.పైన పేర్కొన్న రెండు సందర్భాల్లో, AWW లో దేనినైనా జోడించడానికి / సవరించడానికి / సక్రియం చేయడానికి / నిష్క్రియం చేయడానికి రాష్ట్ర నోడల్ అధికారులకు అధికారం ఉంది."
Bilkhawthlir Icds Project,బిల్ఖౌత్లిర్ ఐసిడిఎస్ ప్రాజెక్ట్
No Record to Show,చూపించడానికి రికార్డ్ లేదు
Kailashahar District H.,కైలాషహర్ జిల్లా ప్ర.
Q,కార్యాలయం
How many different types of reports can be generated over Poshan Tracker Dashboard?,పోషన్ ట్రాకర్ డాష్బోర్డ్ ద్వారా ఎన్ని రకాల నివేదికలను రూపొందించవచ్చు?
WHO standards are,డబ్ల్యూహెచ్ వో ప్రమాణాలు
Murarai-II ICDS Project,మురారై-II ఐసిడిఎస్ ప్రాజెక్ట్
South East Delhi,ఆగ్నేయ ఢిల్లీ
Ashoknagar- Kalyangarh (U),అశోక్నగర్- కళ్యాణ్గఢ్ (యు)
How to revive your health if you are Severely Wasted (SAM),ఒకవేళ మీరు తీవ్రంగా వెస్టెడ్ అయినట్లయితే మీ ఆరోగ్యాన్ని ఏవిధంగా పునరుద్ధరించాలి (SAM)
Baba Belkhar Nath Dham,బాబా బెల్కర్ నాథ్ ధామ్
Firozabad City 2,ఫిరోజాబాద్ సిటీ 2
What is Poshan Calculator,పోషణ్ కాలిక్యులేటర్ అంటే ఏమిటి
Binpur - I,బిన్పూర్ - I
Ldh Urban 2,లుథియానా అర్బన్ 2
"See assessment charts for Stunted, Wasted and Underweight parameters","స్టంటెడ్, వేస్ట్డ్ మరియు అండర్ వెయిట్ పరామీటర్ల కొరకు అసెస్ మెంట్ ఛార్టులను చూడండి"
Visit state page,రాష్ట్ర పేజీని సందర్శించండి
Best performing districts,అత్యుత్తమ పనితీరు కనబరిచే జిల్లాలు
Sandeshkhali - I,సందేశఖలి - I
Resources for growth monitoring and general awareness,వృద్ధి పర్యవేక్షణ మరియు సాధారణ అవగాహన కోసం వనరులు
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ఒక నిర్దిష్ట అంగన్వాడీ కేంద్రంలో ఉన్న మౌలిక సదుపాయాలకు సంబంధించిన వివరాలను AWW నమోదు చేయాలి.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ఇందులో నిర్మాణం, ప్రాథమిక సౌకర్యాలు, సౌకర్యాలు, పారిశుధ్యం, తాగునీరు మొదలైనవి ఉన్నాయి."
Lactating mothers who received Take Home Ration (THR),టేక్ హోమ్ రేషన్ (THR) అందుకున్న పాలిచ్చే తల్లులు
Balurghat (U),బాలూర్ఘాట్ (యు)
Last updated on,చివరిగా అప్ డేట్ చేయబడింది
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","అటువంటి మార్పుల గురించి మీకు ప్రత్యేకంగా తెలియజేయకుండానే, ఏ సమయంలోనైనా ఈ గోప్యతా విధానంలోని ఏదైనా భాగాన్ని మార్చడానికి, సవరించడానికి, జోడించడానికి లేదా తొలగించడానికి పోషణ్ ట్రాకర్ కు బేషరతుగా హక్కు ఉంటుంది."
Any changes or updates will be effective immediately.,ఏవైనా మార్పులు లేదా నవీకరణలు వెంటనే అమల్లోకి వస్తాయి.
You should review this Privacy Policy regularly for changes.,మార్పుల కోసం మీరు ఈ గోప్యతా విధానాన్ని క్రమం తప్పకుండా సమీక్షించాలి.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.",సిస్టమ్ పై నోటీస్ ద్వారా వంటి ఈ గోప్యతా విధానానికి ఏవైనా భౌతిక మార్పుల గురించి సాధారణంగా యూజర్ లందరికీ తెలియజేయడానికి మేము వాణిజ్యపరంగా సహేతుకమైన ప్రయత్నాలను ఉపయోగిస్తాము.
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","అయితే, సిస్టమ్ యొక్క వినియోగదారుగా, ఏవైనా మార్పుల కొరకు మీరు గోప్యతా విధానాన్ని క్రమం తప్పకుండా తనిఖీ చేయాలి."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","మేము ఈ గోప్యతా విధానం యొక్క ఎగువన ""చివరిగా నవీకరించబడిన"" తేదీని కూడా అప్ డేట్ చేస్తాము, ఇది ఈ గోప్యతా విధానం యొక్క ప్రభావవంతమైన తేదీని ప్రతిబింబిస్తుంది."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,కొత్త గోప్యతా విధానం తేదీ తరువాత సిస్టమ్ యొక్క మీ నిరంతర ప్రాప్యత లేదా ఉపయోగం కొత్త గోప్యతా విధానాన్ని మీరు ఆమోదించడాన్ని తెలియజేస్తుంది.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","మీరు కొత్త గోప్యతా విధానానికి అంగీకరించకపోతే, మీరు సిస్టమ్ ని యాక్సెస్ చేసుకోవడం మరియు/లేదా ఉపయోగించడాన్ని నిలిపివేయాలి."
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","మీ సమాచారం యొక్క ఏదైనా సేకరణ, నిల్వ, ప్రాసెసింగ్ లేదా ఇతర ఉపయోగం అటువంటి సేకరణ, నిల్వ, ప్రాసెసింగ్ లేదా ఇతర ఉపయోగం సమయంలో వర్తించే గోప్యతా విధానం ద్వారా నియంత్రించబడుతుందని మీరు ఇందుమూలంగా ధృవీకరిస్తున్నారు."
JOYNAGAR-II ICDS PROJECT,జోయ్నగర్-II ఐసిడిఎస్ ప్రాజెక్ట్
What is the eligibility of a beneficiary?,లబ్ధిదారుని యొక్క అర్హత ఏమిటి?
Stunting and Underweight Growth Parameters,ఎదుగుదల లేకపోవడం మరియు తక్కువ బరువు ఎదుగుదల పారామితులు
NALHATI-I ICDS PROJECT (NGO),నల్హటి-I ఐసిడిఎస్ ప్రాజెక్ట్ (ఎన్జిఒ)
Enter Height in centimeter,ఎత్తును సెంటీమీటర్ లో ఎంటర్ చేయండి
Joynagar - I,జాయ్నగర్ - I
CDPO OFFICE BATHINDA,సిడిపిఒ ఆఫీస్ బటిండా
Severely Wasted (SAM),తీవ్రంగా వృథా (SAM)
"No, Poshan Tracker is available only for Android version",ఆండ్రాయిడ్ వెర్షన్ కోసం మాత్రమే పోషన్ ట్రాకర్ అందుబాటులో ఉంది.
Harishchandrapur - I,హరిశ్చంద్రపూర్ - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. నష్టపరిహారం మరియు బాధ్యత యొక్క పరిమితి
2.1. Deliver our services.,2.1. మా సేవలను అందించండి.
Growth monitoring report for all health indicators,అన్ని ఆరోగ్య సూచికల కోసం వృద్ధి పర్యవేక్షణ నివేదిక
Take Home Ration (THR) given in last 30 days,గత 30 రోజుల్లో ఇవ్వబడ్డ ఇంటి రేషన్(టిహెచ్ ఆర్)
Please select District,దయచేసి జిల్లా ఎంచుకోండి
District’s Quarterly Performance,జిల్లా యొక్క త్రైమాసిక పనితీరు
3.1. Tracking health progress.,3.1. ఆరోగ్య పురోగతిని ట్రాక్ చేస్తుంది.
Raghunathpur - II,రఘునాథ్పూర్ - II
Kultali ICDS Project,కుల్తాలి ఐసిడిఎస్ ప్రాజెక్ట్
CDPO Worli Kandivali Urban,సిడిపిఓ వర్లి కందివలి అర్బన్
Please enter Name,దయచేసి పేరు నమోదు చేయండి
Balurghat Rural Ad,బాలూర్ఘాట్ రూరల్ అడ్
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,WHO చైల్డ్ గ్రోత్ స్టాండర్డ్స్ మీడియన్ కంటే దిగువన వారి యొక్క ఎత్తు రెండు స్టాండర్డ్ డీవియేషన్ లు కంటే ఎక్కువగా ఉన్నట్లయితే పిల్లలు ఎదుగుదల నిలిచిపోయినట్లుగా నిర్వచించబడతారు
South 24 Parganas,దక్షిణ 24 పరగణాలు
Deoghar Cum Jasidih,దేవగఢ్ కమ్ జాసిది
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,అధీకృత సంస్థలు API/నో-కోడ్ వెబ్ పేజీ ఇంటిగ్రేషన్ ద్వారా యాక్సెస్ చేసుకోగల ఏదైనా డేటాను తిరిగి పంపిణీ చేయరాదు మరియు అటువంటి మొత్తం డేటా యొక్క ఇంటిగ్రేషన్ తప్పనిసరిగా పోషణ్ ట్రాకర్ ద్వారా అందించబడే నిర్ధిష్ట సేవలకు మాత్రమే పరిమితం చేయబడుతుందని ధృవీకరించాలి.
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","ఎట్టి పరిస్థితుల్లోనూ, ప్రభుత్వం యొక్క పోషణ్ అభియాన్ లో భాగంగా సేకరించిన డేటాను, ఇక్కడ పేర్కొనబడ్డ ఉద్దేశ్యాలు కాకుండా, మరియు ప్రభుత్వం ద్వారా అనుమతించబడ్డ ఏదైనా ఇతర ప్రయోజనాల కొరకు ఒక సంస్థ ఉపయోగించరాదు."
Helping make India malnutrition free,భారతదేశపోషకాహార లోపం లేకుండా చేయడంలో సహాయపడటం
General Awareness on Module,మాడ్యూల్ పై సాధారణ అవగాహన
What is the purpose of Launching Poshan Tracker?,పోషన్ ట్రాకర్ను ప్రారంభించడం యొక్క ఉద్దేశ్యం ఏమిటి?
"As a registered user, you have the right to access your profile at any time.","రిజిస్టర్డ్ యూజర్ గా, ఏ సమయంలోనైనా మీ ప్రొఫైల్ ని యాక్సెస్ చేసుకునే హక్కు మీకు ఉంటుంది."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","అయినప్పటికీ, పోషణ్ ట్రాకర్ సిస్టమ్ ద్వారా నియతానుసారంగా సూచించిన విధంగా మాత్రమే మార్పులు చేయవచ్చు."
You cannot manage the communications that you receive from us or how you receive them.,మీరు మా నుండి స్వీకరించే కమ్యూనికేషన్ లను లేదా వాటిని మీరు ఎలా స్వీకరిస్తారో మీరు నిర్వహించలేరు.
View All FAQs,అన్ని తరచుగా అడిగే ప్రశ్నలను వీక్షించండి
Please Select Sector,దయచేసి రంగం ఎంచుకోండి
Bankura - II,బాంకురా - II
Raipur-  Karchulian,రాయ్పూర్- కార్చులియన్
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. చట్టం, తృతీయపక్ష హక్కులు మరియు ఇతర సేవా నిబంధనలతో సమ్మతి వహించడం"
"repeated infection, and inadequate psychosocial stimulation","పునరావృత సంక్రమణ, మరియు సరిలేని మానసిక ఉద్దీపన"
Oops!,అయ్యో!
Page Not Found,పేజీ కనుగొనబడలేదు
Beneficiary migration from one AWC to another AWC,ఒక AWC నుండి మరొక AWCకి లబ్ధిదారుని మార్పు
Gyalshing Rural Project,గ్యాల్షింగ్ రూరల్ ప్రాజెక్ట్
ABHA (Health ID),ABHA (హెల్త్ ఐడి)
Lohian khas,లోహియన్ ఖాస్
Durg ( R ),దుర్గ్ (ఆర్)
Bagnan - II,బగ్నాన్ - II
Lawngtlai ICDS Project,లాంగ్ట్లై ఐసిడిఎస్ ప్రాజెక్ట్
Date of Birth,పుట్టిన తేది
Nihal Singh Wala,నిహాల్ సింగ్ వాలా
CDPO  Yavatmal-(U),సిడిపిఒ యవత్మాల్-(యు)
DUM DUM SOUTH,డమ్ డమ్ సౌత్
4:15 PM to 5:15 PM,సాయంత్రం 4:15 నుంచి సాయంత్రం 5:15 వరకు
Sagar - U,సాగర్ - యు
About Poshan Tracker,పోషాన్ ట్రాకర్ గురించి
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","పోషాన్ అభియాన్ (02 ఫిబ్రవరి, 2021) కింద ఐసిటి ప్లాట్ఫాంపై శిక్షణ"
Panskura- II ADDL ICDS,పన్స్కురా- II అడిష్నల్ ఐసిడిఎస్
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM., support-poshantrackr@gov. in వద్ద ఇమెయిల్స్ పంపడం ద్వారా పోషణ్ ట్రాకర్ టీమ్ ని సంప్రదించవచ్చు.హ్యాండ్ హోల్డింగ్ మరియు సపోర్ట్ కొరకు ప్రతిరోజూ సాయంత్రం 4:15 నుంచి సాయంత్రం 5:15 గంటల వరకు వీడియో కాన్ఫరెన్స్ ద్వారా కూడా మేం లభ్యం అవుతాం.
Diyung Valley Icds Project,డియుంగ్ వ్యాలీ ఐసిడిఎస్ ప్రాజెక్ట్
South West Delhi,నైరుతి ఢిల్లీ
You may browse the Site without registering for an account.,ఖాతా కోసం రిజిస్టర్ చేసుకోకుండానే మీరు సైట్ ని బ్రౌజ్ చేయవచ్చు.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","సైట్ ద్వారా అందించబడే నిర్ధిష్ట ఫీచర్లు లేదా సేవలను మీరు ఉపయోగించాలని అనుకున్నట్లయితే, మీ మొబైల్ నెంబరుతో ఖాతా కొరకు మీరు రిజిస్టర్ చేసుకోవాల్సి ఉంటుంది."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","ఈ నిబంధనలను ఆమోదించడం ద్వారా, మీ గుర్తింపు సమాచారాన్ని (ఆధార్ వివరాలతో సహా) మరియు మీ ఖాతాలో రిజిస్టర్ చేసుకున్న ఇతర సభ్యులందరినీ ఉపయోగించడానికి మాకు అధికారం ఇవ్వడానికి మీరు స్పష్టంగా అంగీకరిస్తున్నారు."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,మీ వ్యక్తిగత సమాచారం మరియు నమోదు మరియు ఈ సమాచారాన్ని సురక్షితంగా ఉంచడంలో మీరు విఫలం కావడం వల్ల కలిగే అన్ని కార్యకలాపాల యొక్క గోప్యతను నిర్వహించడానికి మీరు పూర్తిగా బాధ్యత వహిస్తారు.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,మీ రిజిస్ట్రేషన్ లేదా మొబైల్ నెంబరు గోప్యంగా ఉంచబడుతుందిమీరు దీనిని చేపడతారుఃమీ ఖాతా ద్వారా తమ రికార్డులను సృష్టించడం కొరకు సంబంధిత వ్యక్తుల నుంచి మీరు సమ్మతిని పొందారు.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,మీ ఖాతా లేదా మొబైల్ నెంబరు ఆ వ్యక్తిని అనుకరించే ఉద్దేశ్యంతో మరొక వ్యక్తి పేరును చేర్చరాదు.
You shall not use another user's account without their permission.,వారి అనుమతి లేకుండా మీరు మరొక వినియోగదారు ఖాతాను ఉపయోగించరాదు.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","మీ ఖాతా యొక్క ఏదైనా అనధీకృత ఉపయోగం లేదా ఇతర ఖాతా సంబంధిత భద్రతా ఉల్లంఘనను మీరు కనుగొన్నట్లయితే, మీరు వెంటనే రాతపూర్వకంగా మాకు తెలియజేయాలి."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","మీ ఖాతా వేరొకరి హక్కులను ఉల్లంఘిస్తుందని లేదా మా విధానాలను ఉల్లంఘిస్తుందని మాకు ఫిర్యాదు అందితే, మేము మీ ఖాతాను రద్దు చేయవచ్చు లేదా నిరోధించవచ్చు."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",సైట్ లో పాల్గొనేవారిని రిజిస్టర్ చేయడం కొరకు బహుళ ఇంటర్నెట్ ప్రోటోకాల్ చిరునామాలు లేదా మొబైల్ నెంబరు ఉపయోగించడం ద్వారా లేదా ఏదైనా ఇతర మార్గాల ద్వారా మీ గుర్తింపును దాచడానికి మీరు ప్రయత్నించరాదు
What is  MPIN?,MPIN అంటే ఏమిటి?
Rongmongwe & Samelangso Icds Project,రోంగ్మోంగ్వే & సామెలాంగ్సో ఐసిడిఎస్ ప్రాజెక్ట్
Pakabetbari Icds Project,పాకబేట్బరీ ఐసిడిఎస్ ప్రాజెక్ట్
Please Select Reported By,దయచేసి దీని ద్వారా నివేదించబడ్డ దానిని ఎంచుకోండి
Kaliachak - III,కలియాచక్ - III
Dakshin Bastar Dantewada,దక్షిణ బస్తర్ దంతేవాడ
Cdpo Proj No-1,సిడిపిఒ ప్రాజెక్ట్ నెం-1
Berhampur (U) - II,బెర్హంపూర్ (యు) - II
Enter Mobile Number,మొబైల్ నంబర్ నమోదు చేయండి
"Project-3, Palanganatham, Madurai","ప్రాజెక్ట్-3, పలంగనాథం, మదురై"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,పోషణ్ ట్రాకర్ యాప్ 22 వేర్వేరు భాషలలో లభిస్తుందిఅందుబాటులో ఉన్న వివిధ భాషలుఃఆంగ్లము హిందీగుజరాతీపంజాబీమరాఠీబంగ్లాకన్నడతమిళంతెలుగుమళయాళంఓడియాఅస్సామీNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,ఏడబ్ల్యూసి టీకా ట్రెండ్స్
Jhalda - I,ఝల్దా - I
Reiek ICDS Project,రీక్ ఐసిడిఎస్ ప్రాజెక్ట్
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","పోషన్ ట్రాకర్ అప్లికేషన్ యొక్క ఉద్దేశ్యం అంగన్వాడీ సెంటర్ (ఎడబ్ల్యుసి), అంగన్వాడీ వర్కర్స్ (ఎడబ్ల్యుడబ్ల్యు) యొక్క సర్వీస్ డెలివరీలు మరియు గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు మరియు పిల్లలకు పూర్తి లబ్ధిదారుల నిర్వహణ గురించి 360 డిగ్రీల వీక్షణను అందించడం."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ప్రతిపాదిత వ్యవస్థ నిర్వచించిన సూచికలపై అన్ని AWC లు, AWW లు మరియు లబ్ధిదారుల యొక్క నిజ-సమయ పర్యవేక్షణ మరియు ట్రాకింగ్ను ప్రారంభించాలి."
Current Month Performance,ప్రస్తుత నెల పనితీరు
Rjn Gramin 02,రాజ్నంద్గావ్ గ్రామీణ్ 02
How to Login in Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్లో లాగిన్ అవ్వడం ఎలా?
Height and weight of child has not been measured,శిశువు ఎత్తు మరియు బరువు కొలవబడలేదు
PM’s Program Districts,పీఎం ప్రోగ్రామ్ డిస్ట్రిక్ట్స్
Kaliachak - I,కలియాచక్ - I
Jagatballav pur ICDS,జగత్బల్లవ్ పూర్ ఐసిడిఎస్
CDPO Civil Washim,సిడిపిఓ సివిల్ వాషిమ్
Terms of Service,సేవా నిబంధనలు
