eng,pa
"However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","ਹਾਲਾਂਕਿ, ਸਾਈਟ ਦਾ ਕੋਈ ਹਿੱਸਾ ਅਤੇ ਕੋਈ ਵੀ ਸਮੱਗਰੀ ਕਿਸੇ ਹੋਰ ਕੰਪਿਊਟਰ, ਸਰਵਰ, ਵੈੱਬ ਸਾਈਟ ਜਾਂ ਪ੍ਰਕਾਸਨ ਲਈ ਕਿਸੇ ਹੋਰ ਮਾਧਿਅਮ ਵਿੱਚ ਇੱਕ ਅਪਮਾਨਜਨਕ ਤਰੀਕੇ ਨਾਲ ਜਾਂ ਇੱਕ ਗੁੰਮਰਾਹਕੁੰਨ ਸੰਦਰਭ ਵਿੱਚ ਕਾਪੀ, ਪੁਨਰਪ੍ਰਕਾਸਿਤ, ਪੁਨਰ-ਨਿਰਮਾਣ, ਅੱਪਲੋਡ, ਪੋਸਟ, ਜਨਤਕ ਤੌਰ 'ਤੇ ਆਯੋਜਿਤ, ਏਨਕੋਡ, ਅਨੁਵਾਦ, ਪ੍ਰਸਾਰਿਤ ਜਾਂ ਕਿਸੇ ਵੀ ਤਰ੍ਹਾਂ ਵੰਡੀ ਨਹੀਂ ਜਾ ਸਕਦੀ।"
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","ਤੁਸੀਂ ਸਾਈਟ 'ਤੇ ਉਪਲਬਧ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦੇ ਹੋ, ਬਸਰਤੇ ਕਿ ਤੁਸੀਂ (1) ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਸਿਰਫ ਆਪਣੇ ਨਿੱਜੀ, ਗੈਰ-ਵਪਾਰਕ ਜਾਣਕਾਰੀ ਦੇ ਉਦੇਸ ਲਈ ਕਰੋਗੇ ਅਤੇ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਨੂੰ ਕਿਸੇ ਵੀ ਨੈੱਟਵਰਕ ਵਾਲੇ ਕੰਪਿਊਟਰ 'ਤੇ ਕਾਪੀ ਜਾਂ ਪੋਸਟ ਨਹੀਂ ਕਰੋਗੇ ਜਾਂ ਕਿਸੇ ਮੀਡੀਆ ਵਿੱਚ ਪ੍ਰਸਾਰਿਤ ਨਹੀਂ ਕਰੋਗੇ, (2) ਅਜਿਹੀ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਅਤੇ ਅਜਿਹੇ ਦਸਤਾਵੇਜਾਂ ਅਤੇ ਸਮਗਰੀ ਨਾਲ ਸਬੰਧਤ ਕਿਸੇ ਵੀ ਵਾਧੂ ਪ੍ਰਤੀਨਿਧਤਾ ਜਾਂ ਵਾਰੰਟੀਆਂ ਵਿੱਚ ਕੋਈ ਸੋਧ ਨਾ ਕਰੋ।"
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","ਜਿੱਥੇ ਵੀ ਸਮੱਗਰੀ ਪ੍ਰਕਾਸਿਤ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ ਜਾਂ ਦੂਜਿਆਂ ਨੂੰ ਜਾਰੀ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ, ਸਰੋਤ ਨੂੰ ਪ੍ਰਮੁੱਖਤਾ ਨਾਲ ਸਵੀਕਾਰ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।"
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","ਹਾਲਾਂਕਿ, ਇਸ ਸਮੱਗਰੀ ਨੂੰ ਦੁਬਾਰਾ ਤਿਆਰ ਕਰਨ ਦੀ ਇਜਾਜਤ ਕਿਸੇ ਵੀ ਅਜਿਹੀ ਸਮੱਗਰੀ ਤੱਕ ਨਹੀਂ ਵਧਾਈ ਜਾਵੇਗੀ ਜਿਸਦੀ ਪਛਾਣ ਕਿਸੇ ਤੀਜੀ ਧਿਰ ਦੇ ਕਾਪੀਰਾਈਟ ਵਜੋਂ ਕੀਤੀ ਗਈ ਹੈ।"
Galsi - II,ਗਲਸੀ - II
MPIN can be easily reset by any AWW/AWC user.,ਐਮਪੀਆਈਐਨ ਕਿਸੇ ਵੀ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਉਪਭੋਗਤਾ ਦੁਆਰਾ ਅਸਾਨੀ ਨਾਲ ਰੀਸੈਟ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।
"You are required to click on Forgot MPIN, and enter your registered mobile number.","ਤੁਹਾਨੂੰ ਭੁੱਲ ਗਏ ਐਮਪੀਆਈਐਨ ਤੇ ਕਲਿਕ ਕਰਨ ਦੀ ਜਰੂਰਤ ਹੈ, ਅਤੇ ਆਪਣਾ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ।"
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,ਤੁਸੀਂ ਆਪਣੇ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਤੁਸੀਂ ਆਪਣੀ ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਰ ਸਕਦੇ ਹੋ।
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,ਪੋਸਣ ਟਰੈਕਰ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਯਤਨਾਂ ਦੇ ਪ੍ਰਤੀਬਿੰਬ ਦੇ ਨਾਲ ਕੁਸਲ ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਇੱਕ ਨੌਕਰੀ-ਸਹਾਇਤਾ ਹੈ।
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,ਇਹ ਪੋਸਣ ਅਭਿਆਨ ਦੇ ਤਹਿਤ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਅਤੇ ਲਾਭਪਾਤਰੀ-ਕੇਂਦ੍ਰਿਤ ਸੇਵਾ ਡਿਲੀਵਰੀ ਐਪਲੀਕੇਸਨ ਹੈ ਜੋ ਵਿਸਲੇਸਣ ਦੇ ਨਾਲ ਅਸਲ ਸਮੇਂ ਦੇ ਡੇਟਾ ਨੂੰ ਉਤਸਾਹਿਤ ਕਰੇਗੀ।
Shahid Bhagat Singh Nagar,ਸਹੀਦ ਭਗਤ ਸਿੰਘ ਨਗਰ
Matigara ICDS Project( Addl ),ਮਟੀਗਰਾ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ (ਏਡੀਡੀਐਲ ਐਲ)
Goapokher- II Addl.,ਗੋਪੋਖਰ- II ਏਡੀਡੀਐਲ.
Sonbhadra Banshi Suryapur,ਸੋਨਭਦਰ ਬੰਸੀ ਸੂਰਯਪੁਰ
Please enter valid Date of Birth,ਕਿਰਪਾ ਕਰਕੇ ਉਚਿਤ ਜਨਮ ਮਿਤੀ ਦਰਜ ਕਰੋ
Jugijan Icds Project,ਜੁਗੀਜਨ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Ketugram - I,ਕੇਤੂਗ੍ਰਾਮ - I
How to revive your Health?,ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ?
West Garo Hills,ਪੱਛਮੀ ਗਾਰੋ ਪਹਾੜੀਆਂ
West Singhbhum - Jharkhand,ਪੱਛਮੀ ਸਿੰਘਭੂਮ - ਝਾਰਖੰਡ
Delhi Project 2,ਦਿੱਲੀ ਪ੍ਰੋਜੈਕਟ 2
2.2. Communicate with you.,2.2. ਤੁਹਾਡੇ ਨਾਲ ਸੰਚਾਰ ਕਰਣ ਲਈ।
Who is eligible for additional supplementary food?,ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
CHAUTH KA BARWARA,ਚਉਥ ਕਾ ਬਾਰਵਾੜਾ
Namchi Rural Project,ਨਾਮਚੀ ਪੇਂਡੂ ਪ੍ਰੋਜੈਕਟ
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨੂੰ ਬਦਲਣ, ਸੰਸੋਧਿਤ ਕਰਨ, ਜੋੜਨ ਜਾਂ ਹਟਾਉਣ ਦਾ ਬਿਨਾਂ ਸਰਤ, ਖਾਸ ਤੌਰ 'ਤੇ ਤੁਹਾਨੂੰ ਅਜਿਹੀਆਂ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਸੂਚਿਤ ਕੀਤੇ ਬਿਨਾਂ, ਅਧਿਕਾਰ ਰਾਖਵਾਂ ਰੱਖਦੇ ਹਾਂ।"
Any changes or updates will be effective immediately.,ਕੋਈ ਵੀ ਬਦਲਾਅ ਜਾਂ ਅੱਪਡੇਟ ਤੁਰੰਤ ਪ੍ਰਭਾਵੀ ਹੋਣਗੇ।
You take the responsibility to check these Terms of Use periodically for changes.,ਤੁਸੀਂ ਤਬਦੀਲੀਆਂ ਲਈ ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਵਰਤੋਂ ਦੀਆਂ ਇਨ੍ਹਾਂ ਸਰਤਾਂ ਦੀ ਜਾਂਚ ਕਰਨ ਦੀ ਜਿੰਮੇਵਾਰੀ ਲੈਂਦੇ ਹੋ।
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,ਅਜਿਹੇ ਸੰਸੋਧਨ ਤੋਂ ਬਾਅਦ ਪਲੇਟਫਾਰਮ ਦੀ ਤੁਹਾਡੀ ਨਿਰੰਤਰ ਵਰਤੋਂ ਸੋਧੀਆਂ ਸਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰੇਗੀ।
Project - Iii,ਪ੍ਰੋਜੈਕਟ - Iii
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ਜੇ ਏਡਬਲਯੂਡਬਲਯੂ ਆਪਣੇ ਆਪ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਵਿਚ ਅਸਫਲ ਰਿਹਾ ਹੈ ਤਾਂ ਇਸ ਦੀਆਂ 2 ਸੰਭਾਵਨਾਵਾਂ ਹੋ ਸਕਦੀਆਂ ਹਨਃ ਉਹਨਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਰਾਜਾਂ ਦੁਆਰਾ ਮੁਹੱਈਆ ਕਰਵਾਏ ਗਏ ਅੰਕੜਿਆਂ ਵਿਚ ਮੌਜੂਦ ਨਹੀਂ ਹੈ ਐਮਓਡਬਲਯੂਸੀਡੀ।ਉਹ ਪ੍ਰਣਾਲੀ ਵਿਚ ਨਵੇਂ ਸਾਮਲ ਕੀਤੇ ਗਏ ਹਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਅਜੇ ਤੱਕ ਐਮਓਡਬਲਯੂਸੀਡੀ ਨੂੰ ਰਾਜ ਸੈੱਲ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਹੈ।ਉਪਰੋਕਤ ਦੋਵੇਂ ਮਾਮਲਿਆਂ ਵਿੱਚ ਰਾਜ ਦੇ ਨੋਡਲ ਅਫਸਰਾਂ ਨੂੰ ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਸਾਮਲ / ਸੰਪਾਦਿਤ / ਕਿਰਿਆਸੀਲ / ਅਯੋਗ ਕਰਨ ਦਾ ਅਧਿਕਾਰ ਦਿੱਤਾ ਗਿਆ ਹੈ।
Bilkhawthlir Icds Project,ਬਿਲਖਾਵਥਲੀਰ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
No Record to Show,ਵੇਖਣ ਲਈ ਕੋਈ ਰਿਕਾਰਡ ਨਹੀਂ
Kailashahar District H.,ਕੈਲਾਸਹਿਰ ਜਿਲ੍ਹਾ ਐਚ.
Q,ਕਿਊ
How many different types of reports can be generated over Poshan Tracker Dashboard?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਡੈਸਬੋਰਡ ਤੇ ਕਿੰਨੀਆਂ ਵੱਖਰੀਆਂ ਕਿਸਮਾਂ ਦੀਆਂ ਰਿਪੋਰਟਾਂ ਤਿਆਰ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ?
WHO standards are,ਡਬਲਯੂਐਚਓ ਦੇ ਮਾਪਦੰਡ ਹਨ
Murarai-II ICDS Project,ਮੁਰਾਰਾਈ-II ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
South East Delhi,ਦੱਖਣ-ਪੂਰਬੀ ਦਿੱਲੀ
Ashoknagar- Kalyangarh (U),ਅਸੋਕਨਗਰ- ਕਲਿਆਣਗੜ੍ਹ (ਯੂ.)
How to revive your health if you are Severely Wasted (SAM),ਜੇ ਤੁਸੀਂ ਗੰਭੀਰ ਤੌਰ 'ਤੇ ਦੁਰਬਲ ਹੋ ਗਏ ਹੋ (ਐਸਏਐਮ) ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ
Baba Belkhar Nath Dham,ਬਾਬਾ ਬੇਲਖਰ ਨਾਥ ਧਾਮ
Firozabad City 2,ਫਿਰੋਜਾਬਾਦ ਸਹਿਰ 2
What is Poshan Calculator,ਪੋਸਨ ਕੈਲਕੁਲੇਟਰ ਕੀ ਹੈ
Binpur - I,ਬਿਨਪੁਰ- I
Ldh Urban 2,ਐਲਡੀਐਚ ਸਹਿਰੀ 2
"See assessment charts for Stunted, Wasted and Underweight parameters","ਵਾਧਾ ਰੁਕਣਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਵਜਨ ਮਾਪਦੰਡਾ ਲਈ ਮੁਲਾਂਕਣ ਚਾਰਟ ਦੇਖੋ"
Visit state page,ਰਾਜ ਦੇ ਪੇਜ ਤੇ ਜਾਓ
Best performing districts,ਵਧੀਆ ਪ੍ਰਦਰਸਨ ਕਰਨ ਵਾਲੇ ਜਿਲ੍ਹੇ
Sandeshkhali - I,ਸੰਦੇਸਖਾਲੀ - I
Resources for growth monitoring and general awareness,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਅਤੇ ਆਮ ਜਾਗਰੂਕਤਾ ਲਈ ਸ੍ਰੋਤ
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਇੱਕ ਖਾਸ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਵਿੱਚ ਮੌਜੂਦ ਬੁਨਿਆਦੀ ਢਾਂਚੇ ਨਾਲ ਸਬੰਧਤ ਵੇਰਵੇ ਦਰਜ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ਇਸ ਵਿੱਚ ਢਾਂਚਾ , ਮੁੱਢਲੀਆਂ ਸਹੂਲਤਾਂ, ਸਹੂਲਤਾਂ, ਰੋਗਾਣੂ-ਮੁਕਤ, ਪੀਣ ਵਾਲੇ ਪਾਣੀ ਆਦਿ ਸਾਮਲ ਹਨ।"
Lactating mothers who received Take Home Ration (THR),ਦੁੱਧ ਪਿਲਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਜਿਨ੍ਹਾਂ ਨੂੰ 'ਰਾਸਨ ਘਰ ਲਿਜਾਉ' (THR) ਮਿਲਿਆ ਹੈ
Balurghat (U),ਬਲੂਰਘਾਟ (ਯੂ)
Last updated on,ਆਖਰੀ ਵਾਰ ਅੱਪਡੇਟ ਕੀਤਾ
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨੂੰ ਕਿਸੇ ਵੀ ਸਮੇਂ ਬਦਲਣ, ਸੋਧਣ, ਜੋੜਨ ਜਾਂ ਹਟਾਉਣ ਦਾ, ਤੁਹਾਨੂੰ ਅਜਿਹੀਆਂ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਵਿਸੇਸ ਤੌਰ 'ਤੇ ਸੂਚਿਤ ਕੀਤੇ ਬਿਨਾਂ, ਬਗੈਰ ਸਰਤ ਅਧਿਕਾਰਾਖਵਾਂ ਰੱਖਦਾ ਹੈ।"
Any changes or updates will be effective immediately.,ਕੋਈ ਵੀ ਬਦਲਾਅ ਜਾਂ ਅੱਪਡੇਟ ਤੁਰੰਤ ਪ੍ਰਭਾਵੀ ਹੋਣਗੇ।
You should review this Privacy Policy regularly for changes.,ਤੁਹਾਨੂੰ ਤਬਦੀਲੀਆਂ ਲਈ ਨਿਯਮਿਤ ਤੌਰ 'ਤੇ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਸਮੀਖਿਆ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ।
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","ਅਸੀਂ ਆਮ ਤੌਰ 'ਤੇ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਵਿੱਚ ਕਿਸੇ ਵੀ ਸਮੱਗਰੀ ਦੀਆਂ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਸਾਰੇ ਉਪਭੋਗਤਾਵਾਂ ਨੂੰ ਸੂਚਿਤ ਕਰਨ ਲਈ ਵਪਾਰਕ ਤੌਰ 'ਤੇ ਉਚਿਤ ਯਤਨਾਂ ਜਿਵੇਂ ਕਿ ਸਿਸਟਮ 'ਤੇ ਨੋਟਿਸ ਰਾਹੀਂ, ਦੀ ਵਰਤੋਂ ਕਰਾਂਗੇ।"
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","ਹਾਲਾਂਕਿ, ਸਿਸਟਮ ਦੇ ਉਪਭੋਗਤਾ ਹੋਣ ਦੇ ਨਾਤੇ, ਤੁਹਾਨੂੰ ਕਿਸੇ ਵੀ ਬਦਲਾਅ ਲਈ ਨਿਯਮਿਤ ਤੌਰ 'ਤੇ ਗੋਪਨੀਯਤਾ ਨੀਤੀ ਦੀ ਜਾਂਚ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ।"
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","ਅਸੀਂ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੇ ਸਿਖਰ 'ਤੇ ""ਆਖਰੀ ਅੱਪਡੇਟ ਹੋਇਆ"" ਮਿਤੀ ਨੂੰ ਵੀ ਅੱਪਡੇਟ ਕਰਾਂਗੇ, ਜੋ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਪ੍ਰਭਾਵੀ ਮਿਤੀ ਨੂੰ ਦਰਸਾਉਂਦੀ ਹੈ।"
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,ਨਵੀਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਮਿਤੀ ਤੋਂ ਬਾਅਦ ਸਿਸਟਮ ਦੀ ਤੁਹਾਡੀ ਨਿਰੰਤਰ ਪਹੁੰਚ ਜਾਂ ਵਰਤੋਂ ਨਵੀਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਤੁਹਾਡੀ ਸਵੀਕ੍ਰਿਤੀ ਦਾ ਗਠਨ ਕਰਦੀ ਹੈ।
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","ਜੇ ਤੁਸੀਂ ਨਵੀਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨਾਲ ਸਹਿਮਤ ਨਹੀਂ ਹੋ, ਤਾਂ ਤੁਹਾਨੂੰ ਸਿਸਟਮ ਨੂੰ ਐਕਸੈਸ ਕਰਨਾ ਅਤੇ/ਜਾਂ ਵਰਤਣਾ ਬੰਦ ਕਰ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ।"
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","ਤੁਸੀਂ ਇਥੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦਾ ਕੋਈ ਵੀ ਸੰਗ੍ਰਹਿ, ਸਟੋਰੇਜ, ਪ੍ਰੋਸੈਸਿੰਗ ਜਾਂ ਹੋਰ ਵਰਤੋਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੁਆਰਾ ਨਿਯੰਤਰਿਤ ਕੀਤੀ ਜਾਵੇਗੀ ਜਿਵੇਂ ਕਿ ਅਜਿਹੇ ਸੰਗ੍ਰਹਿ, ਸਟੋਰੇਜ, ਪ੍ਰੋਸੈਸਿੰਗ ਜਾਂ ਹੋਰ ਵਰਤੋਂ ਦੇ ਸਮੇਂ ਲਾਗੂ ਹੁੰਦੀ ਹੈ।"
JOYNAGAR-II ICDS PROJECT,ਜੋਯਨਗਰ-2 ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?
Stunting and Underweight Growth Parameters,ਸਟੰਟਿੰਗ ਅਤੇ ਘੱਟ ਭਾਰ ਵਿਕਾਸ ਮਾਪਦੰਡ
NALHATI-I ICDS PROJECT (NGO),ਨਲਹਟੀ-1 ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ (ਐਨਜੀਓ)
Enter Height in centimeter,ਸੈਂਟੀਮੀਟਰ ਵਿੱਚ ਉਚਾਈ ਦਰਜ ਕਰੋ
Joynagar - I,ਜੋਏਨਗਰ - I
CDPO OFFICE BATHINDA,ਸੀਡੀਪੀਓ ਦਫਤਰ ਬਠਿੰਡਾ
Severely Wasted (SAM),ਬਹੁਤ ਦੁਰਬਲਤਾ (ਐਸਏਐਮ)
"No, Poshan Tracker is available only for Android version",ਕੋਈ ਪੋਸਣ ਟ੍ਰੈਕਰ ਕੇਵਲ ਐਂਡਰਾਇਡ ਸੰਸਕਰਣ ਲਈ ਉਪਲਬਧ ਨਹੀਂ ਹੈ।
Harishchandrapur - I,ਹਰਿਸਚੰਦਰਪੁਰ- I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ਮੁਆਵਜਾ ਅਤੇ ਦੇਣਦਾਰੀ ਦੀ ਸੀਮਾ
2.1. Deliver our services.,2.1. ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ।
Growth monitoring report for all health indicators,ਸਾਰੇ ਸਿਹਤ ਸੰਕੇਤਕਾਂ ਲਈ ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਰਿਪੋਰਟ
Take Home Ration (THR) given in last 30 days,ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਦਿੱਤਾ ਘਰ ਦਾ ਰਾਸਨ (ਟੀਐਚਆਰ) ਲਓ
Please select District,ਕਿਰਪਾ ਕਰਕੇ ਜਿਲ੍ਹਾ ਚੁਣੋ
District’s Quarterly Performance,ਜਿਲ੍ਹੇ ਦੀ ਤਿਮਾਹੀ ਕਾਰਗੁਜਾਰੀ
3.1. Tracking health progress.,3.1. ਸਿਹਤ ਦੀ ਵਿਕਾਸ ਅਵਸਥਾ ਨੂੰ ਟਰੈਕ ਕਰਨਾ।
Raghunathpur - II,ਰਘੁਨਾਥਪੁਰ - II
Kultali ICDS Project,ਕੁਲਤਾਲੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
CDPO Worli Kandivali Urban,ਸੀਡੀਪੀਓ ਵਰਲੀ ਕਾਂਦੀਵਾਲੀ ਸਹਿਰੀ
Please enter Name,ਕਿਰਪਾ ਕਰਕੇ ਨਾਮ ਭਰੋ
Balurghat Rural Ad,ਬਲੂਰਘਾਟ ਪੇਂਡੂ ਐਡ
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,ਬੱਚਿਆਂ ਨੂੰ ਅਵਿਕਸਿਤ ਵਜੋਂ ਪਰਿਭਾਸਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ ਜੇਕਰ ਉਹਨਾਂ ਦੀ ਉਮਰ ਅਨੁਸਾਰ ਉਚਾਈ WHO ਬਾਲ ਵਿਕਾਸ ਮਾਪਦੰਡ ਤੋਂ ਦੋ ਮਿਆਰ ਤੋਂ ਜਿਆਦਾ ਘੱਟ ਹੈ
South 24 Parganas,ਦੱਖਣ 24 ਪਰਗਨੇ
Deoghar Cum Jasidih,ਦੇਵਘਰ ਸਹਿ ਜਸੀਦੀਹ
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,ਅਧਿਕਾਰਤ ਸੰਸਥਾਵਾਂ ਕਿਸੇ ਵੀ ਅਜਿਹੇ ਅੰਕੜਿਆਂ ਨੂੰ ਪੁਨਰ ਵਿਭਾਜਿਤ ਨਹੀਂ ਕਰਨਗੀਆਂ ਜੋ ਉਹ API/ਨੋ-ਕੋਡ ਵੈਬਪੇਜ ਏਕੀਕਰਣ ਦੁਆਰਾ ਐਕਸੈਸ ਕਰਨ ਦੇ ਯੋਗ ਹਨ ਅਤੇ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਗੀਆਂ ਕਿ ਅਜਿਹੇ ਸਾਰੇ ਅੰਕੜਿਆਂ ਦਾ ਏਕੀਕਰਣ ਲਾਜਮੀ ਤੌਰ 'ਤੇ ਪੋਸਣ ਟਰੈਕਰ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀਆਂ ਗਈਆਂ ਵਿਸੇਸ ਸੇਵਾਵਾਂ ਤੱਕ ਸੀਮਿਤ ਹੋਵੇਗਾ।
