eng,or
Galsi - II,ଗାଲସି - II
MPIN can be easily reset by any AWW/AWC user.,ଯେକୌଣସି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସି ବ୍ୟବହାରକାରୀଙ୍କ ଦ୍ୱାରା ଏମ୍ପିଆଇଏନ୍କୁ ସହଜରେ ପୁନଃସେଟ୍ କରାଯାଇପାରିବ ।
"You are required to click on Forgot MPIN, and enter your registered mobile number.",ଆପମହ୍କୁ ଭୁଲିଯାଇଥିବା ଏମ୍ପିଆଇଏନ୍ ଉପରେ କ୍ଲିକ୍ କରିବାକୁ ଏବଂ ଆପଣଙ୍କର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରିବାକୁ ପଡିବ ।
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,ଆପଣ ନିଜର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରରେ ଓଟିପି ପାଇବେ ଏବଂ ଆପଣ ଏମ୍ପିଆଇଏନ୍କୁ ସହଜରେ ପୁନଃସେଟ୍ କରିପାରିବେ ।
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,ସେମାନଙ୍କ ଉଦ୍ୟମର ପ୍ରତିଫଳନ ସହିତ ସେବାଗୁଡିକର ଦକ୍ଷତାର ସହିତ ବିତରଣ ପାଇଁ ପୋଶାନ୍ ଟ୍ରାକର୍ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କୁ ଏକ ଚାକିରି-ସାହାଯ୍ୟ | ଏହା ପୁଷ୍ଟିକର ଅଭିଯାନ ଅଧୀନରେ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଏବଂ ହିତାଧିକାରୀ-କେନ୍ଦ୍ରିକ ସେବା ବିତରଣ ପ୍ରୟୋଗ ଯାହାକି ଆନାଲିଟିକ୍ସ ସହିତ ପ୍ରକୃତ ସମୟ ତଥ୍ୟକୁ ପ୍ରୋତ୍ସାହନ ଦେବ |
Shahid Bhagat Singh Nagar,ସହୀଦ ଭଗତ ସିଂହ ନଗର
Matigara ICDS Project( Addl ),ମାଟିଗରା ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ (ଆଡିସନାଲ୍ )
Goapokher- II Addl.,ଗୋଆପୋଖର- II ଆଡିସନାଲ୍
Sonbhadra Banshi Suryapur,ସୋନଭଦ୍ର ବନ୍ସି ସୂର୍ଯ୍ୟପୁର
Please enter valid Date of Birth,ଦୟାକରି ବୈଧ ଜନ୍ମ ତାରିଖ ପ୍ରବେଶ କରନ୍ତୁ
Jugijan Icds Project,ଜୁଗିଜାନ୍ ଆଇସିଡ୍ ପ୍ରୋଜେକ୍ଟ
Ketugram - I,କେତୁଗ୍ରାମ - I
How to revive your Health?,ଆପଣଙ୍କ ସ୍ୱାସ୍ଥ୍ୟକୁ କିପରି ପୁନର୍ଜୀବିତ କରିବେ?
West Garo Hills,ପଶ୍ଚିମ ଗାରୋ ପାହାଡ
West Singhbhum - Jharkhand,ପଶ୍ଚିମ ସିଂହଭୂମ - ଝାଡଖଣ୍ଡ
Delhi Project 2,ଦିଲ୍ଲୀ ପ୍ରକଳ୍ପ 2
2.2. Communicate with you.,2.2. ଆପଣଙ୍କ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |
Who is eligible for additional supplementary food?,ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?
CHAUTH KA BARWARA,ଚୌଥ କା ବରୱାରା
Namchi Rural Project,ନାମ୍ଚି ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.Any changes or updates will be effective immediately.You take the responsibility to check these Terms of Use periodically for changes.Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.","ଏହି ସର୍ତ୍ତଗୁଡିକର ଯେକୌଣସି ଅଂଶକୁ ଯେକୌଣସି ସମୟରେ ପରିବର୍ତ୍ତନ, ରୂପାନ୍ତର, ଯୋଡିବା କିମ୍ବା ଅପସାରଣ କରିବା ପାଇଁ ଆମେ ସର୍ତ୍ତମୂଳକ ଅଧିକାର ସଂରକ୍ଷଣ କରିଥାଉ, ଏହିପରି ପରିବର୍ତ୍ତନଗୁଡିକ ବିଷୟରେ ଆପଣଙ୍କୁ ବିଶେଷ ସୂଚନା ନ ଦେଇ | ଯେକୌଣସି ପରିବର୍ତ୍ତନ କିମ୍ବା ଅଦ୍ୟତନ ତୁରନ୍ତ ପ୍ରଭାବଶାଳୀ ହେବ | ପରିବର୍ତ୍ତନଗୁଡିକ ପାଇଁ ପର୍ଯ୍ୟାୟକ୍ରମେ ଏହି ବ୍ୟବହାର ସର୍ତ୍ତାବଳୀ ଯାଞ୍ଚ କରିବାର ଦାୟିତ୍ବ ଆପଣ ନିଅନ୍ତୁ | ପ୍ଲାଟଫର୍ମ ପୋଷ୍ଟର ତୁମର କ୍ରମାଗତ ବ୍ୟବହାର ଏହିପରି ସଂଶୋଧନ ସଂଶୋଧିତ ସର୍ତ୍ତାବଳୀ ଗ୍ରହଣ କରିବ |"
Project - Iii,ପ୍ରୋଜେକ୍ଟ - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,"ଯଦି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ ନିଜକୁ ପଞ୍ଜୀକରଣ କରିବାରେ ଅସଫଳ ହୁଅନ୍ତି ତେବେ ଏଥିପାଇଁ 2ଟି ସମ୍ଭାବନା ଥାଇପାରେଃସେମାନଙ୍କର ମୋବାଇଲ୍ ନମ୍ବର, ଏମ୍ଓଡବ୍ଲ୍ୟୁସିଡିକୁ ରାଜ୍ୟ ଦ୍ୱାରା ପ୍ରଦାନ କରାଯାଇଥିବା ତଥ୍ୟରେ ଉପସ୍ଥିତ ନାହିଁ ।ସେଗୁଡିକୁ ସିଷ୍ଟମରେ ନୂତନ ଭାବରେ ଯୋଡା ଯାଇଛି ଏବଂ ସେମାନଙ୍କର ମୋବାଇଲ୍ ନମ୍ୱର ଏମ୍ଓଡବ୍ଲ୍ୟୁସିଡିକୁ ରାଜ୍ୟ ସେଲ୍ ଦ୍ୱାରା ପ୍ରଦାନ କରାଯାଇ ନାହିଁ।ଉପରୋକ୍ତ ଉଭୟ ମାମଲାଗୁଡିକରେ ରାଜ୍ୟ ନୋଡାଲ ଅଧିକାରୀମାନଙ୍କୁ ଯେକୌଣସି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁଙ୍କୁ ଯୋଗ କରିବା / ସଂଶୋଧନ / ସକ୍ରିୟ / ନିଷ୍କ୍ରିୟ କରିବାକୁ କ୍ଷମତା ପ୍ରଦାନ କରାଯାଇଛି ।"
Bilkhawthlir Icds Project,ବିଲଖାୱଥଲିୟର ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ
No Record to Show,ଦେଖାଇବା ପାଇଁ କୌଣସି ରେକର୍ଡ ନାହିଁ
Kailashahar District H.Q,କୈଳାସହର ଜିଲ୍ଲା ଏଚ. କ୍ୟୁ
How many different types of reports can be generated over Poshan Tracker Dashboard?,ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡରେ କେତେ ପ୍ରକାରର ରିପୋର୍ଟ ପ୍ରସ୍ତୁତ କରାଯାଇପାରିବ?
WHO standards are,WHO ମାନକ ହେଉଛି
Murarai-II ICDS Project,ମୁରାରାଇ-II ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
South East Delhi,ଦକ୍ଷିଣ ପୂର୍ବ ଦିଲ୍ଲୀ
Ashoknagar- Kalyangarh (U),ଅଶୋକନଗର- କଲ୍ୟାଣଗଡ (ୟୁ)
How to revive your health if you are Severely Wasted (SAM),କିପରି ତୁମର ସ୍ୱାସ୍ଥ୍ୟକୁ ପୁନର୍ଜୀବିତ କରିବେଯଦି ତୁମେ ଗୁରୁତର ଭାବରେ ନଷ୍ଟ ହୋଇଯାଅ (SAM)
Baba Belkhar Nath Dham,ବାବା ବେଲଖର ନାଥ ଧାମ
Firozabad City 2,ଫିରୋଜାବାଦ ସିଟି 2
What is Poshan Calculator,ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର କ'ଣ
Binpur - I,ବିନପୁର - I
Ldh Urban 2,ଏଲଡିଏଚ୍ ଅର୍ବାନ୍ 2
"See assessment charts for Stunted, Wasted and Underweight parameters","ଷ୍ଟଣ୍ଟେଡ୍, ନଷ୍ଟ ହୋଇଥିବା ଏବଂ ଓଜନ କମ ପାରାମିଟରଗୁଡିକ ପାଇଁ ମୂଲ୍ୟାଙ୍କନ ଚାର୍ଟ ଦେଖନ୍ତୁ |"
Visit state page,ରାଜ୍ୟ ପୃଷ୍ଠା ପରିଦର୍ଶନ କରନ୍ତୁ
Best performing districts,ସର୍ବୋତ୍ତମ ପ୍ରଦର୍ଶନକାରୀ ଜିଲ୍ଲା
Sandeshkhali - I,ସନ୍ଦେଶଖାଲି - I
Resources for growth monitoring and general awareness,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଏବଂ ସାଧାରଣ ସଚେତନତା ପାଇଁ ସମ୍ବଳ
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନଙ୍କୁ ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରରେ ଉପସ୍ଥିତ ଭିତ୍ତିଭୂମି ସମ୍ବନ୍ଧୀୟ ବିବରଣୀ ପ୍ରବେଶ କରିବାକୁ ପଡିବ ଏଥିରେ ସଂରଚନା, ମୌଳିକ ସୁବିଧା, ସୁବିଧା, ପରିମଳ ବ୍ୟବସ୍ଥା, ପାନୀୟ ଜଳ ଇତ୍ୟାଦି ଅନ୍ତର୍ଭୁକ୍ତ ।"
Lactating mothers who received Take Home Ration (THR),ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତାମାନେ ଯେଉଁମାନେ ଘର ରାସନ (THR) ଗ୍ରହଣ କରିଥିଲେ
Balurghat (U),ବାଲୁରଘାଟ (ୟୁ)
Last updated on,ଶେଷ ଅଦ୍ୟତନ ହୋଇଛି
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.Any changes or updates will be effective immediately.You should review this Privacy Policy regularly for changes.We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.However, as a user of the System, you should regularly check the Privacy Policy for any changes.We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","ପୋଶନ୍ ଟ୍ରାକର୍ ଏହି ଗୋପନୀୟତା ନୀତିର ଯେକୌଣସି ଅଂଶକୁ ଯେକୌଣସି ସମୟରେ ପରିବର୍ତ୍ତନ, ରୂପାନ୍ତର, ଯୋଡିବା କିମ୍ବା ଅପସାରଣ କରିବା ପାଇଁ ସର୍ତ୍ତମୂଳକ ଅଧିକାର ସଂରକ୍ଷଣ କରେ, ତୁମକୁ ଏହିପରି ପରିବର୍ତ୍ତନ ବିଷୟରେ ବିଶେଷ ଭାବରେ ଜଣାଇ ନଥାଏ | ଯେକୌଣସି ପରିବର୍ତ୍ତନ କିମ୍ବା ଅଦ୍ୟତନ ତୁରନ୍ତ ପ୍ରଭାବଶାଳୀ ହେବ | ପରିବର୍ତ୍ତନଗୁଡିକ ପାଇଁ ଆପଣ ଏହି ଗୋପନୀୟତା ନୀତିକୁ ନିୟମିତ ସମୀକ୍ଷା କରିବା ଉଚିତ୍ |ଏହି ଗୋପନୀୟତା ନୀତିରେ ଯେକୌଣସି ସାମଗ୍ରୀକ ପରିବର୍ତ୍ତନ ବିଷୟରେ ସାଧାରଣତ all ସମସ୍ତ ଉପଭୋକ୍ତାଙ୍କୁ ସୂଚିତ କରିବା ପାଇଁ ଆମେ ବାଣିଜ୍ୟିକ ଯୁକ୍ତିଯୁକ୍ତ ପ୍ରୟାସ ବ୍ୟବହାର କରିବୁ, ଯେପରି ସିଷ୍ଟମରେ ଏକ ବିଜ୍ଞପ୍ତି ମାଧ୍ୟମରେ | ତଥାପି, ସିଷ୍ଟମର ଜଣେ ଉପଭୋକ୍ତା ଭାବରେ, ଆପଣ କୌଣସି ପରିବର୍ତ୍ତନ ପାଇଁ ନିୟମିତ ଭାବରେ ଗୋପନୀୟତା ନୀତି ଯାଞ୍ଚ କରିବା ଉଚିତ୍ | ଆମେ ମଧ୍ୟ ଏହି ଗୋପନୀୟତା ନୀତିର ଶୀର୍ଷରେ ""ଶେଷ ଅପଡେଟ୍"" ତାରିଖ ଅପଡେଟ୍ କରିବୁ, ଯାହା ଏହି ଗୋପନୀୟତା ନୀତିର ପ୍ରଭାବଶାଳୀ ତାରିଖ ପ୍ରତିଫଳିତ କରେ | ନୂତନ ଗୋପନୀୟତା ନୀତିର ତାରିଖ ପରେ ତୁମର କ୍ରମାଗତ ପ୍ରବେଶ କିମ୍ବା ସିଷ୍ଟମର ବ୍ୟବହାର ତୁମର ନୂତନ ଗୋପନୀୟତା ନୀତିକୁ ଗ୍ରହଣ କରେ ଯଦି ଆପଣ ନୂତନ ଗୋପନୀୟତା ନୀତିରେ ରାଜି ନୁହଁନ୍ତି, ତେବେ ଆପଣଙ୍କୁ ସିଷ୍ଟମ୍ ପ୍ରବେଶ ଏବଂ / କିମ୍ବା ବ୍ୟବହାର ବନ୍ଦ କରିବା ଜରୁରୀ ଆପଣ ଏଠାରେ ସ୍ବୀକାର କରନ୍ତି ଯେ ଆପଣଙ୍କର ତଥ୍ୟର ଯେକୌଣସି ସଂଗ୍ରହ, ସଂରକ୍ଷଣ, ପ୍ରକ୍ରିୟାକରଣ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ବ୍ୟବହାର ଗୋପନୀୟତା ନୀତି ଦ୍ୱାରା ପରିଚାଳିତ ହେବ, ଯେପରି ସଂଗ୍ରହ, ସଂରକ୍ଷଣ, ପ୍ରକ୍ରିୟାକରଣ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ବ୍ୟବହାର ସମୟରେ ପ୍ରଯୁଜ୍ୟ|"
JOYNAGAR-II ICDS PROJECT,ଜୟନଗର-II ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
What is the eligibility of a beneficiary?,ଜଣେ ହିତାଧିକାରୀଙ୍କ ଯୋଗ୍ୟତା କ'ଣ?
Stunting and Underweight Growth Parameters,ଷ୍ଟଣ୍ଟିଂ ଏବଂ କମ୍ ଓଜନ ଅଭିବୃଦ୍ଧି ପାରାମିଟର୍
NALHATI-I ICDS PROJECT (NGO),ନଲହାଟି- I ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ (ଏନଜିଓ)
Enter Height in centimeter,ସେଣ୍ଟିମିଟରରେ ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |
Joynagar - I,ଜୟନଗର - I
CDPO OFFICE BATHINDA,ସିଡିପିଓ ଅଫିସ୍ ଭଟିଣ୍ଡା
Severely Wasted (SAM),ଗୁରୁତର ନଷ୍ଟ (SAM)
"No, Poshan Tracker is available only for Android version","ନା, କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍ ପାଇଁ ପୋଷନ୍ ଟ୍ରାକର୍ ଉପଲବ୍ଧ ।"
Harishchandrapur - I,ହରିଶ୍ଚନ୍ଦ୍ରପୁର - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ଦାୟିତ୍ବ ର ସୀମା ଏବଂ ସୀମିତତା
2.1. Deliver our services.,2.1. ଆମର ସେବା ବିତରଣ କରନ୍ତୁ |
Growth monitoring report for all health indicators,ସମସ୍ତ ସ୍ୱାସ୍ଥ୍ୟ ସୂଚକ ପାଇଁ ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ରିପୋର୍ଟ
Take Home Ration (THR) given in last 30 days,ବିଗତ 30 ଦିନ ମଧ୍ୟରେ ଦିଆଯାଇଥିବା ରାସନ୍ (THR) ଘରକୁ ନେଇଯାଆନ୍ତୁ
Please select District,ଦୟାକରି ଜିଲ୍ଲା ଚୟନ କରନ୍ତୁ
District’s Quarterly Performance,ଜିଲ୍ଲାର ତ୍ରୈମାସିକ ପ୍ରଦର୍ଶନ
3.1. Tracking health progress.,3.1. ସ୍ୱାସ୍ଥ୍ୟ ପ୍ରଗତି ଉପରେ ନଜର ରଖିବା
Raghunathpur - II,ରଘୁନାଥପୁର - II
Kultali ICDS Project,କୁଲତାଲି ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
CDPO Worli Kandivali Urban,ସିଡିପିଓ ୱର୍ଲି କାଣ୍ଡିଭାଲି ଅର୍ବାନ
Please enter Name,ଦୟାକରି ନାମ ପ୍ରବେଶ କରନ୍ତୁ
Balurghat Rural Ad,ବାଲୁରଘାଟ ଗ୍ରାମୀଣ ଏଡି
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,"WHO ଶିଶୁ ଅଭିବୃଦ୍ଧି ମାନାଙ୍କ ତଳେ ଯଦି ସେମାନଙ୍କର ଉଚ୍ଚତା-ବୟସ ଦୁଇଟି ଷ୍ଟାଣ୍ଡାର୍ଡ ବିଚ୍ଛିନ୍ନତାଠାରୁ ଅଧିକ ହୁଏ, ତେବେ ପିଲାମାନେ ଷ୍ଟଣ୍ଟ୍ ଭାବରେ ବ୍ୟାଖ୍ୟା କରାଯାଇଥାଏ |"
South 24 Parganas,ଦକ୍ଷିଣ 24 ପରଗନା
Deoghar Cum Jasidih,ଦେଓଘର କମ୍ ଜସିଦିହ
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","ସ୍ବୀକୃତିପ୍ରାପ୍ତ ସଂଗଠନଗୁଡିକ କୌଣସି ତଥ୍ୟକୁ ପୁନ - ବଣ୍ଟନ କରିବେ ନାହିଁ ଯାହାକି ସେମାନେ API / ନୋ-କୋଡ୍ ୱେବପେଜ୍ ଇଣ୍ଟିଗ୍ରେସନ୍ ମାଧ୍ୟମରେ ପ୍ରବେଶ କରିବାକୁ ସକ୍ଷମ ଅଟନ୍ତି ଏବଂ ନିଶ୍ଚିତ କରିବେ ଯେ ଏହିପରି ସମସ୍ତ ତଥ୍ୟର ଏକୀକରଣ ବାଧ୍ୟତାମୂଳକ ଭାବରେ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଦ୍ୱାରା ପ୍ରଦତ୍ତ ନିର୍ଦ୍ଦିଷ୍ଟ ସେବାରେ ସୀମିତ ରହିବ | କୌଣସି ପରିସ୍ଥିତିରେ, ଏକ ସଂସ୍ଥା ଏଠାରେ ଉଲ୍ଲେଖ କରାଯାଇଥିବା ଉଦ୍ଦେଶ୍ୟ ବ୍ୟତୀତ ଅନ୍ୟ କୌଣସି ଉଦ୍ଦେଶ୍ୟରେ ସଂଗୃହିତ ତଥ୍ୟକୁ ସରକାରଙ୍କ ପୋଶନ୍ ଅଭିୟାନର ଅଂଶ ଭାବରେ ବ୍ୟବହାର କରିବ ନାହିଁ ଏବଂ ସରକାରଙ୍କ ଦ୍ବାରା ଅନୁମତି ଦିଆଯାଇପାରେ।"
Helping make India malnutrition free,ଭାରତକୁ ପୁଷ୍ଟିହୀନତା ମୁକ୍ତ କରିବାରେ ସାହାଯ୍ୟ କରିବା
General Awareness on Module,ପରିମାପର ମାନ ଉପରେ ସାଧାରଣ ସଚେତନତା
What is the purpose of Launching Poshan Tracker?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆରମ୍ଭ କରିବାର ଉଦ୍ଦେଶ୍ୟ କଣ?
"As a registered user, you have the right to access your profile at any time.Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.You cannot manage the communications that you receive from us or how you receive them.","ଏକ ପଞ୍ଜୀକୃତ ଉପଭୋକ୍ତା ଭାବରେ, ଆପଣଙ୍କର ପ୍ରୋଫାଇଲକୁ ଯେକୌଣସି ସମୟରେ ପ୍ରବେଶ କରିବାର ଅଧିକାର ଅଛି | ଯଦିଓ, ପରିବର୍ତ୍ତନଗୁଡିକ କେବଳ ସମୟ ସମୟରେ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ସିଷ୍ଟମ୍ ଦ୍ୱାରା ନିର୍ଦ୍ଧାରିତ ଭାବରେ କରାଯାଇପାରିବ |ଆପଣ ଆମଠାରୁ ଗ୍ରହଣ କରୁଥିବା ଯୋଗାଯୋଗକୁ ଆପଣ ପରିଚାଳନା କରିପାରିବେ ନାହିଁ କିମ୍ବା ଆପଣ ସେଗୁଡିକ କିପରି ଗ୍ରହଣ କରନ୍ତି |"
View All FAQs,ସମସ୍ତ ଏଫଏକ୍ୟୁଗୁଡିକୁ ଦେଖନ୍ତୁ
Please Select Sector,ଦୟାକରି କ୍ଷେତ୍ର ଚୟନ କରନ୍ତୁ
Bankura - II,ବାଙ୍କୁରା - II
Raipur-  Karchulian,ରାୟପୁର- କାର୍ଚୁଲିଆନ୍
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. ନିୟମ, ତୃତୀୟ ପାର୍ଟି ଅଧିକାର ଏବଂ ସେବାଗୁଡିକର ଅନ୍ୟାନ୍ୟ ସର୍ତ୍ତାବଳୀ ସହିତ ସମନ୍ୱୟ"
"repeated infection, and inadequate psychosocial stimulation","ବାରମ୍ବାର ସଂକ୍ରମଣ, ଏବଂ ପର୍ଯ୍ୟାପ୍ତ ମନୋବିଜ୍ଞାନ ଉତ୍ସାହ |"
Oops!,ଓହୋ!
Page Not Found,ପୃଷ୍ଠାଟି ମିଳିଲା ନାହିଁ
Beneficiary migration from one AWC to another AWC,ହିତାଧିକାରୀ ଗୋଟିଏ ଏଡବ୍ଲୁସିରୁ ଅନ୍ୟ ଏକ ଏଡବ୍ଲୁସିକୁ ସ୍ଥାନାନ୍ତର
Gyalshing Rural Project,ଗୟାଲସିଂ ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
ABHA (Health ID),ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID)
Lohian khas,ଲୋହିଆନ୍ ଖାସ୍
Durg ( R ),ଦୁର୍ଗ ( ଆର)
Bagnan - II,ବାଗନାନ - II
Lawngtlai ICDS Project,ଲଙ୍ଗଟଲାଇ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Date of Birth,ଜନ୍ମ ତାରିଖ
Nihal Singh Wala,ନିହାଲ ସିଂ ୱାଲା
CDPO  Yavatmal-(U),ସିଡିପିଓ ୟାବତମାଲ-(ୟୁ)
DUM DUM SOUTH,ଦମ୍ ଦମ୍ ଦକ୍ଷିଣ
4:15 PM to 5:15 PM,4:15 PM ରୁ 5:15 PM
Sagar - U,ସାଗର - ୟୁ
About Poshan Tracker,ପୋଶାନ ଟ୍ରାକର ବିଷୟରେ
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","ପୋଷନ୍ ଅଭିଯାନ ଅନ୍ତର୍ଗତରେ ଆଇସିଟି ପ୍ଲାଟଫର୍ମ ଉପରେ ପ୍ରଶିକ୍ଷଣ (02 ଫେବୃଆରୀ, 2021)"
Panskura- II ADDL ICDS,ପାନସ୍କୁରା- II ଆଡିସନାଲ୍ ଆଇସିଡିଏସ୍
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM., Support-poshantrackr@gov. in ରେ ଇମେଲ୍ ପଠାଇ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଟିମ୍ ସହିତ ଯୋଗାଯୋଗ କରାଯାଇପାରିବ | ହାତ ଧରିବା ଏବଂ ସମର୍ଥନ ପାଇଁ ଆମେ ପ୍ରତ୍ୟେକ ଦିନ 4:15 PM ରୁ 5:15 PM ଭିଡିଓ କନଫରେନ୍ସ ଉପରେ ଉପଲବ୍ଧ |
Diyung Valley Icds Project,ଡିୟୁଙ୍ଗ ଭ୍ୟାଲି ଆଇସିଡିସ୍ ପ୍ରୋଜେକ୍ଟ
South West Delhi,ଦକ୍ଷିଣ ପଶ୍ଚିମ ଦିଲ୍ଲୀ
