eng,ml
Shahid Bhagat Singh Nagar,ഷാഹിദ് ഭഗത് സിംഗ് നഗർ
Matigara ICDS Project( Addl ),മതിഗര ഐസിഡിഎസ് പ്രോജക്ട് (അഡ്എൽ)
Goapokher- II Addl.,ഗോപോഖർ- II എഡിഎൽ.
Sonbhadra Banshi Suryapur,സോൻഭദ്ര ബൻഷി സൂര്യപൂർ
Please enter valid Date of Birth,സാധുവായ ജനനത്തീയതി നൽകുക
Jugijan Icds Project,ജുഗിജൻ ഐസിഡിഎസ് പ്രോജക്ട്
Ketugram - I,കേതുഗ്രാം - I
How to revive your Health?,നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം?
West Garo Hills,വെസ്റ്റ് ഗാരോ ഹിൽസ്
West Singhbhum - Jharkhand,വെസ്റ്റ് സിംഗ്ഭും - ജാർഖണ്ഡ്
Delhi Project 2,ഡൽഹി പ്രോജക്ട് 2
2.2. Communicate with you.,2.2. നിങ്ങളുമായി ആശയവിനിമയം നടത്തുക.
Who is eligible for additional supplementary food?,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് ആർക്കാണ് അർഹത?
CHAUTH KA BARWARA,ചൌത് കാ ബർവാര
Namchi Rural Project,നാംചി ഗ്രാമീണ പ്രോജക്ട്
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","അത്തരം മാറ്റങ്ങളെക്കുറിച്ച് നിങ്ങളെ പ്രത്യേകമായി അറിയിക്കാതെ തന്നെ, ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ഭാഗം എപ്പോൾ വേണമെങ്കിലും മാറ്റാനോ പരിഷ്ക്കരിക്കാനോ ചേർക്കാനോ നീക്കം ചെയ്യാനോ ഉള്ള നിരുപാധിക അവകാശം ഞങ്ങളിൽ നിക്ഷിപ്തമാണ്."
Any changes or updates will be effective immediately.,എന്തെങ്കിലും മാറ്റങ്ങളോ അപ്ഡേറ്റുകളോ ഉടനടി പ്രാബല്യത്തിൽ വരും.
You take the responsibility to check these Terms of Use periodically for changes.,മാറ്റങ്ങൾക്കായി കാലാകാലങ്ങളിൽ ഈ ഉപയോഗ നിബന്ധനകൾ പരിശോധിക്കുന്നതിനുള്ള ഉത്തരവാദിത്തം നിങ്ങൾ ഏറ്റെടുക്കുന്നു.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,അത്തരം പുനരവലോകനത്തിനു ശേഷമുള്ള നിങ്ങളുടെ പ്ലാറ്റ്ഫോം തുടർച്ചയായി ഉപയോഗിക്കുന്നത് പരിഷ്കരിച്ച നിബന്ധനകൾ അംഗീകരിക്കുന്നതാണ്.
Project - Iii,പ്രോജക്ട് - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,"സ്വയം രജിസ്റ്റർ ചെയ്യുന്നതിൽ AWW പരാജയപ്പെട്ടാൽ 2 സാധ്യതകൾ ഉണ്ടാകാംഃMoWCD ന് സംസ്ഥാനങ്ങൾ നൽകിയ ഡാറ്റയിൽ അവരുടെ മൊബൈൽ നമ്പർ ഇല്ലഅവ സിസ്റ്റത്തിലേക്ക് പുതുതായി ചേർത്തു, അവരുടെ മൊബൈൽ നമ്പർ ഇതുവരെ സ്റ്റേറ്റ് സെൽ മോഒപ്പംഎസ്ഡി ലേക്ക് നൽകിയിട്ടില്ല."
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,മേൽപ്പറഞ്ഞ രണ്ട് കേസുകളിലും ഏതെങ്കിലും എഒപ്പംഒപ്പം ചേർക്കാനോ / എഡിറ്റുചെയ്യാനോ / സജീവമാക്കാനോ / നിർജ്ജീവമാക്കാനോ സ്റ്റേറ്റ് നോഡൽ ഓഫീസർമാർക്ക് അധികാരമുണ്ട്.
Bilkhawthlir Icds Project,ബിൽഖൌത്ലിർ ഐസിഡിഎസ് പ്രോജക്ട്
No Record to Show,കാണിക്കുന്നതിനുള്ള റെക്കോർഡ് ഇല്ല
Kailashahar District H.,കൈലാഷഹർ ജില്ലാ എച്ച്.
Q,ക്യു
How many different types of reports can be generated over Poshan Tracker Dashboard?,പോഷൻ ട്രാക്കർ ഡാഷ്ബോർഡിൽ എത്ര വ്യത്യസ്ത തരം റിപ്പോർട്ടുകൾ സൃഷ്ടിക്കാൻ കഴിയും?
WHO standards are,ലോകാരോഗ്യ സംഘടനയുടെ മാനദണ്ഡങ്ങൾ
Murarai-II ICDS Project,മുരാരായ്-II ഐസിഡിഎസ് പ്രോജക്ട്
South East Delhi,തെക്ക് കിഴക്കൻ ഡൽഹി
Ashoknagar- Kalyangarh (U),അശോക്നഗർ- കല്യാൺഗഡ് (യു)
How to revive your health if you are Severely Wasted (SAM),നിങ്ങൾ ഗുരുതരമായി പാഴായെങ്കിൽ (SAM) നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം
Baba Belkhar Nath Dham,ബാബ ബെൽഖർ നാഥ് ധാം
Firozabad City 2,ഫിറോസാബാദ് സിറ്റി 2
What is Poshan Calculator,എന്താണ് പോഷൻ കാൽക്കുലേറ്റർ
Binpur - I,ബിൻപൂർ - I
Ldh Urban 2,എൽഡിഎച്ച് അർബൻ 2
"See assessment charts for Stunted, Wasted and Underweight parameters","മുരടിച്ച, പാഴായ, ഭാരം കുറഞ്ഞ പാരാമീറ്ററുകൾക്കായുള്ള മൂല്യനിർണ്ണയ ചാർട്ടുകൾ കാണുക"
Visit state page,സംസ്ഥാന പേജ് സന്ദർശിക്കുക
Best performing districts,മികച്ച പ്രകടനം കാഴ്ചവെച്ച ജില്ലകൾ
Sandeshkhali - I,സന്ദേശ്ഖാലി - I
Resources for growth monitoring and general awareness,വളർച്ചാ നിരീക്ഷണത്തിനും പൊതുഅവബോധത്തിനുമുള്ള വിഭവങ്ങൾ
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ഒരു പ്രത്യേക അംഗൻവാടി കേന്ദ്രത്തിൽ നിലവിലുള്ള അടിസ്ഥാന സ to കര്യങ്ങളുമായി ബന്ധപ്പെട്ട വിശദാംശങ്ങൾ നൽകുന്നതിന് എഒപ്പംഒപ്പം ആവശ്യമാണ്.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ഘടന, അടിസ്ഥാന സ, കര്യങ്ങൾ, സൌകര്യങ്ങൾ, ശുചിത്വം, കുടിവെള്ളം എന്നിവ ഇതിൽ ഉൾപ്പെടുന്നു."
Lactating mothers who received Take Home Ration (THR),ടേക്ക് ഹോം റേഷൻ (THR) ലഭിച്ച മുലയൂട്ടുന്ന അമ്മമാർ
Balurghat (U),ബാലുർഘട്ട് (യു)
Last updated on,അവസാനം അപ്ഡേറ്റ് ചെയ്തത്
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","അത്തരം മാറ്റങ്ങളെക്കുറിച്ച് നിങ്ങളെ പ്രത്യേകമായി അറിയിക്കാതെ തന്നെ, ഈ സ്വകാര്യതാ നയത്തിന്റെ ഏതെങ്കിലും ഭാഗം എപ്പോൾ വേണമെങ്കിലും മാറ്റുന്നതിനും പരിഷ്ക്കരിക്കുന്നതിനും ചേർക്കുന്നതിനും നീക്കം ചെയ്യുന്നതിനുമുള്ള നിരുപാധികമായ അവകാശം Poshan Tracker-ൽ നിക്ഷിപ്തമാണ്."
Any changes or updates will be effective immediately.,എന്തെങ്കിലും മാറ്റങ്ങളോ അപ്ഡേറ്റുകളോ ഉടനടി പ്രാബല്യത്തിൽ വരും.
You should review this Privacy Policy regularly for changes.,മാറ്റങ്ങൾക്കായി നിങ്ങൾ ഈ സ്വകാര്യതാ നയം പതിവായി അവലോകനം ചെയ്യണം.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","സിസ്റ്റത്തിലെ ഒരു അറിയിപ്പ് പോലെ, ഈ സ്വകാര്യതാ നയത്തിലെ എന്തെങ്കിലും ഭൌതിക മാറ്റങ്ങളെ കുറിച്ച് എല്ലാ ഉപയോക്താക്കളെയും പൊതുവായി അറിയിക്കുന്നതിന് വാണിജ്യപരമായി ന്യായമായ ശ്രമങ്ങൾ ഞങ്ങൾ ഉപയോഗിക്കും."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","എന്നിരുന്നാലും, സിസ്റ്റത്തിന്റെ ഒരു ഉപയോക്താവെന്ന നിലയിൽ, എന്തെങ്കിലും മാറ്റങ്ങൾക്കായി നിങ്ങൾ പതിവായി സ്വകാര്യതാ നയം പരിശോധിക്കണം."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","ഈ സ്വകാര്യതാ നയത്തിന്റെ പ്രാബല്യത്തിലുള്ള തീയതിയെ പ്രതിഫലിപ്പിക്കുന്ന ഈ സ്വകാര്യതാ നയത്തിന്റെ മുകളിലുള്ള ""അവസാനം അപ്ഡേറ്റ് ചെയ്ത"" തീയതിയും ഞങ്ങൾ അപ്ഡേറ്റ് ചെയ്യും."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,പുതിയ സ്വകാര്യതാ നയത്തിന്റെ തീയതിക്ക് ശേഷമുള്ള നിങ്ങളുടെ തുടർച്ചയായ ആക്സസ് അല്ലെങ്കിൽ സിസ്റ്റത്തിന്റെ ഉപയോഗം പുതിയ സ്വകാര്യതാ നയം നിങ്ങൾ അംഗീകരിക്കുന്നു.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","നിങ്ങൾ പുതിയ സ്വകാര്യതാ നയം അംഗീകരിക്കുന്നില്ലെങ്കിൽ, നിങ്ങൾ സിസ്റ്റം ആക്സസ് ചെയ്യുന്നത് കൂടാതെ/അല്ലെങ്കിൽ ഉപയോഗിക്കുന്നത് നിർത്തണം."
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","നിങ്ങളുടെ വിവരങ്ങളുടെ ശേഖരണം, സംഭരണം, പ്രോസസ്സിംഗ് അല്ലെങ്കിൽ മറ്റ് ഉപയോഗം എന്നിവ അത്തരം ശേഖരണമോ സംഭരണമോ പ്രോസസ്സിംഗോ മറ്റ് ഉപയോഗമോ ചെയ്യുമ്പോൾ ബാധകമായ സ്വകാര്യതാ നയത്താൽ നിയന്ത്രിക്കപ്പെടുമെന്ന് നിങ്ങൾ ഇതിനാൽ അംഗീകരിക്കുന്നു."
JOYNAGAR-II ICDS PROJECT,ജോയ്നഗർ-II ഐസിഡിഎസ് പ്രോജക്ട്
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
Stunting and Underweight Growth Parameters,മുരടിപ്പിൻറേയും ഭാരക്കുറവിൻറേയും വളർച്ചാ മാനദണ്ഡങ്ങൾ
NALHATI-I ICDS PROJECT (NGO),നൽഹതി-I ഐഡിഡിഎസ് പ്രോജക്ട് (എൻജിഒ)
Enter Height in centimeter,സെന്റിമീറ്ററിൽ ഉയരം നൽകുക
Joynagar - I,ജോയ്നഗർ - I
CDPO OFFICE BATHINDA,സിഡിപിഒ ഓഫീസ് ബത്തിണ്ട
Severely Wasted (SAM),ഗുരുതരമായി പാഴായത് (SAM)
"No, Poshan Tracker is available only for Android version","ഇല്ല, പോഷൻ ട്രാക്കർ പതിപ്പിന് മാത്രം ലഭ്യമാണ്."
Harishchandrapur - I,ഹരിശ്ചന്ദ്രപൂർ - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. നഷ്ടപരിഹാരവും ബാധ്യതയുടെ പരിമിതിയും
2.1. Deliver our services.,2.1. ഞങ്ങളുടെ സേവനങ്ങൾ എത്തിക്കുക.
Growth monitoring report for all health indicators,എല്ലാ ആരോഗ്യ സൂചകങ്ങൾക്കുമുള്ള വളർച്ചാ നിരീക്ഷണ റിപ്പോർട്ട്
Take Home Ration (THR) given in last 30 days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ നൽകിയ ഹോം റേഷൻ (THR) എടുക്കുക
Please select District,ദയവായി ജില്ല തെരഞ്ഞെടുക്കുക
District’s Quarterly Performance,ജില്ലയുടെ ത്രൈമാസ പ്രകടനം
3.1. Tracking health progress.,3.1. ആരോഗ്യ പുരോഗതി ട്രാക്കുചെയ്യുന്നു.
Raghunathpur - II,രഘുനാഥ്പൂർ - II
Kultali ICDS Project,കുൽത്താളി ഐസിഡിഎസ് പ്രോജക്ട്
CDPO Worli Kandivali Urban, സി. ഡി. പി. ഒ വോർലി കാന്തിവാലി അർബൻ
Please enter Name,ദയവായി പേര് എൻറർ ചെയ്യുക
Balurghat Rural Ad,ബാലൂർഘട്ട് റൂറൽ പരസ്യം
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,WHO ചൈൽഡ് ഗ്രോത്ത് സ്റ്റാൻഡേർഡ് മീഡിയനേക്കാൾ താഴെയുള്ള രണ്ട് സ്റ്റാൻഡേർഡ് ഡീവിയേഷനുകളിൽ പ്രായത്തിനനുസരിച്ചുള്ള ഉയരം ഉണ്ടെങ്കിൽ കുട്ടികളെ മുരടിച്ചവരായി നിർവചിക്കുന്നു
South 24 Parganas,സൌത്ത് 24 പർഗാനാസ്
Deoghar Cum Jasidih,ദിയോഘർ കം ജസിദിഹ്
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,"അംഗീകൃത ഓർഗനൈസേഷനുകൾ API/ നോ-കോഡ് വെബ്പേജ് ഇന്റഗ്രേഷൻ വഴി ആക്സസ് ചെയ്യാൻ കഴിയുന്ന ഒരു ഡാറ്റയും വീണ്ടും വിതരണം ചെയ്യില്ല, കൂടാതെ അത്തരം എല്ലാ ഡാറ്റയുടെയും സംയോജനം പോഷൻ ട്രാക്കർ നൽകുന്ന നിർദ്ദിഷ്ട സേവനങ്ങളിൽ നിർബന്ധമായും പരിമിതപ്പെടുത്തിയിരിക്കുന്നുവെന്ന് ഉറപ്പാക്കുകയും ചെയ്യും."
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","ഒരു കാരണവശാലും, ഗവൺമെന്റിന്റെ പോഷൻ അഭിയാന്റെ ഭാഗമായി ശേഖരിക്കുന്ന ഡാറ്റ ഇവിടെ വ്യക്തമാക്കിയിട്ടുള്ളതും സർക്കാർ അനുവദിച്ചേക്കാവുന്നതുമായ ആവശ്യങ്ങൾക്കല്ലാതെ ഒരു സ്ഥാപനം ഉപയോഗിക്കാൻ പാടില്ല."
Helping make India malnutrition free,ഇന്ത്യയെ പോഷകാഹാരക്കുറവ് സ്വതന്ത്രമാക്കാൻ സഹായിക്കുന്നു
General Awareness on Module,മൊഡ്യൂളിനെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
What is the purpose of Launching Poshan Tracker?,പോഷൻ ട്രാക്കർ സമാരംഭിക്കുന്നതിന്റെ ഉദ്ദേശ്യം എന്താണ്?
"As a registered user, you have the right to access your profile at any time.","ഒരു രജിസ്റ്റർ ചെയ്ത ഉപയോക്താവ് എന്ന നിലയിൽ, ഏത് സമയത്തും നിങ്ങളുടെ പ്രൊഫൈൽ ആക്സസ് ചെയ്യാനുള്ള അവകാശം നിങ്ങൾക്കുണ്ട്."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","എന്നിരുന്നാലും, കാലാകാലങ്ങളിൽ പോഷൻ ട്രാക്കർ സിസ്റ്റം നിർദ്ദേശിക്കുന്ന മാറ്റങ്ങൾ മാത്രമേ ചെയ്യാൻ കഴിയൂ."
You cannot manage the communications that you receive from us or how you receive them.,ഞങ്ങളിൽ നിന്ന് നിങ്ങൾക്ക് ലഭിക്കുന്ന ആശയവിനിമയങ്ങളോ അവ എങ്ങനെ സ്വീകരിക്കുന്നുവെന്നോ നിങ്ങൾക്ക് മാനേജ് ചെയ്യാൻ കഴിയില്ല.
View All FAQs,എല്ലാ FAQs ഉം കാണുക
Please Select Sector,ദയവായി മേഖല തിരഞ്ഞെടുക്കുക
Bankura - II,ബങ്കുര - II
Raipur-  Karchulian,റായ്പൂർ- കാർച്ചുലിയൻ
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. നിയമം, മൂന്നാം കക്ഷി അവകാശങ്ങൾ, മറ്റ് സേവന നിബന്ധനകൾ എന്നിവ പാലിക്കൽ"
"repeated infection, and inadequate psychosocial stimulation","ആവർത്തിച്ചുള്ള അണുബാധ, അപര്യാപ്തമായ മാനസിക സാമൂഹിക ഉത്തേജനം"
Oops!,ക്ഷമിക്കണം!
Page Not Found,പേജ് കണ്ടെത്തിയില്ല
Beneficiary migration from one AWC to another AWC,ഗുണഭോക്താവ് ഒരു AWC ൽ നിന്നും മറ്റൊരു AWC ലേക്ക് കുടിയേറി
Gyalshing Rural Project,ഗ്യാൽഷിങ് ഗ്രാമീണ പ്രോജക്ട്
ABHA (Health ID),ABHA (ഹെൽത്ത് ഐഡി)
Lohian khas,ലോഹ്യാൻ ഖാസ്
Durg ( R ),ദുർഗ് (ആർ)
Bagnan - II,ബഗ്നാൻ - II
Lawngtlai ICDS Project,ലോങ്ട്ലൈ ഐസിഡിഎസ് പ്രോജക്ട്
Date of Birth,ജനനതീയതി
Nihal Singh Wala,നിഹാൽ സിംഗ് വാല
CDPO  Yavatmal-(U),സിഡിപിഒ യവത്മാൽ-(യു)
DUM DUM SOUTH,ദം ദം സൌത്ത്
4:15 PM to 5:15 PM,4:15 PM മുതൽ 5:15 PM വരെ
Sagar - U,സാഗർ - യു
About Poshan Tracker,പോഷന് ട്രാക്കര് സംബന്ധിച്ച്
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","പോഷൻ അഭിയാൻ (02 ഫെബ്രുവരി, 2021) ന് കീഴിലുള്ള ഐസിടി പ്ലാറ്റ്ഫോമിലെ പരിശീലനം"
Panskura- II ADDL ICDS,പൻസ്കുര- II എഡിഡിഎൽ ഐസിഡിഎസ്
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM., support-poshantrackr@gov. in ൽ ഇമെയിലുകൾ അയച്ചുകൊണ്ട് പോഷൻ ട്രാക്കർ ടീമിനെ ബന്ധപ്പെടാം.ഹാൻഡ്ഹോൾഡിംഗിനും പിന്തുണയ്ക്കും ഞങ്ങൾ ഓരോ ദിവസവും ഉച്ചകഴിഞ്ഞ് 4:15 മുതൽ 5:15 വരെ വീഡിയോ കോൺഫറൻസിലൂടെ ലഭ്യമാണ്.
Diyung Valley Icds Project,ഡിയുങ് വാലി ഐസിഡിഎസ് പ്രോജക്ട്
South West Delhi,തെക്ക് പടിഞ്ഞാറൻ ഡൽഹി
You may browse the Site without registering for an account.,ഒരു അക്കൌണ്ടിനായി രജിസ്റ്റർ ചെയ്യാതെ തന്നെ നിങ്ങൾക്ക് സൈറ്റ് ബ്രൌസ് ചെയ്യാം.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","സൈറ്റ് വാഗ്ദാനം ചെയ്യുന്ന ചില സവിശേഷതകളോ സേവനങ്ങളോ ഉപയോഗിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുവെങ്കിൽ, നിങ്ങളുടെ മൊബൈൽ നമ്പർ ഉപയോഗിച്ച് ഒരു അക്കൌണ്ടിനായി നിങ്ങൾ രജിസ്റ്റർ ചെയ്യേണ്ടതുണ്ട്."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","ഈ നിബന്ധനകൾ അംഗീകരിച്ചുകൊണ്ട്, നിങ്ങളുടെ ഐഡന്റിറ്റി വിവരങ്ങളും (ആധാർ വിശദാംശങ്ങൾ ഉൾപ്പെടെ) നിങ്ങളുടെ അക്കൌണ്ടിൽ രജിസ്റ്റർ ചെയ്തിട്ടുള്ള മറ്റെല്ലാ അംഗങ്ങളുടെയും വിവരങ്ങൾ ഉപയോഗിക്കുന്നതിന് ഞങ്ങളെ അധികാരപ്പെടുത്താൻ നിങ്ങൾ വ്യക്തമായി സമ്മതിക്കുന്നു."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങളുടെയും രജിസ്ട്രേഷന്റെയും രഹസ്യസ്വഭാവം കാത്തുസൂക്ഷിക്കുന്നതിനും ഈ വിവരങ്ങൾ സുരക്ഷിതമായി സൂക്ഷിക്കുന്നതിൽ നിങ്ങൾ പരാജയപ്പെടുന്നതിന്റെ ഫലമായുണ്ടാകുന്ന എല്ലാ പ്രവർത്തനങ്ങളുടെയും ഉത്തരവാദിത്തം നിങ്ങൾക്കാണ്.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,നിങ്ങളുടെ രജിസ്ട്രേഷനോ മൊബൈൽ നമ്പറോ രഹസ്യമായി സൂക്ഷിക്കുംനിങ്ങൾ അത് ഏറ്റെടുക്കുകഃനിങ്ങളുടെ അക്കൌണ്ട് വഴി അവരുടെ രേഖകൾ സൃഷ്ടിക്കുന്നതിന് ബന്ധപ്പെട്ട വ്യക്തികളിൽ നിന്ന് നിങ്ങൾ സമ്മതം നേടിയിട്ടുണ്ട്.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,നിങ്ങളുടെ അക്കൌണ്ടിലോ മൊബൈൽ നമ്പറിലോ ആ വ്യക്തിയായി ആൾമാറാട്ടം നടത്തുക എന്ന ഉദ്ദേശ്യത്തോടെ മറ്റൊരു വ്യക്തിയുടെ പേര് ഉൾപ്പെടുത്തരുത്.
You shall not use another user's account without their permission.,മറ്റൊരു ഉപയോക്താവിന്റെ അനുമതി കൂടാതെ അവരുടെ അക്കൌണ്ട് നിങ്ങൾ ഉപയോഗിക്കരുത്.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","നിങ്ങളുടെ അക്കൌണ്ടിന്റെ ഏതെങ്കിലും അനധികൃത ഉപയോഗമോ അക്കൌണ്ടുമായി ബന്ധപ്പെട്ട മറ്റ് സുരക്ഷാ ലംഘനമോ കണ്ടെത്തിയാൽ, നിങ്ങൾ ഉടൻ ഞങ്ങളെ രേഖാമൂലം അറിയിക്കും."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",നിങ്ങളുടെ അക്കൌണ്ട് മറ്റൊരാളുടെ അവകാശങ്ങൾ ലംഘിക്കുകയോ ഞങ്ങളുടെ നയങ്ങൾ ലംഘിക്കുകയോ ചെയ്യുന്നതായി ഞങ്ങൾക്ക് പരാതി ലഭിച്ചാൽ ഞങ്ങൾ നിങ്ങളുടെ അക്കൌണ്ട് റദ്ദാക്കുകയോ ബ്ലോക്ക് ചെയ്യുകയോ ചെയ്യാം.
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",സൈറ്റിൽ പങ്കെടുക്കുന്നവരെ രജിസ്റ്റർ ചെയ്യുന്നതിന് ഒന്നിലധികം ഇന്റർനെറ്റ് പ്രോട്ടോക്കോൾ വിലാസങ്ങളോ മൊബൈൽ നമ്പറോ മറ്റേതെങ്കിലും മാർഗമോ ഉപയോഗിച്ച് നിങ്ങളുടെ ഐഡന്റിറ്റി മറയ്ക്കാൻ നിങ്ങൾ ശ്രമിക്കരുത്
What is  MPIN?,എന്താണ് എംപിൻ?
Rongmongwe & Samelangso Icds Project,റോങ്മോങ്വെ & സാമെലാങ്സോ ഐസിഡി പ്രോജക്റ്റ്
Pakabetbari Icds Project,പകബെത്ബാരി ഐസിഡിഎസ് പ്രോജക്ട്
Please Select Reported By,ദയവായി റിപ്പോർട്ട് ചെയ്തത് തിരഞ്ഞെടുക്കുക
Kaliachak - III,കാലിയചക് - III
Dakshin Bastar Dantewada,ദക്ഷിണ ബസ്തർ ദന്തേവാഡ
Cdpo Proj No-1,സിഡിപിഒ പ്രോജ് നമ്പർ-1
Berhampur (U) - II,ബെർഹാംപൂർ (യു) - II
Enter Mobile Number,മൊബൈൽ നമ്പർ നൽകുക
"Project-3, Palanganatham, Madurai","പ്രോജക്ട്-3, പഴംഗനാഥം, മധുര"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,പോഷൻ ട്രാക്കർ ആപ്പ് 22 വ്യത്യസ്ത ഭാഷകളിൽ ലഭ്യമാണ്ലഭ്യമായ വിവിധ ഭാഷകൾ ഇവയാണ്ഃഇംഗ്ലീഷ്ഹിന്ദിഗുജറാത്തിപഞ്ചാബിമറാത്തിബംഗ്ലാകന്നഡതമിഴ്ടെലിഗുമല്യാലംഒഡിയആസാമീസ്NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,AWC കുത്തിവയ്പ് പ്രവണതകൾ
Jhalda - I,ജൽദ - I
Reiek ICDS Project,റീക്ക് ഐസിഡിഎസ് പ്രോജക്ട്
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","അംഗൻവാടി സെന്ററിന്റെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങൾ, അംഗൻവാടി വർക്കേഴ്സിന്റെ (എഡബ്ല്യുഡബ്ല്യു) സേവന ഡെലിവറികൾ, ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, കുട്ടികൾ എന്നിവരുടെ സമ്പൂർണ്ണ ഗുണഭോക്തൃ മാനേജുമെന്റ് എന്നിവയെക്കുറിച്ച് 360 ഡിഗ്രി കാഴ്ച നൽകുക എന്നതാണ് പോഷാൻ ട്രാക്കർ ആപ്ലിക്കേഷന്റെ ലക്ഷ്യം."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","നിർദ്ദിഷ്ട സൂചകങ്ങളിൽ എല്ലാ എഡബ്ല്യുസി, എഡബ്ല്യുഡബ്ല്യു, ഗുണഭോക്താക്കൾ എന്നിവരുടെ തത്സമയ നിരീക്ഷണവും ട്രാക്കുചെയ്യലും നിർദ്ദിഷ്ട സംവിധാനം പ്രാപ്തമാക്കണം."
Current Month Performance,നിലവിലെ മാസത്തെ പ്രകടനം
Rjn Gramin 02,ആർജെഎൻ ഗ്രാമിൻ 02
How to Login in Poshan Tracker App?,പോഷൻ ട്രാക്കർ അപ്ലിക്കേഷനിൽ എങ്ങനെ ലോഗിൻ ചെയ്യാം?
Height and weight of child has not been measured,കുട്ടിയുടെ ഭാരവും ഉയരവും അളന്നിട്ടില്ല
PM’s Program Districts,പ്രധാനമന്ത്രിയുടെ പരിപാടി ജില്ലകൾ
Kaliachak - I,കാലിയാചക് - I
Jagatballav pur ICDS,ജഗത്ബല്ലവ് പുർ ഐ. സി. ഡി. എസ്
CDPO Civil Washim,സിഡിപിഒ സിവിൽ വാഷിം
Terms of Service,സേവന നിബന്ധനകൾ
2.5. Research and operational activities.,2.5. ഗവേഷണ പ്രവർത്തനങ്ങളും പ്രവർത്തനങ്ങളും.
Tufanganj I Addl,തുഫംഗഞ്ച് I എഡിഡിഎൽ
