eng,gu
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે
Shahid Bhagat Singh Nagar,શાહિદ ભગતસિંહ નગર
Matigara ICDS Project( Addl ),મતિગારા આઈસીડીએસ પ્રોજેક્ટ (એડીડીએલ)
Goapokher- II Addl.,ગોઆપોખેર-II એડીડીએલ.
Sonbhadra Banshi Suryapur,સોનભદ્ર બંશી સુર્યપુર
Please enter valid Date of Birth,કૃપા કરીને માન્ય જન્મ તારીખ દાખલ કરો
Jugijan Icds Project,ગીજાન આઈસીડીએસ પ્રોજેક્ટ
Ketugram - I,કેતુગ્રામ-I
How to revive your Health?,તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું?
West Garo Hills,વેસ્ટ ગેરો હિલ્સ
West Singhbhum - Jharkhand,પશ્ચિમ સિંહભૂમ - ઝારખંડ
Delhi Project 2,દિલ્હી પ્રોજેક્ટ 2
2.2. Communicate with you.,2.2. તમારી સાથે વાતચીત.
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?
CHAUTH KA BARWARA,ચૌથ કા બરવાડા
Namchi Rural Project,નામચી ગ્રામીણ પ્રોજેક્ટ
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","અમે તમને આવા ફેરફારો વિશે ખાસ જાણ કર્યા વિના કોઈપણ સમયે આ શરતોના કોઈપણ ભાગને બદલવા, સંશોધિત કરવા, ઉમેરવા અથવા દૂર કરવાનો બિનશરતી અધિકાર અનામત રાખીએ છીએ."
Any changes or updates will be effective immediately.,કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે.
You take the responsibility to check these Terms of Use periodically for changes.,તમે ફેરફારો માટે સમયાંતરે આ ઉપયોગની શરતો તપાસવાની જવાબદારી લો છો.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,આવા પુનરાવર્તન પછી પ્લેટફોર્મનો તમારો સતત ઉપયોગ સંશોધિત શરતોની સ્વીકૃતિનું નિર્માણ કરશે.
Project - Iii,પ્રોજેક્ટ - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,"જો આંગણવાડી કાર્યકરો પોતાણી નોંધણી કરવામાં અસફળ થાય, તો તેની 2 શક્યતાઓ હોઈ શકે છેઃએમઓડબ્લ્યુસીડીને રાજ્યો દ્વારા પ્રદાન કરવામાં આવેલા ડેટામાં તેમનો મોબાઇલ નંબર હાજર નથી.તેઓ સિસ્ટમમાં નવા ઉમેરાયા છે અને તેમનો મોબાઈલ નંબર રાજ્ય સેલ દ્વારા એમઓડબ્લ્યુસીડીને હજી પ્રદાન કરવામાં આવ્યો નથી.ઉપરોક્ત બંને કેસોમાં રાજ્ય નોડલ અધિકારીઓને કોઈપણ આંગણવાડી કાર્યકરને ઉમેરવા / સંપાદન / સક્રિય / નિષ્ક્રિય કરવા માટે સત્તા આપવામાં આવી છે."
Bilkhawthlir Icds Project,બિખાવથલીર આઈસીડીએસ પ્રોજેક્ટ
No Record to Show,બતાવવા માટે કોઈ રેકોર્ડ નથી
Kailashahar District H.Q,કૈલાશહાર જિલ્લો એચ. ક્યુ.
How many different types of reports can be generated over Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?
WHO standards are,WHO ધોરણો છે
Murarai-II ICDS Project,મુરારાઈ-II આઈસીડીએસ પ્રોજેક્ટ
South East Delhi,દક્ષિણ પૂર્વ દિલ્હી
Ashoknagar- Kalyangarh (U),અશોકનગર-કલ્યાણગઢ (યુ)
How to revive your health if you are Severely Wasted (SAM),જો તમે ગંભીર રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (SAM)
Baba Belkhar Nath Dham,બાબા બેલ્ખર નાથ ધામ
Firozabad City 2,ફિરોઝાબાદ સિટી 2
What is Poshan Calculator,પોષણ કેલ્ક્યુલેટર શું છે
Binpur - I,બિનપુર-I
Ldh Urban 2,લુધિયાણા અર્બન 2
"See assessment charts for Stunted, Wasted and Underweight parameters","સ્ટંટેડ, વેસ્ટેડ અને ઓછા વજનના પરિમાણો માટે આકારણી ચાર્ટ જુઓ"
Visit state page,રાજ્ય પૃષ્ઠની મુલાકાત લો
Best performing districts,શ્રેષ્ઠ પ્રદર્શન કરતા જિલ્લાઓ
Sandeshkhali - I,સંદેશખાલી-I
Resources for growth monitoring and general awareness,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,"આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે."
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે."
Lactating mothers who received Take Home Ration (THR),ટેક હોમ રાશન (THR) મેળવનાર સ્તનપાન કરાવતી માતાઓ
Balurghat (U),બાલુરઘાટ (યુ)
Last updated on,છેલ્લે અપડેટ કર્યું
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","Poshan Tracker આ પ્રાઇવસી પોલિસી ના કોઈપણ ભાગને કોઈપણ સમયે બદલવા, સંશોધિત કરવા, ઉમેરવા અથવા દૂર કરવાનો બિનશરતી અધિકાર અનામત રાખે છે, તમને આવા ફેરફારો વિશે ખાસ જાણ કર્યા વિના."
Any changes or updates will be effective immediately.,કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે.
You should review this Privacy Policy regularly for changes.,ફેરફારો માટે તમારે આ પ્રાઇવસી પોલિસી ની નિયમિત સમીક્ષા કરવી જોઈએ.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","અમે સામાન્ય રીતે તમામ વપરાશકર્તાઓને આ પ્રાઇવસી પોલિસી માં કોઈપણ ભૌતિક ફેરફારોની સૂચના આપવા માટે વ્યાવસાયિક રીતે વાજબી પ્રયાસોનો ઉપયોગ કરીશું, જેમ કે સિસ્ટમ પરની સૂચના દ્વારા."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","જો કે, સિસ્ટમના વપરાશકર્તા તરીકે, તમારે કોઈપણ ફેરફારો માટે નિયમિતપણે પ્રાઇવસી પોલિસી તપાસવી જોઈએ."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","અમે આ પ્રાઇવસી પોલિસી ની ટોચ પર ""છેલ્લી અપડેટ કરેલ"" તારીખને પણ અપડેટ કરીશું, જે આ પ્રાઇવસી પોલિસી ની અસરકારક તારીખને પ્રતિબિંબિત કરે છે."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,નવી પ્રાઇવસી પોલિસી ની તારીખ પછી સિસ્ટમની તમારી સતત ઍક્સેસ અથવા ઉપયોગ નવી પ્રાઇવસી પોલિસી ની તમારી સ્વીકૃતિની રચના કરે છે.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","જો તમે નવી પ્રાઇવસી પોલિસી સાથે સંમત ન હોવ, તો તમારે સિસ્ટમને ઍક્સેસ કરવાનું અને/અથવા ઉપયોગ કરવાનું બંધ કરવું પડશે."
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","તમે આથી સ્વીકારો છો કે તમારી માહિતીનો કોઈપણ સંગ્રહ, સંગ્રહ, પ્રક્રિયા અથવા અન્ય ઉપયોગ આવા સંગ્રહ, સંગ્રહ, પ્રક્રિયા અથવા અન્ય ઉપયોગના સમયે લાગુ પડતી પ્રાઇવસી પોલિસી દ્વારા સંચાલિત થશે."
JOYNAGAR-II ICDS PROJECT,જોયનગર-II આઈસીડીએસ પ્રોજેક્ટ
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
Stunting and Underweight Growth Parameters,વૃદ્ધિ અટકી જવી અને ઓછા વજન સાથે વૃદ્ધિને લગતા માપદંડો
NALHATI-I ICDS PROJECT (NGO),નાલહાટી-I આઈસીડીએસ પ્રોજેક્ટ (એનજીઓ)
Enter Height in centimeter,સેન્ટીમીટરમાં ઊંચાઈ દાખલ કરો
Joynagar - I,જોયનગર-I
CDPO OFFICE BATHINDA,સીડીપીઓ ઓફિસ ભટિંડા
Severely Wasted (SAM),ગંભીર રીતે વેડફાઇ ગયેલ (SAM)
"No, Poshan Tracker is available only for Android version","ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે."
Harishchandrapur - I,હરિશચંદ્રપુર-I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ક્ષતિપૂર્તિ અને જવાબદારીની મર્યાદા
2.1. Deliver our services.,2.1. અમારી સેવાઓ પહોંચાડો.
Growth monitoring report for all health indicators,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ
Take Home Ration (THR) given in last 30 days,પાછલા 30 દિવસમા દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR)
Please select District,કૃપા કરી જિલ્લો પસંદ કરો
District’s Quarterly Performance,જિલ્લાની ત્રિમાસિક કામગીરી
3.1. Tracking health progress.,3.1. આરોગ્ય પ્રગતિ ટ્રેકિંગ.
Raghunathpur - II,રઘુનાથપુર-II
Kultali ICDS Project,કુલતાલી આઈસીડીએસ પ્રોજેક્ટ
CDPO Worli Kandivali Urban,સીડીપીઓ વર્લી કાંદીવર્લી શહેર
Please enter Name,કૃપા કરી નામ દાખલ કરો
Balurghat Rural Ad,બાલુરઘાટ રુરલ એડી
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,જો બાળકોની ઉંચાઈ ડબ્લ્યુએચઓ ચાઈલ્ડ ગ્રોથ સ્ટાન્ડર્ડના મધ્યકથી બે પ્રમાણભૂત વિચલનો કરતાં વધુ હોય તો તેમને સ્ટંટેડ તરીકે વ્યાખ્યાયિત કરવામાં આવે છે
South 24 Parganas,દક્ષિણ ૨૪ પરગના
Deoghar Cum Jasidih,દેઓઘર કમ જાસિધિહ
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,અધિકૃત સંસ્થાઓ એપીઆઈ/નો-કોડ વેબપેજ એકીકરણ દ્વારા ઍક્સેસ કરવામાં સક્ષમ હોય તેવા કોઈપણ ડેટાને ફરીથી વિતરિત કરશે નહીં અને ખાતરી કરશે કે આવા તમામ ડેટાનું એકીકરણ પોશન ટ્રેકર દ્વારા પ્રદાન કરવામાં આવતી ચોક્કસ સેવાઓ સુધી ફરજિયાતપણે મર્યાદિત હોવું જોઈએ.
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","કોઈ પણ સંજોગોમાં, સંસ્થાએ સરકારના પોષણ અભિયાનના ભાગ રૂપે એકત્ર કરાયેલ ડેટાનો ઉપયોગ કોઈપણ હેતુ માટે કરવો જોઈએ નહીં."
Helping make India malnutrition free,ભારતને કુપોષણ મુક્ત બનાવવામાં સહાયતા
General Awareness on Module,મોડ્યુલ પર સામાન્ય જાગૃતિ
What is the purpose of Launching Poshan Tracker?,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?
"As a registered user, you have the right to access your profile at any time.","નોંધાયેલ વપરાશકર્તા તરીકે, તમને કોઈપણ સમયે તમારી પ્રોફાઇલને ઍક્સેસ કરવાનો અધિકાર છે."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","તેમ છતાં, ફેરફારો ફક્ત પોશન ટ્રેકર સિસ્ટમ દ્વારા સમયાંતરે સૂચવ્યા મુજબ જ કરી શકાય છે."
You cannot manage the communications that you receive from us or how you receive them.,તમે અમારી પાસેથી મેળવેલા સંદેશાવ્યવહારને અથવા તમે તેને કેવી રીતે પ્રાપ્ત કરો છો તેનું સંચાલન કરી શકતા નથી.
View All FAQs,તમામ FAQs જુઓ
Please Select Sector,કૃપા કરી સેક્ટર (ક્ષેત્ર)ની પસંદગી કરો.
Bankura - II,બનકુરા-II
Raipur-  Karchulian,રાઈપુર-કરચૌલીયન
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. કાયદાનું પાલન, તૃતીય પક્ષના અધિકારો અને સેવાની અન્ય શરતો"
"repeated infection, and inadequate psychosocial stimulation","પુનરાવર્તિત ચેપ, અને અપૂરતી મનો-સામાજિક ઉત્તેજના"
Oops!,અરેરે!
Page Not Found,પેજ નથી મળ્યું
Beneficiary migration from one AWC to another AWC,લાભાર્થી એક AWCથી અન્ય AWCમાં સ્થળાંતરણ
Gyalshing Rural Project,ગ્યાલશિંગ રુરલ પ્રોજેક્ટ
ABHA (Health ID),ABHA (હેલ્થ ID)
Lohian khas,લોહયન ખાસ
Durg ( R ),દુર્ગ (આર)
Bagnan - II,બગનાન-II
Lawngtlai ICDS Project,લાવંગતલાઈ આઈસીડીએસ
Date of Birth,જન્મ તારીખ
Nihal Singh Wala,નિહાલ સિંહ વાલા
CDPO  Yavatmal-(U),સીડીપીઓ યવતમાલ-(યુ)
DUM DUM SOUTH,દુમ દુમ સાઉથ
4:15 PM to 5:15 PM,4:15 PM થી 5:15 PM
Sagar - U,સાગર-યુ
About Poshan Tracker,પોષણ ટ્રેકર વિશે
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","પોશણ અભિયાન હેઠળ આઈસીટી પ્લેટફોર્મ પર તાલીમ (02 ફેબ્રુઆરી, 2021)"
Panskura- II ADDL ICDS,પનસકુરા-II એડીડીએલ આઈસીડીએસ
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM., support-poshantrackr@gov. in પર ઇમેઇલ મોકલીને પોષણ ટ્રેકર ટીમનો સંપર્ક કરી શકાય છે.હેન્ડહોલ્ડિંગ અને સહકાર માટે અમે દરરોજ બપોરે 4:15 થી સાંજના 5:15 વાગ્યા સુધી કોન્ફરન્સ દ્વારા પણ ઉપલબ્ધ છીએ.
Diyung Valley Icds Project,દિયુંગ વેલી આઈસીડીએસ પ્રોજેક્ટ
South West Delhi,દક્ષિણ પશ્ચિમ દિલ્હી
You may browse the Site without registering for an account.,તમે એકાઉન્ટ માટે નોંધણી કર્યા વિના સાઇટ બ્રાઉઝ કરી શકો છો.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","જો તમે સાઇટ દ્વારા ઓફર કરવામાં આવતી અમુક સુવિધાઓ અથવા સેવાઓનો ઉપયોગ કરવાનો ઇરાદો ધરાવો છો, તો તમારે તમારા મોબાઇલ નંબર સાથે એકાઉન્ટ માટે નોંધણી કરાવવાની જરૂર પડશે."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","આ શરતોની સ્વીકૃતિ દ્વારા, તમે સ્પષ્ટપણે અમને તમારી ઓળખ માહિતી (આધાર વિગતો સહિત) અને તમારા ખાતામાં નોંધાયેલા અન્ય તમામ સભ્યોનો ઉપયોગ કરવા માટે અધિકૃત કરવા માટે સંમત થાઓ છો."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,તમારી અંગત માહિતી અને નોંધણીની પ્રાઇવસી જાળવવા અને આ માહિતીને સુરક્ષિત રાખવામાં તમે નિષ્ફળ જવાથી પરિણમી શકે તેવી તમામ પ્રવૃત્તિઓ માટે તમે સંપૂર્ણપણે જવાબદાર છો.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,તમારું રજીસ્ટ્રેશન અથવા મોબાઈલ નંબર ગુપ્ત રાખવામાં આવશેતમે તે લો છોઃતમે તમારા એકાઉન્ટ દ્વારા તેમના રેકોર્ડ બનાવવા માટે સંબંધિત વ્યક્તિઓ પાસેથી સંમતિ મેળવી છે.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,તમારા એકાઉન્ટ અથવા મોબાઇલ નંબરમાં તે વ્યક્તિનો ઢોંગ કરવાના ઉદ્દેશ્ય સાથે અન્ય વ્યક્તિનું નામ શામેલ હોવું જોઈએ નહીં.
You shall not use another user's account without their permission.,તમે અન્ય વપરાશકર્તાના એકાઉન્ટનો તેમની પરવાનગી વિના ઉપયોગ કરશો નહીં.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",જો તમને તમારા એકાઉન્ટનો કોઈપણ અનધિકૃત ઉપયોગ અથવા અન્ય એકાઉન્ટ-સંબંધિત સુરક્ષા ભંગ જણાય તો તમે અમને તરત જ લેખિતમાં જાણ કરશો.
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","જો અમને ફરિયાદ મળે છે કે તમારું એકાઉન્ટ કોઈ બીજાના અધિકારોનું ઉલ્લંઘન કરે છે, અથવા અમારી નીતિઓનું ઉલ્લંઘન કરે છે, તો અમે તમારું એકાઉન્ટ રદ અથવા અવરોધિત કરી શકીએ છીએ."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",સાઇટ પર સહભાગીઓની નોંધણી કરવા માટે તમે બહુવિધ ઇન્ટરનેટ પ્રોટોકોલ સરનામાં અથવા મોબાઇલ નંબરનો ઉપયોગ કરીને અથવા અન્ય કોઈપણ માધ્યમથી તમારી ઓળખ છુપાવવાનો પ્રયાસ કરશો નહીં
What is  MPIN?,એમપિન એટલે શું?
Rongmongwe & Samelangso Icds Project,રોંગમોંગવે અને સમેલાંગસો આઈસીડીએસ પ્રોજેક્ટ
Pakabetbari Icds Project,પકાબેટબારી આઈસીડીએસ પ્રોજેક્ટ
Please Select Reported By,મહેરબાની કરીને રિપોર્ટ કરેલ પસંદ કરો
Kaliachak - III,કાલિયાચક-III
Dakshin Bastar Dantewada,દક્ષિણ બસ્તર દંતેવાડા
Cdpo Proj No-1,સીડીપીઓ પ્રોજ નંબર-1
Berhampur (U) - II,બેરહમપુર (યુ)-II
Enter Mobile Number,મોબાઈલ નંબર દાખલ કરો
"Project-3, Palanganatham, Madurai","પ્રોજેક્ટ-3, પાલનગનાથમ, મદુરાઈ"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.ઉપલબ્ધ વિવિધ ભાષાઓ છેઃઅંગ્રેજીહિન્દીગુજરાતીપંજાબીમરાઠીબાંગ્લાકન્નડતમિળતેલુગુમલયાલમઓડિયાઆસામીNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,એડબ્લ્યુસી રસીકરણ વલણો
Jhalda - I,ઝાલદા-I
Reiek ICDS Project,રેઈક આઈસીડીએસ પ્રોજેક્ટ
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","પોશન ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી વર્કર્સ (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","સૂચિત સિસ્ટમમાં બધા એડબ્લ્યુસી, એડબ્લ્યુડબ્લ્યુ અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ."
Current Month Performance,વર્તમાન મહિનાની કામગીરી
Rjn Gramin 02,આરજેએન ગ્રામીણ 02
How to Login in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?
Height and weight of child has not been measured,બાળકની ઊંચાઈ અને વજન માપવામાં આવ્યું નથી
PM’s Program Districts,પીએમના કાર્યક્રમના જિલ્લાઓ
Kaliachak - I,કાલિયાચાક-I
Jagatballav pur ICDS,જગતવલ્લવપુર આઈસીડીએસ
CDPO Civil Washim,સીડીપીઓ સિવિલ વશિમ
Terms of Service,સેવાની શરતો
2.5. Research and operational activities.,2.5. સંશોધન અને ઓપરેશનલ પ્રવૃત્તિઓ.
Tufanganj I Addl,તુફાનગંજ I એડીડીએલ
CANNING II ADDITIONAL,કેનિંગ II એડિશનલ
Jhalda - II,ઝાલદા-II
Gomariguri Icds Project,ગોમારીગુરી આઈસીડીએસ પ્રોજેક્ટ
Best performing states (National Best),શ્રેષ્ઠ પ્રદર્શન કરતા રાજ્યો (રાષ્ટ્રીય શ્રેષ્ઠ)
Siddharth Nagar City,સિધ્ધાર્થ નગર સિટી
Sonarpur ICDS Project,સોનારપુર આઈસીડીએસ પ્રોજેક્ટ
"Td1, 2 or Td Booster***","Td1, 2 અથવા Td બૂસ્ટર***"
North East Delhi,ઉત્તર પૂર્વ દિલ્હી
Sri Muktsar Sahib,શ્રી મુક્તસર સાહેબ
North West Jorhat,નોર્થ પશ્ચિમ જોરહાટ
Raninagar - II,રાણીનગર-II
TAKE HOME RATION (THR) GIVEN TODAY,આજે દેવામા આવેલ ઘરે લઇ જવા માટેનો સીધુંસામાન (THR)
Beneficiaries Registered Today,લાભાર્થીઓએ આજે   નોંધણી કરાવી
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.
Bhatpara II (U),ભાટપરા II (યુ)
Cooch Behar II Addl,કૂચ બિહાર II એડીડીએલ
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. શરતોમાં ભાવિ ફેરફારો અંગેની સૂચનાઃ
Planning And Organising Community Based Events At AWC,AWC ખાતે સમુદાય આધારિત કાર્યક્રમોનું આયોજન
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. બૌદ્ધિક સંપત્તિ અધિકારો
GOSABA ICDS MAIN,ગોસાબા આઈસીડીએસ મેઈન
Growth monitoring charts,વૃદ્ધિના નિરીક્ષણને લગતા કોષ્ટકો
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,દાનખોરા-હસનગંજ
Frequently Asked Questions,વારંવાર પૂછાતા પ્રશ્નો
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?
Salboni ICDS Project,સાલબોની આઈસીડીએસ પ્રોજેક્ટ
Raninagar - I,રાણીનગર-I
Sandeshkali - I Adl.,સંદેશખાલી-I એડીએલ.
Poshan Tracker adds new Reports feature,પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી
Magrahat - II ICDS,મગરાહત-II આઈસીડીએસ
Lungsen Icds Project,લુંગસેન આઈસીડીએસ પ્રોજેક્ટ
General Awareness about preventing illness in Children,બાળકોમાં બિમારી અટકાવવા અંગે સામાન્ય જાગૃતિ
Demow Icds Project,દેમોવ આઈસીડીએસ પ્રોજેક્ટ
Ratua - I,રતુઆ-I
Purulia - II,પુરુલિયા-II
Dhar - R,ધાર-આર
Beneficiaries status change notifications,લાભાર્થીઓને લગતા દરજ્જામાં ફેરફાર અંગે નોટિફિકેશન્સ
K R Nagar,કે આર નગર
2. HOW WE USE PERSONAL INFORMATION,2. અમે વ્યક્તિગત માહિતીનો ઉપયોગ કેવી રીતે કરીએ છીએ
Purnia East Rural,પુરણિયા પૂર્વ ગ્રામીણ
Ranaghat 2 Ex,રાણાઘાટ 2 ઈએક્સ
Careers At Poshan Tracker,પોષણ ટ્રેકર ખાતેની કારકિર્દી
Nichar At Bhabnagar,નિચર ભાબનગર
Underweight Assessment Parameters,ઓછા વજનવાળા બાળકો નક્કી કરવા માટેના માપદંડો
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,કૃપા કરીને તમારો મોબાઈલ નંબર અને ટિકિટ નંબર આપો.
Kulti (U) ICDS Project,કુલ્તી (U) આઈસીડીએસ પ્રોજેક્ટ
Ludhiana 1 Rural,લુધિયાણા 1 રુરલ
Dinhata - II addl,દિનહાટ-II એડીડીએલ
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 વર્ષથી ઓછી ઉંમરના બાળકો જેમણે પૂરક પોષણ મેળવ્યું હતું
Feeding During Illness,માંદગી દરમિયાન ખોરાક આપવો
Ratlam Rural - 2,રતલામ ગ્રામીણ-2
Suti - I,સુતી-I
Memari - II,મેમારી-II
