eng,ta
Galsi - II,கல்ஸி- II
MPIN can be easily reset by any AWW/AWC user.,எந்த அடபிள்யூடபிள்யூ / அடபிள்யூசி பயனரால் எம்பின் ஐ எளிதாக மீட்டமைக்க முடியும்.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","மறந்துவிட்ட எம்பின் ஐக் கிளிக் செய்து, உங்கள் பதிவுசெய்த மொபைல் எண்ணை உள்ளிடவும்."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,"உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணில் நீங்கள் பெறுவீர்கள் மற்றும் OTP பெறுவீர்கள், மேலும் உங்கள் எம்பின் ஐ நீங்கள் எளிதாக மீட்டமைக்கலாம்."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,போஷன் டிராக்கர் என்பது அங்கன்வாடி பணியாளர்களின் முயற்சியின் பிரதிபலிப்புடன் சேவைகளை திறம்பட வழங்க உதவுகிறது.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,"இது போஷன் அபியான் கீழ் முக்கியமான மற்றும் பயனாளிகளை மையமாகக் கொண்ட சேவை வழங்கல் விண்ணப்பமாகும், இது பகுப்பாய்வுகளுடன் நிகழ் நேரத் தரவை ஊக்குவிக்கும்"
Shahid Bhagat Singh Nagar,ஷாஹித் பகத் சிங் நகர்
Matigara ICDS Project( Addl ),மதிகரா ஐ. சி. டி. எஸ். புராஜக்ட் (அடிஷனல்)
Goapokher- II Addl.,கோவாபோகேர் - II அடிஷனல்
Sonbhadra Banshi Suryapur,சோன்பத்ரா பன்ஷி சூர்யாபூர்
Please enter valid Date of Birth,சரியான பிறந்த தேதியை உள்ளிடவும்
Jugijan Icds Project,ஜூகிஜான் ஐ. சி. டி. எஸ். புராஜக்ட்
Ketugram - I,கேதுர்கிராம் - I
How to revive your Health?,உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது?
West Garo Hills,மேற்கு கரோ ஹில்ஸ்
West Singhbhum - Jharkhand,மேற்கு சிங்பும் - ஜார்க்கண்ட்
Delhi Project 2,டெல்லி புராஜக்ட் 2
2.2. Communicate with you.,2.2. உங்களுடன் தொடர்பு கொள்ளுங்கள்.
Who is eligible for additional supplementary food?,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்?
CHAUTH KA BARWARA,சவுத் கா பர்வாரா
Namchi Rural Project,நாம்ச்சி கிராமப்புற திட்டம்
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","மாற்றங்களை உங்களுக்குத் தெரிவிக்காமல், எந்த நேரத்திலும் இந்த விதிமுறைகளின் எந்தப் பகுதியையும் மாற்ற, திருத்த, சேர்க்க அல்லது அகற்ற நிபந்தனையற்ற உரிமையை நாங்கள் வைத்திருக்கிறோம்."
Any changes or updates will be effective immediately.,ஏதேனும் மாற்றங்கள் அல்லது புதுப்பிப்புகள் செய்யப்பட்டால் அவை உடனடியாக நடைமுறைக்கு வரும்.
You take the responsibility to check these Terms of Use periodically for changes.,இந்த பயன்பாட்டு விதிமுறைகளை மாறுதல்களை அவ்வப்போது சரிபார்ப்பது உங்களுடைய பொறுப்பு.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,"அத்தகைய திருத்தத்திற்குப் பிறகு நீங்கள் இயங்குதளத்தைத் தொடர்ந்து பயன்படுத்துவது, மாற்றியமைக்கப்பட்ட விதிமுறைகளை ஏற்றுக்கொள்வதாக அமையும்."
Project - Iii,புராஜக்ட் - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,"அங்கன்வாடிஊழியர்கள் தங்களை பதிவு செய்ய முடியாமைக்கு இரண்டு காரணங்கள்ஃ மோடபிள்யூசிடி க்கு மாநிலங்கள் வழங்கிய தரவுகளில் அவற்றின் மொபைல் எண் இல்லைஅவை கணினியில் புதிதாக சேர்க்கப்பட்டுள்ளன, அவற்றின் மொபைல் எண் இன்னும் மாநில கலத்தால் மோடபிள்யூசிடி க்கு வழங்கப்படவில்லை."
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,மேற்கூறிய இரண்டு நிகழ்வுகளிலும் அடபிள்யூடபிள்யூ ஐ சேர்க்க / திருத்த / செயல்படுத்த / செயலிழக்க மாநில நோடல் அதிகாரிகளுக்கு அதிகாரம் உண்டு.
Bilkhawthlir Icds Project,பில்காவ்த்லிர் ஐ. சி. டி. எஸ். திட்டம்
No Record to Show,காண்பிக்க பதிவேடு இல்லை
Kailashahar District H.Q,கைலாஷாஹர் மாவட்டத் தலைநகரம்
How many different types of reports can be generated over Poshan Tracker Dashboard?,போஷன் டிராக்கர் டாஷ்போர்டில் எத்தனை வகையான அறிக்கைகளை உருவாக்க முடியும்?
WHO standards are,WHO தரநிலைகள்
Murarai-II ICDS Project,முராரை-II ஐ. சி. டி. எஸ். புராஜக்ட்
South East Delhi,தென்கிழக்கு டெல்லி
Ashoknagar- Kalyangarh (U),அஷோக்நகர் - கல்யாண்கர் (யு)
How to revive your health if you are Severely Wasted (SAM),நீங்கள் கடுமையான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (SAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது
Baba Belkhar Nath Dham,பாபா பேல்கர் நாத் தாம்
Firozabad City 2,ஃபிரோஸ்பாத் நகரம் 2
What is Poshan Calculator,போஷன் கால்குலேட்டர் என்றால் என்ன
Binpur - I,பின்பூர்- I
Ldh Urban 2,லூதியானா அர்பன் 2
"See assessment charts for Stunted, Wasted and Underweight parameters","குன்றிய, ஊட்டச்சத்து குறைபாடுள்ள மற்றும் எடை குறைந்த அளவுருக்களுக்கான மதிப்பீட்டு விளக்கப்படங்களைப் பார்க்கவும்"
Visit state page,மாநிலப் பக்கத்தைப் பார்வையிடவும்
Best performing districts,சிறப்பாக செயல்படும் மாவட்டங்கள்
Sandeshkhali - I,சந்தேஷ்காலி - I
Resources for growth monitoring and general awareness,வளர்ச்சியைக் கண்காணித்தல் மற்றும் பொதுவான புரிதலுக்கான வளங்கள்
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ஒரு குறிப்பிட்ட அங்கன்வாடி மையத்தில் இருக்கும் உள்கட்டமைப்பு தொடர்பான விவரங்களை அடபிள்யூடபிள்யூ உள்ளிட வேண்டும்.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","இதில் கட்டமைப்பு, அடிப்படை வசதிகள், வசதிகள், சுத்திகரிப்பு, குடிநீர் போன்றவை அடங்கும்."
Lactating mothers who received Take Home Ration (THR),டேக் ஹோம் ரேஷன் (THR) பெற்ற பாலூட்டும் தாய்மார்கள்
Balurghat (U),பாலூர்கட் (யு)
Last updated on,கடைசியாக புதுப்பிக்கப்பட்டது
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","போஷன் டிராக்கர் இந்த தனியுரிமைக் கொள்கையின் எந்தப் பகுதியையும், எந்த நேரத்திலும், அத்தகைய மாற்றங்களைப் பற்றி உங்களுக்குத் தெரிவிக்காமல், எந்த நேரத்திலும் மாற்ற, மாற்ற, சேர்க்க அல்லது அகற்ற நிபந்தனையற்ற உரிமையைப் பெற்றுள்ளார்."
Any changes or updates will be effective immediately.,ஏதேனும் மாற்றங்கள் அல்லது புதுப்பிப்புகள் செய்யப்பட்டால் அவை உடனடியாக நடைமுறைக்கு வரும்.
You should review this Privacy Policy regularly for changes.,மாற்றங்களுக்கு இந்த தனியுரிமைக் கொள்கையை நீங்கள் தொடர்ந்து மதிப்பாய்வு செய்ய வேண்டும்.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","இந்த தனியுரிமைக் கொள்கையில் ஏதேனும் பொருள் மாற்றங்கள் இருந்தால், சிஸ்டத்தில் அறிவிப்பு மூலம் அனைத்துப் பயனர்களுக்கும் பொதுவாகத் தெரிவிக்க வணிக ரீதியாக நியாயமான முயற்சிகளைப் பயன்படுத்துவோம்."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","இருப்பினும், கணினியின் பயனராக, ஏதேனும் மாற்றங்கள் இருந்தால் தனியுரிமைக் கொள்கையை நீங்கள் தொடர்ந்து சரிபார்க்க வேண்டும்."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","இந்தத் தனியுரிமைக் கொள்கையின் மேலே உள்ள ""கடைசியாகப் புதுப்பிக்கப்பட்ட"" தேதியையும் நாங்கள் புதுப்பிப்போம், இது இந்தத் தனியுரிமைக் கொள்கையின் நடைமுறைத் தேதியைப் பிரதிபலிக்கிறது."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,புதிய தனியுரிமைக் கொள்கையின் தேதிக்குப் பிறகு உங்கள் தொடர்ச்சியான அணுகல் அல்லது கணினியைப் பயன்படுத்துவது புதிய தனியுரிமைக் கொள்கையை நீங்கள் ஏற்றுக்கொள்வதைக் குறிக்கிறது.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","புதிய தனியுரிமைக் கொள்கையை நீங்கள் ஏற்கவில்லை என்றால், நீங்கள் கணினியை அணுகுவதையும்/அல்லது பயன்படுத்துவதையும் நிறுத்த வேண்டும்."
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","எந்தவொரு சேகரிப்பு, சேமிப்பகம், செயலாக்கம் அல்லது உங்கள் தகவலின் பிற பயன்பாடு, அத்தகைய சேகரிப்பு, சேமிப்பகம், செயலாக்கம் அல்லது பிற பயன்பாட்டின் போது பொருந்தக்கூடிய தனியுரிமைக் கொள்கையால் நிர்வகிக்கப்படும் என்பதை நீங்கள் இதன்மூலம் ஒப்புக்கொள்கிறீர்கள்."
JOYNAGAR-II ICDS PROJECT,ஜாய்நகர்-II ஐ. சி. டி. எஸ். புராஜக்ட்
What is the eligibility of a beneficiary?,ஒரு பயனாளியின் தகுதி என்ன?
Stunting and Underweight Growth Parameters,தடைபட்ட மற்றும் எடைக்குறைவு வளர்ச்சி அளவுருக்கள்
NALHATI-I ICDS PROJECT (NGO),நல்ஹதி-I ஐ. சி. டி. எஸ். புராஜக்ட் (என் ஜி ஓ)
Enter Height in centimeter,உயரத்தை சென்டிமீட்டரில் உள்ளிடவும்
Joynagar - I,ஜாய்நகர் - I
CDPO OFFICE BATHINDA,சிடிபிஓ அலுவலகம் பதிண்டா
Severely Wasted (SAM),கடுமையான ஊட்டச்சத்து குறைபாடு (SAM)
"No, Poshan Tracker is available only for Android version","இல்லை, போஷன் டிராக்கர் ஆண்ட்ராய்டு பதிப்பை மட்டுமே கிடைக்கிறது"
Harishchandrapur - I,ஹரிஸ்சந்திரபூர்- I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. இழப்பீடு மற்றும் பொறுப்பு வரம்பு
2.1. Deliver our services.,2.1. எங்கள் சேவைகளை வழங்கவும்.
Growth monitoring report for all health indicators,எல்லா ஆரோக்கியக் குறியீடுகளுக்கும் வளர்ச்சி கண்காணிப்பு அறிக்கை
Take Home Ration (THR) given in last 30 days,கடந்த 30 நாட்களில் கொடுக்கப்பட்ட டேக் ஹோம் ரேஷன் (THR)
Please select District,தயவு செய்து மாவட்டத்தைத் தேர்ந்தெடுக்கவும்
District’s Quarterly Performance,மாவட்டத்தின் காலாண்டு செயல்திறன்
3.1. Tracking health progress.,3.1. சுகாதார முன்னேற்றத்தைக் கண்காணித்தல்.
Raghunathpur - II,ரகுநாத்பூர் - II
Kultali ICDS Project,குல்தலி ஐ. சி. டி. எஸ். புராஜக்ட்
CDPO Worli Kandivali Urban,சிடிபிஓ வொர்லி கண்டிவலி அர்பன்
Please enter Name,தயவு செய்து பெயரை உள்ளிடவும்
Balurghat Rural Ad,பாலூர்கட் ரூரல் அடிஷனல்
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,"WHO குழந்தை வளர்ச்சித் தரநிலையின் சராசரிக்குக் கீழே குழந்தைகளின் உயரம் அவர்களின் வயதுக்கு இரண்டு நிலையான விலகல்களுக்கு மேல் இருந்தால், அவர்கள் வளர்ச்சி குன்றியவர்களாக வரையறுக்கப்படுகிறார்கள்"
South 24 Parganas,தெற்கு 24 பர்கானாக்கள்
Deoghar Cum Jasidih,தியோகர் கம் ஜஸிதிஹ்
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","அங்கீகரிக்கப்பட்ட நிறுவனங்கள் ஏபிஐ/குறியீடு இல்லாத வலைப்பக்க ஒருங்கிணைப்பு மூலம் அணுகக்கூடிய எந்தத் தரவையும் மீண்டும் விநியோகிக்கக் கூடாது, மேலும் அத்தகைய அனைத்து தரவுகளின் ஒருங்கிணைப்பு போஷன் டிராக்கரால் வழங்கப்படும் குறிப்பிட்ட சேவைகளுடன் கட்டாயமாக வரையறுக்கப்படுவதை உறுதிசெய்யும்.எந்தவொரு சூழ்நிலையிலும், அரசாங்கத்தின் போஷன் அபியானின் ஒரு பகுதியாக சேகரிக்கப்பட்ட தரவை இங்கு குறிப்பிடப்பட்டுள்ள நோக்கங்களுக்காக, அரசாங்கத்தால் அனுமதிக்கப்பட்ட நோக்கங்களுக்காகவும் மட்டுமே பயன் படுத்தவேண்டும்.வேறு எந்த நோக்கங்களுக்காகவும் இந்த தரவை ஒரு நிறுவனம் பயன்படுத்தக்கூடாது."
Helping make India malnutrition free,இந்தியாவை ஊட்டச்சத்துக் குறைபாட்டற்றதாக மாற்ற உதவுதல்
General Awareness on Module,மாட்யூல் பற்றிய பொது விழிப்புணர்வு
What is the purpose of Launching Poshan Tracker?,போஷன் டிராக்கரைத் தொடங்குவதன் நோக்கம் என்ன?
"As a registered user, you have the right to access your profile at any time.","பதிவுசெய்யப்பட்ட பயனராக, எந்த நேரத்திலும் உங்கள் சுயவிவரத்தை அணுக உங்களுக்கு உரிமை உள்ளது."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","இருப்பினும், போஷன் டிராக்கர் அமைப்பால் அவ்வப்போது பரிந்துரைக்கப்பட்ட மாற்றங்களை மட்டுமே செய்ய முடியும்."
You cannot manage the communications that you receive from us or how you receive them.,எங்களிடமிருந்து நீங்கள் பெறும் தகவல்தொடர்புகளையோ அல்லது அவற்றை எவ்வாறு பெறுகிறீர்கள் என்பதையோ உங்களால் நிர்வகிக்க முடியாது.
View All FAQs,எல்லா FAQ-களையும் காணுங்கள்
Please Select Sector,தயவு செய்து பிரிவைத் தேர்ந்தெடுக்கவும்
Bankura - II,பங்குரா - II
Raipur-  Karchulian,ராய்ப்பூர்- கார்சூலியன்
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. சட்டம், மூன்றாம் தரப்பினரின் உரிமைகள் மற்றும் பிற சேவை விதிமுறைகளுடன் இணங்குதல்"
"repeated infection, and inadequate psychosocial stimulation","தொற்று, மற்றும் போதிய உளவியல் தூண்டுதல்"
Oops!,அச்சச்சோ!
Page Not Found,பக்கம் கிடைக்கவில்லை
Beneficiary migration from one AWC to another AWC,பயனாளர் ஒரு AMC-இலிருந்து இன்னொரு AMC-க்கு மாறுதல்
Gyalshing Rural Project,கியால்ஷிங் கிராமப்புற திட்டம்
ABHA (Health ID),ABHA (சுகாதார ஐடி)
Lohian khas,லோஹியான் காஸ்
Durg ( R ),துர்க் (ஆர்)
Bagnan - II,பாக்னான்- II
Lawngtlai ICDS Project,லாங்ட்லாய் ஐ. சி. டி. எஸ். திட்டம்
Date of Birth,பிறந்த தேதி
Nihal Singh Wala,நிஹால் சிங் வாலா
CDPO  Yavatmal-(U),சிடிபிஓ யவத்மால்-(யு)
DUM DUM SOUTH,தெற்கு டம் டம்
4:15 PM to 5:15 PM,மாலை 4:15 முதல் 5:15 வரை
Sagar - U,சாகர்-யு
About Poshan Tracker,போஷன் டிராக்கர் பற்றி
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","போஷன் அபியான் (02 பிப்ரவரி, 2021) இன் கீழ் ஐ. சி. டி இயங்குதளத்தில் பயிற்சி"
Panskura- II ADDL ICDS,பன்ஸ்குரா- II அடிஷனல் ஐ. சி. டி. எஸ்.
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,போஷான் டிராக்கர் குழுவை support-poshantrackr@gov.in இல் மின்னஞ்சல்களை அனுப்புவதன் மூலம் தொடர்பு கொள்ளலாம்.கையிருப்பு மற்றும் ஆதரவுக்காக ஒவ்வொரு நாளும் பிற்பகல் 4:15 மணி முதல் மாலை 5:15 மணி வரை வீடியோ மாநாட்டிலும் கிடைக்கிறோம்.
Diyung Valley Icds Project,தியுங் பள்ளத்தாக்கு ஐ. சி. டி. எஸ். புராஜக்ட்
South West Delhi,தென் மேற்கு டெல்லி
You may browse the Site without registering for an account.,நீங்கள் ஒரு கணக்கிற்கு பதிவு செய்யாமல் தளத்தில் உலாவலாம்.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","தளம் வழங்கும் சில அம்சங்கள் அல்லது சேவைகளைப் பயன்படுத்த நீங்கள் விரும்பினால், உங்கள் மொபைல் எண்ணுடன் ஒரு கணக்கைப் பதிவு செய்ய வேண்டும்."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","இந்த விதிமுறைகளை ஏற்றுக்கொள்வதன் மூலம், உங்களின் அடையாளத் தகவலையும் (ஆதார் விவரங்கள் உட்பட) மற்றும் உங்கள் கணக்கில் பதிவுசெய்யப்பட்ட மற்ற அனைத்து உறுப்பினர்களின் அடையாளத் தகவலையும் நாங்கள் பயன்படுத்துவதற்கு நீங்கள் வெளிப்படையாக ஒப்புக்கொள்கிறீர்கள்."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,உங்கள் தனிப்பட்ட தகவல்கள் மற்றும் பதிவுகளைப் பாதுகாப்பாக வைத்திருக்கத் தவறியதன் விளைவாக ஏற்படக்கூடிய அனைத்து நடவடிக்கைகளின் இரகசியத்தன்மையைப் பேணுவதற்கு நீங்கள் மட்டுமே பொறுப்பு.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,உங்கள் பதிவு அல்லது மொபைல் எண் ரகசியமாக வைக்கப்படும்நான் மேற்கொள்வதுஃஉங்கள் கணக்கு மூலம் சம்பந்தப்பட்ட நபர்களிடமிருந்து அவர்களின் பதிவுகளை உருவாக்குவதற்கு நீங்கள் அவர்களிடம் ஒப்புதல் பெற்றுள்ளீர்கள்.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,உங்கள் கணக்கு அல்லது மொபைல் எண்ணில் அந்த நபரைப் போல் ஆள்மாறாட்டம் செய்யும் நோக்கத்துடன் மற்றொரு நபரின் பெயர் இடம்பெறக்கூடாது.
You shall not use another user's account without their permission.,மற்றொரு பயனரின் அனுமதியின்றி நீங்கள் அவர்களுடைய கணக்கைப் பயன்படுத்தக் கூடாது.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","உங்கள் கணக்கின் அங்கீகரிக்கப்படாத பயன்பாடு அல்லது கணக்கு தொடர்பான பாதுகாப்பு மீறல் ஏதேனும் இருந்தால், உடனடியாக எங்களுக்கு எழுத்துப்பூர்வமாகத் தெரிவிக்க வேண்டும்."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",உங்கள் கணக்கு வேறொருவரின் உரிமைகளை மீறுகிறது அல்லது எங்கள் கொள்கைகளை மீறுகிறது என்ற புகாரை நாங்கள் பெற்றால் உங்கள் கணக்கை நாங்கள் ரத்து செய்வோம்.
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","பல இணைய நெறிமுறை முகவரிகள் அல்லது மொபைல் எண்ணைப் பயன்படுத்தி உங்கள் அடையாளத்தை மறைக்க முயற்சிக்காதீர்கள் அல்லது வேறு எந்த வழியிலும், பங்கேற்பாளர்களை தளத்தில் பதிவு செய்ய வேண்டாம்"
What is  MPIN?,எம்பின் என்றால் என்ன?
Rongmongwe & Samelangso Icds Project,ரோங்மோங்வே & சமேலாங்ஸோ ஐ. சி. டி. எஸ். புராஜக்ட்
Pakabetbari Icds Project,பகாபேத்பர் ஐ. சி. டி. எஸ். புராஜக்ட்
Please Select Reported By,ரிப்போர்ட்டட் பை ஐத் தேர்ந்தெடுக்கவும்
Kaliachak - III,காலியாசக் - III
Dakshin Bastar Dantewada,தக்ஷின் பாஸ்தர் தந்தேவாடா
Cdpo Proj No-1,சிடிபிஓ திட்டம் எண்-1
Berhampur (U) - II,பர்ஹாம்பூர் (யு) - II
Enter Mobile Number,மொபைல் எண்ணை உள்ளிடவும்
"Project-3, Palanganatham, Madurai","புராஜக்ட்-3, பழங்காநத்தம், மதுரை"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,போஷன் டிராக்கர் பயன்பாடு 22 வெவ்வேறு மொழிகளில் கிடைக்கிறதுகிடைக்கும் பல்வேறு மொழிகள்ஃஆங்கிலம்இந்திகுஜராத்திபஞ்சாபிமராத்திபங்களாகன்னடம்தமிழ்தெலுங்குமல்லியம்ஒடியாஅசாமிNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,AWC தடுப்பூசி போக்குகள்
Jhalda - I,ஜால்டா -I
Reiek ICDS Project,ரெய்க் ஐ. சி. டி. எஸ். திட்டம்
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","போஷான் டிராக்கர் பயன்பாட்டின் நோக்கம் அங்கன்வாடி மையத்தின் (ஏ. டபிள்யூ. சி) செயல்பாடுகள், அங்கன்வாடி தொழிலாளர்களின் சேவை வழங்கல்கள் (ஏ. டபிள்யூ. டபிள்யூ) மற்றும் கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளுக்கான முழுமையான பயனாளி மேலாண்மை பற்றிய 360 டிகிரி பார்வையை வழங்குவதாகும்.முன்மொழியப்பட்ட அமைப்பு வரையறுக்கப்பட்ட குறிகாட்டிகளில் அனைத்து AWC கள், AWW கள் மற்றும் பயனாளிகளின் நிகழ்நேர கண்காணிப்பு மற்றும் கண்காணிப்பை செயல்படுத்த வேண்டும்."
Current Month Performance,தற்போதைய மாத செயல்திறன்
Rjn Gramin 02,ஆர்ஜேஎன் கிராமின் 02
How to Login in Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டில் உள்நுழைவது எப்படி?
Height and weight of child has not been measured,குழந்தையின் உயரம் மற்றும் எடை அளவீடு செய்யப்படவில்லை
PM’s Program Districts,பிரதமரின் திட்ட மாவட்டங்கள்
Kaliachak - I,காலியாசக் - I
Jagatballav pur ICDS,ஜகத்பல்லவ்பூர் ஐ. சி. டி. எஸ்.
CDPO Civil Washim,சிடிபிஓ சிவில் வாஷிம்
Terms of Service,சேவை விதிமுறைகள்
2.5. Research and operational activities.,2.5. ஆராய்ச்சி மற்றும் செயல்பாட்டு நடவடிக்கைகள்.
Tufanganj I Addl,தூஃபான்கஞ்ஜ் I அடிஷனல்
CANNING II ADDITIONAL,கேனிங் II அடிஷனல்
Jhalda - II,ஜால்டா - II
Gomariguri Icds Project,கோமரிகுரி ஐ. சி. டி. எஸ். புராஜக்ட்
Best performing states (National Best),சிறப்பாக செயல்படும் மாநிலங்கள் (தேசிய அளவில்)
Siddharth Nagar City,சித்தார்த் நகர் நகரம்
Sonarpur ICDS Project,சோனார்பூர் ஐ. சி. டி. எஸ். புராஜக்ட்
"Td1, 2 or Td Booster***","Td1, 2 அல்லது Td பூஸ்டர்***"
North East Delhi,வட கிழக்கு டெல்லி
Sri Muktsar Sahib,ஸ்ரீ முக்த்சர் சாஹிப்
North West Jorhat,வட மேற்கு ஜோர்ஹட்
Raninagar - II,ராணிநகர் - II
TAKE HOME RATION (THR) GIVEN TODAY,இன்று கொடுக்கப்பட்ட டேக் ஹோம் ரேஷன் (THR)
Beneficiaries Registered Today,இன்று பதிவுசெய்யப்பட்ட பயனாளிகள்
A beneficiary is eligible for THR for at least 21 days in a month.,ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு THRக்கு தகுதியுடையவர்.
Bhatpara II (U),பட்பரா II (யு)
Cooch Behar II Addl,கூச்பெஹார் II அடிஷனல்
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. விதிமுறைகளில் எதிர்கால மாற்றங்கள் குறித்த அறிவிப்புஃ
Planning And Organising Community Based Events At AWC,AWC இல் சமூக அடிப்படையிலான நிகழ்வுகளைத் திட்டமிடுதல் மற்றும் ஏற்பாடு செய்தல்
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. அறிவுசார் சொத்து உரிமைகள்
GOSABA ICDS MAIN,கோஸபா ஐ. சி. டி. எஸ். புராஜக்ட்
Growth monitoring charts,வளர்ச்சி கண்காணிப்பு வரைபடங்கள்
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,டான்கோரா -ஹாஸன்கஞ்ச்
Frequently Asked Questions,அடிக்கடி கேட்கப்படும் கேள்விகள்
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"மொபைல் மொபைல் எண்கள் வழியாக பதிவு செய்ய முடியாவிட்டால், அங்கன்வாடி ஊழியர்கள் பயன்பாட்டில் எவ்வாறு பதிவுபெற முடியும்?"
Salboni ICDS Project,சல்போனி ஐ. சி. டி. எஸ். புராஜக்ட்
Raninagar - I,ராணிநகர் - I
Sandeshkali - I Adl.,சந்தேஷ்காலி - I அடிஷனல்
Poshan Tracker adds new Reports feature,ரோஷன் டிராக்கர் புதிய அறிக்கைகள் அம்சத்தைச் சேர்க்கிறது
Magrahat - II ICDS,மாக்ராஹட் - II ஐ. சி. டி. எஸ்.
Lungsen Icds Project,லங்ஸென் ஐ. சி. டி. எஸ். திட்டம்
General Awareness about preventing illness in Children,குழந்தைகளுக்கு ஏற்படும் நோய்களைத் தடுப்பது பற்றிய பொதுவான விழிப்புணர்வு
Demow Icds Project,டெமௌ ஐ. சி. டி. எஸ். புராஜக்ட்
Ratua - I,ரதுவா - I
Purulia - II,புருலியா - II
Dhar - R,தர் - ஆர்
Beneficiaries status change notifications,பயனாளர்களின் நிலை மாற்ற அறிவிப்புகள்
K R Nagar,கே ஆர்   நகர்
