eng,sd
Material featured on this website may be reproduced free of charge.,इन्ह वेबसाइट ते प्रदर्शित सामग्री खे निःशुल्क पुनः प्रस्तुत करे सगंदा आयो।
"However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","हालांकि, साइट जो कोई भी हिस्सौ आऊं केडी भी सामग्री जी प्रतिलिपि, पुनर्प्रकाशित, पुनरुत्पादित, अपलोड, पोस्ट, सार्वजनिक रूप सां प्रदर्शित, एन्कोडेड, अनुवादित, प्रेषित या बे केडे अन्य कंप्यूटर, सर्वर, वेब साइट या ब्या माध्यम में प्रकाशन जे लाये केडे भी तरह सा अपमानजनक तरीके सां या भ्रामक संदर्भ में, डे-वट्ट न करे सगंदा आयो।"
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","तवां साइट ते मिलंदड जानकारी जो इस्तेमाल करे सगंदा आयो, बशर्ते कि तवां (1) इह जानकारी जो इस्तेमाल केवल पेंजी निजी, गैर-व्यावसायिक सूचनात्मक वजह जे लाये कयो ता आऊं इह जानकारी खे केडे भि नेटवर्क कंप्यूटर ते कॉपी या पोस्ट न कंदो या हिनखे केडे भी मीडिया में प्रसारित न कंदो, (2) एडी काई भी जानकारी आऊं एडा कागरअ आऊं सामग्री सां संबंधित केडी भी अतिरिक्त अभ्यावेदन या वारंटी में कोई संशोधन न थेयन गुर्जे।"
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","जित्ते-किथे भी सामग्री प्रकाशित या बेयन खे जारी की वेंदी, स्रोत जे प्रमुखता सां मनी वेंदी।"
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","हालांकि, इन्ह सामग्री खे पुनः पेश करण जी इजाजत केडी भीएडी सामग्री ताईं विस्तारित न थींदी जैकी केडी ट्रीं दुरी जे कॉपीराइट जे रूप में पहचानन वेंदी आये।"
Galsi - II,गालसी - II
"MPIN can be easily reset by any AWW/AWC user.You are required to click on Forgot MPIN, and enter your registered mobile number.You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",कहिं बि आंगनवाडी कम कंदड/ आंगनवाडी मरकज यूजर पारां एमपिन खे सहुलाईअ सां वरी सेट करे सघ॒जे थो. तव्हां खे फॉरगॉट एमपिन ते क्लिक करणो पवंदो एं पहिंजो रजिस्टर कयल मोबाइल नंबर दाखिल करणो पवंदो।तव्हां खे तव्हां जे रजिस्टर थियल मोबाइल नंबर ते हिक ओटीपी मिलंदो एं तव्हां सहूलाईअ सां तव्हां जो एमपिन सेट करे सघो॒ था.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोषण टे्कर हिक एप आ जे को आंगनवाडी कार्यकर्ता खे कम भी डिनडो आ ताकी उव पानी मेहनत सा तां ताई सर्विस डे सुठि।
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,हियो हिक फायदेमंद आंगनवाडी कार्यकर्ता जी डिलीवरी सर्विस पहुंचाईं दो पोषण अभियान जे तहत
Shahid Bhagat Singh Nagar,शहीद भगत सिंह नगर
Matigara ICDS Project( Addl ),मातीग्रा आई. सी. डी. ऐस. प्रोजेक्ट (धार)
Goapokher- II Addl.,गोआपोखर- II धार
Sonbhadra Banshi Suryapur,सोनभद्र बांशी सुर्यापुर
Please enter valid Date of Birth,किरपा सही जन्म तारीख विजो
Jugijan Icds Project,जुगीजा आई. सी. डि. ऐस. प्रोजेक्ट
Ketugram - I,केतुग्राम - I
How to revive your Health?,किंय वापस पाए ता सघु सिहत?
West Garo Hills,ओभर गारो टेकरियू
West Singhbhum - Jharkhand,ओलह सिंघबहुम - झारखंड
Delhi Project 2,दिल्ली प्रोजेकट 2
2.2. Communicate with you.,2.2. तांसा गालाएण।
Who is eligible for additional supplementary food?,केर अतिरिक्त पूरी रोटी जे योग्य आ?
CHAUTH KA BARWARA,चैटी जो बारवारो
Namchi Rural Project,नामछी गो॒ठाणी प्रोजेक्ट
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","अस्सां तवांखे ऐडे बद्लावन जे बारे में विशेष रूप सां बुदाये बगैर, केडे भी मैल हिन शरतुं जो कोई भि हिस्सों बदले, मटे, वधीक करण या हटायन जो हक्क पाण वठ रखूँ ता।"
Any changes or updates will be effective immediately.,केडो भी बदलाव तुरंत प्रभाव कारी थिंदो।
You take the responsibility to check these Terms of Use periodically for changes.,तां परिवर्तन जे टाईम ते हिन शर्त खे डिसण जी जिम्मेदारी खणदव।
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,हिनअ तरह जे सुधार खां पोए प्लेटफार्म जो तवान्जो जारी इस्तेमाल बदलैल शर्तन लाये तवान्जी हामी भरण आहे।
Project - Iii,प्रोजेक्ट - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,जेकद॒हिं आंगनवाडी में कम कंदड पहिंजे पाण खे रजिस्टर करण में नाकामयाब थियन था त इन जा ब॒ कारण थी सघ॒न थाःMoWCD खे राज्य पारां दि॒नल डाटा में उनहनु जो मोबाइल नंबर मौजूद न आहे.उहे सिस्टम में नवां जुडियल आहिन एं उनहनु जो मोबाइल नंबर MoWCD खे राज्य पारां अञा ताईं दि॒नो न वियो आहे.मथे दि॒नल बि॒न्ही मामलनु में राज्य जा नोडल ऑफिसरन खे कहिं बि आंगनवाडी कम कंदडनु खे जोडण/ सुधारण/ एक्टिव/ डीएक्टिव करण जो इख्तियार दि॒नो वियो आहे.
Bilkhawthlir Icds Project,बीलखावाथलीर आई. सी. डी. ऐस. प्रोजेक्ट
No Record to Show,दे॒खारण जे लाये को रिकार्ड न आहे
Kailashahar District H.,कैलाशनगर जिलो ऐच्छ.
Q,कयू
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रेकर डैशबोर्ड केतरनु नमूननु जूं रिपोरटुं कढी सघ॒बियूं आहिन?
WHO standards are,WHO मानक आ
Murarai-II ICDS Project,मुराराय-II आई. सी. डी. ऐस. प्रोजेक्ट
South East Delhi,द॒खण ओभर दिल्ली
Ashoknagar- Kalyangarh (U),अशोकनगर-कलयानगढ (यू)
How to revive your health if you are Severely Wasted (SAM),किंय वापस पाए ता सघु सिहत कठोरता सा विनायल ग्रोथ (SAM)
Baba Belkhar Nath Dham,बाबा बेलखार नाथ धाम
Firozabad City 2,फिरोजाबाद शहरी 2
What is Poshan Calculator,छा आए पोषण केल्कयुलेटर
Binpur - I,बीनपुर - I
Ldh Urban 2,ऐलडीऐच शहरी 2
"See assessment charts for Stunted, Wasted and Underweight parameters","स्टंटेड, वेस्टेड आऊं गठ वजन जे प्रचालण जे लाये असेसमेंट चार्ट डिसो"
Visit state page,राज्य पेज ते वञो
Best performing districts,सर्वश्रेष्ठ प्रदर्शन करण वारा जिला
Sandeshkhali - I,संदेशखाली - I
Resources for growth monitoring and general awareness,विधारे निगरानी ऐं आम जाणि लाई वसिला
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,आंगनवाडी कम कंदडन खे हिक आंगनवाडी मरकज में मौजूद जोडजक सां लागा॒पो रखन्दड जा॒ण दाखिल करणी पवंदी आहे.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","जहिं में इमारत, बुनियादी सहूलियतुं , सुविधाऊं, सफाई, पीयण जो पाणी वगैरह शामिल आहे."
Lactating mothers who received Take Home Ration (THR),ढुक्क डेयंन वारी माउन खे टेक होम राशन (THR) प्राप्त थेयो
Balurghat (U),बालुरघाट (यू)
Last updated on,आखिरी दफोअपडेट कियो वयो
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.Any changes or updates will be effective immediately.You should review this Privacy Policy regularly for changes.We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.However, as a user of the System, you should regularly check the Privacy Policy for any changes.We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","पोषण टे्कर एप जे वठ अधिकार तस कि केमल भी बदलाव अंउ अपडेट करे तो सिघे बिना ताखे बुधाए अंउ नोटिफिकेशन डयई।केडो भी बदलाव तुरंत प्रभाव कारी थिंदो।तां गोपनीयता नीति जा बदलाव डिसी ता सिंघो।असा आमतौर ते हेठो सिस्टम रखनदा आयुन जेसा।नोटिफाय करे ता सिंघउ गोपनीयता नीति जे लाए।तां युजर हुजण जे नाते रोज गोपनीयता नीति डिसी ता सिघो।अस्सां हिन् गोपनीयता बुखारीण जे मथ्थों ""आखिरी अद्यतन"" तारीक ते अपडेट कंदासे, जैको हिन् गोपनीयता बुखारीण जी कारगर तारीक मनी वेंदी।नई गोपनीयता बुखारीण जि तारीख खां पोए सिस्टम ते तवानजी बेझिजक पोंच या इस्तेमाल नई गोपनीयता बुखारीण जे लाये तवानजी हामी मनी वेंदी।अगर तां नई गोपनीयता नीति खे स्वीकृति न डिनदव त सिस्टम खे इस्तेमाल न करें सिघ दव।तवां मनोता कि तवान्जी जानकारी खे केडे भी मजमूए, भंडार, तरतीब या बे केडे इस्तेमाल खे ऐडे मजमूए, भंडार, तरतीब या बे केडे इस्तेमाल जे मैल लागू थींदेल गोपनीयता नीति जे जरिये सां इख्तेयारी की वेंदी।"
JOYNAGAR-II ICDS PROJECT,जयनगर-II आई. सी. डी. ऐस. प्रोजेक्ट
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?
Stunting and Underweight Growth Parameters,शंटिंग ऐं घठाईंदी-वजन जे वादारपणे जा मापदंढअ
NALHATI-I ICDS PROJECT (NGO),नलहाटी-I आई. सी. डी. ऐस. प्रोजेक्ट (ऐन. जी. ओ)
Enter Height in centimeter,लम्बाई खे सेंटिमेटर में भरयो
Joynagar - I,जोयनगर - I
CDPO OFFICE BATHINDA, सी. डी. पी. ओ. दफतर भटींडा
Severely Wasted (SAM),कठोरता सा विनयाएण (SAM)
"No, Poshan Tracker is available only for Android version","न, पोषण ट्रेकर फकत ऐन्ड्रॉइड कौल ते मौजूद आहे."
Harishchandrapur - I,हरिषचंद्रपुर- I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. मुआवजे आऊं देनदारी जी हद्द
2.1. Deliver our services.,2.1. असांजी सर्विस डेयण लाए।
Growth monitoring report for all health indicators,वाधारपणो निगरानी रिपोरट समुरे सिहत ड॒सुडिंदड लाई
Take Home Ration (THR) given in last 30 days,पोंयनु 30 दीं॒हनु में दि॒नल घर खणी वञण जो राशनु (THR)
Please select District,महर्बानी करे हिकु जिलो चुंडो
District’s Quarterly Performance,जिले जो तिमाही प्रदर्शन
3.1. Tracking health progress.,3.1. ट्रेकिंग हेल्थ प्रोग्रेस।
Raghunathpur - II,रघुनाथपुर - II
Kultali ICDS Project,कुलताली आई. सी. डी. ऐस. प्रोजेक्ट
CDPO Worli Kandivali Urban,सीडीपीओ वारली कांडीवासली शहरी
Please enter Name,महर्बानी करे नालो दाखिल कयो
Balurghat Rural Ad,बालुरघाट गो॒ठाणो धार
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,बारण खे स्टंटेड चईंनदासे अगर उनन जी लम्बाई उम्र जे लाए वधिक ब स्टेंडर्ड डेविएशन में त हेठ हुनदाWHO चाईल्ड ग्रोथ स्टेंडर्ड मिडियन में
South 24 Parganas,द॒खण 24 परग॒णा
Deoghar Cum Jasidih,देओघर सुधो जासीधी
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,"अख्तियारी डिनायल संसथानअ केडी भी डेटा खे वरी तक्सीम न कंदा, जेनखे वे एपीआई / नो-कोड वेबपेज एकीकरण जे माध्यम सां एक्सेस करण में काबिल आहेन आऊं इहो पक्को कंदा कि एडी सजी डेटा जो एकीकरण जरूरी रूप सां पोशन ट्रैकर द्वारा डीयो वणन वारी विशिष्ट सेवाउन ताईं सीमित हूंदो।"
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","केडी भी हालत में, कोई भी संस्था सरकार जे पोषण अभियान जे हिस्से जे रूप में जमा करैल डेटा जो इस्तेमाल इथे बुदाएल कारणंन जे अलावा केडी भी वजह लाये न कंदी, आऊं जीयं कि सरकार वठों इजाजत मिली आहे।"
Helping make India malnutrition free,2022 ताईं भारत खे कुपोषण खां मुक्त करण जे लाए मदद
General Awareness on Module,वहींवारी जागरूकता मॉड्यूल जी
What is the purpose of Launching Poshan Tracker?,पोषण ट्रेकर खे शुरू करण जो मकसद छा आहे?
"As a registered user, you have the right to access your profile at any time.",रजिस्टर्ड युजर हुजण जे नाते ता केमल भी प्रोफाइल खोले ता सिघो।
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.",बदलाव सिर्फ पोषण टे्कर एप जे सिस्टम द्वारा ही थिंदा।
You cannot manage the communications that you receive from us or how you receive them.,"तवां असांखो काई भी जानकारी जी रहनुमाई या केडी जानकारी कीयं तवां वठ पहुंचन गुर्जे, हिनजो फैसलों नत्ता करे सगो।"
View All FAQs,समुरा FAQs डि॒सो
Please Select Sector,महर्बनी  करे विभाग चुंडो
Bankura - II,बांकुडा - II
Raipur-  Karchulian,रायपुर- कारछुलियां
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. कानून, ट्रीं दुरी जा हक्क आऊं सेवा जी ब्ईउँ शरतुं जी ताईबदारी"
"repeated infection, and inadequate psychosocial stimulation","घडी घडी इन्फेक्शन,आऊं ईनऐडयुकेट साइकोलॉजिकल सिम्युलेशन"
Oops!Page Not Found,उप्स पेज न मिलियों
Beneficiary migration from one AWC to another AWC,फाईदोवठिंदड लडा॒यो वयो हिक AWC खां बे॒ AWC में
Gyalshing Rural Project,गयालसिंग गो॒ठाणी प्रोजेक्ट
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Lohian khas,लोहियान खास
Durg ( R ),दुर्ग (आर)
Bagnan - II,बागान - II
Lawngtlai ICDS Project,लावनग्तलाई आई. सी. डी. ऐस. प्रोजेक्ट
Date of Birth,जन्म जी तारिख
Nihal Singh Wala,निहाल सिंह वाला
CDPO  Yavatmal-(U),सीडीपीओ यावातमाल-(यू)
DUM DUM SOUTH,दम दम दखण
4:15 PM to 5:15 PM,4:15 PM खां 5:15 PM ताईं
Sagar - U,सागर - यू
About Poshan Tracker,पोषण ट्रेकर बाबतु
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","पोषण अभियान हेठाँ आईसीटी प्लेटफॉर्म ते तालिम (02 फरवरी, 2021)"
Panskura- II ADDL ICDS,पांशकुडा- II धार आई. सी. डी. ऐस.
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,पोषण ट्रेकर टीम खे support-poshantrackr@gov.in ते ईमेल करे राब्तो करे सघ॒बो आहे.सहकार एं मदद जे लाये असां हर दि॒हं 4:15 pm खां 5:15 pm ताईं वीडियो कांफ्रेंस ते बि मौजूद आहियूं.
Diyung Valley Icds Project,दीयूंगब्रा वेल्ली आई. सी. डि. ऐस. प्रोजेक्ट
South West Delhi,द॒खण ओलह दिल्ली
You may browse the Site without registering for an account.,तां खातो पंजीकरण करे बिना साइट ब्राउज करें ता सिंघो।
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",अगर ता साइट द्वारा डिनल सुविधा या सेवा खडदव तो ताखे मोबाईल नम्बर आऊं खाते सा पंजीकरण करणों पेन्दो।
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.",भिन्न शर्त युन खे स्वीकार करें आऊं पांजी जानकारी(आधार विवरण सहित) डयई हिनन वेबसाइट खे वापरे ता सिघो आऊं पांजे परिवार खे भी हिनसा जोडे ता सिघो।
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,तवान पेंजी व्यक्तिगत जानकारी आऊं पंजीकरण आऊं हिनअ जानकारी खे सुरक्षित रखण में नाकामयाब थियन जी वजह सां थियन वारी सभी गतिविधिन जी गोपनीयता ठाये रखण जे लाये पूरी तरह सां जिम्मेदार आयो।
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,तांजो पंजीकरण आऊं मोबाईल नम्बर गोपनीयता सा रखो वेन्दोतां ईयो वचन डिंडा आयोःतावान पेंजे खाते जे तरीके सां पेंजे रिकॉर्ड खे ठाये रखण लाये जुडैल मानून जी रजामंदी हासिल कई तो।
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,तवांजे खाते या मोबाइल नंबर में हुन माणु जो रूप धारण करण जे इरादे सां कोई बे माणु जो नालो शामिल न थिअन्दो।
You shall not use another user's account without their permission.,अगर तां पांजे या बयंजे खाते संबंधी सुरक्षा सुझाव डयण ता चारों त लिखित मे डयी ता सिघो।
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",अगर असांखे हेडी कोई जानकारी ती मिले की तांजो खातों नियम नथो सही सा इस्तेमाल थे त असा उनते कारवाई करे ता सिघु।
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","अगर असांखे कोई शिकायत मिलेती कि तवान्जो खातो बे केडे अधिकारुन जो उल्लंघन करेतो, या असांजी नीतिन जो उल्लंघन करेतो त अस्सां तवांजे खाते के रद्द या ब्लॉक करे सगंदा आयुं।"
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","तव्वां साइट ते हिस्सेदारन खे पंजीकृत करण जे लाये केडे इंटरनेट प्रोटोकॉल पते या मोबाइल नंबर, या कोई बे माध्यम सां पेंजी पहचान लिकायण जी कोशिश नथ्था करे सगो"
What is  MPIN?,एमपिन छा आहे?
Rongmongwe & Samelangso Icds Project,रोगंमोनगवी ऐं सामेलॉगो आई. सी. डि. ऐस. प्रोजेक्ट
Pakabetbari Icds Project,पाकाबेटबाडी आई. सी. डि. ऐस. प्रोजेक्ट
Please Select Reported By,किरपा करे चुनयो रिपोर्ट केंजे द्वारा खपे
Kaliachak - III,कालीयाचौक - III
Dakshin Bastar Dantewada,द॒खण बस्तर दाँतेवाडा
Cdpo Proj No-1,सीडीपीओ प्रोज.नम्बर-1
Berhampur (U) - II,बेहरामपुर (यू) - II
Enter Mobile Number,मोबाईल नम्बर दाखिल कयो
"Project-3, Palanganatham, Madurai","प्रोजेक्ट-3 पालांगालाथन, मदुराई"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,पोषण ट्रेकर एप अलग॒-अल॒ग 22 बो॒लियुन में मौजूद आहे.अलग॒-अलग॒ मौजूद बो॒लियूं आहिनःअंग्रेजीहिंदीगुजरातीपंजाबीमराठीबांग्लाकन्नडतमिलतेलुगुमलयालमऑडियाआसामीNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,AWC वैक्सीनेशन जो रुझान
Jhalda - I,झालदा - I
Reiek ICDS Project,रेइक आई. सी. डी. ऐस. प्रोजेक्ट
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","पोषण ट्रेकर एप जो मकसद आंगनवाडी मरकज जे मशगुलियुन, आंगनवाडी कम कंदडनु जी सेवा जी डिलीवरी एं गर्भ वंती मायुनु, धाराइंदडु माउरुं, बा॒रन जे लाये समूरो बेनेफिशरी बंदोबस्त जो 360 डिग्री व्यू दि॒यण आहे."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","मंजूर कयल सिस्टम मुकरर कयल पैमाने ते सभिनी आंगनवाडी मरकजनु, आंगनवाडी कम कंदडनु एं बेनेफिशरयुन जी रियल टाइम निगरानी एं ट्रेकिंग करण जी इख्तियारी दीं॒दो"
Current Month Performance,मौजूदा महीने जो प्रदर्शन
Rjn Gramin 02,आर जे ऐन गो॒ठाणो 02
How to Login in Poshan Tracker App?,पोषण ट्रेकर एप में लॉगिन कियें कजे?
Height and weight of child has not been measured,बा॒र जे ढिघाई ऐं वजन जे माप नाथी थी आहे
PM’s Program Districts,प्रधानमंत्री जा कार्यक्रम जिला
Kaliachak - I,कालियाचौक - I
Jagatballav pur ICDS,जगतभल्लभपुर आई. सी. डी. ऐस.
CDPO Civil Washim,सीडीपीओ सिविल वासिम
Terms of Service,टर्म्स ऑफ सर्विसेस
2.5. Research and operational activities.,2.5. रिसर्च अंउ आपरेशन ऐकटिवीटी।
Tufanganj I Addl,तुफानगंज I धार
CANNING II ADDITIONAL,केनिंग II ऐडिशनल
Jhalda - II,जाल्दाह - II
Gomariguri Icds Project,गोमारीगुरी आई. सी. डि. ऐस. प्रोजेक्ट
Best performing states (National Best),सर्वश्रेष्ठ प्रदर्शन करण वारा राज्य (राष्ट्रीय सर्वश्रेष्ठ)
Siddharth Nagar City,सिद्धार्थनगर शहरी
Sonarpur ICDS Project,सोनारपुर आई. सी. डी. ऐस. प्रोजेक्च
"Td1, 2 or Td Booster***","Td1, 2 या Td बूस्टर***"
North East Delhi,उतर ओभर दिल्ली
Sri Muktsar Sahib,श्री मुक्तसर साहिब
North West Jorhat,उतर ओलहि जोरहाट
Raninagar - II,राणीवनगर - II
TAKE HOME RATION (THR) GIVEN TODAY,अजु॒ दि॒नल घर खणी वञण जो राशनु (THR)
Beneficiaries Registered Today,अजु॒ रजिस्टर थियल बेनेफिशरी
A beneficiary is eligible for THR for at least 21 days in a month.,हिक लाभकारी छा योग्य आए THR लाए घट में घट महिने जे 21 डियन जे लाए।
Bhatpara II (U),भारतपुर II (यू)
Cooch Behar II Addl,कुचबिहार II धार
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. शर्त जे बदलण में सुचनाः
Planning And Organising Community Based Events At AWC,AWC में खल्क जे लाये कार्यक्रमअन जि तजवीज आऊं हुननजो बन्दोबस्त करण
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. बौद्धिक संपदा अधिकार
GOSABA ICDS MAIN,गोसाबा आई. सी. डी. ऐस. मुल
Growth monitoring charts,वाधोरो निगरानी कंदड चार्टअ
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,दानखोरा - हासनगंज
Frequently Asked Questions,बार-बार पुषण वारा सवालः
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,जेकद॒हिं आंगनवाडी कम कंदड मोबाइल नंबर मारफत रजिस्टर करण में नाकाबिलआहिन त उहे एप ते कियें साइन अप करे सघं॒दा आहिन?
Salboni ICDS Project,सालबोनी आई. सी. डी. ऐस. प्रोजेक्ट
Raninagar - I,रानीनगर-I
Sandeshkali - I Adl.,संदेशखाली - I धार
Poshan Tracker adds new Reports feature,कोशॉन ट्रेकर गंढी आहे नई रिपोर्ट कारगुजारी
Magrahat - II ICDS,मागेरहाट - II आई. सी. डी. ऐस.
Lungsen Icds Project,लुंगसेन आई. सी. डी. ऐस. प्रोजेक्ट
General Awareness about preventing illness in Children,बारण खे बिमारी खा बचायण जी वहींवारी जागरूकता
Demow Icds Project, देमाउआई. सी. डि. ऐस. प्रोजेक्ट
Ratua - I,रातुआ - I
Purulia - II,पुरुलिया - II
Dhar - R,धार - आर
Beneficiaries status change notifications,फाईदोवठिंदड हालत मटिंदा पधिराईयूं
K R Nagar, के. आर. नगर
2. HOW WE USE PERSONAL INFORMATION,2. अस्सां निजी जानकारी खे कीयं इस्तेमाल कंदा आयुं
Purnia East Rural,पुरनिया ओल्हि गो॒ठाणो
Ranaghat 2 Ex,रानाघाट 2 ऐक्स
Careers At Poshan Tracker,पोशान ट्रेकर में नौकरीयूं
Nichar At Bhabnagar,नीछार बाबनागर ते
Underweight Assessment Parameters,घट वजन जो मुल्यांकन मापण
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,किरपा तांजो मोबाईल नम्बर आऊं टिकेट नम्बर डरो।
Kulti (U) ICDS Project,कुल्टी (यू) आई. सी. डी. ऐस. प्रोजेक्ट
Ludhiana 1 Rural,लुधियाना 1 गोठाणो
Dinhata - II addl,दीनहाटा - II धार
Please contact your respective Anganwadi worker.,किरपा तांजे आदरणीय आंगनवाडी कार्यकर्ता सा सम्पर्क कयो।
SAM Children under 5 years who received Supplementary Nutrition,SAM बारअ जैका 5 सालन खां घट उम्र जा आहेन जहिंखे पूरक पोषण मिलो आहे
Feeding During Illness,बीमारी जे दौरान खारायण या ढुक्क डेयन
Ratlam Rural - 2,रतलाम गो॒ठाणो - 2
Suti - I,सुती-I
Memari - II,मेमारी - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1पेंटावेलेंट-1रोटावायरस वेक्सिन (RVV)-1फ्रेकशनल डोस आफ इनएक्टिवेटेड पोलियो वेक्सिन(fIPV)-1न्यूमोकोकल कोनज्युकेट वेक्सिन (PCV) -1
Height should be between 38 to 150,ढिगाई 38 खां 150 जे मंझ हुअणी खपे
How to contact Poshan Tracker Team?,पोषण ट्रेकर टीम जो राबतो कियें कयो वञे?
Rongli Rural Project,रेगली गो॒ठाणी प्रोजेक्ट
Take Home Ration (THR) Given Today,अजु॒ दि॒नल घर खणी वञण जो राशनु (THR)
How many different forms are there in Poshan Tracker App?,पोषण ट्रेकर एप में केतरन नमूनन जा फॉर्म दि॒नल आहिन।
Ldh Urban 1,ऐलडीऐच शहरी 1
There are 7 different types of forms for beneficiaries.,फायदो वठंदडनु जे लाये 7 नमूनन जा फॉर्म दि॒नल आहिन।
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),जहिं में शामिल आहिनःधाराइंदडु माउगर्भ वंती माईबा॒र 0 - 6 महीनाबा॒र 6 महिने खां 3 सालबा॒र 3 साल खां 6 सालनौजवानु छोकरियूं (11 साल - 19 साल)
Shibpur I C D S Project,शीबपुर आई. सी. डी. ऐस. प्रोजेक्च
