eng,mr
Galsi - II,गालसी - II
MPIN can be easily reset by any AWW/AWC user.,एमपीआयएन सहजपणे कोणत्याही एडब्ल्यूडब्ल्यू / एडब्ल्यूसी वापरकर्त्याद्वारे रीसेट केले जाऊ शकते.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","आपल्याला विसरलेले एमपीन वर क्लिक करणे आवश्यक आहे, आणि आपला नोंदणीकृत मोबाइल नंबर प्रविष्ट करणे आवश्यक आहे."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,आपल्या नोंदणीकृत मोबाइल नंबरवर आपल्याला ओटीपी प्राप्त होईल आणि आपण आपल्या एमपीनला रीसेट करू शकता.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोषण ट्रॅकर अंगणवाडी कर्मचार्यांना त्यांच्या प्रयत्नांचे प्रतिबिंब देऊन कार्यक्षमतेने सेवा पुरवण्यासाठी नोकरी-सहाय्य आहे.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,पोषण अभियानांतर्गत हा एक गंभीर आणि लाभार्थी-केंद्रित सेवा वितरण अनुप्रयोग आहे जो विश्लेषणासह वास्तविक वेळेच्या डेटाला प्रोत्साहन देईल
Shahid Bhagat Singh Nagar,शाहिद भगतसिंग नगर
Matigara ICDS Project( Addl ),माटीगारा आयसीडीएस प्रकल्प (अतिरिक्त)
Goapokher- II Addl.,गोपोखेर- II अतिरिक्त
Sonbhadra Banshi Suryapur,सोनभद्र बंशी सूर्यपूर
Please enter valid Date of Birth,कृपया वैध जन्मतारीख प्रविष्ट करा
Jugijan Icds Project,जुगीजन आयसीडीएस प्रकल्प
Ketugram - I,केतुग्राम - I
How to revive your Health?,आपले आरोग्य कसे पुनरुज्जीवित करावे?
West Garo Hills,वेस्ट गॅरो हिल्स
West Singhbhum - Jharkhand,वेस्ट सिंगभूम - झारखंड
Delhi Project 2,दिल्ली प्रकल्प 2
2.2. Communicate with you.,2.2. तुमच्याशी संवाद साधणे.
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे?
CHAUTH KA BARWARA,चौथ का बरवरा
Namchi Rural Project,नामची ग्रामीण प्रकल्प
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","या अटींचा कोणताही भाग बदलण्याचा, सुधारण्याचा, जोडण्याचा किंवा काढून टाकण्याचा बिनशर्त अधिकार आम्ही राखून ठेवतो, अशा बदलांबद्दल तुम्हाला विशेषतः सूचित न करता."
Any changes or updates will be effective immediately.,कोणतेही बदल किंवा अद्यतने त्वरित प्रभावी होतील.
You take the responsibility to check these Terms of Use periodically for changes.,बदलांसाठी वेळोवेळी या वापर अटी तपासण्याची जबाबदारी तुम्ही घेणे.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,अशा पुनरावृत्तीनंतर तुम्ही प्लॅटफॉर्मचा सतत वापर केल्यास सुधारित अटींची स्वीकृती होईल.
Project - Iii,प्रकल्प - Iii
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,जर एडब्ल्यूडब्ल्यू स्वतः ची नोंदणी करण्यात अयशस्वी ठरला असेल तर तेथे दोन शक्यता असू शकतातः एमओडब्ल्यूसीडीला राज्यांनी पुरविलेल्या डेटामध्ये त्यांचा मोबाइल नंबर उपलब्ध नाहीते सिस्टममध्ये नवीन जोडले गेले आहेत आणि त्यांचा मोबाइल क्रमांक अद्याप राज्य मंत्रालयाने एमडब्ल्यूसीडीला प्रदान केलेला नाहीवरील दोन्ही प्रकरणांमध्ये राज्य नोडल अधिकारी यांना कोणत्याही एडब्ल्यूडब्ल्यूला जोडणे / संपादित करणे / सक्रिय / निष्क्रिय करण्यास सक्षम केले गेले आहे.
Bilkhawthlir Icds Project,बिलखावंथलीर आयसीडीएस प्रकल्प
No Record to Show,दर्शविण्यासाठी रेकॉर्ड नाही
Kailashahar District H.Q,कैलाशहर जिल्हा मुख्यालय
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रॅकर डॅशबोर्डवर किती वेगवेगळ्या प्रकारचे अहवाल तयार केले जाऊ शकतात?
WHO standards are,डब्ल्यूएचओ मानके आहेत
Murarai-II ICDS Project,मुराराई-II अतिरिक्त प्रकल्प
South East Delhi,दक्षिण पूर्व दिल्ली
Ashoknagar- Kalyangarh (U),अशोकनगर- कल्याणगड (यु)
How to revive your health if you are Severely Wasted (SAM),तुम्ही गंभीरपणे अशक्त असाल (सॅम ) तुमचे आरोग्य कसे सुधारावे
Baba Belkhar Nath Dham,बाबा बेलखर नाथ धाम
Firozabad City 2,फिरोजाबाद शहर 2
What is Poshan Calculator,पोषण कॅल्क्युलेटर म्हणजे काय
Binpur - I,बिनपूर - I
Ldh Urban 2,एलडीएच शहरी 2
"See assessment charts for Stunted, Wasted and Underweight parameters","बुटकेपणा, लूकडेपणा आणि कमी वजन या मापदंडांसाठी मूल्यांकन तक्ते पहा"
Visit state page,राज्य पृष्ठास भेट द्या
Best performing districts,सर्वोत्तम कामगिरी करणारे जिल्हे
Sandeshkhali - I,संदेशखळी - I
Resources for growth monitoring and general awareness,ग्रोथ मॉनिटरिंग आणि सामान्य जागरूकता साठी संसाधने
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,एएनडब्ल्यूडब्ल्यूला विशिष्ट अंगणवाडी केंद्रात असलेल्या पायाभूत सुविधांशी संबंधित तपशील प्रविष्ट करणे आवश्यक आहे.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","यामध्ये संरचना, मूलभूत सुविधा, सुविधा, स्वच्छता, पिण्याचे पाणी इत्यादींचा समावेश आहे."
Lactating mothers who received Take Home Ration (THR),होम रेशन(टीएचआर) मिळालेल्या स्तनदा माता
Balurghat (U),बालूरघाट (यु)
Last updated on,शेवटचे अपडेट. . . ला केले होते
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","पोषण ट्रॅकर या गोपनीयता धोरणाचा कोणताही भाग कोणत्याही वेळी बदलण्याचा, सुधारण्याचा, जोडण्याचा किंवा काढून टाकण्याचा बिनशर्त अधिकार राखून ठेवतो, विशेषतः अशा बदलांबद्दल तुम्हाला सूचित न करता."
Any changes or updates will be effective immediately.,कोणतेही बदल किंवा अद्यतने त्वरित प्रभावी होतील.
You should review this Privacy Policy regularly for changes.,बदलांसाठी तुम्ही या गोपनीयता धोरणाचे नियमितपणे पुनरावलोकन करावे.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","आम्ही या गोपनीयता धोरणातील कोणत्याही भौतिक बदलांबद्दल सर्व वापरकर्त्यांना सूचित करण्यासाठी व्यावसायिकदृष्ट्या वाजवी प्रयत्न करू, जसे की सिस्टमवरील सूचना."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","तथापि, सिस्टमचा वापरकर्ता म्हणून, कोणत्याही बदलांसाठी तुम्ही नियमितपणे गोपनीयता धोरण तपासले पाहिजे."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","आम्ही या गोपनीयता धोरणाच्या शीर्षस्थानी \""अंतिम अद्यतनित\"" तारीख देखील अद्यतनित करू, जी या गोपनीयता धोरणाची प्रभावी तारीख दर्शवते."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,नवीन गोपनीयता धोरणाच्या तारखेनंतर तुमचा सतत प्रवेश किंवा सिस्टमचा वापर नवीन गोपनीयता धोरणाची तुमची स्वीकृती बनवते.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","तुम्ही नवीन गोपनीयता धोरणाशी सहमत नसल्यास, तुम्ही सिस्टममध्ये प्रवेश करणे आणि/किंवा वापरणे थांबवणे आवश्यक आहे."
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","तुम्ही याद्वारे कबूल करता की तुमच्या माहितीचे कोणतेही संकलन, स्टोरेज, प्रक्रिया किंवा इतर वापर हे अशा संकलन, स्टोरेज, प्रक्रिया किंवा इतर वापराच्या वेळी लागू असलेल्या गोपनीयता धोरणाद्वारे नियंत्रित केले जातील."
JOYNAGAR-II ICDS PROJECT,जॉयनगर-II आयसीडीएस प्रकल्प
What is the eligibility of a beneficiary?,लाभार्थीची पात्रता काय आहे?
Stunting and Underweight Growth Parameters,खुंटणे आणि कमी वजन वाढीचे मापदंड
NALHATI-I ICDS PROJECT (NGO),नल्हाटी-I अतिरिक्त प्रकल्प (एनजीओ)
Enter Height in centimeter,सेंटीमीटरमध्ये उंची प्रविष्ट करा
Joynagar - I,जॉयनगर - I
CDPO OFFICE BATHINDA,सीडीपीओ कार्यालय भटिंडा
Severely Wasted (SAM),गंभीर लूकडेपणा (सॅम )
"No, Poshan Tracker is available only for Android version",पोषण ट्रॅकर केवळ अँड्रॉइड आवृत्तीसाठी उपलब्ध आहे.
Harishchandrapur - I,हरिश्चंद्रपूर - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. नुकसानभरपाई आणि दायित्वाची मर्यादा
2.1. Deliver our services.,2.1. आमच्या सेवा वितरीत करा.
Growth monitoring report for all health indicators,सर्व आरोग्य निर्देशकांसाठी वाढ निरीक्षण अहवाल
Take Home Ration (THR) given in last 30 days,मागील ३० दिवसात दिलेली होम रेशन (टीएचआर)
Please select District,कृपया जिल्हा निवडा
District’s Quarterly Performance,जिल्ह्याची त्रैमासिक कामगिरी
3.1. Tracking health progress.,3.1. आरोग्य प्रगतीचा पाठपुरावा करणे.
Raghunathpur - II,रघुनाथपूर - II
Kultali ICDS Project,कुलतली आयसीडीएस प्रकल्प
CDPO Worli Kandivali Urban,सिडीपीओ वरळी कांदिवली अर्बन
Please enter Name,कृपया नाव प्रविष्ट करा
Balurghat Rural Ad,बालूरघाट ग्रामीण अतिरिक्त
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,डब्ल्यूएचओ चाइल्ड ग्रोथ स्टँडर्ड्स मेडिअनच्या खाली दोन मानक विचलनांपेक्षा जास्त वयाची उंची असल्यास मुलांची खुंटलेले म्हणून व्याख्या केली जाते
South 24 Parganas,दक्षिण २४ परगणा
Deoghar Cum Jasidih,देवघर कम जासीडीह
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,अधिकृत संस्था एपीआय/नो-कोड वेबपेज इंटिग्रेशनद्वारे ऍक्सेस करू शकतील असा कोणताही डेटा पुन्हा वितरित करणार नाहीत आणि अशा सर्व डेटाचे एकत्रीकरण अनिवार्यपणे पोषण ट्रॅकरद्वारे प्रदान केलेल्या विशिष्ट सेवांपुरते मर्यादित असेल याची खात्री करतील.
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","कोणत्याही परिस्थितीत, एखादी संस्था सरकारच्या पोषण अभियानाचा भाग म्हणून संकलित केलेल्या डेटाचा वापर येथे नमूद केलेल्या उद्दिष्टांव्यतिरिक्त आणि सरकारच्या परवानगीनुसार इतर कोणत्याही कारणांसाठी करू शकत नाही."
Helping make India malnutrition free,भारत कुपोषणमुक्त करण्यात मदत करणे
General Awareness on Module,मॉड्यूलवर सामान्य जागरूकता
What is the purpose of Launching Poshan Tracker?,पोषण ट्रॅकर लॉन्च करण्याचा हेतू काय आहे ?
"As a registered user, you have the right to access your profile at any time.","नोंदणीकृत वापरकर्ता म्हणून, तुम्हाला तुमच्या प्रोफाइलमध्ये प्रवेश करण्याचा अधिकार आहे."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","तथापि, बदल केवळ पोषण ट्रॅकर प्रणालीद्वारे वेळोवेळी निर्धारित केल्यानुसारच केले जाऊ शकतात."
You cannot manage the communications that you receive from us or how you receive them.,तुम्ही आमच्याकडून प्राप्त झालेले संप्रेषण किंवा ते कसे प्राप्त करता ते तुम्ही व्यवस्थापित करू शकत नाही.
View All FAQs,सर्व एफएक्यू पहा
Please Select Sector,कृपया क्षेत्र निवडा
Bankura - II,बांकुरा - II
Raipur-  Karchulian,रायपूर- करचुलियन
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. कायद्याचे पालन, तृतीय पक्षाचे अधिकार आणि इतर सेवा अटी"
"repeated infection, and inadequate psychosocial stimulation","वारंवार संसर्ग, आणि अपुरी मनोसामाजिक उत्तेजना"
Oops!,अरेरे!
Page Not Found,पृष्ठ सापडले नाही
Beneficiary migration from one AWC to another AWC,एका एडब्ल्यूसी मधून दुसर्या एडब्ल्यूसी मध्ये लाभार्थी स्थलांतर
Gyalshing Rural Project,ग्यालशिंग ग्रामीण प्रकल्प
ABHA (Health ID),आरोग्य आयडी
Lohian khas,लोहियां खास
Durg ( R ),दुर्ग (आर)
Bagnan - II,बागनान - II
Lawngtlai ICDS Project,लॉंगटलाई आयसीडीएस प्रकल्प
Date of Birth,जन्मतारीख
Nihal Singh Wala,निहाल सिंग वाला
CDPO  Yavatmal-(U),CDPO यवतमाळ-(U)
DUM DUM SOUTH,डम डम दक्षिण
4:15 PM to 5:15 PM,दुपारी 4: 15 ते 5: 15 पर्यंत
Sagar - U,सागर - यू
About Poshan Tracker,पोशन ट्रॅकरबद्दल
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","पोषण अभियानांतर्गत आयसीटी प्लॅटफॉर्मवर प्रशिक्षण (०२ फेब्रुवारी, २०२१)"
Panskura- II ADDL ICDS,पंसकुरा- II अतिरिक्त आयसीडीएस
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM., support-poshantrackr@gov. in र कार्यसंघाशी संपर्क साधला जाऊ शकतो.हाताळणी व समर्थनासाठी आम्ही दररोज संध्याकाळी ३ ते सायंकाळी ५ या वेळेत व्हिडीओ कॉन्फरन्सद्वारे उपलब्ध आहोत.
Diyung Valley Icds Project,दियुंग व्हॅली आयसीडीएस प्रकल्प
South West Delhi,दक्षिण पश्चिम दिल्ली
You may browse the Site without registering for an account.,तुम्ही खात्यासाठी नोंदणी न करता साइट ब्राउझ करू शकता.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","साइटद्वारे ऑफर केलेली काही वैशिष्ट्ये किंवा सेवा वापरण्याचा तुमचा हेतू असल्यास, तुम्हाला तुमच्या मोबाइल नंबरसह खात्यासाठी नोंदणी करणे आवश्यक आहे."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","या अटी मान्य करून, तुम्ही आम्हाला तुमची ओळख माहिती (आधार तपशीलांसह) आणि तुमच्या खात्यात नोंदणीकृत इतर सर्व सदस्यांची देखील वापरण्यासाठी अधिकृत करण्यास स्पष्टपणे सहमत आहात."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,तुमची वैयक्तिक माहिती आणि नोंदणी आणि ही माहिती सुरक्षित ठेवण्यात तुम्ही अयशस्वी झाल्यामुळे होणार्या सर्व क्रियाकलापांची गोपनीयता राखण्यासाठी तुम्ही पूर्णपणे जबाबदार आहात.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,तुमची नोंदणी किंवा मोबाईल क्रमांक गोपनीय ठेवला जाईलतुम्ही ते हाती घ्याःतुमच्या खात्याद्वारे त्यांचे रेकॉर्ड तयार करण्यासाठी तुम्ही संबंधित व्यक्तींकडून संमती घेतली आहे.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,तुमच्या खात्यात किंवा मोबाईल नंबरमध्ये त्या व्यक्तीची तोतयागिरी करण्याच्या हेतूने दुसर्या व्यक्तीचे नाव समाविष्ट नसावे.
You shall not use another user's account without their permission.,तुम्ही दुसर्या वापरकर्त्याचे खाते त्यांच्या परवानगीशिवाय वापरू नये.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","तुम्हाला तुमच्या खात्याचा कोणताही अनधिकृत वापर किंवा इतर खाते-संबंधित सुरक्षा उल्लंघन आढळल्यास, तुम्ही आम्हाला त्वरित लेखी सूचित कराल."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",तुमचे खाते दुसर्याच्या अधिकारांचे उल्लंघन करत असल्याची किंवा आमच्या धोरणांचे उल्लंघन करत असल्याची तक्रार आम्हाला मिळाल्यास आम्ही तुमचे खाते रद्द करू किंवा ब्लॉक करू.
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",साइटवर सहभागींची नोंदणी करण्यासाठी तुम्ही एकाधिक इंटरनेट प्रोटोकॉल पत्ते किंवा मोबाइल नंबर वापरून किंवा इतर कोणत्याही मार्गाने तुमची ओळख लपवण्याचा प्रयत्न करू नका
What is  MPIN?,एमपीन म्हणजे काय?
Rongmongwe & Samelangso Icds Project,रोंगमोन्ग्वे आणि समलांगसो आयसीडीएस प्रकल्प
Pakabetbari Icds Project,पाकबेटबारी आयसीडीएस प्रकल्प
Please Select Reported By,कृपया यांनी नोंदविले निवडा
Kaliachak - III,कालियाचक - III
Dakshin Bastar Dantewada,दक्षिण बस्तर दंतेवाडा
Cdpo Proj No-1,Cdpo प्रकल्प क्रमांक-1
Berhampur (U) - II,बेरहामपूर (यू) - II
Enter Mobile Number,मोबाईल क्रमांक प्रविष्ट करा
"Project-3, Palanganatham, Madurai","प्रकल्प-3, पलंगनाथम, मदुराई"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,पोषण ट्रॅकर अॅप २२ वेगवेगळ्या भाषांमध्ये उपलब्ध आहे.उपलब्ध विविध भाषा या आहेतःइंग्रजीहिंदीगुजरातीपंजाबीमराठीबंगालकन्नडतमिळतेलुगुमल्याळमओडियाआसामीNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,एडब्ल्यू लसीकरण ट्रेंड
Jhalda - I,झालडा - I
Reiek ICDS Project,रिक आयसीडीएस प्रकल्प
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","अंगणवाडी सेंटर (एडब्ल्यूसी) च्या क्रियाकलापांचा एक-३६० डिग्री व्ह्यू, अंगणवाडी सेविकांची सेवा पुरवठा आणि गर्भवती महिला, स्तनपान करणारी माता व मुले यांच्यासाठी संपूर्ण लाभार्थी व्यवस्थापनाचा पोझन ट्रॅकर अनुप्रयोगाचा उद्देश आहे."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित सिस्टीमने निश्चित निर्देशकांवरील सर्व AWCs, AWWs आणि लाभार्थ्यांचे वास्तविक-वेळ देखरेख आणि ट्रॅक करण्यास सक्षम केले पाहिजे."
Current Month Performance,चालू महिन्याची कामगिरी
Rjn Gramin 02,Rjn ग्रामीण 02
How to Login in Poshan Tracker App?,पोषण ट्रॅकर अॅपमध्ये लॉग इन कसे करावे?
Height and weight of child has not been measured,मुलाची उंची आणि वजन मोजले गेले नाही
PM’s Program Districts,पीएमच्या कार्यक्रमाचे जिल्ह
Kaliachak - I,कालियाचक - I
Jagatballav pur ICDS,जगतबल्लव पुर आयसीडीएस
CDPO Civil Washim,सीडीपीओ सिव्हिल वाशिम
Terms of Service,सेवा अटी
2.5. Research and operational activities.,2.5. संशोधन आणि ऑपरेशनल क्रियाकलाप.
Tufanganj I Addl,तुफानगंज I अतिरिक्त
CANNING II ADDITIONAL,कॅनिंग II अतिरिक्त
Jhalda - II,झालडा - II
Gomariguri Icds Project,गोमारीगुडी आयसीडीएस प्रकल्प
Best performing states (National Best),सर्वोत्तम कामगिरी करणारी राज्ये (राष्ट्रीय सर्वोत्तम)
Siddharth Nagar City,सिद्धार्थ नगर शहर
Calculator to measure the child growth based on the WHO Child Growth Standards.,डब्ल्यूएचओ चाइल्ड ग्रोथ स्टँडर्ड्सवर आधारित मुलांची वाढ मोजण्यासाठी कॅल्क्युलेटर
Sonarpur ICDS Project,सोनारपूर आयसीडीएस प्रकल्प
"Td1, 2 or Td Booster***","टीटी 1, 2 किंवा टीटी बूस्टर***"
North East Delhi,ईशान्य दिल्ली
Sri Muktsar Sahib,श्री मुक्तसर साहिब
North West Jorhat,उत्तर पश्चिम जोरहाट
Raninagar - II,राणीनगर - II
TAKE HOME RATION (THR) GIVEN TODAY,आज दिले गेलेले घर रेशन (THR)
Beneficiaries Registered Today,लाभार्थ्यांनी आज नोंदणी केली
A beneficiary is eligible for THR for at least 21 days in a month.,एक लाभार्थी महिन्यातून किमान 21 दिवस टीएचआर साठी पात्र आहे.
Bhatpara II (U),भटपारा II (यु)
Cooch Behar II Addl,कूच बिहार II अतिरिक्त
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. अटींमधील भविष्यातील बदलांबाबत सूचनाः
Planning And Organising Community Based Events At AWC,अंगणवाडी केंद्रामध्ये समुदाय आधारित कार्यक्रमांचे नियोजन आणि आयोजन
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. बौद्धिक मालमत्ता अधिकार
GOSABA ICDS MAIN,गोसाबा आयसीडीएस मुख्य
Growth monitoring charts,ग्रोथ मॉनिटरिंग  चार्ट
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,दानखोरा - हसनगंज
Frequently Asked Questions,सतत विचारले जाणारे प्रश्न
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,अॅडब्ल्यूडब्ल्यूएस त्यांच्या मोबाईल नंबरद्वारे नोंदणी करण्यात अक्षम असल्यास अॅपवर कसे साइन अप करू शकते?
Salboni ICDS Project,सालबोनी आयसीडीएस प्रकल्प
Raninagar - I,राणीनगर - I
Sandeshkali - I Adl.,संदेशकली - I अतिरिक्त
Poshan Tracker adds new Reports feature,पोशन ट्रॅकरने नवीन अहवाल वैशिष्ट्य जोडले आहे
Magrahat - II ICDS,मगराहत - II आयसीडीएस
Lungsen Icds Project,लुंगसेन आयसीडीएस प्रकल्प
General Awareness about preventing illness in Children,मुलांमध्ये आजार टाळण्यासाठी सामान्य जागरूकता
Demow Icds Project,डेमोव आयसीडीएस प्रकल्प
Ratua - I,रतुआ - I
Purulia - II,पुरुलिया - II
Dhar - R,धार - आर
Beneficiaries status change notifications,लाभार्थ्यांची स्थिती बदलण्याच्या सूचना
K R Nagar,के आर नगर
2. HOW WE USE PERSONAL INFORMATION,2. आम्ही वैयक्तिक माहिती कशी वापरतो
Purnia East Rural,पूर्णिया पूर्व ग्रामीण
Ranaghat 2 Ex,राणाघाट 2 माजी
Careers At Poshan Tracker,पोषण ट्रॅकरमध्ये करिअर
Nichar At Bhabnagar,भाबनगर येथे निचार
Underweight Assessment Parameters,वयानुसार वजन याबद्दलचे मूल्यांकन मापदंड
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,कृपया तुमचा मोबाईल नंबर आणि तिकीट क्रमांक द्या.
Kulti (U) ICDS Project,कुलती (यु) आयसीडीएस प्रकल्प
Ludhiana 1 Rural,लुधियाना 1 ग्रामीण
Dinhata - II addl,दिनहाटा - II अतिरिक्त
Please contact your respective Anganwadi worker.,कृपया तुमच्या संबंधित अंगणवाडी सेविकेशी संपर्क साधा.
SAM Children under 5 years who received Supplementary Nutrition,सॅम 5 वर्षाखालील मुले ज्यांना पूरक पोषण मिळाले
Feeding During Illness,आजारपणा दरम्यान आहार
Ratlam Rural - 2,रतलाम ग्रामीण - 2
Suti - I,सुती - I
Memari - II,मेमारी - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,ओपीव्ही-1पेंटावॅलेंट-1रोटाव्हायरस व्हॅक्सिन (आरव्हीव्ही)-1फ्रॅक्शनल डोस ऑफ इनॅक्टिवेटेड पोलिओ व्हॅक्सिन (एफएलपीव्ही)-1न्यूमोकोकल काॅन्जुगेट व्हॅक्सिन (पीसीव्ही)-1
Height should be between 38 to 150,उंची 38 ते 150 च्या दरम्यान असावी
How to contact Poshan Tracker Team?,पोषण ट्रॅकर कार्यसंघाशी संपर्क कसा साधावा?
Rongli Rural Project,रोंगली ग्रामीण प्रकल्प
Take Home Ration (THR) Given Today,आज दिले गेलेले घर रेशन (THR)
How many different forms are there in Poshan Tracker App?,पोषण ट्रॅकर अॅपमध्ये किती भिन्न प्रकारचे फॉर्म आहेत?
Ldh Urban 1,एलडीएच शहरी 1
There are 7 different types of forms for beneficiaries.,लाभार्थींसाठी ७ वेगवेगळे प्रकारचे फॉर्म आहेत.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),यात हे समाविष्ट आहेः स्तनपान करणारी आईगर्भवती महिलामुलाचे ०-६ महिनेमुलाचे ६ महिने ते ३ वर्षांपर्यंतलहान मुले ३ वर्षे ते ६ वर्षेपौगंडावस्थेतील मुली (११ वर्षे-१९ वर्षे)
Shibpur I C D S Project,शिबपूर आयसीडीएस प्रकल्प
RAMPURHAT-II ICDS PROJECT,रामपुरहाट-II आयसीडीएस प्रकल्प
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",अलिकडच्या एक ते तीन महिन्यांत एकाही अंगणवाडी सेविकेने लाभार्थ्यांच्या घरी भेट दिलेली नाही
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.
Seraj At Janjehli,जंजेहली येथे सेराज
Amta - II,आमटा - II
 V. ACCESS PERMISSIONS, V. प्रवेश परवानग्या
Please select Anganwadi Center,कृपया अंगणवाडी केंद्र निवडा
Children between 0-6 months,०-६ महिन्यांच्या दरम्यान मुले
Gautam Buddha Nagar,गौतम बुद्ध नगर
Mangan Tribal Project,मंगण आदिवासी प्रकल्प
New Amravati Urban,न्यू अमरावती अर्बन
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,एमपीन हा ४ अंकांचा पासकोड आहे जो पोषण ट्रॅकर अॅप वर नोंदणी करताना अंगणवाडी सेवकाने सेट केला असतो.
 VI. ACCESS RESTRICTIONS, VI. ्रवेश निर्बंध
