eng,ur
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number",آپ اپنے طور پر یا کسی دوسرے شخص کے ذریعے نہیں کریں گے: کسی دوسرے شخص کو سائٹ استعمال کرنے سے روکیں یا روکیں ۔کسی بھی غیر قانونی مقصد کے لیے سائٹ کا استعمال کریں ۔ظاہر کریں یا اس بات کا اشارہ کریں کہ آپ جو بھی بیان دیتے ہیںاس کی توثیق ہماری پیشگی تحریری اجازت کے بغیر کی جاتی ہے ۔کسی بھی شخص یا ہستی کی نقالی بنائیں ، چاہے وہ حقیقی ہو یا فرضیسپیمنگ یا سیلاب میں مشغول ہوں ۔سائٹ کے صارفین کے بارے میں معلومات حاصل کریں یا جمع کریں ۔متعدد موبائل نمبر استعمال کرکے اپنے یا کسی دوسرے فرد کے لیے متعدد اکاؤنٹس کھولیں ۔کوئی بھی سافٹ ویئر یا دیگر مواد جمع کروائیں جس میں وائرس ، کیڑے ، ٹروجن ہارس ، نقائص ، ڈیٹ بم ، ٹائم بم یا تباہ کن نوعیت کی دیگر اشیاء شامل ہوں ۔شناخت کنندگان میں ہیرا پھیری کریں ، بشمول جعلسازی ہیڈرز ، کسی بھی پوسٹنگ کی اصلیت کو چھپانے کے لیے جو آپ جمع کراتے ہیںسائٹ کے ہوم پیج پر تفویض کردہ URL کے علاوہ سائٹ کے کسی بھی حصے سے لنک کریں ۔سائٹ کے کسی بھی حصے کو فریم یا عکس بنائیںترمیم ، موافقت ، ذیلی لائسنس ، ترجمہ ، فروخت ، ریورس انجینئر ، سائٹ کے کسی بھی حصے کو ڈی کمپائل یا جدا کرنا ، یا بصورت دیگر مواد کے کسی بھی حصے کے ماخذ کوڈ یا بنیادی خیالات یا الگورتھم اخذ کرنے کی کوشش کریں ۔سائٹ پر موجود کسی بھی کاپی رائٹ ، ٹریڈ مارک یا دیگر ملکیتی حقوق کے نوٹس کو ہٹا دیں ۔کسی بھی کمپیوٹر پروگرام ، بوٹ ، روبوٹ ، اسپائیڈر ، آف لائن ریڈر ، سائٹ کی تلاش / بازیافت ایپلی کیشن یا دیگر دستی یا خودکار ڈیوائس ، ٹول ، یا عمل کو بازیافت کرنے ، انڈیکس ، ڈیٹا مائن ، یا کسی بھی طرح سے حفاظتی ڈھانچے کو دوبارہ پیدا کرنے یا اس کو روکنے کے لیے استعمال کریں ، نیویگیشنل مواد یا سائٹ کی ساخت ، یا پیشکش ، بشمول سائٹ پر دکھائے جانے والے کسی کیپچا کے حوالے سے ۔کسی بھی خودکار سافٹ ویئر یا کمپیوٹر سسٹم کو تلاش کرنے یا اپوائنٹمنٹ بک کرنے کے لیے استعمال کریں بشمول آپ کے کمپیوٹر سے معلومات دوسرے کمپیوٹر پر بھیجنا جہاں ایسا سافٹ ویئر یا سسٹم فعال ہو ۔کوئی بھی ایسی کارروائی کریں جو ہمارے بنیادی ڈھانچے پر ( ہماری صوابدید پر ) غیر معقول یا غیر متناسب طور پر بڑا بوجھ ڈالے یا مسلط کرے ۔سائٹ کا استعمال کریں یا دوبارہ تیار کریں ، ترمیم کریں ، ڈسپلے کریں ، عوامی طور پر انجام دیں ، تقسیم کریں یا سائٹ یا مواد کے مشتق کام تخلیق کریں ۔مواد کی کوشش میں ، یا اس کے ساتھ مل کر ، کسی بھی تکنیکی اقدام کو روکنے کے لیے ڈیزائن کیا گیا ہے جو سائٹ اور / یا مواد تک رسائی ، یا حقوق کو مؤثر طریقے سے کنٹرول کرتا ہے ،بشمول ، بغیر کسی حد کے ، کسی بھی مقصد کے لیے دستی ڈی کوڈ ، ڈیکرپٹ ، ترمیم ، یا ریورس انجینئر سرٹیفکیٹ یا بنیادی الگورتھم یا خودکار آلہ یا عملآپ سائٹ کے ذریعے رجسٹر کرنے والے شرکاء کی تلاش کے لیے بوٹ ٹیکنالوجی کا استعمال نہیں کریں گے ۔شک سے بچنے کے لیے ، یہ خاص طور پر آپ کو سائٹ پر خودکار اسکرپٹ پر مبنی یا خودکار سافٹ ویئر استعمال کرنے سے منع کرتا ہے ،اور آپ کو کسی بھی حفاظتی اقدام ، رسائی کنٹرول سسٹم ، یا سائٹ پر دیگر تکنیکی کنٹرول یا پیمائش کو روکنے سے منع کرتا ہے جو شرکت کو نافذ کرنے کے لیے استعمال کیا جاتا ہے ۔ایک موبائل نمبر کے ساتھ منسلک شرکاء کے قوانین کو رجسٹر کرنے کی حدود یا سالمیت کو برقرار رکھنے کے لیے
Training on ICT Platform under POSHAN Abhiyaan,غذائیت مہم کے تحت یکات پلیٹ فارم پر تربیت
Barasat - I Addl.,باراسات - I اڈیشنل
"Know more about stunting, wasting and underweight",سٹنٹنگ ، ضائع کرنے اور کم وزن کے بارے میں مزید جانیں ۔
Select Anganwadi Center From Map,نقشے سے آنگن واڑی سنٹر کا انتخاب کریں ۔
Please enter valid Ticket Number,براہ کرم درست ٹکٹ نمبر درج کریں ۔
What information to be added in AWC forms?,AWC میں کونی معلومات درکار ہوتی ہیں
Mathavaram Rural @ Puzhal,متھوورم رورل ایٹ پزہل
How to revive your health if you are Moderately Wasted (MAM),اگر آپ اعتدال پسند ضائع ( MAM) ہیں تو اپنی صحت کو کیسے زندہ کریں ۔
AWC Workers Registered In Last 30 Days,AWC عاملین آخری 30 دنوں میں رجسٹرڈ ہے
Daman & Diu,دمن اور دیو
Lahaul & Spiti,لاہول اور اسپیٹی
Katwa - I,کٹوا - I
OPEN A NEW TICKET,نیا ٹکٹ کھولیں ۔
Resources on Website,ویب سائٹ پر وسائل
Lower Dibang Valley,لوئر دیبانگ وادی
Click on above button to get this App,اس ایپ کو حاصل کرنے کے لئے اوپر والے بٹن پر کلک کریں
Please Enter Valid Name,براہ کرم درست نام درج کریں
1. INFORMATION WE COLLECT,1. معلومات جو ہم جمع کرتے ہیں ۔
Beneficiaries Registered In Last 30 Days,فائدہ اٹھانے والوں نے گذشتہ 30 دنوں میں اندراج کیا
Gopiballabhpur - II,گوپی بلبھ پور - II
Darjeeling PulBazar.Addl,دارجیلنگ پل بازار اڈیشنل
Specifications of Smart phone and Technical Compatibility Testing,سمارٹ فون اور تکنیکی مطابقت کی جانچ کی تفصیلات
Preparation During Pregnancy - For NewBorn Care & Family Planning,حمل کے دوران تیاری - نوزائیدہ کی دیکھ بھال کے لیے
Please select Project,براہ کرم پروجیکٹ کو منتخب کریں ۔
Please Select Query Related to,برائے مہربانی اس سے متعلقہ سوال کو منتخب کریں
 IV. ACCOUNT REGISTRATION,IV. اندراجکھاتہ
Contact health centre for Lactating Mother,دودھ پلانے والی ماں کے لیے مرکز صحت سے رابطہ کریں ۔
Stunting ( Height for Age)-,اسٹنٹنگ ( عمر کے لئے اونچائی ) -
Binpur - II Adl.,بین پور - II اڈیشنل
Pakyong Rural Project,پاکیونگ رورل پروجیکٹ
Wasted Assessment Parameters,ضائع شدہ تشخیص کے پیرامیٹرز
Sangam Vihar Ii,سنگم وہار 2
Shri Ram Colony,شری رام کالونی
Ranaghat 1 Exsiting,رانا گھاٹ - 1 موجودہ
Mathabhanga I Addl,ماتھا بھنگا I اڈیشنل
Stunting is the impaired growth and development that children experience from poor nutrition,سٹنٹنگ ایک خراب نشوونما اور نشوونما ہے جس کا تجربہ بچوں کو ناقص غذائیت سے ہوتا ہے ۔
Children in the age group of 3 years to 6 years,تین سال سے چھ سال کی عمر کے بچے
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",پوشن ٹریکر ڈیش بورڈ تک درج ذیل لنک کے ذریعہ لاگ ان کرکے پہنچ سکتا ہےhttps:// poshantracker. in/ admin نیشنل ، اسٹیٹ ، ڈسٹرکٹ ، پروجیکٹ اور سیکٹر کی سطح پر صرف نوڈل سطح کے نامزد اہلکاروں کو ہی ڈیش بورڈ تک رسائی کے ل . ایک انوکھی اسناد فراہم کی جاتی ہیں ۔
Please enter valid Weight,براہ کرم درست وزن درج کریں ۔
Khargone (West Nimar),کھرگون ( مغربی نیماڑ )
 Md. Bazar Addl.,ایم ڈی ۔بازار اڈیشنل
What is the eligibility of a beneficiary?,فائدہ اٹھانے والے کی اہلیت کیا ہے
Who are the target userbase of Poshan Tracker App?,پوشن ٹریکر اپلی کیشن کے مطلوبہ مستعمل بنیادی طور پر کون ہوں گے
Kanpur Nagar City 1,کان پور نگر سٹی 1
How Poshan Tracker Works,پوشن ٹریکر کیسے کام کرتا ہے
Kalna - I Addl.,کالنا - I اڈیشنل
Home visits and Counselling,گھر کے دورے اور مشاورت
Kusheshwar Asthan Purbi,کوشیشور استھان پبلک
Mandirbazar ICDS Project,مندر بازار آئی سی ڈی ایس پروجیکٹ
Awareness to Lactating Mother,دودھ پلانے والی ماں کے لیے آگاہی
"It often indicates recent and severe weight loss, although it can also persist for a long time",یہ اکثر حالیہ اور شدید وزن میں کمی کی نشاندہی کرتا ہے ،حالانکہ یہ طویل عرصے تک برقرار رہ سکتا ہے ۔
 X. ACCESS FROM OUTSIDE INDIA,X. ہندوستان کے باہر سے رسائی
Kaliachak - II,کلیا چاک - II
Machkhowa Icds Project,مچکھووا ااااااااااااائی سی ڈی ایس پروجیکٹ
What is the minimum requirement to install Poshan Tracker App in mobile?,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت کیا ہے
SHRI ANANDPUR SAHIB,شری أنندپور صاحب
"Khar (West),Santacruze (East)",کھار ویسٹ ، سانتا کروز ایسٹ
Create new ticket,نیا ٹکٹ بنائیں
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,آپ صرف دستاویز میں بیان کردہ ذرائع سے سائٹ تک رسائی ( یا رسائی کی کوشش ) کریں گے اور اس معاہدے کی شرائط و ضوابط کی تعمیل کریں گے ۔
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.",آپ تمام مرکزی اور ریاستی قوانین ، آپ پر لاگو ہونے والے قواعد و ضوابط اور سائٹ کے آپ کے استعمال اور کسی بھی فریق ثالث کے حقوق کو متاثر کرنے کی تعمیل کریں گے ۔
ROURKELE CIVIL TOWNSHIP,رورکیلا سول ٹاؤن شپ
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,آپ ویب سائٹ https:// poshantracker. in کے ذریعے یا ' نیوٹریشن ٹریکر ' ڈاؤن لوڈ کرکے صحت مند لڑکا لڑکی کے مقابلے میں حصہ لے سکتے ہیں ۔
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,گوگل پلے اسٹور سے ایپ ۔
Ldh Urban 4,لدھیانہ أربن -4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).",خوش آمدید ! درج ذیل سروس کی شرائط ( شرائط ) ہیں جو آپ کے https:// poshantracker. in پر میزبان پوشن ٹریکر پلیٹ فارم کے استعمال کو کنٹرول کرتی ہیں ،اور تمام متعلقہ اس سے منسلک سائٹس ، اس کے ذیلی ادارے ، اور ملحقہ ( مجموعی طور پر ، سائٹ )۔
Burdwan - I,بردوان - I
Please find the following steps to Login-Step 1- Open the Poshan Tracker Application on your MobileStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,لاگ ان کرنے کے لیے براہ کرم درج ذیل مراحل تلاش کریں - مرحلہ نمبر 1- Open the Poshan Tracker Application on your Mobile مرحلہ 2- اپنا رجسٹرڈ موبائل نمبر درج کریں اور 4 ہندسوں کا MPIN پہلے سے سیٹ کریں ۔
Step 3- Click on Login,مرحلہ 3- لاگ ان پر کلک کریں ۔
It is an initiative to mobilise and sensitize the community on the value of nutrition and identifying the health of children from 0-6 years.,یہ 0-6 سال کی عمر کے بچوں کی غذائیت اور صحت کی اہمیت کے بارے میں کمیونٹی کو منظم اور حساس بنانے کا ایک اقدام ہے ۔
Project 4 Singanallur,سنگانلّور پروجیکٹ 4
Select Key Performance Indicator,کارکردگی کے کلیدی اشارے منتخب کریں
Select An Anganwadi center,آنگن واڑی سنٹر کا انتخاب کریں ۔
Clarification regarding Cost of Smart phones,سمارٹ فون کی قیمت کے بارے میں وضاحت
Budge Budge - II,بج بج - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,خسرہ پر مشتمل ویکسین ( MCV)/ خسرہ اور روبیلا ( MR)-1 جاپانی انسیفلائٹس ( JE)-1** PCV- بوسٹر
"There are various reports that can be generated fromGeneral Reports:Number of app  downloadsTotal number of Anganwadi centers registeredTotal number of beneficiaries registered (National/state/district/block wise)Total Number of pregnant women registered(National/state/district/block wise)Total Number of  lactating mothers registered(National/state/district/block wise)Total Number of children (0-6months) registered(National/state/district/block wise)Total Number of children (6months-3years) registered(National/state/district/ block wise)Total Number of children (3-6years) registered(National/state/district/ block wise)Maternal and child nutrition:How many beneficiaries got THR in 21 daysHow many children breastfed exclusively in the first hour after deliveryHow many lactating mothers are given HCMAverage level of calcium in children aged 3-6 yearsAverage level of iron in children aged 3-6yearsTotal number of vaccinations administered per month (block, district, state, national level)Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/PentavalentAWC infrastructure:Number of AWCs (block, district, state, national level)Total number of Balvatikas (block district, state, national level)Total number of AWCs (block, district, state, national level) with clean drinking waterTotal number of AWCs (block, district, state, national level) with working weighing scaleTotal number of AWCs (block, district, state, national level) with electricityTotal number of AWCs that are government ownedTotal number of AWCs that are privately owned",مختلفاقسام کی رپورٹیں برآمد می جا سکتی ہیںعام رپورٹس : ایپ ڈاون لوڈ کی تعداد رجسٹرڈ شدہ آنگن واڑیوں کی تعداد فوائد کے حصول یاب کی تعداد ( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) حاملہ خواتین کی تعداد (( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) دودھ پلانے والی ماؤں کی تعداد ( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) 0-6 ماہ عمر کے بچوں کی تعداد ( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) 6- ماہ تا 3 سال عمر کے بچوں کی تعداد ( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) (3-6 سال ) عمر کے بچوں کی تعداد ( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) والدہ اور بچے کی غذا : کتنے صارفین کو 21 دنوں میں THR ملا ؟کتنے بچوں کو ولادت کے فوری بعد پہلے گھنٹے میں خصوصا دودھ پلایا گیا ؟کتنی دودھ پلانے والی مائیں HCM میں دی گئی ہیںکتنے بچوں کو ولادت کے فوری بعد پہلے گھنٹے میں خصوصا دودھ پلایا گیا ؟3-6 سال کے بچوں میں اوسط کیلشیم کی سطح 3-6 سال کے بچوں میں اوسط کیلشیم کی سطح کتنی ویکسین کی تعداد فی ماہ دی جاتی ہے( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) ویکسی نیشن کی خصوصی رپورٹ جو ہر ماہ دی جاتی ہے( BCG/ OPV/ ہیپا ٹائٹس B/ روٹی وائرس / پولیو / نیموکوکل l/ پینٹا ویلینٹ AWC بنیادی ڈھانچہ : AWC کی تعداد ( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) بال واٹیکہ کی کل تعداد ( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) AWC کی تعداد جہاں پینے کے صاف پانی کی سہولت فراہم ہے( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) AWC کی تعداد جہاں فعال وزن کرنے کی مشین کی سہولت فراہم ہے( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) AWC کی تعداد جہاں بجلی کی سہولت فراہم ہے( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) AWC کی تعداد جو سرکار کی ملکیت ہیں( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے ) AWC کی تعداد جو خانگی ملکیت ہیں( قومی / ریاستی / ضلعی / بلاک کے اعتبار سے )
JALPAIGURI Sadar Adl,جلپائی گوڑی صدر اڈیشنل
Mobile number need to be validated within a week,ایک ہفتے کے اندر موبائل نمبر کی توثیق کرنے کی ضرورت ہے ۔
Currently a beneficiary can register by the help of an AWW,فی الحال ایک مستفید کنندہ AWW کی مدد سے رجسٹر کر سکتا ہے ۔
Awareness for Lactating Mother Complimentary Feeding for Children,دودھ پلانے والی ماں بچوں کے لیے مفت خوراک کے لیے آگاہی
 W. Phaileng ICDS Project,ویسٹ پھیلینگ آی سی ڈی ایس پروجیکٹ
 H. Bagh Rural,ہزاری باغ رورل
New Poshan Tracker App - CSC-SPV Nodal Person,نئی پوشن ٹریکر ایپ - CSC- SPV نوڈل پرسن
New Registration request,نئے رجسٹریشن کی درخواست
Rampurhat - I Addl.,رام پور ہاٹ - I اڈیشنل
UJJAIN - RURAL,اجّین رورل
Tufanganj II Addl,طوفان گنج - II اڈیشنل
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,سائٹ کا آپ کا استعمال اور سائٹ کے اس طرح کے استعمال سے پیدا ہونے والا کوئی تنازعہ ہندوستان کے قوانین کے تابع ہے اور دائرہ اختیار کی جگہ نئی دہلی ہوگی ۔
1.1. Information you provide to us.,1.1. وہ معلومات جو آپ ہمیں فراہم کرتے ہیں ۔
How can one access Poshan Tracker Dashboard?,پوشن ٹریکر ڈیش بورڈ تک کوئی کیسے پہنچ سکتا ہے
Harda Gramin 1,ہردا گرامین 1
Prevention of Anemia in children and adolescents girls,بچوں اور نوعمر لڑکیوں میں خون کی کمی کی روک تھام
Gangarampur Addl. I. C. D. S Project,گنگا رام پور اڈیشنل آئی سی ڈی ایس پروجیکٹ
Can a beneficiary register directly using application.,کیا فائدہ اٹھانے والا درخواست کا استعمال کرکے براہ راست رجسٹر ہوسکتا ہے ۔
BISHNUPUR 1 Addl,بشنو پور 1 اڈیشنل
Suri - I,سوری - I
Mohd Pur Devmal,محمد پور دیو مل
ROURKELA INDUSTRIAL ESTATE,رورکیلا انڈسٹریل اسٹیٹ
Click on Show Results,شو کے نتائج پر کلک کریں ۔
Rjn Gramin 01,راج نند 01 گاؤں گرامین
Terms of Service,خدمت کی شرائط ۔
Swastha Balak Balika Spardha is a nationwide movement to promote the value of nutrition.,سوستھ بال بالیکا سپارش غذائیت کی قدر کو فروغ دینے کے لیے ایک ملک گیر تحریک ہے ۔
This campaign will run from 08th- 14th January 2022 across India.,یہ مہم پورے ہندوستان میں 08-14 جنوری 2022 تک چلے گی ۔
Complementary Feeding - Diet Diversity,تکمیلی خوراک - خوراک کا تنوع
SHRI MUKTSAR SAHIB,شری مکتسر صاحب
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,وزارت برائے خواتین اور بچوں کی ترقی نے پوشن ٹریکر کی درخواست نافذ کردی ہے ۔
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.",اس کا مقصد یہ ہے کہ ہر سطح پر عمل درآمد کی رکاوٹوں کو مضبوط بنانے پر توجہ دینے والے زچہ و بچہ کی کمی کو بہتر بنانے کے لئے غذائیت کے نظام کو تقویت بخشیں ۔
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.",پوشن ٹریکر مرکزی اعداد و شمار کے فن تعمیر کا استعمال کرتے ہوئے بنایا گیا ہے جو دیگر وزارتوں اور پروگراموں کے ڈیجیٹل ٹیکنالوجی سسٹم کے ساتھ بھی موافق ہے ۔
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.",یہ نظام ہر فائدہ اٹھانے والے کو ڈیجیٹل کارڈ کے ذریعہ ڈیجیٹل شناخت فراہم کرتا ہے اور ٹکنالوجی پلیٹ فارم کے ساتھ کال سینٹر میں تبدیلی کی اجازت دیتا ہے ۔
The system generates automated alerts to the critical last-mile beneficiaries.,یہ نظام آخری میل کے اہم فائدہ اٹھانے والوں کو خودکار الرٹس تیار کرتا ہے ۔
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",یہ فائدہ اٹھانے والوں اور ڈیوٹی اٹھانے والوں کی اصل وقت حاضری کی دستاویزات کے ذریعے ترسیل کے نظام کی موثر آڈٹ کو بھی یقینی بناتا ہے ۔
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.",اس طرح کا ایک مضبوط ڈیجیٹل ٹکنالوجی پلیٹ فارم اور انتظامی انفارمیشن سسٹم مشن کو موثر انداز میں پیمانے میں مدد فراہم کرے گا جس سے اہم مثبت اثرات مرتب اور دستاویزات کی جاسکتی ہے ۔
Gaurela Pendra Marwahi,گوریلا پیندرا مرواہی
Cooch Behar I,کوچ بہار I
How to Login for Swastha Balak Balika Spardha through Website?,ویب سائٹ کے ذریعے صحت مند لڑکا لڑکی کے مقابلے کے لیے کیسے لاگ ان کیا جائے ؟
Please Enter Valid Email ID,براہ کرم درست ای میل آئی ڈی درج کریں
"We own the intellectual property rights in the Site and Content.We may change the Content and features of the Site at any time.The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.You may not use our trademarks, logos, and service marks in any way without our prior written permission.Material featured on this website may be reproduced free of charge.However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.Wherever the material is being published or issued to others, the source must be prominently acknowledged.However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.",ہم سائٹ اور مواد میں دانشورانہ املاک کے حقوق کے مالک ہیں ۔ہم کسی بھی وقت سائٹ کے مواد اور خصوصیات کو تبدیل کر سکتے ہیں ۔سائٹ پر دکھائے گئے رجسٹرڈ اور غیر رجسٹرڈ ٹریڈ مارکس ، لوگو اور سروس مارکس ہماری یا ہمارے لائسنس دہندگان کی ملکیت ہیں ۔آپ ہماری پیشگی تحریری اجازت کے بغیر ہمارے ٹریڈ مارکس ، لوگو اور سروس مارکس کو کسی بھی طرح استعمال نہیں کر سکتے ۔اس ویب سائٹ پر موجود مواد کو مفت میں دوبارہ پیش کیا جا سکتا ہے ۔تاہم ، سائٹ کا کوئی حصہ اور کسی بھی مواد کو کاپی ، دوبارہ شائع ، دوبارہ تیار ، اپ لوڈ ، پوسٹ ، عوامی طور پر ظاہر ، انکوڈ ، ترجمہ ، ٹرانسمٹ یا کسی بھی طرح سے کسی دوسرے کمپیوٹر ، سرور ، ویب سائٹ یا اشاعت کے لیے دوسرے میڈیم پر تقسیم نہیں کیا جا سکتا ۔توہین آمیز انداز میں یا گمراہ کن سیاق و سباق میں ۔آپ سائٹ پر دستیاب معلومات کا استعمال کر سکتے ہیں ،بشرطیکہ آپ (1) ایسی معلومات کو صرف اپنے ذاتی ، غیر تجارتی معلوماتی مقصد کے لیے استعمال کریں گے اور ایسی معلومات کو کسی نیٹ ورک کمپیوٹر پر کاپی یا پوسٹ نہیں کریں گے اور نہ ہی اسے کسی میڈیا میں نشر کریں گے ۔) ایسی کسی بھی معلومات اور اس طرح کے دستاویزات اور مواد سے متعلق کسی بھی اضافی نمائندگی یا وارنٹی میں کوئی ترمیم نہ کریں ۔جہاں کہیں بھی مواد شائع یا دوسروں کو جاری کیا جا رہا ہو ، ماخذ کو نمایاں طور پر تسلیم کیا جانا چاہیے ۔تاہم ، اس مواد کو دوبارہ پیش کرنے کی اجازت کسی ایسے مواد تک نہیں بڑھے گی جس کی شناخت کسی تیسرے فریق کے کاپی رائٹ کے طور پر کی گئی ہو ۔
Galsi - II,گلسی - II
"Click on Add Child, post login and fill the required details displayed on the screen.",ایڈ چائلڈ پر کلک کریں ، لاگ ان پوسٹ کریں اور اسکرین پر ظاہر ہونے والی مطلوبہ تفصیلات کو پر کریں ۔
"MPIN can be easily reset by any AWW/AWC user.You are required to click on Forgot MPIN, and enter your registered mobile number.You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",MPIN کو آپ با آسانی ری سیٹ کرسکتے ہیںکسی بھی AWW/ AWC عامل کے ذریعہ آپ کو سابقہ MPIN کو بھولنے کی ہدایت دینی ہوگی اپنے رجسٹرڈ موبائل کے ذریعہ تب آپ کو نیا OTP آپ کے رجسٹرڈ موبائل پر موصول ہوگا تب آپ اپنا MPIN دوبارہ با آسانی ری سیٹ کرسکتے ہیں
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,پوشن ٹریکر آنگن واڑی ورکر کو خدمات کی موثر فراہمی کے ساتھ ساتھ ان کی کوششوں کی عکاسی کرنے کے لیے ایک جاب ایڈ ہے ۔
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,یہ پوشن ابھیان کے تحت ایک اہم اور فائدہ اٹھانے والے پر مبنی سروس ڈیلیوری ایپلی کیشن ہے جو تجزیات کے ساتھ حقیقی وقت کے ڈیٹا کو فروغ دے گی ۔
Shahid Bhagat Singh Nagar,شہید بھگت سنگھ نگر
Matigara ICDS Project( Addl ),ماٹی گارا آئی سی ڈی ایس پروجیٹ ( ادیشنل )
Goapokher- II Addl.,گو پوکھر - II اڈیشنل
Sonbhadra Banshi Suryapur,سون بھدرا بنشی سوریا پور
Please enter valid Date of Birth,براہ کرم درست تاریخ پیدائش درج کریں ۔
Jugijan Icds Project,جوگی جن آئی سیڈ ایس پروجیکت
Ketugram - I,کیٹو گرام - I
How to revive your Health?,اپنی صحت کو کیسے زندہ کریں ۔
West Garo Hills,مغربی گارو پہاڑیاں
West Singhbhum - Jharkhand,مغربی سنگھ بھوم - جھارکھنڈ
Delhi Project 2,دہلی پروجیکٹ 2
2.2. Communicate with you.,2.2. آپ کے ساتھ بات چیت .
Who is eligible for additional supplementary food?,اضافی اضافی خوراک کے لیے کون اہل ہے
