eng,kn
"However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","ಆದಾಗ್ಯೂ, ಸೈಟ್ನ ಯಾವುದೇ ಭಾಗ ಮತ್ತು ಯಾವುದೇ ವಿಷಯವನ್ನು ನಕಲಿಸಬಾರದು, ಮರುಪ್ರಕಟಿಸಬಾರದು, ಮರುಉತ್ಪಾದಿಸಬಾರದು, ಅಪ್ಲೋಡ್ ಮಾಡಬಾರದು, ಪೋಸ್ಟ್ ಮಾಡಬಾರದು, ಸಾರ್ವಜನಿಕವಾಗಿ ಪ್ರದರ್ಶಿಸಬಾರದು, ಎನ್ಕೋಡ್ ಮಾಡಬಾರದು, ಅನುವಾದಿಸಬಾರದು, ರವಾನಿಸಬಾರದು ಅಥವಾ ಯಾವುದೇ ಇತರ ಕಂಪ್ಯೂಟರ್, ಸರ್ವರ್, ವೆಬ್ಸೈಟ್ ಅಥವಾ ಇತರ ಮಾಧ್ಯಮದಲ್ಲಿ ಪ್ರಕಟಣೆಗಾಗಿ ಅವಹೇಳನಕಾರಿ ರೀತಿಯಲ್ಲಿ ಅಥವಾ ತಪ್ಪುದಾರಿಗೆಳೆಯುವ ರೀತಿಯಲ್ಲಿ ಬಳಸಲಾಗುವುದಿಲ್ಲ."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","ಸೈಟ್ನಲ್ಲಿ ಲಭ್ಯವಿರುವ ಮಾಹಿತಿಯನ್ನು ನೀವು ಬಳಸಬಹುದು, ನೀವು (1) ಅಂತಹ ಮಾಹಿತಿಯನ್ನು ನಿಮ್ಮ ವೈಯಕ್ತಿಕ, ವಾಣಿಜ್ಯೇತರ ಮಾಹಿತಿ ಉದ್ದೇಶಕ್ಕಾಗಿ ಮಾತ್ರ ಬಳಸಬೇಕು ಮತ್ತು ಅಂತಹ ಮಾಹಿತಿಯನ್ನು ಯಾವುದೇ ನೆಟ್ವರ್ಕ್ ಮಾಡಿದ ಕಂಪ್ಯೂಟರ್ಗೆ ನಕಲಿಸಬಾರದು ಅಥವಾ ಪೋಸ್ಟ್ ಮಾಡಬಾರದು ಅಥವಾ ಯಾವುದೇ (2) ಗೆ ರವಾನಿಸಬಾರದು ) ಅಂತಹ ದಾಖಲೆಗಳು ಮತ್ತು ವಸ್ತುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಯಾವುದೇ ಮಾಹಿತಿ ಮತ್ತು ಯಾವುದೇ ಹೆಚ್ಚುವರಿ ಪ್ರಾತಿನಿಧ್ಯಗಳು ಅಥವಾ ವಾರಂಟಿಗಳನ್ನು ತಿದ್ದುಪಡಿ ಮಾಡಬೇಡಿ."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","ಎಲ್ಲೆಲ್ಲಿ ವಿಷಯವನ್ನು ಪ್ರಕಟಿಸಲಾಗುತ್ತಿದೆ ಅಥವಾ ಇತರರಿಗೆ ಬಿಡುಗಡೆ ಮಾಡಲಾಗುತ್ತಿದೆ, ಮೂಲವನ್ನು ಪ್ರಮುಖವಾಗಿ ಒಪ್ಪಿಕೊಳ್ಳಬೇಕು."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","ಆದಾಗ್ಯೂ, ಈ ವಸ್ತುವನ್ನು ಪುನರುತ್ಪಾದಿಸುವ ಅನುಮತಿಯು ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಸ್ವಾಮ್ಯ ಎಂದು ಗುರುತಿಸಲಾದ ಯಾವುದೇ ವಸ್ತುಗಳಿಗೆ ವಿಸ್ತರಿಸುವುದಿಲ್ಲ."
Galsi - II,ಗಾಲ್ಸಿ - II
MPIN can be easily reset by any AWW/AWC user.,ಯಾವುದೇ ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು / ಎಡಬ್ಲ್ಯೂಸಿ ಬಳಕೆದಾರರಿಂದ ಎಂಪಿಐಎನ್ ಅನ್ನು ಸುಲಭವಾಗಿ ಮರುರಚಿಸಬಹುದು.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","ನೀವು ಮರೆತುಹೋದ ಎಂಪಿನ್ ಕ್ಲಿಕ್ ಮಾಡಬೇಕಾಗುತ್ತದೆ, ಮತ್ತು ನಿಮ್ಮ ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,ನಿಮ್ಮ ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯಲ್ಲಿ ನೀವು ಒಟಿಪಿ ಸ್ವೀಕರಿಸುತ್ತೀರಿ ಮತ್ತು ನಿಮ್ಮ ಎಂಪಿನ್ ಅನ್ನು ನೀವು ಸುಲಭವಾಗಿ ಮರುರಚಿಸಬಹುದು.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರಿಗೆ ಅವರ ಶ್ರಮವನ್ನು ಪ್ರತಿಬಿಂಬಿಸಲು ಮತ್ತು ಸೇವೆಗಳ ಸಮರ್ಥ ವಿತರಣೆಗಾಗಿ ಕೆಲಸದ ಸಹಾಯಕವಾಗಿದೆ.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,"ಇದು ಪೋಶನ್ ಅಭಿಯಾನದ ಅಡಿಯಲ್ಲಿ ಪ್ರಮುಖವಾದ ಮತ್ತು ಫಲಾನುಭವಿ-ಕೇಂದ್ರಿತ ಸೇವಾ ವಿತರಣಾ ಅಪ್ಲಿಕೇಶನ್ ಆಗಿದ್ದು, ಇದು ವಿಶ್ಲೇಷಣೆಯೊಂದಿಗೆ ನೈಜ ಸಮಯದ ಡೇಟಾವನ್ನು ಉತ್ತೇಜಿಸುತ್ತದೆ"
Shahid Bhagat Singh Nagar,ಶಾಹಿದ್ ಭಗತ್ ಸಿಂಗ್ ನಗರ
Matigara ICDS Project( Addl ),ಮಟಿಗಾರ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ (ಹೆಚ್ಚುವರಿ)
Goapokher- II Addl.,ಗೋಪೋಕರ್- II ಹೆಚ್ಚುವರಿ
Sonbhadra Banshi Suryapur,ಸೋನಭದ್ರಾ ಬನ್ಶಿ ಸೂರ್ಯಪುರ
Please enter valid Date of Birth,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಜನ್ಮ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ
Jugijan Icds Project,ಜುಗಿಜನ್ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Ketugram - I,ಕೇತುಗ್ರಾಮ - I
How to revive your Health?,ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಪುನರುಜ್ಜೀವನಗೊಳಿಸುವುದು ಹೇಗೆ?
West Garo Hills,ಪಶ್ಚಿಮ ಗಾರೊ ಹಿಲ್ಸ್
West Singhbhum - Jharkhand,ಪಶ್ಚಿಮ ಸಿಂಗ್ಭೂಮ್ - ಜಾರ್ಖಂಡ್
Delhi Project 2,ದೆಹಲಿ ಯೋಜನೆ 2
2.2. Communicate with you.,2.2. ನಿಮ್ಮೊಂದಿಗೆ ಸಂವಹನ ನಡೆಸುವುದು.
Who is eligible for additional supplementary food?,ಹೆಚ್ಚುವರಿ ಪೂರಕ ಆಹಾರಕ್ಕಾಗಿ ಯಾರು ಅರ್ಹರು?
CHAUTH KA BARWARA,ಚೌತ್ ಕಾ ಬರ್ವಾರಾ
Namchi Rural Project,ನಾಮ್ಚಿ ಗ್ರಾಮೀಣ ಯೋಜನೆ
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ಸೂಚಿಸದೆ ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಭಾಗವನ್ನು ಬದಲಾಯಿಸಲು, ಮಾರ್ಪಡಿಸಲು, ಸೇರಿಸಲು ಅಥವಾ ತೆಗೆದುಹಾಕಲು ನಾವು ಬೇಷರತ್ತಾದ ಹಕ್ಕನ್ನು ನಾವು ಕಾಯ್ದಿರಿಸಿದ್ದೇವೆ."
Any changes or updates will be effective immediately.,ಯಾವುದೇ ಬದಲಾವಣೆಗಳು ಅಥವಾ ನವೀಕರಣಗಳು ತಕ್ಷಣವೇ ಜಾರಿಗೆ ಬರುತ್ತವೆ.
You take the responsibility to check these Terms of Use periodically for changes.,ಬದಲಾವಣೆಗಳಿಗಾಗಿ ನಿಯತಕಾಲಿಕವಾಗಿ ಈ ಬಳಕೆಯ ನಿಯಮಗಳನ್ನು ಪರಿಶೀಲಿಸುವ ಜವಾಬ್ದಾರಿಯನ್ನು ನೀವು ಕೈಗೊಳ್ಳುತ್ತೀರಿ.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,ಮಾರ್ಪಾಡಿನ ನಂತರ ಪ್ಲಾಟ್ಫಾರ್ಮ್ನ ನಿಮ್ಮ ಮುಂದುವರಿದ ಬಳಕೆಯು ತಿದ್ದುಪಡಿ ಮಾಡಿದ ನಿಯಮಗಳ ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.
Project - Iii,ಯೋಜನೆ - Iii
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,ಒಂದು ವೇಳೆ ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ತಮ್ಮನ್ನು ನೋಂದಾಯಿಸಿಕೊಳ್ಳುವಲ್ಲಿ ವಿಫಲವಾದರೆ ೨ ಸಾಧ್ಯತೆಗಳಿವೆಎಮೊ. ಡಬ್ಲ್ಯು. ಸಿ. ಡಿ ಗೆ ರಾಜ್ಯಗಳು ಒದಗಿಸಿದ ಡೆಟಾದಲ್ಲಿ ಅವರ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಇರುವುದಿಲ್ಲ ಅವುಗಳನ್ನು ವ್ಯವಸ್ಥೆಗೆ ಹೊಸದಾಗಿ ಸೇರಿಸಲಾಗಿದೆ ಮತ್ತು ಅವರ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ರಾಜ್ಯಕೋಶಕ್ಕೆ ಇನ್ನೂ ಎಮೊ.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW., ಡಬ್ಲ್ಯು. ಸಿ. ಡಿ ಗೆ ಒದಗಿಸಿಲ್ಲ ಮೇಲಿನ ಎರಡೂ ಸಂದರ್ಭ್ಹಗಳಲ್ಲಿ ಯಾವುದೇ ಅಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಅನ್ನು ಸೇರಿಸಲು/ಸಂಪಾದಿಸಲು/ಸಕ್ರಿಯಗೊಳಿಸಲು/ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲು ರಾಜ್ಯ ನೋಡಲ್ ಅಧಿಕಾರಿಗಳಿಗೆ ಅಧಿಕಾರವಿದೆ.
Bilkhawthlir Icds Project,ಬಿಲ್ಖಾವ್ತ್ಲಿರ್ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
No Record to Show,ತೋರಿಸಲು ಯಾವುದೇ ದಾಖಲೆ ಇಲ್ಲ
Kailashahar District H.Q,ಕೈಲಾಶಹರ್ ಜಿಲ್ಲಾ ಪ್ರಧಾನ ಕಚೇರಿ
How many different types of reports can be generated over Poshan Tracker Dashboard?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಡ್ಯಾಶ್ಬೋರ್ಡ್ನಲ್ಲಿ ಎಷ್ಟು ವಿಭಿನ್ನ ರೀತಿಯ ವರದಿಗಳನ್ನು ಉತ್ಪಾದಿಸಬಹುದು?
WHO standards are,WHO ಮಾನದಂಡಗಳು
Murarai-II ICDS Project,ಮುರಾರೈ-II ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
South East Delhi,ಆಗ್ನೇಯ ದೆಹಲಿ
Ashoknagar- Kalyangarh (U),ಅಶೋಕನಗರ- ಕಲ್ಯಾಣಗಢ (ಯು)
How to revive your health if you are Severely Wasted (SAM),ನೀವು ತೀವ್ರ ಕಡಿಮೆ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುತ್ಪಾದಿಸುವುದು (SAM)
Baba Belkhar Nath Dham,ಬಾಬಾ ಬೆಲ್ಖರ್ ನಾಥ್ ಧಾಮ್
Firozabad City 2,ಫಿರೋಜಾಬಾದ್ ನಗರ 2
What is Poshan Calculator,ಪೌಷ್ಟಿಕಾಂಶ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಎಂದರೇನು
Binpur - I,ಬಿನ್ಪುರ್ - I
Ldh Urban 2, ಎಲ್. ಡಿ. ಎಚ್. ನಗರ 2
"See assessment charts for Stunted, Wasted and Underweight parameters","ಕುಂಠಿತ, ತೂಕ ಕಳೆದುಕೊಳ್ಳುವ ಮತ್ತು ಕಡಿಮೆ ತೂಕದ ನಿಯತಾಂಕಗಳಿಗಾಗಿ ಮೌಲ್ಯಮಾಪನ ಚಾರ್ಟ್ ಅನ್ನು ನೋಡಿ"
Visit state page,ರಾಜ್ಯ ಪುಟಕ್ಕೆ ಭೇಟಿ ನೀಡಿ
Best performing districts,ಉತ್ತಮ ಪ್ರದರ್ಶನ ನೀಡುವ ಜಿಲ್ಲೆಗಳು
Sandeshkhali - I,ಸಂದೇಶಖಾಲಿ - I
Resources for growth monitoring and general awareness,ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ಸಾಮಾನ್ಯ ಜಾಗೃತಿಗಾಗಿ ಸಂಪನ್ಮೂಲಗಳು
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಗಳು ನಿರ್ದಿಷ್ಟ ಅಂಗನವಾಡಿ ಕೇಂದ್ರದಲ್ಲಿ ಇರುವ ಮೂಲಸೌಕರ್ಯಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ವಿವರಗಳನ್ನು ನಮೂದಿಸ ಬೇಕು.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ಇದರಲ್ಲಿ ರಚನೆ, ಮೂಲ ಸೌಕರ್ಯಗಳು, ಸೌಲಭ್ಯಗಳು, ನೈರ್ಮಲ್ಯೀಕರಣ, ಕುಡಿಯುವ ನೀರು ಇತ್ಯಾದಿಗಳು ಸೇರಿವೆ."
Lactating mothers who received Take Home Ration (THR),ಹಾಲುಣಿಸುವ ತಾಯಂದಿರಿಗೆ ಟೇಕ್ ಹೋಮ್ ರೇಷನ್ (THR)
Balurghat (U),ಬಲೂರ್ಘಾಟ್ (ಯು)
Last updated on,ಕೊನೆಯದಾಗಿ ನವೀಕರಿಸಲಾದ
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ತಿಳಿಸದೆಯೇ ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಗೌಪ್ಯತೆ ನೀತಿಯ ಯಾವುದೇ ಭಾಗವನ್ನು ಬದಲಾಯಿಸಲು, ಮಾರ್ಪಡಿಸಲು, ಸೇರಿಸಲು ಅಥವಾ ತೆಗೆದುಹಾಕಲು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಬೇಷರತ್ತಾದ ಹಕ್ಕನ್ನು ಕಾಯ್ದಿರಿಸುತ್ತದೆ."
Any changes or updates will be effective immediately.,ಯಾವುದೇ ಬದಲಾವಣೆಗಳು ಅಥವಾ ನವೀಕರಣಗಳು ತಕ್ಷಣವೇ ಜಾರಿಗೆ ಬರುತ್ತವೆ.
You should review this Privacy Policy regularly for changes.,ನೀವು ಗೌಪ್ಯತೆ ನೀತಿಯನ್ನು ಬದಲಾವಣೆಗಾಗಿ ನಿಯಮಿತವಾಗಿ ಪರಿಶೀಲಿಸಬೇಕು.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","ಈ ಗೌಪ್ಯತೆ ನೀತಿಯಲ್ಲಿ ಉಂಟಾಗುವ ಯಾವುದೇ ಬದಲಾವಣೆಗಳನ್ನು ಎಲ್ಲಾ ಬಳಕೆದಾರರಿಗೆ ಸೂಚಿಸಲು ನಾವು ವಾಣಿಜ್ಯಿಕವಾಗಿ ಸಮಂಜಸವಾದ ಪ್ರಯತ್ನಗಳನ್ನು ಬಳಸುತ್ತೇವೆ, ಉದಾಹರಣೆಗೆ ಸಿಸ್ಟಂನಲ್ಲಿ ಮೂಲಕ ಸೂಚನೆಯನ್ನು ಹೊರಡಿಸುವ ಮೂಲಕ."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","ಆದರೂ, ಗೌಪ್ಯತಾ ನೀತಿಯು ಬದಲಾವಣೆಗಾಗಿ ಸಿಸ್ಟಮ್ ನ ಬಳಕೆದಾರರು ಆಗಿರುವುದರಿಂದ ನೀವು ನಿಯಮಿತವಾಗಿ ಪರಿಶೀಲಿಸಬೇಕು."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","ನಾವು ಗೌಪ್ಯತಾ ನೀತಿಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ "" ಕೊನೆಯದಾಗಿ ನವೀಕರಿಸಿದ"" ದಿನಾಂಕವನ್ನು ನವೀಕರಿಸುತ್ತೇವೆ ಹಾಗೂ ಇದು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯ ಪರಿಣಾಮಕಾರಿ ದಿನಾಂಕವನ್ನು ಸೂಚಿಸುತ್ತದೆ."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,ಹೊಸ ಗೌಪ್ಯತೆ ನೀತಿಯ ದಿನಾಂಕದ ನಂತರ ನಿಮ್ಮ ಮುಂದುವರಿದ ಪ್ರವೇಶ ಅಥವಾ ಸಿಸ್ಟಂನ ಬಳಕೆಯು ಹೊಸ ಗೌಪ್ಯತೆ ನೀತಿಗೆ ನಿಮ್ಮ ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","ನೀವು ಹೊಸ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಒಪ್ಪದ ಸಂದರ್ಭದಲ್ಲಿ, ನೀವು ಸಿಸ್ಟಮ್ ಅನ್ನು ಪ್ರವೇಶಿಸುವುದು ಮತ್ತು/ಅಥವಾ ಬಳಸುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು."
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","ನಿಮ್ಮ ಮಾಹಿತಿಯ ಯಾವುದೇ ಪಡೆಯುವಿಕೆ, ಸಂಗ್ರಹಣೆ, ಸಂಸ್ಕರಣೆ ಅಥವಾ ಇತರ ಬಳಕೆಯನ್ನು ಅಂತಹ ಪಡೆಯುವಿಕೆ, ಸಂಗ್ರಹಣೆ, ಸಂಸ್ಕರಣೆ ಅಥವಾ ಇತರ ಬಳಕೆಯ ಸಮಯದಲ್ಲಿ ಜಾರಿಯಲ್ಲಿದ್ದ ಗೌಪ್ಯತೆ ನೀತಿಯಿಂದ ನಿಯಂತ್ರಿಸಲಾಗುತ್ತದೆ ಎಂದು ನೀವು ಈ ಮೂಲಕ ಅಂಗೀಕರಿಸುತ್ತೀರಿ."
JOYNAGAR-II ICDS PROJECT,ಜೋಯ್ನಗರ-II ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
What is the eligibility of a beneficiary?,ಫಲಾನುಭವಿಯ ಅರ್ಹತೆ ಏನು?
Stunting and Underweight Growth Parameters,ಕುಂಠಿತ ಮತ್ತು ಕಡಿಮೆ ತೂಕದ ಬೆಳವಣಿಗೆಯ ನಿಯತಾಂಕಗಳು
NALHATI-I ICDS PROJECT (NGO),ನಲ್ಹಾಟಿ-I ಐಸಿಡಿಎಸ್ ಯೋಜನೆ (ಎನ್. ಜಿ. ಒ. )
Enter Height in centimeter,ಎತ್ತರವನ್ನು ಸೆಂಟಿಮೀಟರ್ಗಳಲ್ಲಿ ನಮೂದಿಸಿ
Joynagar - I,ಜೋಯನಗರ - I
CDPO OFFICE BATHINDA,ಸಿಡಿಪಿಒ ಕಚೇರಿ ಬತ್ತಿಂಡಾ
Severely Wasted (SAM),ತೀವ್ರ ಅಪೌಷ್ಠಿಕತೆ (SAM)
"No, Poshan Tracker is available only for Android version","ಇಲ್ಲ, ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಕೇವಲ ಆಂಡ್ರೊಯಿಡ್ ಆವ್ರಿತ್ತಿಯಲ್ಲಿ ಲಭ್ಯವಿದೆ."
Harishchandrapur - I,ಹರಿಶ್ಚಂದ್ರಾಪುರ - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಹೊಣೆಗಾರಿಕೆ ಮಿತಿ
2.1. Deliver our services.,2.1. ನಮ್ಮ ಸೇವೆಗಳ ವಿತರಣೆ.
Growth monitoring report for all health indicators,ಎಲ್ಲಾ ಆರೋಗ್ಯ ಸೂಚಕಗಳಿಗೆ ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣಾ ವರದಿ
Take Home Ration (THR) given in last 30 days,ಕಳೆದ ೩೦ ದಿನಗಳಲ್ಲಿ ಕೊಟ್ಟ ಮನೆಗೆ ತೆಗೆದುಕೊಂಡು ಹೋಗುವ ಪಡಿತರ(ಟಿಎಚ್ಆರ್)
Please select District,ದಯವಿಟ್ಟು ಜಿಲ್ಲೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ
District’s Quarterly Performance,ಜಿಲ್ಲೆಯ ತ್ರೈಮಾಸಿಕ ಸಾಧನೆ
3.1. Tracking health progress.,3.1. ಆರೋಗ್ಯ ಪ್ರಗತಿಯನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡುವುದು.
Raghunathpur - II,ರಘುನಾಥಪುರ - II
Kultali ICDS Project,ಕುಲ್ತಾಳಿ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
CDPO Worli Kandivali Urban,ಸಿಡಿಪಿಒ ವರ್ಲಿ ಕಾಂದಿವಲಿ ನಗರ
Please enter Name,ದಯವಿಟ್ಟು ಹೆಸರನ್ನು ನಮೂದಿಸಿ
Balurghat Rural Ad,ಬಲೂರ್ಘಾಟ್ ಗ್ರಾಮೀಣ ಹೆಚ್ಚುವರಿ
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,WHO ಮಕ್ಕಳ ಬೆಳವಣಿಗೆಯ ಮಾನದಂಡಗಳ ಸರಾಸರಿಗಿಂತ ಎರಡು ಪ್ರಮಾಣಿತ ವಿಚಲನಗಳಿಗಿಂತ ಅವರ ಎತ್ತರ-ವಯಸ್ಸು ಹೆಚ್ಚಿದ್ದರೆ ಮಕ್ಕಳನ್ನು ಕುಂಠಿತ ಎಂದು ವ್ಯಾಖ್ಯಾನಿಸಲಾಗುತ್ತದೆ
South 24 Parganas,ದಕ್ಷಿಣ ೨೪ ಪರಗಣಗಳು
Deoghar Cum Jasidih,ದಿಯೋಘರ್ ಕಮ್ ಜಸಿದಿಹ್
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,ಅಧಿಕೃತ ಸಂಸ್ಥೆಗಳು ಅವರು API / ನೋ-ಕೋಡ್ ವೆಬ್ಪುಟ ಏಕೀಕರಣದ ಮೂಲಕ ಪಡೆಯಲು ಸಾಧ್ಯವಾಗುವ ಯಾವುದೇ ಡೇಟಾವನ್ನು ಮರುಹಂಚಿಕೆ ಮಾಡಬಾರದು ಮತ್ತು ಅಂತಹ ಎಲ್ಲಾ ಡೇಟಾದ ಏಕೀಕರಣವು ಮೂಲಭೂತವಾಗಿ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ನೀಡುವ ನಿರ್ದಿಷ್ಟ ಸೇವೆಗಳಿಗೆ ಸೀಮಿತವಾಗಿ ಇರುತ್ತದೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು.
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","ಯಾವುದೇ ಸಂದರ್ಭಗಳಲ್ಲಿ, ಯಾವುದೇ ಸಂಸ್ಥೆಯು ಸರ್ಕಾರದ ಪೋಶನ್ ಅಭಿಯಾನದ ಭಾಗವಾಗಿ ಸಂಗ್ರಹಿಸಿದ ಡೇಟಾವನ್ನು ಇಲ್ಲಿ ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ ಉದ್ದೇಶಗಳನ್ನು ಹೊರತುಪಡಿಸಿ ಮತ್ತು ಸರ್ಕಾರವು ಅನುಮತಿಸಬಹುದಾದ ಯಾವುದೇ ಉದ್ದೇಶವನ್ನು ಹೊರತುಪಡಿಸಿ ಬೇರೆ ಕೆಲಸಗಳಿಗೆ ಬಳಸುವಂತಿಲ್ಲ."
Helping make India malnutrition free,ಭಾರತವನ್ನು ಅಪೌಷ್ಟಿಕತೆ ಮುಕ್ತಗೊಳಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ
General Awareness on Module,ಮಾಡ್ಯೂಲ್ಗಳ ಮೇಲೆ ಸಾಮಾನ್ಯ ಅರಿವು
What is the purpose of Launching Poshan Tracker?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಪ್ರಾರಂಭಿಸಿದ ಉದ್ದೇಶವೇನು?
"As a registered user, you have the right to access your profile at any time.","ನೀವು ನೊಂದಾಯಿತ ಬಳಕೆದಾರರು ಆಗಿರುವುದರಿಂದ, ನೀವು ನಿಮ್ಮ ಪ್ರೊಫೈಲ್ ಅನ್ನು ಯಾವ ಸಮಯದಲ್ಲಿ ಆದರೂ ಬಳಸುವ ಹಕ್ಕು ಇದೆ."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","ಆದಾಗ್ಯೂ, ಕಾಲಕಾಲಕ್ಕೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಸಿಸ್ಟಮ್ ಸೂಚಿಸಿದ ಬದಲಾವಣೆಗಳನ್ನು ಮಾತ್ರ ಮಾಡಬಹುದು."
You cannot manage the communications that you receive from us or how you receive them.,ನೀವು ನಮ್ಮಿಂದ ಪಡೆಯುವ ಸಂವಹನವನ್ನು ಅಥವಾ ಅವುಗಳನ್ನು ಪಡೆಯುವ ರೀತಿಯನ್ನು ನಿರ್ವಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
View All FAQs,ಎಲ್ಲಾ FAQ ಗಳನ್ನು ವೀಕ್ಷಿಸಿ
Please Select Sector,ದಯವಿಟ್ಟು ಸೆಕ್ಟರ್ ಆಯ್ಕೆಮಾಡಿ
Bankura - II,ಬಂಕುರಾ - II
