eng,ne
Galsi - II,गल्सी - II
MPIN can be easily reset by any AWW/AWC user.,MPIN लाई कुनै पनि AWW / AWC प्रयोगकर्ताद्वारा सजिलै रिसेट गर्न सकिन्छ।
"You are required to click on Forgot MPIN, and enter your registered mobile number.","तपाईंले बिर्सिएको MPIN मा क्लिक गर्न आवश्यक छ, र तपाईंको पंजीकृत मोबाइल नम्बर प्रविष्ट गर्नुपर्ने छ।"
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,तपाईंले आफ्नो दर्ता गरेको मोबाइल नम्बरमा ओटिपी प्राप्त गरेर आफ्नो MPIN सजिलै रिसेट गर्न सक्नुहुन्छ।
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोशन ट्र्याकर आंगनवाडी कार्यकर्ताहरूलाई उनीहरूको प्रयासको प्रतिबिम्बको साथ सेवाहरूको प्रभावकारी वितरणको लागि एउटा रोजगार सहायता हो।
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,यो पोशन अभियान अन्तर्गत एक महत्वपूर्ण र लाभार्थी-केन्द्रित सेवा वितरण अनुप्रयोग हो जसले विश्लेषणको साथ वास्तविक समय डाटालाई बढावा दिनेछ।
Shahid Bhagat Singh Nagar,शहीद भगतसिंह नगर
Matigara ICDS Project( Addl ),माटिगाडा आईसीडीएस परियोजना (अतिरिक्त)
Goapokher- II Addl.,गोपोखेर- II अतिरिक्त
Sonbhadra Banshi Suryapur,सोनभद्र वंशी सुर्यपुर
Please enter valid Date of Birth,कृपया मान्य जन्म मिति प्रविष्ट गर्नुहोस्
Jugijan Icds Project,जुगीजान आईसीडीएस परियोजना
Ketugram - I,केतुग्राम - I
How to revive your Health?,आफ्नो स्वास्थ्य कसरी पुनर्जीवित गर्ने?
West Garo Hills,पश्चिम गारो हिल्स
West Singhbhum - Jharkhand,पश्चिम सिंहभूम - झारखंड
Delhi Project 2,दिल्ली परियोजना 2
2.2. Communicate with you.,2.2. तपाईं संग संचार।
Who is eligible for additional supplementary food?,थप पूरक खानाको लागि को योग्य छ?
CHAUTH KA BARWARA,चौथ का बरवारा
Namchi Rural Project,नाम्ची ग्रामीण परियोजना
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","हामी कुनै पनि समयमा यी सर्तहरूको कुनै पनि अंश परिवर्तन, परिमार्जन, थप्न, वा हटाउने बिना शर्त अधिकार सुरक्षित राख्छौं, विशेष रूपमा त्यस्ता परिवर्तनहरूको बारेमा तपाईंलाई सूचित नगरी।"
Any changes or updates will be effective immediately.,कुनै पनि परिवर्तन वा अद्यावधिक तुरुन्तै प्रभावकारी हुनेछ।
You take the responsibility to check these Terms of Use periodically for changes.,तपाईंले परिवर्तनहरूको लागि आवधिक रूपमा प्रयोगका यी सर्तहरू जाँच गर्ने जिम्मेवारी लिनुहुन्छ।
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,मंच पोस्टको तपाइँको निरन्तर प्रयोगले यस्तो संशोधन परिमार्जित सर्तहरूको स्वीकृति गठन गर्नेछ।
Project - Iii,परियोजना - IIi
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,AWW आफैंलाई दर्ता गर्न असफल भएमा २ सम्भावनाहरू हुन सक्छन्ःतिनीहरूको मोबाइल नम्बर राज्यले MoWCD लाई प्रदान गरेको डाटामा छैन।तिनीहरू नयाँ प्रणालीमा थपिएका हुन् र तिनीहरूको मोबाइल नम्बर राज्य सेलले MoWCD लाई प्रदान गरेको छैन।माथिका दुबै स्थितिहरूमा राज्य नोडल अफिसर्सलाई कुनै पनि AWW थप्न / सम्पादन / सक्रिय / निष्क्रिय गर्न अधिकार दिइन्छ।
Bilkhawthlir Icds Project,बिल्खोथलिर आईसीडीएस परियोजना
No Record to Show,देखाउनका लागि रेकर्ड छैन
Kailashahar District H.Q,कैलाशहर जिल्ला हेडक्वार्टर
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्र्याकर ड्यासबोर्डमा कति फरक प्रकारका रिपोर्टहरू उत्पन्न गर्न सकिन्छ?
WHO standards are,डब्ल्यूएचओ मापदण्ड हो
Murarai-II ICDS Project,मुराराई-II आईसीडीएस परियोजना
South East Delhi,दक्षिण पूर्वी दिल्ली
Ashoknagar- Kalyangarh (U),अशोकनगर- कल्याणगढ (यु)
How to revive your health if you are Severely Wasted (SAM),तपाईको स्वास्थ्यलाई कसरी पुनर्जीवित गर्ने यदि तपाई गम्भीर रूपमा बर्बाद हुनुहुन्छ (एसएएम)
Baba Belkhar Nath Dham,बाबा बेलखर नाथ धाम
Firozabad City 2,फिरोजाबाद शहर 2
What is Poshan Calculator,पोशन क्याल्कुलेटर भनेको के हो
Binpur - I,बिनपुर - I
Ldh Urban 2,लुधियाना शहरी 2
"See assessment charts for Stunted, Wasted and Underweight parameters","स्टन्टेड, बर्बाद र कम वजन मापदण्डहरूको लागि मूल्याङ्कन चार्ट हेर्नुहोस्"
Visit state page,राज्य पृष्ठमा हेर्नुहोस्
Best performing districts,उत्कृष्ट प्रदर्शन गर्ने जिल्लाहरू
Sandeshkhali - I,सन्देशखाली - I
Resources for growth monitoring and general awareness,वृद्धि अनुगमन र सामान्य जागरूकताका लागि संसाधन
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,AWW हरूले एक विशेष आंगनवाडी केन्द्रमा अवस्थित पूर्वाधारसँग सम्बन्धित विवरणहरू प्रविष्ट गर्नुपर्ने छ।
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","यसले संरचना, आधारभूत सुविधाहरू, सुविधा, सरसफाइ, पिउने पानी आदि समावेश गर्दछ।"
Lactating mothers who received Take Home Ration (THR),घरको राशन लिनुहोस् (टीएचआर) प्राप्त गर्ने स्तनपान गराउने आमाहरू
Balurghat (U),बालुरघाट (यु)
Last updated on,अन्तिममा अद्यावधिक गरियो
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","पोशन ट्रयाकर ले यस गोपनीयता नीतिको कुनै पनि भागलाई कुनै पनि समयमा परिवर्तन, परिमार्जन, थप्न वा हटाउने बिना शर्त अधिकार आरक्षित गर्दछ, विशेष रूपमा त्यस्ता परिवर्तनहरूको बारेमा तपाईंलाई सूचित नगरी।"
Any changes or updates will be effective immediately.,कुनै पनि परिवर्तन वा अद्यावधिक तुरुन्तै प्रभावकारी हुनेछ।
You should review this Privacy Policy regularly for changes.,तपाईंले परिवर्तनहरूको लागि यो गोपनीयता नीति नियमित रूपमा समीक्षा गर्नुपर्छ।
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","हामी यस गोपनीयता नीतिमा कुनै पनि भौतिक परिवर्तनहरू, जस्तै प्रणालीमा सूचना मार्फत सबै प्रयोगकर्ताहरूलाई सूचित गर्न व्यावसायिक रूपमा उचित प्रयासहरू प्रयोग गर्नेछौं।"
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","यद्यपि, प्रणालीको प्रयोगकर्ताको रूपमा, तपाईंले नियमित रूपमा कुनै पनि परिवर्तनहरूको लागि गोपनीयता नीति जाँच गर्नुपर्छ।"
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","हामी यस गोपनीयता नीतिको शीर्षमा रहेको ""अन्तिम अद्यावधिक"" मितिलाई पनि अद्यावधिक गर्नेछौं, जसले यस गोपनीयता नीतिको प्रभावकारी मितिलाई प्रतिबिम्बित गर्दछ।"
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,नयाँ गोपनीयता नीतिको मिति पछि प्रणालीको तपाईंको निरन्तर पहुँच वा प्रयोगले नयाँ गोपनीयता नीतिको तपाईंको स्वीकृतिलाई गठन गर्दछ।
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","यदि तपाईं नयाँ गोपनीयता नीतिमा सहमत हुनुहुन्न भने, तपाईंले प्रणाली पहुँच र/वा प्रयोग गर्न बन्द गर्नुपर्छ।"
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","तपाईं यसद्वारा स्वीकार गर्नुहुन्छ कि तपाईंको जानकारीको कुनै पनि सङ्कलन, भण्डारण, प्रशोधन वा अन्य प्रयोग त्यस्तो सङ्कलन, भण्डारण, प्रशोधन वा अन्य प्रयोगको समयमा लागू हुने गोपनीयता नीतिद्वारा नियन्त्रित हुनेछ।"
JOYNAGAR-II ICDS PROJECT,जयनगर-II आईसीडीएस परियोजना
What is the eligibility of a beneficiary?,एउटा लाभार्थीको पात्रता के हो?
Stunting and Underweight Growth Parameters,स्टंटिङ र कम वजन वृद्धिका प्यारामिटरहरू
NALHATI-I ICDS PROJECT (NGO),नलहाटी-I आईसीडीएस परियोजना (एनजीओ)
Enter Height in centimeter,सेन्टिमिटर मा उचाई प्रविष्ट गर्नुहोस्
Joynagar - I,जयनगर - I
CDPO OFFICE BATHINDA,सीडीपीओ कार्यालय भटिंडा
Severely Wasted (SAM),गम्भीर रूपमा बर्बाद (एसएएम)
"No, Poshan Tracker is available only for Android version","छैन, पोषण ट्र्याकर एन्ड्रोइड संस्करणका लागि मात्र उपलब्ध छ।"
Harishchandrapur - I,हरिश्चन्द्रपुर - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. क्षतिपूर्ति र सीमाको दायित्व
2.1. Deliver our services.,2.1. हाम्रा सेवाहरू पुर्याउनुहोस्।
Growth monitoring report for all health indicators,सबै स्वास्थ्य सूचकहरूका लागि वृद्धि अनुगमन रिपोर्ट
Please select District,कृपया जिल्ला चयन गर्नुहोस्
District’s Quarterly Performance,जिल्लाको त्रैमासिक कार्यसम्पादन
3.1. Tracking health progress.,3.1. स्वास्थ्य प्रगति ट्र्याक गर्दै।
Raghunathpur - II,रघुनाथपुर - II
Kultali ICDS Project,कुलतली आईसीडीएस परियोजना
CDPO Worli Kandivali Urban,सीडीपीओ वर्ली कांदिवली शहरी
Please enter Name,कृपया नाम प्रविष्ट गर्नुहोस्
Balurghat Rural Ad,बालुरघाट ग्रामीण एड
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,यदि तिनीहरूको उचाइ-का लागि-उमेर दुई भन्दा बढी मानक विचलनहरू डब्ल्यूएचओ बाल वृद्धि मापदण्ड औसतभन्दा कम छ भने बालबालिकाहरूलाई स्टन्टेड भनी परिभाषित गरिन्छ।
South 24 Parganas,दक्षिण २४ परगना
Deoghar Cum Jasidih,देवघर कम जसिदिह
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,अधिकृत संस्थाहरूले एपीआई/नो-कोड वेबपेज एकीकरण मार्फत पहुँच गर्न सक्ने कुनै पनि डाटा पुनः वितरण गर्दैनन् र त्यस्ता सबै डाटाको एकीकरण अनिवार्य रूपमा पोशन ट्र्याकरद्वारा प्रदान गरिएका विशिष्ट सेवाहरूमा सीमित हुनुपर्छ भन्ने सुनिश्चित गर्नेछ।
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","कुनै पनि हालतमा, कुनै पनि संस्थाले सरकारको पोशन अभियानको भागको रूपमा सङ्कलन गरिएको तथ्याङ्कलाई यहाँ तोकिएका उद्देश्यहरू बाहेक अन्य प्रयोजनका लागि र सरकारले अनुमति दिए अनुसार प्रयोग गर्न हुँदैन।"
Helping make India malnutrition free,२०२२ सम्ममा भारत कुपोषणमुक्त बनाउन मद्दत गर्ने
General Awareness on Module,मोड्युल मा सामान्य जागरूकता
What is the purpose of Launching Poshan Tracker?,पोषण ट्र्याकर सुरू गर्नुको उद्देश्य के हो?
"As a registered user, you have the right to access your profile at any time.","एउटा दर्ता प्रयोगकर्ताको रूपमा, तपाईंसँग कुनै पनि समयमा आफ्नो प्रोफाइल पहुँच गर्ने अधिकार छ।"
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","यद्यपि, परिवर्तनहरू पोशन ट्र्याकर प्रणालीले समय-समयमा तोकिएबमोजिम मात्र गर्न सकिन्छ।"
You cannot manage the communications that you receive from us or how you receive them.,तपाईंले हामीबाट प्राप्त गर्ने सञ्चारहरू वा तपाईंले तिनीहरूलाई कसरी प्राप्त गर्नुहुन्छ त्यसलाई तपाईंले व्यवस्थापन गर्न सक्नुहुन्न।
View All FAQs,प्रायजसो सोधिने प्रश्नहरू हेर्नुहोस्
Please Select Sector,कृपया सेक्टर चयन गर्नुहोस्
Bankura - II,बांकुरा - II
Raipur-  Karchulian,रायपुर- कर्चुलियन
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. कानूनको अनुपालन, तेस्रो पक्ष अधिकार, र सेवाका अन्य सर्तहरू"
"repeated infection, and inadequate psychosocial stimulation","बारम्बार संक्रमण, र अपर्याप्त मनोसामाजिक उत्तेजना"
Oops!,उफ्!
Page Not Found,पृष्ठ फेला परेन
Beneficiary migration from one AWC to another AWC,एक AWC बाट अर्को AWC मा लाभार्थीको स्थानांतरण
Gyalshing Rural Project,ग्यालसिङ ग्रामीण परियोजना
ABHA (Health ID),एबीएचए (स्वास्थ्य आईडी)
Lohian khas,लोहियान खास
Durg ( R ),दुर्ग (आर)
Bagnan - II,बगनान - II
Lawngtlai ICDS Project,लोङ्गत्लाई आईसीडीएस परियोजना
Date of Birth,जन्ममिति
Nihal Singh Wala,निहाल सिंहवाला
CDPO  Yavatmal-(U),सीडीपीओ यवतमाल-(यु)
DUM DUM SOUTH,दम दम दक्षिण
4:15 PM to 5:15 PM,बेलुका 4:15 बजे देखि 5:15 बजे सम्म
Sagar - U,सागर - यु
About Poshan Tracker,पोषण ट्र्याकरबारे
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","पोषण अभियानअन्तर्गत ICT प्लेटफार्ममा प्रशिक्षण (०२ फेब्रुअरी, २०२१)"
Panskura- II ADDL ICDS,पांसकुरा- II अतिरिक्त आईसीडीएस
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,पोशन ट्र्याकर टोलीलाई support-poshantrackr@gov.in मा इमेल पठाएर सम्पर्क गर्न सकिन्छ।हात समात्न र समर्थनको लागि हामी हरेक दिन 4:15 बजे देखि 5:15 बजे सम्म भिडियो कन्फरेन्समा पनि उपलब्ध छौं।
Diyung Valley Icds Project,दियुङ उपत्यका आईसीडीएस परियोजना
South West Delhi,दक्षिण पश्चिम दिल्ली
You may browse the Site without registering for an account.,तपाइँ खाताको लागि दर्ता नगरी साइट ब्राउज गर्न सक्नुहुन्छ।
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","तपाईंले आफ्नो मोबाइल नम्बरको साथ एक खाताको लागि दर्ता गर्न आवश्यक हुनेछ, यदि तपाईं साइटद्वारा प्रस्ताव गरिएका केही सुविधाहरू वा सेवाहरू प्रयोग गर्न चाहनुहुन्छ भने।"
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","यी सर्तहरू स्वीकार गरेर, तपाइँ स्पष्ट रूपमा तपाइँको पहिचान जानकारी (आधार विवरणहरू सहित) र तपाइँको खातामा दर्ता भएका अन्य सबै सदस्यहरूको प्रयोग गर्नको लागि हामीलाई अधिकार दिन सहमत हुनुहुन्छ।"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,तपाइँ तपाइँको व्यक्तिगत जानकारी र दर्ता र यो जानकारी सुरक्षित राख्न असफल भएको कारण हुन सक्ने सबै गतिविधिहरूको गोपनीयता कायम राख्नको लागि तपाइँ मात्र जिम्मेवार हुनुहुन्छ।
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,तपाईको दर्ता वा मोबाइल संख्या गोप्य राखिनेछतपाईंले यो उतरदायित्व लिनुःतपाईंले आफ्नो खाता मार्फत तिनीहरूको रेकर्ड बनाउनको लागि सम्बन्धित व्यक्तिहरूबाट स्वीकृति लिनुभएको छ।
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,तपाईंको खाता वा मोबाइल नम्बरले त्यो व्यक्तिको नक्कल गर्ने उद्देश्यले अर्को व्यक्तिको नाम समावेश गर्नु हुँदैन।
You shall not use another user's account without their permission.,तपाईंले उनीहरूको अनुमति बिना अर्को प्रयोगकर्ताको खाता प्रयोग गर्नुहुने छैन।
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","यदि तपाईंले आफ्नो खाताको कुनै अनधिकृत प्रयोग वा खाता-सम्बन्धित अन्य सुरक्षा उल्लंघनहरू फेला पार्नुभयो भने, तपाईंले तुरुन्तै हामीलाई लिखित रूपमा सूचित गर्नुहुनेछ।"
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",यदि हामीले तपाईंको खाताले अरू कसैको अधिकार उल्लङ्घन गरेको वा हाम्रा नीतिहरूलाई उल्लङ्घन गरेको उजुरी प्राप्त गरेमा हामी तपाईंको खाता रद्द वा ब्लक गर्न सक्छौं।
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","तपाईले धेरै इन्टरनेट प्रोटोकल ठेगानाहरू वा मोबाइल नम्बरहरू प्रयोग गरेर वा अन्य कुनै पनि माध्यमद्वारा, साइटमा सहभागीहरूलाई दर्ता गर्न आफ्नो पहिचान लुकाउने प्रयास गर्नुहुँदैन।"
What is  MPIN?,MPIN भनेको के हो?
Rongmongwe & Samelangso Icds Project,रोङमोङवे र सामेलाङसो आईसीडीएस परियोजना
Pakabetbari Icds Project,पकाबेटबारी आईसीडीएस परियोजना
Please Select Reported By,कृपया द्वारा रिपोर्ट गरिएको चयन गर्नुहोस्
Kaliachak - III,कालियाचक - III
Dakshin Bastar Dantewada,दक्षिण बस्तर दंतेवाडा
Cdpo Proj No-1,सीडीपीओ परियोजना संख्या-1
Berhampur (U) - II,बर्हमपुर (यु) - II
Enter Mobile Number,मोबाइल नम्बर प्रविष्ट गर्नुहोस्
"Project-3, Palanganatham, Madurai","परियोजना-3, पलांगनाथम, मदुरै"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,पोषण ट्र्याकर एप २२ विभिन्न भाषाहरूमा उपलब्ध छउपलब्ध विभिन्न भाषाहरूःअंग्रेजीहिन्दीगुजरातीपंजाबीमराठीबंगलाकन्नडतामिलतेलेगुमलयालमओडियाअसमियाNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,एडब्लुसी टीकाकरण चलन
Jhalda - I,झाल्डा - I
Reiek ICDS Project,रेइयेक आईसीडीएस परियोजना
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","पोषण ट्र्याकर एपको उद्देश्य आंगनवाडी केन्द्र (AWC)को गतिविधि र गर्भवती महिला, स्तनपान गराउने आमाहरू र बच्चाहरूका लागि पूर्ण लाभार्थीको व्यवस्थापनलाई ३६० डिग्री दृष्टिकोणमा प्रदान गर्नु हो।"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणालीले परिभाषित संकेतकहरूमा सबै AWCहरू, AWWहरू र लाभार्थीहरूको वास्तविक समयको अनुगमन र ट्र्याकिंग सक्षम पार्नु पर्दछ।"
Current Month Performance,हालको महिना प्रदर्शन
Rjn Gramin 02,आरजेएन ग्रामीण 02
How to Login in Poshan Tracker App?,पोषण ट्र्याकर एपमा कसरी लगइन गर्ने?
Height and weight of child has not been measured,बच्चाको उचाइ र तौल मापन गरिएको छैन
PM’s Program Districts,प्रधानमन्त्रीको कार्यक्रम जिल्लाहरु
Kaliachak - I,कालियाचक - I
Jagatballav pur ICDS,जगतबल्लवपुर आईसीडीएस
CDPO Civil Washim,सीडीपीओ सिभिल वाशिम
Terms of Service,सेवाका सर्तहरु
2.5. Research and operational activities.,2.5. अनुसन्धान र परिचालन गतिविधिहरू।
Tufanganj I Addl,तुफानराजगंज I अतिरिक्त
CANNING II ADDITIONAL,क्यानिङ II अतिरिक्त
Jhalda - II,झल्डा - II
Gomariguri Icds Project,गोमारीगुडी आईसीडीएस परियोजना
Best performing states (National Best),उत्कृष्ट प्रदर्शन गर्ने राज्य (राष्ट्रिय सर्वश्रेष्ठ)
Siddharth Nagar City,सिद्धार्थनगर नगर
Calculator to measure the child growth based on the WHO Child Growth Standards.,डब्ल्यूएचओ बाल विकास मापदण्डहरूमा आधारित बाल विकास मापन गर्न क्याल्कुलेटर
Sonarpur ICDS Project,सोनारपुर आईसीडीएस परियोजना
"Td1, 2 or Td Booster***","टीडी1, 2 वा टीडी बूस्टर ***"
North East Delhi,उत्तर पूर्वी दिल्ली
Sri Muktsar Sahib,श्री मुक्तसर साहिब
North West Jorhat,उत्तर पश्चिम जोरहाट
Raninagar - II,रानीनगर - II
TAKE HOME RATION (THR) GIVEN TODAY,आज दिएको खाद्यन(THR) घर लैजानुहोस
Beneficiaries Registered Today,लाभार्थीहरू आज पंजीकृत गरियो
A beneficiary is eligible for THR for at least 21 days in a month.,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि टीएचआर को लागि योग्य हुन्छ।
Bhatpara II (U),भाटपाडा II (यु)
Cooch Behar II Addl,कूच बिहार II अतिरिक्त
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. सर्तहरूमा भविष्यमा हुने परिवर्तनहरू बारे सूचनाः
Planning And Organising Community Based Events At AWC,योजना बनाउँदै र एडब्ल्यूसी मा समुदायमा आधारित घटनाहरू
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. बौद्धिक सम्पत्ति अधिकार
GOSABA ICDS MAIN,गोसाबा आईसीडीएस मुख्य
Growth monitoring charts,वृद्धि अनुगमन चार्ट
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,दनखोरा - हसनगंज
Frequently Asked Questions,प्रायः सोधिने प्रश्नहरू
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWWहरूले आफ्नो मोबाइल नम्बरमार्फत दर्ता गर्न असमर्थ भएमा कसरी एपमा साइन अप गर्न सक्छन्?
Salboni ICDS Project,सालबोनी आईसीडीएस परियोजना
Raninagar - I,रानीनगर - I
Sandeshkali - I Adl.,सन्देशकली - I एडीएल.
Poshan Tracker adds new Reports feature,पोशन ट्र्याकरले नयाँ रिपोर्टहरूको सुविधा थप्छ
Magrahat - II ICDS,मगराहत - II आईसीडीएस
Lungsen Icds Project,लुङसेन आईसीडीएस परियोजना
General Awareness about preventing illness in Children,बालबालिकामा रोगबाट बच्नका लागि सामान्य जागरूकता
Demow Icds Project,डिमाओ आईसीडीएस परियोजना
Ratua - I,रतुआ - I
Purulia - II,पुरुलिया - II
Dhar - R,धर- आर
Beneficiaries status change notifications,लाभार्थीको स्थिति परिवर्तन गर्ने सूचनाहरू
K R Nagar,केआर नगर
2. HOW WE USE PERSONAL INFORMATION,2. हामी कसरी व्यक्तिगत जानकारी प्रयोग गर्छौं
Purnia East Rural,पूर्णिया पूर्व ग्रामीण
Ranaghat 2 Ex,रानाघाट 2 एक्स
Careers At Poshan Tracker,पोषण ट्र्याकर (Poshan Tracker) मा क्यारियर
Nichar At Bhabnagar,भाबनगरको निचार
Underweight Assessment Parameters,कम तौल मूल्यांकन परिमितिहरु
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,कृपया आफ्नो मोबाइल संख्या र टिकट संख्या प्रदान गर्नुहोस्।
Kulti (U) ICDS Project,कुल्ती (यु) आईसीडीएस परियोजना
Ludhiana 1 Rural,लुधियाना 1 ग्रामीण
Dinhata - II addl,दिनहाटा - II अतिरिक्त
Please contact your respective Anganwadi worker.,कृपया आफ्नो सम्बन्धित आंगनवाडी कार्यकर्तालाई सम्पर्क गर्नुहोस्।
SAM Children under 5 years who received Supplementary Nutrition,पूरक पोषण प्राप्त गर्ने 5 वर्ष मुनिका एसएएम बालबालिका
Feeding During Illness,रोगको समयमा खुवाउने
Ratlam Rural - 2,रतलाम ग्रामीण-2
Suti - I,सुती- I
Memari - II,मेमारी - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,ओपीवी -1पेंटावलेंट-1रोटावायरस खोप (आरवीवी) -1आंशिक खुराक को निष्क्रिय पोलियो खोप (एफआईपीवी) -1न्यूमोकोकल कंजुगेट खोप (पीसीवी) -1
Height should be between 38 to 150,उचाई 38 देखि 150 का बीच हुनुपर्छ
How to contact Poshan Tracker Team?,पोशन ट्र्याकर टोलीलाई कसरी सम्पर्क गर्ने?
Rongli Rural Project,रोङ्ली ग्रामीण परियोजना
Take Home Ration (THR) Given Today,आज दिएको खाद्यन(THR) घर लैजानुहोस
How many different forms are there in Poshan Tracker App?,पोषन ट्र्याकर एपमा कति फरक प्रकारहरू छन्?
Ldh Urban 1,लुधियाना शहरी 1
There are 7 different types of forms for beneficiaries.,लाभार्थीहरूका लागि विभिन्न प्रकारका फारामहरू हुन्छन्।
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),यसले निम्न समावेश गर्दछःस्तनपान गराउने आमागर्भवती महिलाबच्चा ०-६ महिनाबच्चा ६ महिनादेखि ३ वर्षबच्चा ३ वर्षदेखि ६ वर्षकिशोरीहरू (११ वर्ष-१९ वर्ष)
Shibpur I C D S Project,शिबपुर आईसीडीएस परियोजना
RAMPURHAT-II ICDS PROJECT,रामपुरहट-II आईसीडीएस परियोजना
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",बितेका एकदेखि तीन महिनामा कोही आंगनवाडी कार्यकर्ता लाभार्थीको घर गएका छैनन्
Please enter Weight greater than 0.49 and less than 40.01,कृपया 0.49 भन्दा बढी र 40.01 भन्दा कम तौल प्रविष्ट गर्नुहोस्
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.
Seraj At Janjehli,जंजेलीको सेराज
Amta - II,अम्ता - II
 V. ACCESS PERMISSIONS, V. पहुँच अनुमतिहरू
