eng,hi
Please Enter Valid Email ID,कृपया मान्य ईमेल आईडी दर्ज करें
We own the intellectual property rights in the Site and Content.,हमारे पास बौद्धिक संपदा अधिकारों के तहत साइट और उसकी सामग्री का स्वामित्व प्राप्त है।
We may change the Content and features of the Site at any time.,हम किसी भी समय साइट की सामग्री और सुविधाओं में परिवर्तन कर सकते हैं।
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","इस साइट पर प्रदर्शित पंजीकृत और अपंजीकृत ट्रेडमार्क, प्रतीक चिह्न और सेवा चिह्न हमारे या हमारे लाइसेंसकर्ताओं के स्वामित्व के अधीन है।"
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","आप हमारी पूर्व लिखित अनुमति के बिना किसी भी प्रकार से अपने ट्रेडमार्क, प्रतीक चिह्नों और सेवा चिह्नों का उपयोग नहीं कर सकते हैं।"
Material featured on this website may be reproduced free of charge.,इस वेबसाइट पर प्रदर्शित सामग्री को बिना किसी अतिरिक्त शुल्क के पुनः प्रस्तुत किया जा सकता है।
"However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","हालाँकि, इस साइट का कोई भी हिस्सा और किसी भी सामग्री की प्रतिलिपि को अपमानजनक तरीके से या भ्रामक संदर्भ में, पुनर्प्रकाशित, पुनरुत्पादित, अद्यतित, पोस्ट, सार्वजनिक रूप से प्रदर्शित, एन्कोडेड, अनुवादित, प्रेषित या किसी अन्य कंप्यूटर, सर्वर, वेब साइट या अन्य माध्यम में प्रकाशन के लिए किसी भी तरह से वितरित नहीं की जा सकती है।"
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","आप साइट पर उपलब्ध सूचना का उपयोग कर सकते हैं, बशर्ते कि आप (1) ऐसी सूचना का उपयोग केवल अपने व्यक्तिगत, गैर-व्यावसायिक सूचनात्मक उद्देश्य के लिए करेंगे और ऐसी सूचना को किसी कंप्यूटर नेटवर्क पर कॉपी या पोस्ट नहीं करेंगे या इसे किसी भी मीडिया में प्रसारित नहीं करेंगे, (2) ऐसी किसी भी सूचना और ऐसे दस्तावेजों और सामग्री से संबंधित किसी भी अतिरिक्त अभ्यावेदन या वारंटी में कोई संशोधन भी नहीं करेंगे।"
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.",किसी भी प्रकाशित या दूसरों को निर्गत की जा सामग्री के स्रोत को प्रमुखता से स्वीकार किया जाना चाहिए।
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","हालाँकि, किसी तीसरे पक्ष के कॉपीराइट के रूप में पहचाने जाने वाली सामग्री को पुनः पेश करने की अनुमति किसी भी सामग्री तक विस्तारित नहीं होगी।"
Galsi - II,गलसी - II
MPIN can be easily reset by any AWW/AWC user.,एमपीआईएन को किसी भी एडब्ल्यूडब्ल्यू / एडब्ल्यूसी उपयोगकर्ता द्वारा आसानी से दोबारा निर्धारित किया जा सकता है।
"You are required to click on Forgot MPIN, and enter your registered mobile number.","आपको भूल गए एमपीआईएन पर क्लिक करना होगा, और अपना पंजीकृत मोबाइल नंबर दर्ज करना होगा।"
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,आपको अपने पंजीकृत मोबाइल नंबर पर ओटीपी प्राप्त होगा और आप अपने एमपीआईएन को आसानी से दोबारा निर्धारित कर सकते हैं।
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोषण ट्रैकर को आँगनवाडी कार्यकर्ताओं के उत्तम सेवा वितरण के साथ कार्यों के बेहतर प्रदर्शन के लिए प्रदान किया गया है।
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,यह पोषण अभियान के तहत महत्वपूर्ण और लाभार्थी केन्द्रित सेवा वितरण एप्लिकेशन है जो वास्तविक समयावधि के साथ विश्लेषण को भी प्रोत्साहित करेगा।
Shahid Bhagat Singh Nagar,शहीद भगत सिंह नगर
Matigara ICDS Project( Addl ),माटीगाडा आईसीडीएस परियोजना (अडिशनल)
Goapokher- II Addl.,गोपोखेर- II अडिशनल
Sonbhadra Banshi Suryapur,सोनभद्र बंशी सूर्यपुर
Please enter valid Date of Birth,"कृपया, मान्य जन्मतिथि दर्ज करें"
Jugijan Icds Project,जुगीजन आईसीडीएस परियोजना
Ketugram - I,केतुग्राम - I
How to revive your Health?,अपने स्वास्थ्य को कैसे पुनर्जीवित करें?
West Garo Hills,वेस्ट गारो हिल्स
West Singhbhum - Jharkhand,पशचिमी सिंहभूम - झारखंड
Delhi Project 2,दिल्ली परियोजना 2
2.2. Communicate with you.,2.2. आपके साथ संचार।
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहार के लिए कौन पात्र है?
CHAUTH KA BARWARA,चौथ का बरवाडा
Namchi Rural Project,नामची ग्रामीण परियोजना
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.",हम आपको बिना बताए साइट के किसी भी भाग को संलग्न करने या हटाने या उसमें सशर्त परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखते हैं।
Any changes or updates will be effective immediately.,किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा।
You take the responsibility to check these Terms of Use periodically for changes.,यह आपका उत्तरदायित्व है कि आप सामयिक आधार पर शर्तों के उपयोग में होने वाले परिवर्तनों की जाँच करते रहें।
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,हमारी साइट के पुनरीक्षण के बाद आपके द्वारा उसका निरंतर उपयोग हमारी संशोधित शर्तों के प्रति आपकी स्वीकृति को प्रदर्शित करता है।
Project - Iii,परियोजना - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,यदि एडब्ल्यूडब्ल्यू खुद को पंजीकृत करने में असफल है तो 2 संभावनाएं हो सकती हैंः   राज्यों द्वारा एमओडब्ल्यूसीडी को उपलब्ध कराए गए डेटा में उनका मोबाइल नंबर मौजूद नहीं है।वे प्रणाली में नए जोडे गए हैं और उनका मोबाइल नंबर अभी तक राज्य सेल द्वारा एमओडब्ल्यूसीडी को प्रदान नहीं किया गया है।उपरोक्त दोनों मामलों में राज्य नोडल अधिकारियों को एडब्ल्यूडब्ल्यू में से किसी को जोडने / संपादित / सक्रिय / निष्क्रिय करने का अधिकार है।
Bilkhawthlir Icds Project,बिलखौथलीर आईसीडीएस परियोजना
No Record to Show,दिखाने के लिए कोई रिकॉर्ड नहीं
Kailashahar District H.Q,कैलाशहर जिला मुख्यालय
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड पर कितने विभिन्न प्रकार के अभिलेख उत्पन्न की जा सकती हैं?
WHO standards are,विश्व स्वास्थ्य संगठन के मानक हैं
Murarai-II ICDS Project,मुरारई-II आईसीडीएस परियोजना
South East Delhi,दक्षिण पूर्वी दिल्ली
Ashoknagar- Kalyangarh (U),अशोकनगर- कल्याणगढ (यू)
How to revive your health if you are Severely Wasted (SAM),"यदि आप गंभीर रूप से बीमार हो गए हैं, तो अपने स्वास्थ्य को पुनर्जीवित (एसएएम) कैसे करें"
Baba Belkhar Nath Dham,बाबा बेलखर नाथ धाम
Firozabad City 2,फिरोजाबाद शहर 2
What is Poshan Calculator,पोषण मापक क्या है
Binpur - I,बिनपुर - ।
Ldh Urban 2,एलडीएच शहरी 2
"See assessment charts for Stunted, Wasted and Underweight parameters","स्टंटेड, वेस्टेड और कम वजन से संबंधित मापदंडों के लिए मूल्यांकन तालिका देखें"
Best performing districts,सर्वश्रेष्ठ प्रदर्शन करने वाले जिले
Sandeshkhali - I,संदेशखली - I
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,एडब्ल्यूडब्ल्यू एक विशेष आंगनवाडी केंद्र में मौजूद बुनियादी ढांचे से संबंधित विवरण दर्ज करने के लिए आवश्यक हैं।
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","इसमें संरचना, बुनियादी सुविधाएं, सुख-सुविधाएँ, स्वच्छता, पेयजल आदि शामिल हैं।"
Lactating mothers who received Take Home Ration (THR),स्तनपान कराने वाली माताओं को प्राप्त होने वाला टेक होम राशन (THR)
Balurghat (U),बालुरघाट (यू)
Last updated on,अंतिम बार अद्यतन किया गया
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.",इस गोपनियता नीति के अनुसार पोषण ट्रैकर बिना किसी विशिष्ट शर्त और अधिसूचना के किसी भी भाग को संलग्न करने या हटाने या उसमें परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखता है।
Any changes or updates will be effective immediately.,किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा।
You should review this Privacy Policy regularly for changes.,आपको इस गोपनियता नीति में परिवर्तन करने हेतु नियमित अंतराल पर पुनरीक्षित करना चाहिए।
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.",इस गोपनियता नीति में किसी भी महत्वपूर्ण परिवर्तन को हम सामान्यतः सभी उपयोगकर्ताओं को कम व्यवसायिक कीमतों पर सूचना प्रणाली के माध्यम से पहुँचाने का प्रयास करते हैं।
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","हालाँकि, एक सिस्टम का उपयोगकर्ता होने के नाते, आपको गोपनियता नीति में किए गए परिवर्तनों को नियमित रूप से देखते रहना चाहिए।"
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","हम "" लास्ट उपडेटेड"" शब्द के माध्यम से इस गोपनियता नीति में किए गए परिवर्तनों को उसके प्रभावी तिथि से इसके शीर्ष पर प्रदर्शित भी करेंगे।"
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,नई गोपनियता नीति में परिवर्तन के बाद की तिथि से सिस्टम तक आपकी पहुँच या उपयोग आपके इस नई गोपनियता नीति को स्वीकार करने की सुनिश्चिता करेगी।
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.",यदि आप नई गोपनियता नीति से सहमत नहीं हैं तो आपको अपने सिस्टम और/या का उपयोग त्वरित रूप से बंद कर देना चाहिए।
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","इसके साथ ही आप इस बात की स्वीकृति प्रदान करते हैं कि किसी भी प्रकार का संग्रहण, भंडारण, प्रोसेससिंग या आपकी अन्य सूचना का उपयोग इस गोपनियता नीति द्वारा ऐसे संग्रहण, भंडारण और प्रोसेसिंग और अन्य उपयोग के समय से लागू और शासित की जाएगी।"
JOYNAGAR-II ICDS PROJECT,जॉयनगर-II आईसीडीएस परियोजना
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?
Stunting and Underweight Growth Parameters,बौनापन और सामान्य से कम वजन के विकास मानक
NALHATI-I ICDS PROJECT (NGO),नलहाटी-I आईसीडीएस परियोजना (एनजीओ)
Enter Height in centimeter,सेंटीमीटर में ऊँचाई दर्ज करें
Joynagar - I,जोयनगर - I
CDPO OFFICE BATHINDA,सीडीपीओ कार्यालय बठिंडा
Severely Wasted (SAM),गंभीर रूप से वेस्टेड(SAM)
"No, Poshan Tracker is available only for Android version",कोई पोषण ट्रैकर केवल एंड्रॉइड संस्करण के लिए उपलब्ध नहीं है।
Harishchandrapur - I,हरिश्चंद्रपुर - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. क्षतिपूर्ति और देयता की सीमा
2.1. Deliver our services.,2.1. हमारे द्वारा प्रदत वितरण सेवाएँ।
Growth monitoring report for all health indicators,सभी स्वास्थ्य संकेतकों के लिए विकास निगरानी रिपोर्ट
Take Home Ration (THR) given in last 30 days,पिछले 30 दिनों में दिए गए घर के राशन (टीएचआर) को लें
Please select District,कृपाकए जिलाक चयन करू
District’s Quarterly Performance,जिले का तिमाही प्रदर्शन
3.1. Tracking health progress.,3.1. स्वास्थ्य की प्रगति को ट्रैक करना।
Raghunathpur - II,रघुनाथपुर - II
Kultali ICDS Project,कुलताली आईसीडीएस परियोजना
CDPO Worli Kandivali Urban,सीडीपीओ वर्ली कांदिवली शहरी
Please enter Name,कृपाकए नाम प्रविष्ट करू
Balurghat Rural Ad,बालुरघाट ग्रामीण अडिशनल
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,बच्चों को अविकसित के रूप में परिभाषित किया जाता है यदि उनकी उम्र के अनुसार ऊंचाई डब्ल्यूएचओ बाल विकास मानकों के माध्य के दो मानक विचलन से अधिक है
South 24 Parganas,दक्षिण 24 परगना
Deoghar Cum Jasidih,देवघर कम जसीडीह
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,"किसी भी प्रकार के API / नो-कोड वेबपेज एकीकरण के माध्यम से एक्सेस करने में सक्षम आँकडे को अधिकृत संगठन पुनः वितरण नहीं कर सकते हैं, साथ ही पोशन ट्रैकर द्वारा प्रदत विशिष्ट सेवाओं से संबंधित ऐसे सभी आँकडों के एकीकरण की सीमित अनिवार्यता को सुनिश्चितता भी करेंगे।"
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","किसी भी परिस्थिति में, कोई संगठन सरकार के पोषण अभियान के हिस्से के रूप में एकत्र किए गए आँकडों का उपयोग यहाँ निर्दिष्ट उद्देश्यों के अलावा किसी भी उद्देश्य के लिए नहीं करेगा, और जैसा कि सरकार द्वारा अनुमति दी जा सकती है।"
Helping make India malnutrition free,भारत को कुपोषण मुक्त बनाने में मदद
General Awareness on Module,मॉड्यूल पर सामान्य जागरूकता
What is the purpose of Launching Poshan Tracker?,पोषण ट्रैकर लॉन्च करने का उद्देश्य क्या है?
"As a registered user, you have the right to access your profile at any time.",एक पंजीकृत उपयोगकर्ता होने के नाते आपको अपने प्रोफाइल को किसी भी सामय देखने की स्वतंत्रता होगी।
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","हालाँकि, पोषण ट्रैकर सिस्टम दारा सामयिक आधार पर निर्धारित मानकों के आधार पर ही परिवर्तन स्वीकार्य माने जाएंगे।"
You cannot manage the communications that you receive from us or how you receive them.,आप हमारे द्वारा भेजे गए या प्राप्त किए गए भी संचार का प्रबंध नहीं कर सकते हैं।
View All FAQs,सभी FAQs देखें
Please Select Sector,कृपया सेक्टर का चयन करें
Bankura - II,बांकुरा - II
Raipur-  Karchulian,रायपुर- करचुलियन
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. कानून का अनुपालन, तीसरे पक्ष का अधिकार, और सेवा की अन्य शर्तें"
"repeated infection, and inadequate psychosocial stimulation","बार-बार संक्रमण, और अपर्याप्त मनोसामाजिक उत्तेजना"
Oops!,उफ!
Page Not Found,पृष्ठ नहीं मिला
Beneficiary migration from one AWC to another AWC,एक AWC से दूसरे AWC में लाभार्थी का स्थानांतरण
Gyalshing Rural Project,ग्यालशिंग ग्रामीण परियोजना
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र)
Lohian khas,लोहियां खास
Durg ( R ),दुर्ग (आर)
Bagnan - II,बगनान - II
Lawngtlai ICDS Project,लवंगतलाई आईसीडीएस परियोजना
Date of Birth,जन्म तिथि
Nihal Singh Wala,निहाल सिंह वाला
CDPO  Yavatmal-(U),सीडीपीओ यवतमाल-(यू)
DUM DUM SOUTH,दम दम दक्षिण
4:15 PM to 5:15 PM,4: 15 अपराह्न से 5: 15 अपराह्न तक
Sagar - U,सागर - यू
About Poshan Tracker,पोषण ट्रैकर के बारे में
Panskura- II ADDL ICDS,पंसकुरा- II अडिशनल आईसीडीएस
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,पोषण ट्रैकर समूह से support-poshantrackr@gov.in पर ईमेल भेजकर संपर्क किया जा सकता है।आपके सहयोग और समर्थन के लिए हम प्रतिदिन शाम 4:15 बजे से शाम 5:15 बजे तक वीडियो कॉन्फ्रेंस पर भी उपलब्ध हैं।
Diyung Valley Icds Project,दीयुंग वैली आईसीडीएस परियोजना
South West Delhi,दक्षिण पश्चिम दिल्ली
"You may browse the Site without registering for an account.You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.Your account or mobile number shall not include the name of another person with the intent to impersonate that person.You shall not use another user's account without their permission.You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","आप हमारी साइट को बिना पंजीकृत हुए ही ब्राउज कर सकते हैं।आपको अपने खाते के लिए मोबाइल संख्या के साथ पंजीकरण करना अनिवार्य है, यदि आप साइट द्वारा प्रदत किन्हीं विशिष्ट सेवाओं या विशेषताओं का उपयोग करने चाहते हैं।इन शर्तों को स्वीकार करने के द्वारा आप हमें अपनी सूचना, पहचान (आधार विवरण सहित) और आपके खाते में पंजीकृत अन्य सभी सदस्यों की सूचना का उपयोग करने हेतु अधिकारिक रूप से अपनी सहमति प्रदान करते हैं।आप अपनी व्यक्तिगत सूचना और पंजीकरण तथा संबंधित जानकारी को सुरक्षित रखने में विफल होने के परिणामस्वरूप भावी सभी गतिविधियों की गोपनीयता बनाए रखने हेतु पूर्णतः उत्तरदायी हैं।आपके पंजीकरण या मोबाइल नंबर को गोपनीय रखा जाएगा।आप स्वीकृति प्रदान करते हैं किःआपने अपने खाते के द्वारा निर्मित किए जाने वाले अभिलेखों से संबंधित व्यक्तियों से उनकी सहमति प्राप्त की है।आपके खाते या मोबाइल नंबर में आपका रूप धारण करने के इरादे से किसी अन्य व्यक्ति के नाम को शामिल नहीं किया जाएगा।आप उनकी आज्ञा के बिना किसी अन्य के खाते का उपयोग नहीं करेंगे।आप हमें त्वरित रूप से इस बात की सूचना देंगे यदि आपने अपने खाते में किसी अनधिकृत उपयोग या सुरक्षा से संबद्ध किसी उल्लंघन को करते हुए पाया है।यदि हमें कोई शिकायत मिलती है कि, आपका खाता किसी और के अधिकारों या हमारी नीतियों का उल्लंघन करता है, तो हम आपके खाते को रद्द या अवरुद्ध कर सकते हैं।आप साइट पर प्रतिभागियों को पंजीकृत करने के लिए विभिन्न इंटरनेट प्रोटोकॉल में पते या मोबाइल नंबर, या किसी अन्य माध्यम से अपनी पहचान को गुप्त रखने का प्रयास नहीं करेंगे।"
What is  MPIN?,एमपीआईएन क्या है?
Rongmongwe & Samelangso Icds Project,रोंगमोंग्वे और सेमलैंग्सो आईसीडीएस परियोजना
Pakabetbari Icds Project,पाकबेटबारी आईसीडीएस परियोजना
Please Select Reported By,कृपया द्वारा रिपोर्ट किया गया का चयन करें
Kaliachak - III,कालियाचक - III
Dakshin Bastar Dantewada,दक्षिण बस्तर दंतेवाडा
Cdpo Proj No-1,सीडीपीओ परियोजना संख्या-1
Berhampur (U) - II,बरहामपुर (यू) - II
Enter Mobile Number,मोबाइल नंबर प्रविष्ट करू
"Project-3, Palanganatham, Madurai","परियोजना-3, पलंगनाथम, मदुरई"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,पोषण ट्रैकर ऐप 22 अलग-अलग भाषाओं में उपलब्ध है।उपलब्ध विभिन्न भाषाएँ हैंः    अंग्रेजी   हिंदी   गुजराती   पंजाबी   मराठी   बंगला   कन्नड   तमिल   तेलुगु   मलायलम   ओडिया   असमिया NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,आंगनवाडी केंद्र टीकाकरण प्रवृत्ति
Jhalda - I,झालदा - I
Reiek ICDS Project,रीक आईसीडीएस परियोजना
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","पोषण ट्रैकर एप्लिकेशन का उद्देश्य आंगनवाडी केंद्र (एयूसी), आंगनवाडी वर्कर्स (AWWs) की सेवा प्रदान करने और गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों के लिए पूर्ण लाभार्थी प्रबंधन की गतिविधियों के बारे में 360-डिग्री दृश्य प्रदान करना है।"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणाली को सभी AWCs, AWW और लाभार्थियों को परिभाषित सूचकांकों पर वास्तविक समय की निगरानी और नजर रखने में सक्षम बनाना चाहिए।"
Current Month Performance,वर्तमान माह का प्रदर्शन
Rjn Gramin 02,रजन ग्रामीण 02
How to Login in Poshan Tracker App?,पोषण ट्रैकर ऐप में कैसे लॉगिन करें?
Height and weight of child has not been measured,बच्चे का कद और वजन नहीं मापा गया है
PM’s Program Districts,प्रधानमंत्री के कार्यक्रम वाले जिले
Kaliachak - I,कालियाचक - I
Jagatballav pur ICDS,जगतबल्लभपुरर आईसीडीएस
CDPO Civil Washim,सीडीपीओ सिविल वाशिम
Terms of Service,सेवा की शर्तें
2.5. Research and operational activities.,2.5. अनुसंधान और प्रचालानात्म्क गतिविधियाँ।
Tufanganj I Addl,तुफानगंज I अडिशनल
CANNING II ADDITIONAL,कैनिंग II अडिशनल
Jhalda - II,झालदा - II
Gomariguri Icds Project,गोमरीगुडी आईसीडीएस परियोजना
Best performing states (National Best),सर्वश्रेष्ठ प्रदर्शन करने वाले राज्य (राष्ट्रीय सर्वश्रेष्ठ)
Siddharth Nagar City,सिद्धार्थ नगर शहर
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO बाल विकास मानकों के आधार पर बाल विकास को मापने के लिए मापक का उपयोग
Sonarpur ICDS Project,सोनारपुर आईसीडीएस परियोजना
"Td1, 2 or Td Booster***","Td1, 2 या Td बूस्टर***"
North East Delhi,उत्तर पूर्वी दिल्ली
Sri Muktsar Sahib,श्री मुक्तसर साहिब
North West Jorhat,उत्तर पश्चिम जोरहाट
Raninagar - II,रानीनगर - II
TAKE HOME RATION (THR) GIVEN TODAY,आज दिया गया घर का राशन (टीएचआर) लें
Beneficiaries Registered Today,लाभार्थियों ने आज पंजीकरण कराया
A beneficiary is eligible for THR for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए THR के लिए पात्र है।
Bhatpara II (U),भाटपारा II (यू)
Cooch Behar II Addl,कूच बिहार II अडिशनल
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. शर्तों में किए जाने वाले सामयिक परिवर्तनों के संदर्भ में अधिसूचनाः
Planning And Organising Community Based Events At AWC,आँगनवाडी केंद्र पर सामुदायिक आधार पर कार्यक्रमों की योजना बनाना एवं उसे व्यवस्थित करना
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. बौद्धिक संपदा अधिकार
GOSABA ICDS MAIN,गोसाबा आईसीडीएस मुख्य
Growth monitoring charts,विकास पर्यवेक्षण चार्ट
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,दानखोरा - हसनगंज
Frequently Asked Questions,अक्सर पूछे जाने वाले प्रश्न
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"अगर वे अपने मोबाइल नंबरों के माध्यम से पंजीकरण करने में असमर्थ हैं, तो एडब्ल्यूडब्ल्यू ऐप पर साइन अप कैसे कर सकता है?"
Salboni ICDS Project,सालबोनी आईसीडीएस परियोजना
Raninagar - I,रानीनगर - I
Sandeshkali - I Adl.,संदेशकली - I अडिशनल
Poshan Tracker adds new Reports feature,पोषण ट्रैकर ने नई रिकॉर्ड फीचर जोडा है
Magrahat - II ICDS,मगरहाट - II आईसीडीएस
Lungsen Icds Project,लुंगसेन आईसीडीएस परियोजना
General Awareness about preventing illness in Children,बच्चों में बीमारियों से बचाव के बारे में सामान्य जागरूकता
Demow Icds Project,डेमो I सीडी प्रोजेक्ट
Ratua - I,रतुआ - I
Purulia - II,पुरुलिया - II
Dhar - R,धार - आर
Beneficiaries status change notifications,लाभार्थियों की स्थिति परिवर्तन सूचनाएं
K R Nagar, के. आर. नगर
2. HOW WE USE PERSONAL INFORMATION,2. हम व्यक्तिगत सूचनाओं का उपयोग कैसे करते हैं
Purnia East Rural,पूर्णिया पूर्व ग्रामीण
Ranaghat 2 Ex,राणाघाट 2 एक्स
Careers At Poshan Tracker,पोशन ट्रैकर मे आजीविकाक अवसर
Nichar At Bhabnagar,निचार एट भाबनगर
Underweight Assessment Parameters,कम वजन वाले मूल्यांकन मापदंड
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,कृपया अपना मोबाइल नंबर और टिकट नंबर प्रदान करें।
Kulti (U) ICDS Project,कुल्टी (यू) आईसीडीएस परियोजना
Ludhiana 1 Rural,लुधियाना 1 ग्रामीण
Dinhata - II addl,दिनहाता - II अडिशनल
Please contact your respective Anganwadi worker.,"कृपया, अपने संबंधित आँगनवाडी कार्यकर्ता से संपर्क करें।"
SAM Children under 5 years who received Supplementary Nutrition,5 वर्ष से कम आयु के पूरक पोषण प्राप्त करने वाले SAM से संबंधित बच्चे
Feeding During Illness,बीमारी के दौरान स्तनपान
Ratlam Rural - 2,रतलाम ग्रामीण - 2
Suti - I,सुति - I
Memari - II,मेमारी - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1पेंटावैलेंट-1रोटावायरस वैक्सीन (RVV) -1निष्क्रिय पोलियो वैक्सीन की आंशिक खुराक (fIPV)-1न्यूमोकोकल कंजुगेट वैक्सीन (PCV) -1
Height should be between 38 to 150,ऊँचाई 38 सँ 150 केर बीच होयबाक चाही
How to contact Poshan Tracker Team?,पोशन ट्रैकर समूह से कैसे संपर्क करें?
Rongli Rural Project,रोंगली ग्रामीण परियोजना
