eng,bn
Galsi - II,গলসি - II
MPIN can be easily reset by any AWW/AWC user.,MPIN যে কোনও AWW/AWC ব্যবহারকারী সহজেই রিসেট করতে পারে।
"You are required to click on Forgot MPIN, and enter your registered mobile number.",আপনাকে ভুলে যাওযা MPIN- এ ক্লিক করতে হবে এবং আপনার নিবন্ধিত মোবাইল নম্বর লিখতে হবে।
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,আপনি আপনার নিবন্ধিত মোবাইল নম্বরে পাবেন এবং OTP পাবেন এবং আপনি খুব সহজেই আপনার MPIN পুনরায সেট করতে পারবেন।
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,পোশান ট্র্যাকার হল অঙ্গনওযাডি কর্মীদের তাদের প্রচেষ্টার প্রতিফলন সহ দক্ষতার সাথে পরিষেবা প্রদানের জন্য একটি জব এড।
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,এটি পোশান অভিযানের অধীনে একটি গুরুত্বপূর্ণ এবং সুবিধাভোগী-কেন্দ্রিক পরিষেবা সরবরাহের অ্যাপ্লিকেশন যা বিশ্লেষণ করে রিযেল টাইম ডেটা প্রোমোট করবে
Shahid Bhagat Singh Nagar,শহীদ ভগত সিং নগর
Matigara ICDS Project( Addl ),মাটিগাডা আইসিডিএস প্রকল্প (অ্যাডিশনাল)
Goapokher- II Addl.,গোপোখের- II অ্যাডিশনাল
Sonbhadra Banshi Suryapur,সোনভদ্র বংশী সূর্যপুর
Please enter valid Date of Birth,অনুগ্রহ করে বৈধ জন্ম তারিখ লিখুন
Jugijan Icds Project,জুগিজান আইসিডিএস প্রকল্প
Ketugram - I,কেতুগ্রাম - I
How to revive your Health?,কিভাবে আপনার স্বাস্থ্য পুনরুজ্জীবিত করবেন?
West Garo Hills,পশ্চিম গারো পাহাড
West Singhbhum - Jharkhand,পশ্চিম সিংভূম - ঝাডখণ্ড
Delhi Project 2,দিল্লি প্রকল্প 2
2.2. Communicate with you.,2.2. আপনার সাথে যোগাযোগ করতে।
Who is eligible for additional supplementary food?,কে অতিরিক্ত সম্পূরক খাদ্য পাওযার যোগ্য?
CHAUTH KA BARWARA,চৌথ কা বারওযারা
Namchi Rural Project,নামচি গ্রামীণ প্রকল্প
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","আমরা এই ধরনের পরিবর্তনগুলি সম্পর্কে আপনাকে নির্দিষ্টভাবে অবহিত না করে যেকোন সমযে এই শর্তাবলীর যেকোনো অংশ পরিবর্তন, সংশোধন, যোগ বা অপসারণ করার নিঃশর্ত অধিকার সংরক্ষণ করি।"
Any changes or updates will be effective immediately.,যেকোনো পরিবর্তন বা আপডেট অবিলম্বে কার্যকর হবে।
You take the responsibility to check these Terms of Use periodically for changes.,আপনি পরিবর্তনের জন্য পর্যাযক্রমে এই ব্যবহারের শর্তাবলী চেক করার দাযিত্ব নেন।
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,এই ধরনের পুনর্বিবেচনার পর আপনার ক্রমাগত এই প্ল্যাটফর্মের ব্যবহার পরিবর্তিত শর্তাবলীর স্বীকৃতি গঠন করবে।
Project - Iii,প্রকল্প - 3
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,যদি AWW নিজেকে নিবন্ধন করতে ব্যর্থ হয তবে ২ টি সম্ভাবনা থাকতে পারেঃ   MoWCD-তে রাজ্যগুলির দেওযা ডেটাগুলিতে তাদের মোবাইল নম্বর উপস্থিত নেই   সেগুলি সিস্টেমে নতুনভাবে যুক্ত হযেছে এবং তাদের মোবাইল নম্বর এখনও MoWCD-তে রাজ্য সেল দ্বারা সরবরাহ করা হযনি   উপরোক্ত উভয ক্ষেত্রেই রাষ্ট্রীয নোডাল অফিসারদের যে কোনও MoWCD যোগ / সম্পাদনা / সক্রিয / নিষ্ক্রিয করার ক্ষমতা দেওযা হযেছে।
Bilkhawthlir Icds Project,বিলখাওথলির আইসিডিএস প্রকল্প
No Record to Show,প্রদর্শনের জন্য কোন রেকর্ড নেই
Kailashahar District H.Q,কৈলাশাহর জেলা হেড কোযার্টার
How many different types of reports can be generated over Poshan Tracker Dashboard?,পশান ট্র্যাকার ড্যাশবোর্ডের মাধ্যমে কতগুলি বিভিন্ন ধরণের প্রতিবেদন তৈরি করা যায?
WHO standards are,WHO এর মানদণ্ড
Murarai-II ICDS Project,মুরারাই - II আইসিডিএস প্রকল্প
South East Delhi,দক্ষিণ পূর্ব দিল্লি
Ashoknagar- Kalyangarh (U),অশোকনগর- কল্যাণগড (ইউ)
How to revive your health if you are Severely Wasted (SAM),আপনি মারাত্মকভাবে অপুষ্টির শিকার হলে কীভাবে আপনার স্বাস্থ্যকে পুনরুজ্জীবিত করবেন (SAM)
Baba Belkhar Nath Dham,বাবা বেলখার নাথ ধাম
Firozabad City 2,ফিরোজাবাদ সিটি 2
What is Poshan Calculator,পোশান ক্যালকুলেটর কি
Binpur - I,বিনপুর - I
Ldh Urban 2,এলডিএইচ আরবান 2
"See assessment charts for Stunted, Wasted and Underweight parameters","বৃদ্ধিতে বাধা, অপুষ্টি এবং কম ওজনের পরিমাপের জন্য মূল্যাযন চার্ট দেখুন"
Visit state page,রাজ্য অনুযাযী পৃষ্ঠা দেখুন
Best performing districts,সেরা পারফরম্যান্সকারী জেলা
Sandeshkhali - I,সন্দেশখালী - I
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,AWC একটি নির্দিষ্ট অঙ্গনওযাডি কেন্দ্রে উপস্থিত অবকাঠামো সম্পর্কিত বিশদ লিখতে হবে।
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","এর মধ্যে কাঠামো, মৌলিক সুযোগ-সুবিধা, সুযোগ-সুবিধা, স্যানিটাইজেশন, পানীয জল ইত্যাদি রযেছে।"
Lactating mothers who received Take Home Ration (THR),স্তন্যদানকারী মাযেরা যারা টেক হোম রেশন (THR) পেযেছেন
Balurghat (U),বালুরঘাট (ইউ)
Last updated on,শেষবার আপডেট করা হযেছিল
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","পোশান ট্র্যাকার এই গোপনীযতা নীতির যেকোনো অংশ পরিবর্তন, সংশোধন, যোগ বা অপসারণ করার নিঃশর্ত অধিকার সংরক্ষণ করে, বিশেষভাবে এই ধরনের পরিবর্তনের বিষযে আপনাকে অবহিত না করেই।"
Any changes or updates will be effective immediately.,যেকোনো পরিবর্তন বা আপডেট অবিলম্বে কার্যকর হবে।
You should review this Privacy Policy regularly for changes.,পরিবর্তনের জন্য আপনার এই গোপনীযতা নীতি নিযমিত পর্যালোচনা করা উচিত।
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","আমরা বাণিজ্যিকভাবে যুক্তিসঙ্গত প্রচেষ্টা ব্যবহার করব সাধারণভাবে এই গোপনীযতা নীতিতে যেকোন উপাদান পরিবর্তনের সমস্ত ব্যবহারকারীকে অবহিত করার জন্য, যেমন সিস্টেমে একটি নোটিশের মাধ্যমে।"
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","যদিও, সিস্টেমের একজন ব্যবহারকারী হিসাবে, যেকোনো পরিবর্তনের জন্য আপনার নিযমিত গোপনীযতা নীতি দেখা উচিত।"
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","আমরা এই গোপনীযতা নীতির শীর্ষে ""শেষ আপডেট করা"" তারিখটিও আপডেট করে দেবো, যা এই গোপনীযতা নীতির কার্যকর তারিখকে প্রতিফলিত করে।"
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,নতুন গোপনীযতা নীতির তারিখের পরে আপনার ক্রমাগত অ্যাক্সেস বা সিস্টেমের ব্যবহার নতুন গোপনীযতা নীতিতে আপনার গ্রহণযোগ্যতা তৈরী করে।
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.",আপনি যদি নতুন গোপনীযতা নীতির ব্যাপারে সম্মত না হন তাহলে আপনাকে অবশ্যই সিস্টেম অ্যাক্সেস করা এবং/অথবা ব্যবহার করা বন্ধ করতে হবে।
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","আপনি এতদ্বারা স্বীকার করছেন যে আপনার তথ্যের যেকোনো সংগ্রহ, সঞ্চয, প্রক্রিযাকরণ বা অন্যান্য ব্যবহার এই ধরনের সংগ্রহ, সঞ্চয, প্রক্রিযাকরণ বা অন্যান্য ব্যবহারের সময প্রযোজ্য গোপনীযতা নীতি দ্বারা পরিচালিত হবে।"
JOYNAGAR-II ICDS PROJECT,জযনগর-II আইসিডিএস প্রকল্প
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?
Stunting and Underweight Growth Parameters,স্টান্টিং এবং কম ওজন বৃদ্ধির স্থিতিমাপ
NALHATI-I ICDS PROJECT (NGO),নলহাটি - I আইসিডিএস প্রকল্প (এনজিও)
Enter Height in centimeter,সেন্টিমিটারে উচ্চতা লিখুন
Joynagar - I,জযনগর - I
CDPO OFFICE BATHINDA,সিডিপিও অফিস ভাটিন্ডা
Severely Wasted (SAM),মারাত্মক অপুষ্টি (SAM)
"No, Poshan Tracker is available only for Android version","না , পশান ট্র্যাকারস অ্যাপটি শুধুমাত্র অ্যান্ড্রযেড ভার্সানের জন্য উপলব্ধ।"
Harishchandrapur - I,হরিশ্চন্দ্রপুর - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ক্ষতিপূরণ এবং দাযবদ্ধতার সীমাবদ্ধতা
2.1. Deliver our services.,2.1. আমাদের সেবা প্রদান করতে।
Growth monitoring report for all health indicators,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন
Take Home Ration (THR) given in last 30 days,গত ৩০ দিনের মধ্যে দেওযা হোম রেশন (টিএইচআর) নিন
Please select District,অনুগ্রহ করে জেলা নির্বাচন করুন
District’s Quarterly Performance,জেলার ত্রৈমাসিক পারফরম্যান্স
3.1. Tracking health progress.,3.1. স্বাস্থ্যের উন্নতি ট্র্যাক করা।
Raghunathpur - II,রঘুনাথপুর - II
Kultali ICDS Project,কুলতলী আইসিডিএস প্রকল্প
CDPO Worli Kandivali Urban,সিডিপিও ওযার্লি কান্দিভালি আরবান
Please enter Name,অনুগ্রহ করে নাম লিখুন
Balurghat Rural Ad,বালুরঘাট রুরাল অ্যাড
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,শিশুদের স্টান্টেড হিসাবে তখনই সংজ্ঞাযিত করা হয যখন তাদের বযস অনুযাযী উচ্চতা WHO চাইল্ড গ্রোথ স্ট্যান্ডার্ড মিডিযানের নিচের দুটি স্ট্যান্ডার্ড বিচ্যুতির বেশি হয
South 24 Parganas,দক্ষিণ ২৪ পরগনা
Deoghar Cum Jasidih,দেওগর কাম জাসিদিহ
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","অনুমোদিত সংস্থাগুলি API/ নো-কোড ওযেবপেজ ইন্টিগ্রেশনের মাধ্যমে অ্যাক্সেস করতে সক্ষম এমন কোনও ডেটা পুনরায বিতরণ করবে না এবং নিশ্চিত করবে যে এই ধরনের সমস্ত ডেটার একীকরণ বাধ্যতামূলকভাবে পোশান ট্র্যাকার দ্বারা প্রদত্ত নির্দিষ্ট পরিষেবাগুলির মধ্যে সীমাবদ্ধ থাকবে।।কোনও অবস্থাতেই, কোনও সংস্থা সরকারের পোষণ অভিযানের অংশ হিসাবে সংগৃহীত ডেটা এখানে উল্লিখিত উদ্দেশ্য ছাডা বা সরকার কর্তৃক অনুমোদিত অন্য কোনও উদ্দেশ্যে ছাডা ব্যবহার করবে না।"
Helping make India malnutrition free,ভারতকে অপুষ্টি মুক্ত করতে সহাযতা করছে
General Awareness on Module,মডিউলে সাধারণ সচেতনতা
What is the purpose of Launching Poshan Tracker?,পশান ট্র্যাকার চালু করার উদ্দেশ্য কী?
"As a registered user, you have the right to access your profile at any time.","একজন নিবন্ধিত ব্যবহারকারী হিসাবে, আপনার কাছে যেকোনো সময আপনার প্রোফাইল অ্যাক্সেস করার অধিকার রযেছে।"
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","যদিও, পরিবর্তনগুলি শুধুমাত্র সমযে সমযে পোশান ট্র্যাকার সিস্টেম দ্বারা নির্ধারিত অনুসারেই করা যেতে পারে।"
You cannot manage the communications that you receive from us or how you receive them.,আপনি আমাদের কাছ থেকে যে যোগাযোগগুলি পান আপনি সেগুলি কীভাবে গ্রহণ করবেন আপনি তা পরিচালনা করতে পারবেন না।
View All FAQs,সব প্রাযশ জিজ্ঞাসিত প্রশ্ন (FAQ) দেখুন
Please Select Sector,অনুগ্রহ করে সেক্টর নির্বাচন করুন
Bankura - II,বাঁকুডা - II
Raipur-  Karchulian,রাযপুর- কারচুলিযান
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. আইনের সাথে সম্মতি, তৃতীয পক্ষের অধিকার, এবং পরিষেবার অন্যান্য শর্তাবলী"
"repeated infection, and inadequate psychosocial stimulation","বারবার সংক্রমণ, এবং অপর্যাপ্ত মনোসামাজিক উদ্দীপনা"
Oops!,উফফফফ!
Page Not Found,পৃষ্ঠা খুঁজে পাওযা যাযনি
Beneficiary migration from one AWC to another AWC,এক এডাব্লুসি (AWC) থেকে অন্য এডাব্লুসি (AWC)-তে সুবিধাভোগী স্থানান্তর
Gyalshing Rural Project,গ্যালশিং গ্রামীণ প্রকল্প
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Lohian khas,লোহিযান খাস
Durg ( R ),দুর্গ (আর)
Bagnan - II,বাগনান - II
Lawngtlai ICDS Project,লংটলাই আইসিডিএস প্রকল্প
Date of Birth,জন্ম তারিখ
Nihal Singh Wala,নিহাল সিং ওযালা
CDPO  Yavatmal-(U),সিডিপিও ইযাভাতমাল- (ইউ)
DUM DUM SOUTH,দমদম দক্ষিণ
4:15 PM to 5:15 PM,4: 15 PM থেকে 5: 15 PM
Sagar - U,সাগর - ইউ
About Poshan Tracker,পোশান ট্র্যাকার সম্পর্কে
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","পশান অভিযানের আওতায আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ (২২ ফেব্রুযারি, ২০২১)"
Panskura- II ADDL ICDS,পাঁশকুডা - II অ্যাডিশনাল আইসিডিএস
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in-এ ইমেল পাঠিযে পোশান ট্র্যাকার টিমের সাথে যোগাযোগ করা যেতে পারে।হ্যান্ডহোল্ডিং এবং সাপোর্টের জন্য আমরা রোজ বিকাল 4:15 থেকে বিকাল 5:15 পর্যন্ত ভিডিও কনফারেন্সের মাধ্যমে উপলব্ধ।
Diyung Valley Icds Project,ডিযুং ভ্যালি আইসিডিএস প্রকল্প
South West Delhi,দক্ষিণ পশ্চিম দিল্লি
You may browse the Site without registering for an account.,একটি অ্যাকাউন্ট রেজিস্টার না করেই আপনি সাইটটি ব্রাউজ করতে পারেন।
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",আপনি যদি সাইট দ্বারা অফার করা নির্দিষ্ট বৈশিষ্ট্য বা পরিষেবাগুলি ব্যবহার করতে চান তবে আপনাকে আপনার মোবাইল নম্বর দিযে একটি অ্যাকাউন্ট রেজিস্টার করতে হবে।
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","এই শর্তাদি গ্রহন করে, আপনি স্পষ্টভাবে আপনার পরিচয তথ্য (আধার বিবরণ সহ) এবং আপনার অ্যাকাউন্টে নিবন্ধিত অন্যান্য সদস্যদের ব্যবহার করার জন্য আমাদের অনুমোদন করতে সম্মত হন।"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,আপনার ব্যক্তিগত তথ্য এবং রেজিস্ট্রেশনের গোপনীযতা বজায রাখার জন্য এবং এই তথ্য সুরক্ষিত রাখতে আপনার ব্যর্থতার ফলে হতে পারে এমন সমস্ত কার্যকলাপের জন্য আপনি সম্পূর্ণরূপে দাযী।
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,আপনার রেজিস্ট্রেশন বা মোবাইল নম্বর গোপন রাখা হবেআপনি এটি গ্রহণ করেনঃআপনি আপনার অ্যাকাউন্টের মাধ্যমে তাদের রেকর্ড তৈরি করার জন্য সংশ্লিষ্ট ব্যক্তিদের কাছ থেকে সম্মতি পেযেছেন।
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,আপনার অ্যাকাউন্ট বা মোবাইল নম্বরে সেই ব্যক্তির ছদ্মবেশী করার অভিপ্রায সহ অন্য ব্যক্তির নাম অন্তর্ভুক্ত করা উচিত নয।
You shall not use another user's account without their permission.,আপনি তাদের অনুমতি ছাডা অন্য ব্যবহারকারীর অ্যাকাউন্ট ব্যবহার করবেন না।
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",আপনি যদি আপনার অ্যাকাউন্টের কোনও অননুমোদিত ব্যবহার বা অন্য কোনও অ্যাকাউন্ট-সম্পর্কিত নিরাপত্তা লঙ্ঘন দেখতে পান তবে আপনি অবিলম্বে আমাদের লিখিতভাবে অবহিত করবেন।
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",যদি আমরা এমন কোনও অভিযোগ পাই যে আপনার অ্যাকাউন্ট অন্য কারও অধিকার লঙ্ঘন করে বা আমাদের নীতিগুলি লঙ্ঘন করে তবে আমরা আপনার অ্যাকাউন্টটি বাতিল বা অবরুদ্ধ করতে পারি।
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","আপনি একাধিক ইন্টারনেট প্রোটোকল ঠিকানা বা মোবাইল নম্বর ব্যবহার করে বা অন্য কোনও উপাযে, সাইটে অংশগ্রহণকারীদের নিবন্ধন করার জন্য আপনার পরিচয গোপন করার চেষ্টা করবেন না"
What is  MPIN?,MPIN কী?
Rongmongwe & Samelangso Icds Project,রংমংওযে এবং স্যামেলঙ্গসো আইসিডিএস প্রকল্প
Pakabetbari Icds Project,পাকাবেতবারি আইসিডিএস প্রকল্প
Please Select Reported By,অনুগ্রহ করে নির্বাচন করুন রিপোর্ট করা হযেছে
Kaliachak - III,কালিযাচক - III
Dakshin Bastar Dantewada,দক্ষিণ বস্তর দান্তেওযাদা
Cdpo Proj No-1,সিডিপিও প্রকল্প নং -1
Berhampur (U) - II,বেরহামপুর (ইউ)- II
Enter Mobile Number,মোবাইল নম্বর লিখুন
"Project-3, Palanganatham, Madurai","প্রজেক্ট- 3, পালঙ্গানাথম, মাদুরাই"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"পশান ট্র্যাকার অ্যাপ্লিকেশনটি ২২ টি বিভিন্ন ভাষায উপলভ্য।উপলব্ধ, ভাষাগুলি হলঃ ইংরেজিহিন্দিগুজরাটিপাঞ্জাবিমারাঠিকান্নাডাতামিলতেলেগুমালাযালামওডিযাঅসমীযাNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri"
AWC Vaccination Trends,এডব্লিউসি (AWC) টিকাকরণ প্রবণতা
Jhalda - I,ঝালদা - I
Reiek ICDS Project,রিইক আইসিডিএস প্রকল্প
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","পোশন ট্র্যাকার অ্যাপ্লিকেশনটির উদ্দেশ্য হ'ল অঙ্গনবাদী কেন্দ্রের (এডাব্লুসি) কার্যক্রমের একটি -৮০ ডিগ্রি ভিউ, অঙ্গনওযাডি কর্মীদের সেবা সরবরাহ এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা ও শিশুদের জন্য সম্পূর্ণ সুবিধাভোগী ব্যবস্থাপনার ব্যবস্থা করা।"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","প্রস্তাবিত সিস্টেমে সংশোধিত সূচকগুলিতে সমস্ত এডাব্লুসি, এডাব্লুডাব্লু এবং উপকারভোগীদের রিযেল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।"
Current Month Performance,বর্তমান মাসের পারফরম্যান্স
Rjn Gramin 02,আরজেএন গ্রামিন 02
How to Login in Poshan Tracker App?,কিভাবে পশান ট্র্যাকার অ্যাপে লগইন করবেন?
Height and weight of child has not been measured,শিশুর উচ্চতা ও ওজন পরিমাপ করা হযনি
PM’s Program Districts,প্রধানমন্ত্রীর কর্মসূচি জেলাসমূহ
Kaliachak - I,কালিযাচক - I
Jagatballav pur ICDS,জগৎবল্লভ পুর আইসিডিএস
CDPO Civil Washim,সিডিপিও সিভিল ওযাশিম
Terms of Service,পরিষেবা পাওযার শর্ত
2.5. Research and operational activities.,2.5. গবেষণা এবং প্রক্রিযাগত কার্যক্রম।
Tufanganj I Addl,তুফানগঞ্জ I অ্যাডিশনাল
CANNING II ADDITIONAL,ক্যানিং II অ্যাডিশনাল
Jhalda - II,ঝালদা - II
Gomariguri Icds Project,গোমারিগুরি আইসিডিএস প্রকল্প
Best performing states (National Best),সেরা পারফরম্যান্সকারী রাজ্য (জাতীয শ্রেষ্ঠ)
Siddharth Nagar City,সিদ্ধার্থ নগর সিটি
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO চাইল্ড গ্রোথ স্ট্যান্ডার্ডের উপর ভিত্তি করে শিশুর বৃদ্ধি পরিমাপ করার জন্য ক্যালকুলেটর.
Sonarpur ICDS Project,সোনারপুর আইসিডিএস প্রকল্প
"Td1, 2 or Td Booster***","Td1, 2 বা Td বুস্টার***"
North East Delhi,উত্তর পূর্ব দিল্লি
Sri Muktsar Sahib,শ্রী মুক্তার সাহেব
North West Jorhat,উত্তর পশ্চিম জোরহাট
Raninagar - II,রাণীনগর - II
TAKE HOME RATION (THR) GIVEN TODAY,আজ গৃহীত হোম রেশন (টিএইচআর) নিন
Beneficiaries Registered Today,সুবিধাভোগী আজ নিবন্ধিত
A beneficiary is eligible for THR for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য THR পাওযার যোগ্য।
Bhatpara II (U),ভাটপাডা II (ইউ)
Cooch Behar II Addl,কোচবিহার II অ্যাডিশনাল
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. শর্তাবলীর ভবিষ্যত পরিবর্তন সংক্রান্ত বিজ্ঞপ্তিঃ
Planning And Organising Community Based Events At AWC,AWC-তে কমিউনিটি ভিত্তিক ইভেন্টের পরিকল্পনা ও আযোজন
 VII. INTELLECTUAL PROPERTY RIGHTS, VII. বৌদ্ধিক সম্পত্তির অধিকার
GOSABA ICDS MAIN,গোসাবা আইসিডিএস প্রধান
Growth monitoring charts,বৃদ্ধি পর্যবেক্ষণ চার্ট
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
Step 3- Click on Login,Step 3- Click on Login
Dankhora - Hasanganj,ডানখোরা - হাসানগঞ্জ
Frequently Asked Questions,সচরাচর জিজ্ঞাস্য প্রশ্ন
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWW-রা তাদের মোবাইল নম্বরগুলির মাধ্যমে নিবন্ধন করতে অক্ষম হলে কীভাবে অ্যাপটিতে সাইন আপ করতে পারে?
Salboni ICDS Project,সালবনি আইসিডিএস প্রকল্প
Raninagar - I,রাণীনগর - I
Sandeshkali - I Adl.,সন্দেশকালী - I অ্যাডিশনাল
Poshan Tracker adds new Reports feature,পোশান ট্র্যাকার একটি নতুন রিপোর্ট বৈশিষ্ট্য যোগ করেছে
Magrahat - II ICDS,মগরাহাট - II আইসিডিএস
Lungsen Icds Project,লুংসেন আইসিডিএস প্রকল্প
General Awareness about preventing illness in Children,শিশুদের অসুস্থতা প্রতিরোধ সম্পর্কে সাধারণ সচেতনতা
Demow Icds Project,ডেমো আইসিডিএস প্রকল্প
Ratua - I,রাতুযা - I
Purulia - II,পুরুলিযা - II
Dhar - R,ধার - আর
Beneficiaries status change notifications,সুবিধাভোগীদের অবস্থা পরিবর্তন বিষযক নোটিফিকেশন
K R Nagar,কে আর নগর
2. HOW WE USE PERSONAL INFORMATION,2. আমরা কীভাবে ব্যক্তিগত তথ্য ব্যবহার করি
Purnia East Rural,পূর্ণিযা পূর্ব রুরাল
Ranaghat 2 Ex,রানাঘাট 2 এক্স
Careers At Poshan Tracker,পোশান ট্র্যাকারে ক্যারিযার
Nichar At Bhabnagar,"নিছার, ভাবনগর"
Underweight Assessment Parameters,কম ওজনের মূল্যাযন পরামিতি
Welcome!,Welcome!
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,আপনার মোবাইল নম্বর এবং একটি টিকিট নম্বর প্রদান করুন।
Kulti (U) ICDS Project,কুলটি (ইউ) আইসিডিএস প্রকল্প
Ludhiana 1 Rural,লুধিযানা 1 রুরাল
Dinhata - II addl,দিনহাটা - II অ্যাডিশনাল
Please contact your respective Anganwadi worker.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওযাডি কর্মীর সাথে যোগাযোগ করুন।
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 বছরের কম বযসী শিশুরা যারা সম্পূরক পুষ্টি পেযেছে
Feeding During Illness,অসুস্থতার সময খাওযানো
Ratlam Rural - 2,রতলাম রুরাল - 2
Suti - I,সুটি - I
Memari - II,মেমারি - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1পেন্টাভ্যালেন্ট-1রোটাভাইরাস ভ্যাকসিন (RVV)-1নিষ্ক্রিয পোলিও ভ্যাকসিনের ফ্র্যাকশানাল ডোজ (fIPV)-1নিউমোকোকাল কনজুগেট ভ্যাকসিন (পিসিভি)-1
Height should be between 38 to 150,উচ্চতা 38 থেকে 150-এর মধ্যে হওযা উচিত
