eng,as
We may change the Content and features of the Site at any time.,আমি যিকোনো সমযযত চাইটটোৰ কন্টেন্ট আৰু বৈশিষ্ট্য সলনি কৰিব পাৰো।
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","চাইটটোত প্ৰদৰ্শিত পঞ্জীকৃত আৰু অপঞ্জীকৃত ট্ৰেডমাৰ্ক, ল'গ', আৰু চাৰ্ভিচ মাৰ্ক সমূহ আমাৰ বা আমাৰ লাইচেঞ্চৰ সকলৰ দ্বাৰা স্বত্বাধীন।"
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","আপুনি আমাৰ অগ্ৰাধিকাৰপ্ৰাপ্ত লিখিত অনুমতিৰ অবিহনে কোনো ধৰণে আমাৰ ট্ৰেডমাৰ্ক, ল'গ', আৰু চাৰ্ভিছ মাৰ্ক ব্যৱহাৰ কৰিব নোৱাৰে।"
Material featured on this website may be reproduced free of charge.,এই ৱেবচাইটত সংযোজিত মেটেৰিযাল সমূহ বিনামূলীযাকৈ পুনৰ্গঠন কৰিব পৰা যায।
"However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","অৱশ্যে, চাইটটোৰ কোনো অংশ বা কন্টেন্ট আন কোনো কম্পিউটাৰ, চাৰ্ভাৰ, ৱেবচাইট বা প্ৰকাশৰ আন কোনো মাধ্যমত অসন্মানজনক ভাৱে বা ভ্ৰান্তিজনক পৰিস্থিতিত কপি, পুনৰ প্ৰকাশ, পুনৰ্গঠন, আপলোড, পোষ্ট, ৰাহুৱাভাৱে প্ৰদৰ্শন, এনকোড, অনুবাদ, প্ৰেৰণ বা বিতৰণ কৰিব নোৱাৰে।"
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","আপুনি প্ৰদান কৰা চাইটটোত উপলব্ধ তথ্য ব্যৱহাৰ কৰিব পাৰে যাক আপুনি (1) মাত্ৰ আপোনাৰ ব্যক্তিগত, অ-বানিজ্যিক তথ্যমূলক উদ্দেশ্যে এনে তথ্য ব্যৱহাৰ কৰিব পাৰে আৰু এনে তথ্য কোনো নেটৰ্কযুক্ত কম্পিউটাৰত কপি বা পেষ্ট কৰিব বো যিকোনো মাধ্যমত সম্প্ৰচাৰ কৰিব নোৱাৰে, (2) এনে কোনো তথ্য আৰু এনে নথি আৰু কন্টেন্টৰে সম্পৰ্কিত কোনো অতিৰিক্ত উপস্থাপন বা ৱাৰেন্টিৰ সাল-সলনি কৰিব নোৱাৰে।"
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","য'তেই মেটেৰিযেলটো আন কৰবাত প্ৰকাশ হৈছে বা জাৰি হৈছে, উৎসটোক গুৰুত্ব সহকাৰে স্বীকৃতি প্ৰদান কৰিব লাগিব।"
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.",অৱশ্যে এই মেটেৰিযেল পুনৰ্গঠন কৰাৰ অনুমতি আন কোনো মেটেৰিযেললৈ প্ৰসাৰিত নহয যি এটা তৃতীয পক্ষৰ কপিৰাইট থকা হিচাপে চিনাক্ত হয।
Galsi - II,গালচি - II
MPIN can be easily reset by any AWW/AWC user.,MPIN যিকোনো AWW/AWC ব্যৱহাৰকাৰীৰ দ্বাৰা সহজে পুনঃস্থাপন কৰিব পাৰি।
"You are required to click on Forgot MPIN, and enter your registered mobile number.","আপুনি পাহৰি যোৱা MPIN-ত ক্লিক কৰিব লাগিব, আৰু আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰ প্ৰবিষ্ট কৰিব লাগিব।"
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,আপুনি আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰত প্ৰাপ্ত কৰিব আৰু OTP প্ৰাপ্ত কৰিব আৰু আপুনি আপোনাৰ MPIN পুনঃস্থাপন কৰিব পাৰে।
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,পোষণ ট্ৰেকাৰ হৈছে অংগনৱাডী কৰ্মীসকললৈ তেওঁলোকৰ প্ৰযাসৰ প্ৰতিফলনৰ সৈতে সেৱাৰ খৰতকীযা আৰু নিখুঁত ডেলিভাৰীৰ বাবে এটা কৰ্ম-আহিলা।
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,ই পোষণ অভিযানৰ অধীনত এটা গুৰুত্বপূৰ্ণ আৰু হিতাধিকাৰী কেন্দ্ৰিক সেৱা ডেলিভাৰী এপ্লিকেচন যি বিশ্লেষণৰ সৈতে বাস্তৱ সমযৰ তথ্য প্ৰচাৰ কৰে
Shahid Bhagat Singh Nagar,শ্বহীদ ভগত সিং নগৰ
Matigara ICDS Project( Addl ),মাটিগাৰা আইচিডিএছ প্ৰকল্প (এডল)
Goapokher- II Addl.,গোৱাপোখৰ- II এডল।
Sonbhadra Banshi Suryapur,সোনভদ্ৰ বংশী সূৰ্যপুৰ
Please enter valid Date of Birth,অনুগ্ৰহ কৰি বৈধ জন্ম তাৰিখ প্ৰদান কৰক
Jugijan Icds Project,জুগিজান আইচিডিএছ প্ৰকল্প
Ketugram - I,কেতুগ্ৰাম - I
How to revive your Health?,আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুজ্জীৱিত কৰিব?
West Garo Hills,পশ্চিম গাৰো হিলছ
West Singhbhum - Jharkhand,পশ্চিম সিংভূম - ঝাৰখণ্ড
Delhi Project 2,দিল্লী প্ৰকল্প 2
2.2. Communicate with you.,2.2. আপোনাৰ সৈতে যোগাযোগ কৰা।
Who is eligible for additional supplementary food?,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য?
CHAUTH KA BARWARA,চৌথ কা বৰৱাৰা
Namchi Rural Project,নামচি গ্ৰাম্য প্ৰকল্প
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","আমি আপোনাক বিশেষভাৱে জাননী প্ৰদান নকৰাকৈ যিকোনো সমযত এই চৰ্তাৱলী সমূহৰ যিকোনো অংশ সলনি, মডিফাই, যোগ, বা আঁতৰ কৰাৰ চৰ্তবিহীন অধিকাৰ আৰক্ষণ কৰো।"
Any changes or updates will be effective immediately.,যিকোনো সাল-সলনি বা আপডেট তৎক্ষণাৎ কাৰ্যকৰী হ'ব।
You take the responsibility to check these Terms of Use periodically for changes.,আপুনি এই ব্যৱহাৰৰ চৰ্তাৱলী সমূহৰ সাল-সলনি সমযে সমযে পৰীক্ষা কৰিবলৈ দাযিত্ব গ্ৰহণ কৰিছে।
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,এনে সংশোধনৰ পিছত আপুনি অব্যাহত ৰখা প্লেটফৰ্মৰ ব্যৱহাৰ সেই সংশোধিত চৰ্তাৱলীৰ স্বীকৃতিক নিযুক্ত কৰিব।
Project - Iii,প্ৰকল্প - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,কোনো ক্ষেত্ৰত যদি AWW যে তেওঁলোকে নিজেই পঞ্জীযন কৰিবলৈ অসফল হয তাত ২ টা সম্ভাৱনা আছেঃৰাজ্যসমূহে MoWCD -ক প্ৰদান কৰা তথ্যত তেওঁলোকৰ ম'বাইল নম্বৰ নাই।সেইবোৰ নতুনকৈ ছিষ্টেমত যোগ দিযা হৈছে আৰু তেওঁলোকৰ ম'বাইল নম্বৰ ৰাজ্যিক কোষে এতিযাও MoWCD -ক প্ৰদান কৰা নাই।ওপৰোক্ত দুযোটা ক্ষেত্ৰতে ৰাজ্যিক নোডেল বিষযাসকলক AWWৰ যিকোনো এটা যোগ/সম্পাদনা/সক্ৰিয/নিষ্ক্ৰিয কৰাৰ ক্ষমতা দিযা হয।
Bilkhawthlir Icds Project,বিলখাৱথলিৰ আইচিডিএছ প্ৰকল্প
No Record to Show,দেখুৱাবলৈ কোনো ৰেকৰ্ড নাই
Kailashahar District H.Q,কৈলাশহৰ জিলা এইচ. কিউ.
How many different types of reports can be generated over Poshan Tracker Dashboard?,পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ডৰ যোগেৰে কেইটা বিভিন্ন প্ৰকাৰৰ প্ৰতিবেদন সৃষ্টি কৰিব পাৰি?
WHO standards are,WHO মান সমূহ হৈছে
Murarai-II ICDS Project,মুৰাৰাই-II আইচিডিএছ প্ৰকল্প
South East Delhi,দক্ষিণ পূৱ দিল্লী
Ashoknagar- Kalyangarh (U),অশোকনগৰ- কল্যাণগড (ইউ)
How to revive your health if you are Severely Wasted (SAM),যদি আপুনি গুৰুতৰভাৱে পুষ্টিহীনতাত (SAM) ভুগিছে আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব
Baba Belkhar Nath Dham,বাবা বেলখৰ নাথ ধাম
Firozabad City 2,ফিৰোজাবাদ চিটি 2
What is Poshan Calculator,পোষণ কেলকুলেটৰ কি
Binpur - I,বিনপুৰ - I
Ldh Urban 2,এলডিএইচ আৰ্বান 2
"See assessment charts for Stunted, Wasted and Underweight parameters","চাপৰ, পুষ্টিহীন আৰু কম ওজনৰ পেৰামিটাৰ সমূহৰ বাবে মূল্যাযনৰ তালিকা চাওক"
Best performing districts,শ্ৰেষ্ঠ প্ৰদৰ্শনকাৰী জিলা
Sandeshkhali - I,সন্দেশখালি - I
Resources for growth monitoring and general awareness,বিকাশ নিৰীক্ষণ আৰু সাধাৰণ সজাগতাৰ বাবে সম্পদ
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.This includes structure, basic amenities, facilities, sanitization, drinking water etc.","AWWযে এটা নিৰ্দিষ্ট অংগনৱাডী কেন্দ্ৰত উপস্থিত আন্তঃগাঁথনি সম্পৰ্কীয বিৱৰণ প্ৰবিষ্ট কৰিব লাগিব।ইযাত অন্তৰ্ভুক্ত থাকে গাঁথনি, মৌলিক সুবিধা, স্বচ্ছত্বা, খোৱাপানী ইত্যাদি।চেনিটাইজেচন, খোৱা পানী ইত্যাদি।"
Lactating mothers who received Take Home Ration (THR),স্তন্যপান কৰোৱা মহিলা যি টেক হোম ৰেচন (THR) লাভ কৰিছে
Balurghat (U),বালুৰঘাট (ইউ)
Last updated on,অন্তিমবাৰ আপডেট হৈছিল
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","পোষণ ট্ৰেকাৰে আপোনাক বিশেষভাৱে জাননী প্ৰদান নকৰাকৈ যিকোনো সমযত এই চৰ্তাৱলী সমূহৰ যিকোনো অংশ সলনি, মডিফাই, যোগ, বা আঁতৰ কৰাৰ চৰ্তবিহীন অধিকাৰ আৰক্ষণ কৰে।"
Any changes or updates will be effective immediately.,যিকোনো সাল-সলনি বা আপডেট তৎক্ষণাৎ কাৰ্যকৰী হ'ব।
You should review this Privacy Policy regularly for changes.,আপুনি সাল-সলনি সমূহৰ বাবে এই গোপনীযতাৰ নীতি নিযমিতভাৱে পুনৰীক্ষণ কৰিব লাগিব।
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","আমি এই গোপনীযতাৰ নীতিৰ যিকোনো মেটেৰিযেলৰ সাল-সলনিৰ বিষযে সকলো ব্যৱহাৰকাৰীক সাদাৰণভাৱে জনাবলৈ বানিজ্যিকভাৱে যুক্তিযুক্ত প্ৰযাস মূহ ব্যৱহাৰ কৰো, যেনে চিষ্টেমৰ ওপৰত এখন জাননীৰ জৰিযতে।"
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","অৱশ্যে চিষ্টেমটোৰ এগৰাকী ব্যৱহাৰকাৰী হিচাপে, আপুনি যিকোনো সাল-সলনিৰ বাবে গোপনীযতাৰ নীতি নিযমিতভাৱে পৰীক্ষা কৰিব লাগিব।"
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","আমি এই গোপনীযতা নীতিৰ একবাৰে শীৰ্ষ স্থানত ""শেষৰবাৰ আপডেট"" কৰা তাৰিখ আপডেট কৰিম, যি এই গোপনীযতাৰ নীতিৰ কাৰ্যকৰী তাৰিখ প্ৰতিফলিত কৰে।"
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,নতুন গোপনীযতাৰ নীতিৰ তাৰিখৰ পিছত চিষ্টেমটোত আপুনি অব্যাহত ৰখা প্ৰৱেশ বা ব্যৱহাৰত নতুন গোপনীযতাৰ নীতিৰ প্ৰতি আপোনাৰ সন্মতিক প্ৰতিষ্ঠা কৰে।
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","যদি আপুনি নতুন গোপনীযতাৰ নীতিত সন্মত নহয, আপুনি চিষ্টটেমটো প্ৰৱেশ কৰা আৰু/ বা ব্যৱহাৰ কৰা বন্ধ কৰিব লাগিব।"
"You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","আপুনি এনেদৰে মানি লৈছে যে আপোনাৰ তথ্য সমূহৰ যিকোনো সংগ্ৰহ, জমা, প্ৰচেছিং বা আন ব্যৱহাৰ এনে সংগ্ৰহ, জমা, প্ৰচেছিং বা আন ব্যৱহাৰৰ সমযত প্ৰযোজ্য গোপনীযতাৰ নীতিৰ দ্বাৰা পৰিচালিত হয।"
JOYNAGAR-II ICDS PROJECT,জযনগৰ-II আইচিডিএছ প্ৰকল্প
What is the eligibility of a beneficiary?,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Stunting and Underweight Growth Parameters,ষ্টান্টিং আৰু কম ওজন বিকাশৰ মাপকাঠি
NALHATI-I ICDS PROJECT (NGO),নালহাটি-I আইচিডিএছ প্ৰকল্প (এনজিঅ')
Enter Height in centimeter,উচ্চতা চেন্টিমিটাৰত প্ৰদান কৰক
Joynagar - I,জযনগৰ - I
CDPO OFFICE BATHINDA,চিডিপিঅ' অফিচ বাথিণ্ডা
Severely Wasted (SAM),গুৰুতৰভাৱে পুষ্টিহীন (SAM)
"No, Poshan Tracker is available only for Android version","নাই, পোষণ ট্ৰেকাৰ কেৱল এণ্ড্ৰইড সংস্কৰণৰ বাবে উপলব্ধ।"
Harishchandrapur - I,হৰিশ্চন্দ্ৰপুৰ - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ক্ষতিপূৰণ আৰু দাযবদ্ধতাৰ সীমাবদ্ধতা
2.1. Deliver our services.,2.1. আমাৰ সেৱাসমূহ আগবঢোৱা।
Growth monitoring report for all health indicators,সকলো স্বাস্থ্য সূচকৰ বাবে বিকাশ নিৰীক্ষণ প্ৰতিবেদন
Take Home Ration (THR) given in last 30 days,টেক হোম ৰেচন (টিএইচআৰ) শেষৰ ৩০ দিনত  দিযা হয
Please select District,অনুগ্ৰহ কৰি জিলা নিৰ্বাচন কৰক
District’s Quarterly Performance,জিলাৰ তিনিমহীযা প্ৰদৰ্শন
3.1. Tracking health progress.,3.1. স্বাস্থ্যৰ বিকাশ ট্ৰেক কৰা।
Raghunathpur - II,ৰঘুনাথপুৰ - II
Kultali ICDS Project,কুলতালি আইচিডিএছ প্ৰকল্প
CDPO Worli Kandivali Urban,চিডিপিঅ' ৱৰ্লি কান্দিভালী নগৰীযা
Please enter Name,অনুগ্ৰহ কৰি নাম প্ৰবিষ্ট কৰক
Balurghat Rural Ad,বালুৰঘাট গ্ৰাম্য বিজ্ঞাপন
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,শিশুসকলক বৃদ্ধি নোহোৱা বুলি সংজ্ঞাযিত কৰা হয যদি তেওঁলোকৰ বযস অনুসৰি উচ্চতা WHO শিশু বিকাশ মানৰ মধ্যমাৰ তলত দুই আদৰ্শ মান বিচ্যুতিতকৈ অধিক হয
South 24 Parganas,দক্ষিণ ২৪ পৰগানা
Deoghar Cum Jasidih,দেওঘৰ কাম জছিদিহ
Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.,কৰ্তৃত্বপ্ৰাপ্ত সংস্থা সমূহে কোনো তথ্য পুনৰ বিতৰণ কৰিব নোৱাৰে যাক তেওঁলোকে API/ কোড-বিহীন ৱেবপেজ ইন্টিগ্ৰেচনৰ জৰিযতে লাভ কৰিবলৈ সক্ষম হয আৰু নিশ্চিত কৰিব যে এনে সকলোবোৰ তথ্যৰ চামিলকৰণ পোষণ ট্ৰেকাৰৰ দ্বাৰা আগবঢোৱা নিৰ্দিষ্ট সেৱা সমূহৰ প্ৰতি বাধ্যতামূলকভাৱে সীমাৱদ্ধ।
"Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","কোনো পৰিস্থিতিতে, এটা সংস্থাই ইযাত উল্লেখিত কাৰণ আৰু চৰকাৰৰ অনুমোদনৰ বাহিৰে চৰকাৰৰ পোষণ অভিযানৰ এটা অংশ হিচাপপে সংগ্ৰহ কৰা তথ্য সমূহ ব্যৱহাৰ কৰিব নোৱাৰে।"
Helping make India malnutrition free,ভাৰতক পুষ্টিহীনতা মুক্ত কৰাত সহায কৰা
General Awareness on Module,মডিউলৰ ওপৰত সাধাৰণ সজাগতা
What is the purpose of Launching Poshan Tracker?,পোষণ ট্ৰেকাৰ আৰম্ভ কৰা উদ্দেশ্যে কি?
"As a registered user, you have the right to access your profile at any time.","এগৰাকী পঞ্জীকৃত বযৱহাৰকাৰী হিচাপে, আপোনাৰ যিকোনো সমযত আপোনাৰ প্ৰফাইলৰ প্ৰৱেশাধিকাৰ লাভৰ অদিকাৰ আছে।"
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","যদিও, সাল-সলনি সমূহ পোষণ ট্ৰেকাৰ চিষ্টেমৰ দ্বাৰা নিৰ্ধাৰিত অনুসৰিহে সম্পন্ন কৰিব পাৰি।"
You cannot manage the communications that you receive from us or how you receive them.,আপুনি আমাৰ পৰা লাভ কৰা যোগাযোগ সমূহ বা সেইবোৰ আপুনি কেনেদৰে লাভ কৰিব তাক নিযন্ত্ৰণ কৰিব নোৱাৰে।
View All FAQs,সকলো FAQ সমূহ দৰ্শন কৰক
Please Select Sector,অনুগ্ৰহ কৰি খণ্ড বাছনি কৰক
Bankura - II,বাংকুৰা - II
Raipur-  Karchulian,ৰাযপুৰ- কাৰচুলিযান
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. আইন, তৃতীয পক্ষৰ অধিকাৰ, আৰু সেৱাৰ আন চৰ্তাৱলী সমূহৰ সৈতে সন্মতি"
"repeated infection, and inadequate psychosocial stimulation","ঘনাই হোৱা সংক্ৰমণ, আৰু অনুপযুক্ত মনস্তাত্ত্বিক উদ্দীপনা"
Oops!,উপস!
Page Not Found,পেজ নোট ফাউন্ড
Beneficiary migration from one AWC to another AWC,বেনিফিচাৰীৰ প্ৰব্ৰজন এটা  AWC ৰ পৰা আন  AWC লৈ
Gyalshing Rural Project,গিযালশ্বিং গ্ৰাম্য প্ৰকল্প
ABHA (Health ID),ABHA (হেল্থ আইডি)
Lohian khas,লোহিযান খাচ
Durg ( R ),দূৰ্গ (আৰ)
Bagnan - II,বাগনান - II
Lawngtlai ICDS Project,লংটলাই আইচিডিএছ প্ৰকল্প
Date of Birth,জন্মৰ তাৰিখ
Nihal Singh Wala,নিহাল সিং ৱালা
CDPO  Yavatmal-(U),চিডিপিঅ যাৱতমাল-(ইউ)
DUM DUM SOUTH,ডিইউএম ডিইউএম দক্ষিণ
4:15 PM to 5:15 PM,4:15 PM ৰ পৰা 5:15 PM
Sagar - U,সাগৰ - ইউ
About Poshan Tracker,পোচন ট্ৰেকাৰৰ বিষযে
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","পোষণ অভিযানৰ অধীনত আই. চি. টি প্লেটফৰ্মৰ ওপৰত প্ৰশিক্ষণ (০২ ফেব্ৰুৱাৰী, ২০২১)"
Panskura- II ADDL ICDS,পান্সকুৰা- II এডিএল আইচিডিএছ
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in-ত ইমেইল প্ৰেৰণ কৰি পোষণ ট্ৰেকাৰ টীমক যোগাযোগ কৰিব পাৰি।সহায আৰু সহযোগিতাৰ বাবে আমি প্ৰতি দিনে ভিডিঅ' কনফাৰেঞ্চতো 4:15 PM ৰ পৰা 5:15 PM লৈ উপলব্ধ থাকো।।
Diyung Valley Icds Project,ডিযুং ভেলী আইচিডিএছ প্ৰকল্প
South West Delhi,দক্ষিণ পশ্চিম দিল্লী
You may browse the Site without registering for an account.,আপুনি হযতো চাইটটো এটা একাাউন্ট পঞ্জীযন নকৰাকৈ ব্ৰাউজ কৰি আছে।
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","যদি আপুনি চাইটটোৰ দ্বাৰা আগবঢোৱা কিছুমান নিৰ্দিষ্ট বৈশিষ্ট্য বা সেৱা ব্যৱহাৰ কৰিবলৈ মন কৰে, আপুনি আপোনাৰ মোবাইল নম্বৰৰ সৈতে এটা একাউন্টৰ বাবে পঞ্জীযন কৰিব লাগিব।"
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","এই চৰ্তাৱলী সমূহ মানি লোৱাৰ দ্বাৰা, আপুনি আপোনাৰ পৰিচযৰ তথ্য (আধাৰৰ তথ্যকে ধৰি) আৰু লগতে আপোনাৰ একাউন্টত পঞ্জীকৃত আন সকলো সদস্যৰ তথ্যও বযৱহাৰ কৰিবলৈ আমাক নিশ্চিতভাৱে কৰ্তৃত্ব প্ৰদান কৰিবলৈ সন্মত হৈছে।"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,আপুনি আপোনাৰ ব্যক্তিগত তথ্য আৰু পঞ্জীযন আৰু সকলো ক্ৰিযা-কলাপৰ গোপনীযতা বৰ্তাই ৰখাৰ বাবে সম্পূৰ্ণৰূপে দাযৱদ্ধ যাৰ ফলত হযতো আপোনাৰ পৰা এই তথ্য সুৰক্ষিত কৰি ৰখাত ব্যৰ্থ হ'ব পাৰে।
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,আপোনাৰ পঞ্জীযন বা মোবাইল নম্বৰ গোপনে ৰখা হ'বআপুনি সন্মত হৈছে যেঃআপুনি আপোনাৰ একাউন্টৰ জৰিযতে সেইবোৰৰ ৰেকৰ্ড সমূহ প্ৰস্তুত কৰিবলৈ সংশ্লিষ্ট লোকসকলৰ পৰা অনুমোদন লাভ কৰিছে।
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,আপোনাৰ একাউন্ট বা মোবাইল নম্বৰত সেই লোকজনক আনৰ ভূমিকাত তুলি ধৰিবলৈ মন কৰি আন এজন লোকৰ নাম সন্নিৱিষ্ট কৰা নাই।
You shall not use another user's account without their permission.,আপুনি আন এগৰাকী ব্যৱহাৰকাৰীৰ একাউন্ট তেওঁলোকৰ অনুমতি অবিহনে ব্যৱহাৰ নকৰে।
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","যদি আপুনি আপোনাৰ একাউন্টৰ কোনো অকৰ্তৃত্বপ্ৰাপ্ত ব্যৱহাৰ বা আন একাউন্ট সম্পৰ্কিত সুৰক্ষামূলক উলংঘন দেখা পায, তৎক্ষণাৎ আমালৈ লিখিত ৰূপত জনাওক।"
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","যদি আমি এটা অভিযোগ লাভ কৰো যে আপোনাৰ একাউন্টে আন কোনো লোকৰ অধিকাৰ উলংঘন কৰিছে, বা আমাৰ নীতি সমূহ উলংঘন কৰিছে আমি হযতো আপোনাৰ একাউন্ট বাতিল বা ব্লকো কৰিব পাৰো।"
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","আপুনি একাধিক ইন্টাৰনেট প্ৰট'কল এড্ৰেছ বা মোবাইল নম্বৰ ব্যৱহাৰ কৰি, বাা আন কোনো মাধ্যমেৰে, চাইটটোত অংশগ্ৰহণকাৰীসকলক পঞ্জীযন কৰিবলৈ আপোনাৰ পৰিচয গোপন কৰিবলৈ প্ৰযাস নকৰে।"
What is  MPIN?,MPIN কি?
Rongmongwe & Samelangso Icds Project,ৰংমংৱে আৰু চেমলাংচো আইচডিএছ প্ৰকল্প
Pakabetbari Icds Project,পাকাবেটবাৰী আইচিডিএছ প্ৰকল্প
Please Select Reported By,অনুগ্ৰহ কৰি ৰিপোৰ্ট প্ৰদান কৰিছে বাচনি কৰক
Kaliachak - III,কালিযাচক - III
Dakshin Bastar Dantewada,দক্ষিণ বাষ্টাৰ ডাণ্টেৱাডা
Cdpo Proj No-1,চিডিপিঅ' প্ৰজ নং-1
Berhampur (U) - II,বঢমপুৰ (ইউ) - II
Enter Mobile Number,ম'বাইল নম্বৰ প্ৰবিষ্ট কৰক
"Project-3, Palanganatham, Madurai","প্ৰকল্প-3, পালঙ্গনাথম, মাদুৰাই"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,পোষণ ট্ৰেকাৰ এপ ২২ টা বেলেগ বেলেগ ভাষাত উপলব্ধউপলব্ধ বিভিন্ন ভাষাসমূহ হ'লঃইংৰাজীহিন্দীগুজৰাটীপাঞ্জাৱীমাৰাঠীবাংলাকান্নাডাতামিলটেলেগুমালাযালমউডিযাঅসমীযাNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
AWC Vaccination Trends,এডব্লিউচি টিকাকৰণৰ প্ৰৱণতা
Jhalda - I,ঝালদা - I
Reiek ICDS Project,ৰিযেক আইচিডিএছ প্ৰকল্প
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","টি পারপাস অফ পোষণ ট্র্যাকার এপ্লিকেশন ২ তো প্রভিডে এ ৩৬০-ডিগ্রী ভিউ অফ টি একটিভিটিস অফ টি অজ্ঞানবাদী সেন্টারে (এওকি), সার্ভিস ডেলিভারিজ অফ অজ্ঞানবাদী ওযার্কার্স (আউউস) এন্ড কমপ্লিট বেনিফিশিযারি ম্যানেজমেন্ট ফর প্রেগন্যান্ট ওমেন, ল্যাকটেটিং মঠেরস এন্ড চিলড্রেন."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","টি প্রপসেড সিস্টেম সৌল্ডা এনাবল রিযেল-টাইম মনিটরিং এন্ড ট্র্যাকিং অফ অল এওসিস, আউউস এন্ড বেনেফিসিযারিজ ও টি ডেফিনেড ইনডিক্টর্স."
Current Month Performance,বৰ্তমানৰ মাহৰ প্ৰদৰ্শন
Rjn Gramin 02,আৰজন গ্ৰামীণ 02
How to Login in Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপত কেনেকৈ লগইন কৰে?
Height and weight of child has not been measured,শিশুৰ উচ্চতা আৰু ওজন জোখা হোৱা নাই
