eng,as,indic_trans_translated
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWW সকলে তেওঁলোকৰ ম'বাইল নম্বৰসমূহৰ জৰিযতে যদি পঞ্জীযন কৰিবলৈ অক্ষম তেতিযা কেনেকৈ ছাইন আপ কৰিব পাৰিব?,How can AWW sign up if they are unable to register through their mobile numbers?
Poshan Tracker adds new Reports feature,পোশান ট্ৰেকাৰে নতুন প্ৰতিবেদন সুবিধা যোগ কৰিছে,Adding New Reporting Facility in Poshan Tracker
General Awareness about preventing illness in Children,শিশুসকলৰ মাজত হোৱা ৰোগক বাধা দিযাৰ বিষযে সাধাৰণ সজাগতা,General Awareness on Preventing Diseases in Children
2. HOW WE USE PERSONAL INFORMATION,2. আমি কেনেদৰেব্যক্তিগত তথ্য ব্যৱহাৰ কৰো,How do we use our personal information?
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","""The following are the Terms of Service ("" ""Terms"" "") that govern your use of the Swasth Balak Balika Spardha Platform hosted at https: / / posttracker."""
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","""and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the"" ""site"" "")."""
Please provide your mobile number and a ticket number.,অনুগ্ৰহ কৰি আপোনাৰ মোবাইল নম্বৰ আৰু এটা টিকট নম্বৰ প্ৰদান কৰক।,Please provide your mobile number and one ticket number.
Please contact your respective Anganwadi worker.,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাডী কৰ্মীক যোগাযোগ কৰক।।,Please contact your concerned Anganwadi worker.
SAM Children under 5 years who received Supplementary Nutrition,পৰিপূৰক পুষ্টি প্ৰাপ্ত কৰা 5 বছৰ বযসৰ তলৰ SAM শিশু,SAM Children under 5 years of age with supplementary nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1পেন্টাভেলেন্ট-1ৰোটাভাইৰাছ ভেকচিন (RVV)-1ফ্ৰেকচনেল ডজ অৱ ইনএক্টিভেটেড পোলিঅ' ভেকচিন (fIPV)-1নিউম'ককেল কনজুগেট ভেকচিন (PCV) -1,OPV-1 Pentavalent -1 Rotavirus Vaccine (RVV) -1 Fractional Dose of Inactivated Polio Vaccine (FIPV-1) Neumoccal Conjugate Vaccine (PCV) -1
Height should be between 38 to 150,উচ্চতা 38 ৰ পৰা 150 ৰ ভিতৰত হ'ব লাগে,Height should be between 38 and 150
How to contact Poshan Tracker Team?,পোষণ ট্ৰেকাৰ টীমক কেনেদৰে যোগাযোগ কৰিব?,How to contact the team of Poshan Tracker
Take Home Ration (THR) Given Today,টেক হোম ৰেচন (টিএইচআৰ) আজি দিযা হয,Take Home Ration (THR)
How many different forms are there in Poshan Tracker App?,পোষাণ ট্ৰেকাৰ এপত কিমানটা ভিন্ন ৰূপ আছে?,How different is a pet truck?
There are 7 different types of forms for beneficiaries.This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),হিতাধিকাৰীসকলৰ বাবে ৭ প্ৰকাৰৰ বিভিন্ন প্ৰপত্ৰ আছে সেইবোৰ হৈছেঃস্তন্যপান কৰাই থকা মাতৃগর্ভবতী মহিলাশিশু ০-৬ মাহশিশু ৬ মাহৰ পৰা ৩ বছৰ পর্যন্তশিশু ৩ বছৰ পৰা ৬ বছৰলৈকিশোৰী ছোৱালী (১১ বছৰ-১৯ বছৰ),There are 7 types of forms available to the beneficiaries: Pregnant women (0-6 months) Children (6-3 years) Adolescent girls (11-6 years)
Shibpur I C D S Project,শিবপুৰ আই চি ডি এছ প্ৰকল্প,Sibpur ICDS Project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","শেহতীযা এক মাহৰ পৰা তিনি মাহৰ ভিতৰত, কোনো অংগনৱাডী কৰ্মীযে বেনিফিচাৰীৰ ঘৰলৈ যোৱা নাই","In the last one to three months, no Anganwadi worker has visited the beneficiary's house"
Please enter Weight greater than 0.49 and less than 40.01,অনুগ্ৰহ কৰি 0.49 তকৈ অধিক আৰু 40.01 তকৈ কম ওজন প্ৰদান কৰক,Please give more than 0.49 and less than 40.01
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https: / / posttracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN এটা ৪ সংখ্যক পাছকোড যিটো পোষণ ট্ৰেকাৰ এপ পঞ্জীযন কৰোঁতে এজন অংগনৱাডী কৰ্মীযে স্থাপন কৰে।,MPIN is a 4-digit alphanumeric PIN that is generated by an Anganwadi worker during the registration of the Poshan Tracker App.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","স্মাৰ্ট ফোন আৰু কাৰিকৰী সামঞ্জস্যতা পৰীক্ষাৰ নিৰ্দিষ্টকৰণ (০২ ফেব্ৰুৱাৰী, ২০২১)","Smartphone and Technical Competency Test (02 February, 2021)"
Request for child's height and weight measurement,শিশুৰ উচ্চতা আৰু ওজন জোখাৰ বাবে অনুৰোধ,Request for measurement of height and weight of the child
Children (6 months - 3 years),শিশু (6 মাহ - 3 বছৰ),Children (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","আমি ব্যৱহাৰ কৰা ডাটা লগ কৰো যেতিযা আপুনি আমাৰ চাইট, এপ আৰু প্লেটফৰ্ম প্ৰযুক্তিকে আমাৰ সেৱা সমূহ ভিজিট কৰে বা ব্যৱহাৰ কৰে।","We log in to the data we use when you visit or use our services on our site, app and platform technology."
"Result couldn't be fetch, please enter valid data","ৰিজাল্ট সংগ্ৰহ কৰিব পৰা নাই, অনুগ্ৰহ কৰি বৈধ ডাটা প্ৰদান কৰক","Could not retrieve result, please enter valid data"
Central Golaghat I. C. D. S. Project,কেন্দ্ৰীয গোলাঘাট আই. চি. ডি. এছ. প্ৰকল্প,Central Golaghat ICDS Project
